ovulatory	排卵
thanatos	死的愿望
roustabout	码头工人
roustabout	甲板水手
prelife	前生
prelife	前世
disgustingly	讨厌地
disgustingly	讨厌
interview	接见
interview	会见
interview	接见
interview	会见
porringer	粥碗
porringer	小汤碗
improviser	即兴诗人
improviser	即席演奏者
improviser	即席演讲者
radiolabel	用放射性同位素给……示踪或做标记
testy	易怒的
testy	易怒
testy	暴躁的
testy	暴躁
jowett	周伊特
elisabeth	=Elizabeth
driftless	无目标的
driftless	无目标
driftless	无定向的
driftless	无定向
pharyngotomy	咽切开
cranium	头盖
cranium	头盖骨
morpho	s)
morpho	大闪蝶
fluviomarine	河海堆积的
fluviomarine	河海堆积
quart	夸脱
azote	氮
omophagia	生食
foggy	雾深的
foggy	雾深
foggy	模糊的
foggy	模糊
foggy	朦胧的
foggy	朦胧
foggy	不明净的
foggy	不明净
elytron	翅鞘
elytron	翅基
zoic	动物的
zoic	动物
zoic	有生物的
zoic	有生物
zoic	动物生活的
zoic	动物生活
zoic	含化石的
zoic	含化石
excarnation	肌肉的剔除
excarnation	脱离肉体
interfering	妨碍
uninfluenced	不为他人所动的
uninfluenced	不为他人所动
uninfluenced	未受影响
uninfluenced	自主行动的
uninfluenced	自主行动
pretubercular	=pretuberculous
gt	Guatemala
gt	危地马拉
gt	高性能跑车
gt	GT
parkinsonism	震颤麻痹
parkinsonism	帕金森病
parkinsonism	帕金森神经机能障碍
somatotherapy	躯体性疗法
schoolmaid	=schoolgirl
jujitsu	柔术
jocasta	Thebes城的Laius之王妃
pilonidal	藏毛的
pilonidal	藏毛
clouded	乌云密布的
clouded	乌云密布
clouded	阴的
clouded	阴
clouded	有暗影的
clouded	有暗影
phantasmic	幻影的
phantasmic	幻影
phantasmic	幽灵的
phantasmic	幽灵
ammine	氨络物
minnow	鲤科小鱼
dionysiac	酒神节的
dionysiac	酒神节
dionysiac	狂欢节的
dionysiac	狂欢节
digram	=digraph
paloverde	假紫荆属树木
bookhunter	猎书者
bookhunter	嗜书者
bookhunter	搜集古书者
grampian	格兰扁区
xiphoid	剑状软骨
xiphoid	剑状突起
xiphoid	剑状的
xiphoid	剑状
congratters'	NULL)
verbalizable	可用言辞表达的
verbalizable	可用言辞表达
whingding	=wingding
deforest	采伐森林
deforest	清除树林
acatalasia	无触酶症
acatalasia	过氧化氢酶缺乏症
naprapathy	推拿疗法
naprapathy	按摩疗法
commercialism	商业主义
commercialism	重商主义
lockjaw	破伤风
lockjaw	牙关紧闭症
condy	=Condy''s
condy	fluid
herma	赫尔密斯方形石柱
sephardim	Sephardi的复数
shafting	轴系
shafting	制轴材料
shafting	性交
gigasecond	十亿秒
cosmogonical	天体演化的
cosmogonical	天体演化
cosmogonical	天体演化学的
cosmogonical	天体演化学
middlesbrough	米德尔斯布勒
hemophiliac	血友病的
hemophiliac	血友病
hemophiliac	血友病患者
fluvial	河流的
fluvial	河流
fluvial	生长在河中的
fluvial	生长在河中
fluvial	河流冲刷作用形成的
fluvial	河流冲刷作用形成
amoco	American
amoco	Oil
amoco	Company
amoco	美国石油公司
burgage	租地权
burgage	土地保有权
shell	贝壳
shell	壳
shell	外形
shell	炮弹
shell	去壳
shell	脱落
shell	炮轰
shell	剥落
shell	脱壳
shell	设定命令行解释器的位置
puerilism	稚态
puerilism	童样痴呆
undervest	内衣
undervest	贴身衣
programmetry	程序计量
programmetry	程序性能衡量
endorse	在
endorse	认可
endorse	签署
cowboy	牛仔
cowboy	牧童
cowboy	美国西部牧人
ponderous	沉重的
ponderous	沉重
ponderous	笨重的
ponderous	笨重
ponderous	冗长的
ponderous	冗长
ponderous	沉闷的
ponderous	沉闷
ponderous	呆板的
ponderous	呆板
transmigration	轮回
coconspirator	共谋者
hypnosophist	睡眠学
hypnosophist	睡梦学
itineracy	巡回
impaction	装紧
impaction	压紧
pliohippus	上新马
equipotent	均等的
equipotent	均等
headkerchief	头巾
alfie	阿尔菲
usgs	United
usgs	States
usgs	Geological
usgs	Survey
usgs	美国地质勘探局
mercaptoethanol	巯基乙醇
cabinetmaker	家具师
cabinetmaker	细工木匠
pinesap	水晶兰
quinquefarious	五倍的
quinquefarious	五倍
recandescence	复亮
recandescence	复辉
orcin	苔黑素
orcin	苔黑酚
internuptial	通婚的
internuptial	通婚
internuptial	近亲通婚的
internuptial	近亲通婚
drawable	可曳的
drawable	可曳
drawable	可拉的
drawable	可拉
matricentric	以母亲为中心的
matricentric	以母亲为中心
matricentric	母权的
matricentric	母权
mull	漂白细软薄布
mull	混乱
mull	研磨
mull	深思
mull	温热
ferret	白鼬
ferret	雪貂
ferret	侦探
ferret	细带
ferret	用雪貂打猎
ferret	追赶
ferret	搜出
ferret	驱出
ferret	用雪豹狩猎
ferret	搜索
headshake	摇头
glamour	魔力
glamour	魅力
glamour	迷惑
hif	Health
hif	Information
hif	Foundation
hif	保健情报基金会
oversteering	过度转向
utilizable	可利用的
utilizable	可利用
ntp	normal
ntp	temperature
ntp	and
ntp	pressure
ntp	标准温度和压力
ntp	Network
ntp	Time
ntp	Protocol
ntp	网络时间协议
pentastylos	五柱式建筑
shawm	芦笛
meteoritics	陨星学
annoyance	烦恼
annoyance	可厌之事
dilation	膨胀
dilation	扩张
dilation	扩大
parotid	腮腺
parotid	腮边的
parotid	腮边
parotid	腮腺的
parotid	腮腺
balaton	巴拉顿湖
apraxic	运用不能症的
apraxic	运用不能症
apraxic	精神性失用症的
apraxic	精神性失用症
liripipe	帽上的长尾
mesoglea	中胶层
intuit	由直觉知道
okka	奥克
mpe	Master
mpe	of
mpe	Physical
mpe	Education
mpe	体育硕士
on	在……之上
on	依附于
on	临近
on	靠近
on	向
on	在……时候
on	关于
on	涉及
on	在上
on	向前
on	行动中
on	作用中
neanthropic	现存人类的
neanthropic	现存人类
thee	pro
thee	你
shake	摇动
shake	摇
shake	颤抖
shake	震动
shake	摇动
shake	摇
shake	颤抖
shake	震动
paramyosin	副肌球蛋白
chattel	奴隶
thulia	氧化铥
infirmatory	倾向于否定的
infirmatory	倾向于否定
infirmatory	倾向于推翻的
infirmatory	倾向于推翻
dishrag	洗碟用布
dishrag	抹布
solvable	可以解的
solvable	可以解
solvable	可以解决的
solvable	可以解决
aerodontia	高空牙科学
phytochemistry	植物化学
lpi	line
lpi	per
lpi	inch
lpi	每英寸内所含的行数
colure	分至圈
colure	分至经线
roentgenograph	y/9rCnt^E`nC^rEf
roentgenograph	=roentgenogram//I/
roentgenograph	X
roentgenograph	光线照相术
tragedy	悲剧
tragedy	惨案
tragedy	悲惨
tragedy	灾难
stockfish	鳕鱼干
stockfish	晒干的鱼类
hydronium	水合氢
hydronium	离子
calvary	耶稣被钉死于十字架之地
calvary	耶稣被钉死于十字架之
diversification	变化
diversification	多样化
negator	否认者
lawes	劳斯
revoke	撤回
revoke	废除
