sclerotioid	似菌核
athematic	没有主旋律的
athematic	没有主旋律
irrorate	具微点的
irrorate	具微点
latakia	产于拉塔基亚附近的一种上等香烟土耳其烟草
latakia	拉塔基亚
bullock	阉牛
bullock	一岁半以下的小公牛
periscopical	展望的
periscopical	展望
periscopical	周视的
periscopical	周视
equidistant	距离相等的
equidistant	距离相等
equidistant	等距的
equidistant	等距
camstone	坚白石灰岩
camstone	漂白泥
doubt	怀疑
doubt	疑惑
doubt	疑问
doubt	怀疑
doubt	不信
doubt	拿不准
doubt	恐怕
freddie	弗雷迪
unappeasable	无法平息的
unappeasable	无法平息
unappeasable	不能满足的
unappeasable	不能满足
succeed	成功
succeed	继……之后
succeed	继任
succeed	继承
succeed	取得成功
multiplicand	被乘数
discography	音乐唱片分类目录
discography	音乐唱片分类学
discography	录音作品目录
formosan	台湾的
formosan	台湾
formosan	台湾人的
formosan	台湾人
formosan	台湾话的
formosan	台湾话
formosan	台湾人
formosan	台湾话
croupier	赌场上的总管理人
croupier	副主持人
silas	赛拉斯
nagano	长野
microphenomenon	微观现象
cameralistics	财政学
cosmoplastic	宇宙形成的
cosmoplastic	宇宙形成
cosmoplastic	国际形成的
cosmoplastic	国际形成
phonate	出声
phonate	发声
incorrigible	无药可救的
incorrigible	无药可救
incorrigible	不能被纠正的
incorrigible	不能被纠正
vollyball	排球
ascaris	=ascarid
reachable	可达成的
reachable	可达成
reachable	可获得的
reachable	可获
eom	end
eom	of
eom	month月底
eom	月末
galle	加勒
retailer	零售商人
retailer	传播的人
defectiveness	有缺陷
defectiveness	缺乏
keelman	驳船船员
devaluate	贬值
ibada	伊斯兰教徒在宗教上的责任
vide	请见
vide	参阅
zoogamete	游动配子
panatrophy	全身萎缩
play	游戏
play	比赛
play	运动
play	赌博
play	剧本
play	玩
play	扮演
play	播放
play	进行比赛
play	播放
tessa	泰萨
firelock	以燧石发火的旧式枪
firelock	明火枪
firelock	燧发枪兵
grangerise	=grangerize
bleacherite	露天看台的观众
henbit	宝盖草
isoprenaline	=isoproterenol
hippiatrics	马医学
swedenborgian	斯韦登伯格的
swedenborgian	斯韦登伯格
maladaptation	不适应
maladaptation	适应不良
negroni	内格罗尼酒
foetal	似胎儿的
foetal	似胎儿
foetal	胎儿的
foetal	胎儿
transfers	传输
qi	气
baresthesia	重觉
baresthesia	压觉
tapeworm	绦虫
galligaskins	灯笼裤
galligaskins	皮绑腿
cognizance	认识
cognizance	审理
cognizance	认定
innocuous	无害的
innocuous	无害
innocuous	无毒的
innocuous	无毒
innocuous	无伤大雅的
innocuous	无伤大雅
innocuous	不得罪人的
innocuous	不得罪人
june	六月
sibyl	女巫
sibyl	女算命师
sibyl	女预言家
bemaze	使恍惚
bemaze	迷惑
syphilology	梅毒学
criticises	批评
criticises	吹毛吹疵
criticises	非难
alabastron	一种盛香油的长细颈瓶
thremmatology	动植物培育学
thremmatology	饲养学
tehr	=tahr
pyretology	热病学
differentia	不同
differentia	差异
differentia	种差
ajog	慢步而行的
ajog	慢步而行
ajog	慢步而行地
ajog	慢步而行
reradiation	再放射
tamein	艳丽裙服
central	中心的
central	中心
central	中央的
central	中央
central	重要的
central	重要
central	主要的
central	主要
central	中枢的
central	中枢
central	走中间道路的
central	走中间道路
central	电话总机
compactible	能被压实的
compactible	能被压实
freeboot	做海盗
complect	交织
complect	编织
diamine	二胺
levitical	利未族的
levitical	利未族
levitical	利未记的
levitical	利未记
brewis	牛肉汤
brewis	泡在牛肉汤中的面包
fluorometry	荧光计
fluorometry	氟量计
universe	宇宙
universe	世界
universe	万物
universe	领域
insolvable	不能溶解的
insolvable	不能溶解
insolvable	不能解决的
insolvable	不能解决
wrapt	wrap的过去式及过去分词
trinketry	小装饰物
trinketry	无价值的琐细杂物
orthopedic	整形外科的
orthopedic	整形外科
dweller	居住者
dweller	居民
upburst	向上的迸发
upburst	上冲
upburst	猛增
stalag	战俘营
luteolysin	黄体溶解素
lenis	发音较不费力的辅音
lenis	发音时毫不费力的
lenis	发音时毫不费力
lenis	微弱的
lenis	微弱
excitomotor	刺激运动的
excitomotor	刺激运动
excitomotor	反射运动的
excitomotor	反射运动
seaplane	水上飞机
footwarmer	暖脚器
neurotransmission	神经传递
cysticercus	囊状幼虫
illegimate	不合法的
illegimate	不合法
illegimate	私生的
illegimate	私生
illegimate	证明……是私生子
intort	使向内卷
intort	使向内弯
sacque	宽大上衣
superjet	超音速喷气式飞机
lanose	绵状的
lanose	绵状
lanose	具绵状毛的
lanose	具绵状毛
enclothe	给……穿衣
enclothe	覆盖
puszta	平原
unobservable	无法观察的
unobservable	无法观察
unobservable	难以察觉的
unobservable	难以察觉
unobservable	注意不到的
unobservable	注意不到
filings	锉屑
filings	锉末
leidenfrost	phenomenon莱顿弗罗斯特现象
trilling	一胎三婴中的任何一婴儿
irresistibly	无法抵抗地
