synclinal	倾斜
synchromesh	同步啮合
sylphlike	窈窕淑女似的
sylphlike	窈窕淑女似
sylphlike	窈窕的
sylphlike	窈窕
monosyllable	单音节字
curch	方头巾
lamina	薄板
lamina	薄层
lamina	叶片
sansculottism	激进主义
sansculottism	激进行为
counselable	愿意接受劝告或忠告的
counselable	愿意接受劝告或忠告
letch	色欲
letch	好色者
carbamate	氨基甲酸盐
litmusless	中性的
litmusless	中性
shay	二轮的轻便马车
crushable	可压碎的
crushable	可压碎
crushable	压不皱的
crushable	压不皱
uptorn	uptear的过去分词
slapstick	闹剧
slapstick	趣剧
lunarnaut	登月宇航员
humpless	无驼峰的
humpless	无驼峰
humpless	无隆肉的
humpless	无隆肉
bursa	囊
bursa	粘液囊
determinedly	决然地
determinedly	决然
determinedly	断然地
determinedly	断然
pecksniffian	伪善的
pecksniffian	伪善
fortuneless	不幸的
fortuneless	不幸
fortuneless	无财产的
fortuneless	无财产
vitaminic	维他命的
vitaminic	维他命
sanitate	使合卫生
sanitate	装设卫生设备
monocontaminate	使受到单种病原体感染
truckmaster	商务官
primitively	最初地
primitively	最初
primitively	自学而成地
primitively	自学而成
breathe	呼吸
breathe	发出
diredawa	迪雷达瓦
changchun	长春
volta	回
volta	次
catawampus	恶意的
catawampus	恶意
catawampus	打斜的
catawampus	打斜
gradienter	倾斜度测定器
gradienter	水平仪
corky	软木的
corky	软木
corky	活泼的
corky	活泼
trojan	特洛伊
hallucinate	使产生幻觉
galeiform	盔形的
galeiform	盔形
aesopian	伊索的
aesopian	伊索
voice	声音
voice	嗓音
voice	发音能力
voice	意见
voice	发言权
voice	语态
voice	表达
voice	吐露
peacocky	如孔雀的
peacocky	如孔雀
peacocky	艳丽浮华的
peacocky	艳丽浮华
peacocky	爱虚荣的
peacocky	爱虚荣
kyanite	蓝晶石
dex	右旋安非他明硫化氢
downpour	倾盆大雨
theriomorphous	兽形的
theriomorphous	兽形
crude	天然的
crude	天然
crude	未加工的
crude	未加工
