epergne	饰盘
cloggy	易粘住的
cloggy	易粘住
cloggy	妨碍的
cloggy	妨碍
isomorphous	同形的
isomorphous	同形
hydrotropic	向水性的
hydrotropic	向水性
hydrotropic	向湿性的
hydrotropic	向湿性
cocainism	古柯碱瘾
cocainism	古柯碱中毒
ostensory	圣礼显示台
recomputation	再计算
recomputation	验算
speaking	谈话
speaking	演讲
speaking	讲话的
speaking	讲话
speaking	适于说的
speaking	适于说
speaking	象要开口似的
speaking	象要开口似
yamulka	=yarmulke
topic	话题
topic	主题
cobaltiferous	含钴的
cobaltiferous	含钴
okey	=OK
trilabiate	三唇的
trilabiate	三唇
chagatai	查加台语
englishize	英国化
vilify	诽谤
vilify	辱骂
vilify	贬低
vilify	轻视
pile	堆
pile	大堆
pile	高大建筑
pile	电池组
pile	堆起
pile	堆积
pile	积累
pile	挤
pile	堆于
pile	累积
pile	堆叠
pile	打桩于
pile	用桩支撑
shipyard	造船所
coccidiostat	球虫抑制药
euphrosyne	欧佛洛绪涅
erotesis	反问法
repeating	反复的
repeating	反复
repeating	重复的
repeating	重复
overrepresent	使有过多的代表
overrepresent	使代表人数超出比例
granitite	黑云花岗岩
hydropneumatic	液压气动的
hydropneumatic	液压气动
hydropneumatic	水和空气协同作用的
hydropneumatic	水和空气协同作用
recrescence	再生
yannigan	一个队的第二班球手
kilocalorie	大卡
sensitise	=sensitize
geminorum	Gemini的所有格
orchal	=archil
bandwidth	带宽
coxcombry	虚浮
coxcombry	浮夸
coxcombry	爱打扮
crankcase	曲柄轴箱
heteropolysaccharide	杂多糖
bruise	瘀伤
bruise	擦伤
bruise	打伤
bruise	撞伤
mci	媒体控制接口
mci	美国著名的通讯公司
uncross	使不交叉
geological	地质学的
geological	质学
geological	地质的
geological	质
absorbefacient	吸收性的
absorbefacient	吸收性
absorbefacient	吸收剂
intestacy	未留遗嘱而死亡
aurification	变成金色
aurification	镀金
turntable	转车
turntable	转盘
substantiation	实体化
substantiation	证明
substantiation	证实
languish	憔悴
languish	凋萎
languish	衰退
languish	苦思
casque	盔
incase	装进箱
incase	筒
incase	鞘等容器内
incase	包
hebe	赫柏
gemma	胞芽
exotoxin	外毒素
mockingbird	嘲鸟
chiefess	女酋长
chiefess	女首领
quaff	一口气喝干
quaff	大口地喝
quaff	一饮而尽
quaff	痛饮
feoffment	采邑授与
feoffment	赠于不动产
depurative	净化的
depurative	净化
depurative	净化剂
depurative	清洁剂
pakeha	白种人
nudzh	=nudge
tropopause	对流顶层
trickle	滴流
circumflect	使弯成圆形
circumflect	加高低音符
porridge	麦片粥
porridge	粥
porridge	服刑
kerala	喀拉拉邦
unneurotic	无神经官能症的
unneurotic	无神经官能症
unneurotic	神经不过敏的
unneurotic	神经不过敏
unneurotic	无神经质的
unneurotic	无神经质
unneurotic	神志健全的
unneurotic	神志健全
warless	无战争的
warless	无战争
warless	不参加战争的
warless	不参加战争
juggernaut	Krishna
juggernaut	神像
juggernaut	使人盲目崇
automonitor	自动监控程序
combinability	可结合性
yttriferous	含有钇的
yttriferous	含有钇
piece	块
piece	件
piece	片
piece	篇
piece	张
piece	条
piece	硬币
piece	接合
piece	修补
piece	凑合
pinchers	铁钳
pinchers	钳子
coachfellow	伴侣
coachfellow	伙伴
coachfellow	同伙
assuetude	习惯
champac	黄兰
convulsionary	震动的
convulsionary	震动
convulsionary	抽搐的
convulsionary	抽搐
booming	急速发展的
booming	急速发展
amylopectin	支链淀粉
amylopectin	胶淀粉
barreled	桶装的
barreled	桶装
barreled	有管的
barreled	有管
jordanon	约旦种
jordanon	小种
orthocephalous	=orthocephalic
demophobia	群众恐惧症
daubster	笨画匠
microsoft	美国微软公司
wist	wit的过去式及过去分词
oil	油
oil	石油
oil	油类
oil	给加油
oil	上油
oil	涂油
resistless	不能抵抗的
resistless	不能抵抗
resistless	无抵抗力的
resistless	无抵抗力
osar	os
osar	的复数
fouquet	即Fouquet
fouquet	Jean
lateness	迟
lateness	晚
steadfastly	踏实地
steadfastly	踏实
steadfastly	不变地
steadfastly	不变
reckoning	计算
reckoning	帐单
reckoning	算帐
reckoning	结帐
reckoning	清算
reckoning	估计
misword	使……的措辞不当
misword	使……的用词有错
velours	丝绒
velours	天鹅绒
rotatable	可旋转的
rotatable	可旋转
rotatable	可转动的
rotatable	可转动
flotsam	浮货
flotsam	废料
flotsam	零碎物
flotsam	流离失所者
single	单一的
single	单一
single	单身的
single	单身
single	单纯的
single	单纯
single	孤独的
single	孤独
single	专一的
single	专一
single	个别的
single	个别
single	一个
single	单打
single	单精度型
single	选出
single	作一垒打
parfait	冻糕
gantlet	长手套
gantlet	夹笞刑
mutagenicity	诱变
hundred	一百个一组
hundred	许多
hundred	百
hundred	百个
hundred	许多的
hundred	许多
icebreaker	碎冰船
icebreaker	破冰设备
mag	Margaret
mag	的昵称
mag	杂志
gantelope	=gauntlet
conical	圆锥的
conical	圆锥
conical	圆锥形的
conical	圆锥形
funnelform	漏斗状的
funnelform	漏斗状
xography	x摄影法
loudspeaker	扩音器
loudspeaker	喇叭
sault	瀑布
sault	急流
trapeziform	梯形的
trapeziform	梯形
prokaryotic	=procaryotic
xerodermia	皮肤干燥症
xerodermia	干皮病
merchantlike	商人似的
merchantlike	商人似
hidebound	营养不良的
hidebound	营养不良
hidebound	量小的
hidebound	量小
hidebound	死板的
hidebound	死板
paleoanthropic	=palaeoanthropic
prototroph	原养型微生物
apogeotropism	负地性
blackball	反对票
blackball	投票反对
blackball	排斥
dingy	暗黑的
dingy	暗黑
dingy	邋遢的
dingy	邋遢
microkit	微机套件
juxtaposition	毗邻
juxtaposition	并置
juxtaposition	并列
shoshonian	=Shoshonean
colophon	书籍的末页
colophon	版本记录
unespied	未被看到的
unespied	未被看到
unespied	未被发现的
unespied	未被发现
unespied	未被察觉的
unespied	未被察觉
kotwalee	警察局
wreak	发泄
wreak	报仇
intrauterine	子宫内的
intrauterine	子宫内
cruising	巡航的
cruising	巡航
thither	到那边
thither	向那方
thither	在那边的
thither	在那边
thither	对岸的
thither	对岸
thither	那边的
thither	那边
aerologist	高空气象学家
bevel	斜角
bevel	斜角规
bevel	倾斜
bevel	斜面
bevel	成斜角
bevel	使成斜角
hud	住房和城市发展部
hipparch	骑兵指挥官
jester	讲笑话的人
jester	小丑
soupy	汤的
soupy	汤
secessionist	脱离论者
secessionist	分离论者
didacticism	教训主义
didacticism	教训癖
didacticism	启蒙主义
pseudopregnancy	假妊娠
pseudopregnancy	假孕
cadmium	镉
comprador	买办
foxe	Basin
foxe	福克斯湾
wherein	在何处
wherein	在其中
quinquagenarian	五十岁至六十岁之间的
quinquagenarian	五十岁至六十岁之间
quinquagenarian	五十多岁的人
prisere	正常演替系列
supercontract	超收缩
sepulture	埋葬
sepulture	坟墓
matutinal	早的
matutinal	早
sibilate	发出齿擦音
sibilate	咝咝作响
layfolk	俗人
layfolk	普通人
crotchetiness	有怪想
crotchetiness	反复无常
prolapse	下垂
prolapse	脱垂
prolapse	下垂
prolapse	脱垂
hellenist	希腊文化研究者
hellenist	昔时常用希腊语的犹太人
coenurus	共尾幼虫
serge	斜纹哔叽布料
rps	Revolutions
rps	Per
rps	Second
rps	每秒转速
atrophy	萎缩
atrophy	萎缩症
lancination	刺
lancination	刀割般的剧痛
obol	古代希腊的银币
unmannered	没有礼貌的
unmannered	没有礼貌
unmannered	不做作的
unmannered	不做作
unmannered	粗野的
unmannered	粗野
tonguester	唠叨的人
tonguester	健谈的人
tonguester	爱说三道四的人
kwajalein	夸贾林环礁
enthuse	使热心
enthuse	热心
bioactivity	生物活性
bioactivity	生物活度
indefinitive	非决定性的
indefinitive	非决定性
indefinitive	不明确的
indefinitive	不明确
sleevelet	袖套
catananche	菊科草本植物
walpurgisnacht	=Walpurgis
walpurgisnacht	Night
erase	抹去
erase	擦掉
erase	消磁
erase	杀死
ruritan	鲁里坦俱乐部成员
yttria	氧化钇
phlebotomise	=phlebotomize
athanasia	不死
athanasia	不灭
condonement	不咎
condonement	默许
retrograde	倒退的
retrograde	倒退
retrograde	倒退
nawa	=Naha
psychohistory	心理历史学
psychohistory	心理历史
psychohistory	心理动态史
houyhnhnm	具有人类理性的马匹
comatose	昏睡的
comatose	昏睡
comatose	昏睡状态的
comatose	昏睡状态
responsor	=responser
exospore	外芽胞
exospore	外芽胞膜
veterinarian	兽医
trichromatic	三色的
trichromatic	三色
trichromatic	三色版的
trichromatic	三色版
trichromatic	三原色的
trichromatic	三原色
pommern	=Pomerania
blair	布莱尔
amygdalotomy	扁桃体部分切除术
trizone	三国共同占领区
wanderlust	旅行癖
wanderlust	流浪癖
recta	直肠
mainstream	主流
arith	数学
berried	浆果的
berried	浆果
berried	浆果状的
berried	浆果状
berried	有卵的
berried	有卵
mesa	台地
mesa	台
mesa	岩石台地
mesa	岩石台
mesa	平顶山
mentum	颏
discalced	赤脚的
discalced	赤脚
discalced	仅穿拖鞋的
discalced	仅穿拖鞋
popularisation	=popularization
into	到……里
into	进入到……之内
into	成为……状况
into	深入……之中
exlibris	藏书标签
pelota	回力球
hilarious	欢闹的
hilarious	欢闹
cardiologist	心脏病专家
isoandrosterone	=epiandrosterone
aerophile	热爱飞行者
hartford	哈特福德
namh	National
namh	Association
namh	for
namh	Mental
namh	Health
namh	全国精神保健协会
crawk	模仿动物叫声之音效工作人员
crawk	发出嘶哑声
canty	活泼的
canty	活泼
canty	明朗的
canty	明朗
pyrexic	热病的
pyrexic	热病
unburden	卸货
unburden	卸下重担
unburden	表白
unburden	吐露
woodsia	岩蕨
libby	利比
crossbow	石弓
crossbow	弩
garner	储存
imaginator	想像者
imaginator	幻想者
lanai	凉台
lanai	门廊
punster	喜欢说双关语的人
punster	爱说俏皮话的人
ileostomy	回肠造口术
extravagance	奢侈
extravagance	铺张
extravagance	过度
extravagance	放纵的言行
omnibus	公共汽车
omnibus	公共马车
omnibus	精选集
omnibus	综合性的
omnibus	综合性
omnibus	混合的
omnibus	混合
omnibus	多项的
omnibus	多项
boil	沸点
boil	沸腾
boil	疖子
boil	煮沸
boil	激动
assortment	分类
evaporimeter	蒸发计
bdsa	Business
bdsa	and
bdsa	Defense
bdsa	Services
bdsa	Administration
bdsa	企业和国防勤务署
delitescence	潜伏期
mae	=more
mae	Metropolitan
mae	Area
mae	Exchange
mae	城域交换
unentertaining	不使人得到娱乐的
unentertaining	不使人得到娱乐
unentertaining	引不起乐趣的
unentertaining	引不起乐趣
unentertaining	不使人愉快的
unentertaining	不使人愉快
hematuresis	=hematuria
carifta	加勒比共同市场
circumgyrate	旋转
squeeze	压榨
squeeze	挤
squeeze	压榨
squeeze	挤
squeeze	挤榨
hylicism	物质论
immateriality	无形
immateriality	非物质
noradrenaline	去甲肾上腺素
aeschylean	埃斯库罗斯的
aeschylean	埃斯库罗斯
aeschylean	埃斯库罗斯风格的
aeschylean	埃斯库罗斯风格
junkerdom	德国贵族地主
junkerdom	德国贵族地主之精神或政策
subotica	苏博蒂察
restraint	抑制
restraint	制止
restraint	克制
mucoprotein	黏蛋白
osculant	接触的
osculant	接触
osculant	接吻的
osculant	接吻
osculant	中间型的
osculant	中间型
pyroxylin	硝酸纤维素
pyroxylin	绵火药
oid	Object
oid	identifier
oid	对象标识符
inundant	泛滥的
inundant	泛滥
inundant	势不可挡的
inundant	势不可挡
trichomaniac	恋发癖者
malinois	=Belgian
malinois	Malinois
clayey	粘土的
clayey	粘土
clayey	粘土状的
clayey	粘土状
caicos	凯科斯群岛
biblicist	圣经学者
biblicist	圣经通
segu	=Segou
ionosonde	电离层探测仪
ionosonde	电离层探测装置
excursive	离题的
excursive	离题
excursive	散漫的
excursive	散漫
stethoscopy	听诊
stethoscopy	听诊法
ethiopian	埃塞俄比亚的
ethiopian	埃塞俄比亚
ethiopian	黑人的
ethiopian	黑人
ethiopian	埃塞俄比亚人
ethiopian	黑人
gauger	收税官
unbeloved	无人爱的
unbeloved	无人爱
unbeloved	不为人所爱的
unbeloved	不为人所爱
deregulation	违反规定
deregulation	反常
toecap	鞋尖装饰
toecap	鞋头
intermundane	星球之间的
