desoxycorticosterone	=deoxycorticosterone
donatist	多纳图派信徒
carpophore	心皮柄
carpophore	果瓣柄
amnesty	特赦
hematoxylic	苏木精的
hematoxylic	苏木精
ripsonrt	喧闹地行进
nully	傻瓜
nully	笨蛋
earn	赚
earn	挣得
earn	挣
earn	获得
earn	获
earn	赚得
earn	赚
earn	获得
earn	获
cumarin	香豆素
cumarin	零陵香素
panjabi	=Punjabi
press	压
press	按
press	印刷
press	压力
press	拥挤
press	紧握
press	新闻
press	压
press	压榨
press	紧抱
press	逼迫
press	压
press	逼迫
press	拥挤
press	受压
hypodiploid	亚二倍的
hypodiploid	亚二倍
anabas	攀鲈
tubercle	结节
xylophagan	蚀木虫的
xylophagan	蚀木虫
annals	编年史
annals	年报
pollex	拇指
dialogue	对话
appal	惊骇
transmute	改变
sbe	south
sbe	by
sbe	east
audible	听得见的
audible	听得见
verselet	小诗
verselet	短诗
lipspeaker	唇谈者
monger	商人
monger	贩子
monger	中间人
monger	贩卖
monger	传播
eugenol	丁子香酚
floozy	荡妇
floozy	妓女
pimola	填入辣椒的橄榄果
nyctinasty	感夜性
nyctinasty	就眠性
stepdame	继母
stepdame	后娘
budgeteering	预算制订
cheongsam	旗袍
hectocotylus	交接腕
hectocotylus	化茎腕
cuspidal	尖的
cuspidal	尖
cuspidal	尖头的
cuspidal	尖头
foretopman	前桅哨
monopolism	垄断制度
monopolism	垄断主义
monopolism	垄断
lumpish	团状的
lumpish	团状
lumpish	笨重的
lumpish	笨重
lumpish	不管用的
lumpish	不管用
bobbie	博比
bridoon	轻勒
bridoon	小辔
sinpo	新浦
presanctified	前次弥撒中祝圣过的
presanctified	前次弥撒中祝圣过
kaolinite	高岭石
waggle	来回摇动
waggle	摆动
waggle	来回摇动
waggle	摆动
homotypic	同型的
homotypic	同型
homotypic	同模标本的
homotypic	同模标本
layerage	压条法
glucosyltransferase	葡糖基转移酶
resilin	节肢弹性蛋白
thallium	铊
tranter	流动商贩
thriven	thrive的过去分词
miration	赞赏
miration	惊讶
miration	大惊小怪
odontology	齿科学
odontology	齿科医术
interdental	牙齿之间的
interdental	牙齿之间
interdental	舌头放在上下牙齿间发音的
interdental	舌头放在上下牙齿间发音
wehrmacht	国防军
apolitical	不关心政治的
apolitical	不关心政治
swanu	South
swanu	West
swanu	Africa西南非洲全国联盟
sourness	性情乖僻
sourness	酸味
sourness	坏心眼
dauphine	王太子的妻子
dauphine	王妃
photochemistry	光化学
septet	七重奏
septet	七人一组
gallet	石片
gallet	碎片
overwork	过度操劳
overwork	过度工作
overwork	工作过度
haustellate	吸器的
haustellate	吸器
enhydrite	含水矿物
stereo	立体声系统
stereo	立体声
stereo	铅版
stereo	立体照片
stereo	立体的
stereo	立体
stereo	立体感觉的
stereo	立体感觉
feist	小狗
feist	无用的人
feist	坏脾气的人
saltshaker	盐瓶
saratogian	萨拉托加斯普林斯人
turnscrew	螺丝旋转工具
turnscrew	螺丝起子
uninterested	不感兴趣的
uninterested	不感兴趣
uninterested	无利害关系的
uninterested	无利害关系
uninterested	无关系的
uninterested	无关系
neurophysiology	神经生理学
nonsexual	无性别的
nonsexual	无性别
nonsexual	无性的
nonsexual	无性
nonsexual	无性生物特有的
nonsexual	无性生物特有
aphonia	失声
aphonia	无声
mesodontism	中型牙
tercel	雄鹰
asbestoid	似石棉的
asbestoid	似石棉
anadyr	阿纳德尔河
chlorophyll	叶绿素
apnoea	无呼吸
apnoea	呼吸暂停
millivolt	毫伏
dunlop	邓洛普干酪(一种原产于苏格兰邓洛普的全脂干酪
dunlop	亦作
metaphrast	改编者
metaphrast	改写者
oculated	具单眼的
oculated	具单眼
fundholder	公债所有者
declinature	拒绝
declinature	婉谢
scab	疤
scab	痂
scab	不参加罢工的工人
scab	恶棍
scab	工贼
scab	结痂
scab	当工贼
crease	折缝
crease	折痕
crease	折
crease	弄皱
dispensatory	处方集
dispensatory	药典
dispensatory	分配的
dispensatory	分配
transglobal	环球的
transglobal	环球
transglobal	围绕世界的
transglobal	围绕世界
indorsee	票据的被背书人
reusable	可以再度使用的
reusable	可以再度使用
lachesis	主宰人类寿命的女神
absolution	免罪
absolution	赦免
zanily	愚蠢可笑地
zanily	愚蠢可笑
zanily	发神经似地
zanily	发神经似
germanophile	亲德派
germanophile	亲德者
subject	题目
subject	主题
subject	科目
subject	学科
subject	国民
subject	主语
subject	受他国统治的
subject	受他国统治
subject	未独立的
subject	未独立
subject	受制于……的
subject	受制于……
subject	受……影响的
subject	受……影响
subject	以……为条件的
subject	以……为条件
subject	使屈从于……
subject	使隶属
gaminerie	顽童行径
lancelot	兰斯洛特
kumite	对打
communicatory	有关通信的
communicatory	有关通信
kristiansand	克里斯蒂安桑
agonoze	苦恼
agonoze	使……苦恼
agonoze	折磨
aunty	姑妈
aunty	伯母
aunty	舅妈
aunty	阿姨
hypoproteinemia	血液蛋白不足
superordinary	超常的
superordinary	超常
armor	装甲
venomously	狠毒地
venomously	狠毒
venomously	充满恶意地
venomously	充满恶意
theosophism	神智学
deputize	代表
cabomba	水盾草
cabomba	鱼草
quadrode	四极管
lightboat	灯塔船
botanica	神物铺子
thrillingness	毛骨悚然
thrillingness	震颤
indiscreetly	轻率地
indiscreetly	轻率
dispiration	螺旋位移
ineffably	难以言喻地
ineffably	难以言喻
ineffably	因神圣而不容称呼地
ineffably	因神圣而不容称呼
basidiomycetous	担子菌类的
basidiomycetous	担子菌类
alger	=Algiers
amphibian	两栖类的
amphibian	两栖类
amphibian	水陆两用的
amphibian	水陆两用
amphibian	两栖动物
amphibian	水陆两用飞机
amphibian	水陆两用的平底车辆
franquista	佛朗哥的追随者
ecclesiasticism	拘泥教规
ecclesiasticism	教会主义
jehovah	耶和华
pancreatitis	胰腺炎
semisupernatural	半神半人的
semisupernatural	半神半人
golf	高尔夫球
golf	打高尔夫球
winfred	温弗雷德
dammam	达曼
ureterolithotomy	输尿管石切除术
delphin	法国王太子的
delphin	法国王太子
delphin	法国王储的
delphin	法国王储
delphin	为法国王太子所用的
delphin	为法国王太子所用
notelet	便信
notelet	短柬
oar	桨
oar	橹
plicated	折成扇状
plicated	有褶的
plicated	有褶
plicated	有皱襞的
plicated	有皱襞
nipplewort	稻槎菜属
nitron	硝酸灵
nitron	硝酸试剂
subalkaline	微碱的
subalkaline	微碱
foam	泡沫
foam	水沫
foam	泡沫材料
foam	泡沫橡皮
foam	泡沫塑料
foam	起泡沫
foam	冒汗水
foam	吐白沫
foam	使起泡沫
lenticulate	使
lenticulate	具有微透镜
ossicle	小骨
