celticist	研究凯尔特文化的人
tanintharyi	=Tenasserim
selfishly	自私地
selfishly	自私
mirror	镜子
mirror	真实反映情况的东西
mirror	典范
mirror	反映
mirror	映出
unfadingly	不褪色地
unfadingly	不褪色
unfadingly	不凋萎地
unfadingly	不凋萎
confound	使混淆
confound	把……搞混
confound	挫败
confound	讨厌
doghouse	狗窝
doghouse	犬舍
vaalhaai	灰鲨(翅鲨
chuvash	楚瓦什人
chuvash	楚瓦什语
yttrium	钇
yttrium	稀有金属元素
yttrium	符号Y
rabbinate	犹太法学博士的身份
rabbinate	犹太法学博士们
ruddered	有方向舵的
ruddered	有方向舵
myogram	肌动图
vinyon	维荣
thatchy	多茅草的
thatchy	多茅草
thatchy	像茅草的
thatchy	像茅草
unkennel	从洞穴逐出
unkennel	揭露
unkennel	出洞
clogger	木屐匠
premises	前提
premises	立前提
shadowboxing	太极拳
lenticellate	产皮孔的
lenticellate	产皮孔
survivorship	生存
survivorship	生存者对共有财产中死者权利部分的享有权
grotesquery	怪诞
grotesquery	古怪
koniology	空气中的灰尘
koniology	微尘学
personalist	人格主义的
personalist	人格主义
unconfiding	不轻信别人的
unconfiding	不轻信别人
unconfiding	缄默的
unconfiding	缄默
unconfiding	寡言的
unconfiding	寡言
postwoman	女邮递员
orinoco	奥里诺科河
unpitied	没人可怜的
unpitied	没人可怜
unpitied	没人同情的
unpitied	没人同情
cashmerette	仿开士米斜纹绒
cashmerette	仿开士米织物
upbeat	弱拍
upbeat	上升
upbeat	兴旺
upbeat	乐观的
upbeat	乐观
upbeat	欢乐的
upbeat	欢乐
myoneural	肌神经的
myoneural	肌神经
iad	International
iad	Astrophysical
iad	Decade
iad	国际天体物理十年
anisotropism'	NULL)
mononucleate	单核的
mononucleate	单核
transporter	输送人
transporter	运输机
afterripening	后熟作用
radiantly	辉煌地
radiantly	辉煌
radiantly	清朗地
radiantly	清朗
song	歌
song	歌曲
silklike	似丝的
silklike	似丝
silklike	丝状的
silklike	丝状
foreskin	包皮
ylem	伊伦
feudalize	使成封建制度
feudalize	使封建化
posted	有地位的
posted	有地位
posted	消息灵通的
posted	消息灵通
alleyoop	杭育
yarn	纱
yarn	纱线
yarn	故事
yarn	奇谈
adipocellulose	脂纤维素
babycham	"杯杯香"
baaskaap	白人统治
baaskaap	白人优越
grazer	吃草的动物
oread	俄瑞阿得
oread	俄瑞阿
preconvention	大会前的
preconvention	大会前
umbrette	鹭类
morale	士气
morale	民心
maxine	玛克辛
underside	下面
underside	内面
underside	下腹
underside	下侧
exaction	勒索
exaction	苛求
tab	制表
tab	标号
tab	TAB键
tab	标签
tab	制表符
tab	小报
tab	帐单
tab	短小突出部
tab	在……饰以小垂片
tab	认出
tab	行走
anecdotalist	=anecdotist
hawk	鹰
hawk	掠夺他人的人
hawk	鹰派成员
hawk	放鹰
hawk	像鹰一般地袭击
hawk	清嗓
hawk	咳嗽
hawk	捕捉
hawk	咳出
hawk	兜售
hawk	叫卖
hawk	散播
eilat	埃拉特
gasometric	气体定量分析的
gasometric	气体定量分析
gasometric	气体定量分析学的
gasometric	气体定量分析学
bay	海湾
bay	狗吠声
bay	绝路
bay	吠
bay	使走投无路
bay	吠
computerise	=computerize
unpenetrable	不能穿入的
unpenetrable	不能穿入
unpenetrable	难穿入的
unpenetrable	难穿入
mythoheroic	歌颂神话英雄事迹的
mythoheroic	歌颂神话英雄事迹
frisbee	n
frisbee	飞盘
majestical	宏伟的
majestical	宏伟
majestical	庄严的
majestical	庄严
plexal	丛的
plexal	丛
wilco	照办!
kingship	王位
kingship	王权
kingship	君主的身份和尊严
kingship	君主政体
ostentatious	装饰表面的
ostentatious	装饰表面
ostentatious	卖弄的
ostentatious	卖弄
eburnated	似象牙般坚硬结实的
eburnated	似象牙般坚硬结实
outweary	使筋疲力尽
babblingly	胡说地
babblingly	胡说
babblingly	喋喋不休地
babblingly	喋喋不休
giardiasis	贾第鞭毛虫病
appendiceal	阑尾的
appendiceal	阑尾
obstinacy	固执
opec	Organization
opec	of
opec	Petroleum
opec	Exporting
opec	Countries
opec	石油输出国家组织
popular	通俗的
popular	通俗
popular	流行的
popular	流行
popular	受欢迎的
popular	受欢迎
supervene	接着发生
supervene	被附加
dyeability	可染性
dyeability	可着色性
histogen	组织原
vespiary	大胡蜂巢
verdant	翠绿的
verdant	翠绿
verdant	青翠的
verdant	青翠
verdant	生疏的
verdant	生疏
verdant	没有经验的
verdant	没有经验
extraviolet	紫外线的
extraviolet	紫外线
underboss	黑手党二老板
soogee	冲洗
cacophonous	发音不和谐的
cacophonous	发音不和谐
cacophonous	粗腔横调的
cacophonous	粗腔横调
azorean	亚速尔群岛的
azorean	亚速尔群岛
samyama	三夜摩
samyama	内助
practicing	开业的
practicing	开业
practicing	在工作的
practicing	在工作
hildegarde	希尔德加德
rinforzando	突然增强的
rinforzando	突然增强
rinforzando	特别加重的
rinforzando	特别加重
rinforzando	突然增强
indemnification	保护
indemnification	保障
indemnification	补偿
indemnification	补偿物
morphophonemics	词素音位学
raving	语无伦次的
raving	语无伦次
raving	狂乱的
raving	狂乱
raving	疯话
raving	胡言乱语
thammuz	=Tammuz
vmtp	多用报文处理协议
encyclopedism	百科全书的知识
polygamous	一夫多妻的
polygamous	一夫多妻
polygamous	一妻多夫的
polygamous	一妻多夫
rsvp	Reply
rsvp	if
rsvp	you
rsvp	please
rsvp	请回复
richard	理查德
discusser	论述者
discusser	讨论者
architectural	建筑上的
architectural	建筑上
architectural	建筑学的
architectural	建筑学
flecker	雀斑
flecker	斑点
acardiac	无心畸形的
acardiac	无心畸形
lodgeable	适合居住的
lodgeable	适合居住
lodgeable	可寄宿的
lodgeable	可寄宿
echocardiography	心回波描记术
echocardiography	超声波心动描记术
hoarding	贮藏
hoarding	积蓄
hoarding	临时围墙
hoarding	囤积
older	年长的
older	年长
tripodal	有三脚的
tripodal	有三脚
tripodal	三脚架的
tripodal	三脚架
holotypic	正模标本的
holotypic	正模标本
continuable	可持续的
continuable	可持续
appetence	本能
appetence	倾向
brazenly	厚脸皮地
brazenly	厚脸皮
akvabit	北欧所产的一种酒
mindon	精神信息粒子
mindon	心灵感应粒子
paramnesia	记忆错误
paramnesia	错构症
antemundane	世界形成以前的
antemundane	世界形成以前
jockette	女骑师
entomology	昆虫学
masonry	石工术
masonry	石匠职业
uncivil	粗野的
uncivil	粗野
uncivil	不文明的
uncivil	不文明
uncivil	失礼的
uncivil	失礼
graser	γ射线激光器
impiety	不尊敬
impiety	无信仰
impiety	不虔诚
mel	蜂蜜
transfect	使转染
transfect	使感染病毒核酸
casework	生活环境调查
orcadian	英国奥尼克郡
orcadian	群岛的
orcadian	群岛
battue	用驱赶方法狩猎
battue	大量捕杀
battue	大屠杀
accustom	使习惯于
discrepancy	相差
discrepancy	差异
discrepancy	矛盾
plop	扑通声
plop	坠落
plop	扑通一声地
plop	扑通一声
plop	使掉下
plop	扑通落下
autobiographic	自传的
autobiographic	自传
autobiographic	自碼l/C:tEJbaIE5^rA降
autobiographic	自传作家的//fIkl/
autobiographic	自传的
autobiographic	自传
autobiographic	自传体的
autobiographic	自传体
autobiographic	自传作家的
autobiographic	自传作家
oxbow	牛轭U字形部分
oxbow	U字形弯曲
oxbow	呈U字形弯曲的
oxbow	呈U字形弯曲
ferreous	铁的
ferreous	铁
ferreous	含铁的
ferreous	含铁
ferreous	硬如铁的
ferreous	硬如铁
vinify	酿造
vinify	用……酿酒
richwin	四通利方汉字系统
washtub	洗衣盆
work	工作
work	劳动
work	操作
work	职业
work	功
work	手工
work	作品
work	机件
work	渐渐移动
work	煅制
thrust	插
thrust	戳
thrust	刺
thrust	推力
thrust	猛推
thrust	口头攻击
thrust	力推
thrust	冲
thrust	插入
thrust	挤进
thrust	刺
thrust	戳
thrust	强加
thrust	延伸
thrust	插入
thrust	刺
thrust	戳
thrust	延伸
thrust	强行推进
clothesman	旧衣商
allometry	异速生长
shrill	尖声的
shrill	尖声
pyrotechnics	烟火制造术
pyrotechnics	烟火使用
condottiere	佣兵队长
condottiere	雇佣兵
strata	stratum
strata	的复数
biracial	代表两种人种的
biracial	代表两种人种
unshrinking	不收缩的
unshrinking	不收缩
unshrinking	坚定的
unshrinking	坚定
railing	栏杆
railing	扶手
bes	喜神贝斯
beset	困扰
fabulosity	传说性质
fabulosity	非现实性
fabulosity	无稽
fabulosity	惊人
meterstick	米尺
nottinghamshire	诺丁汉郡
sighthole	观察孔
sighthole	检查孔
sighthole	窥视孔
zincotype	锌版
zincotype	锌版画
freckly	多雀斑的
freckly	多雀斑
cabaletta	卡巴列塔
dnestr	=Dniester
unpolarized	非偏振的
unpolarized	非偏振
unpolarized	不分化的
unpolarized	不分化
subversal	=subversion
banka	=Bangka
unforgettable	忘不了的
unforgettable	忘不了
unforgettable	令人难忘的
unforgettable	令人难忘
glottalize	把声门化
mutualise	=mutualize
selenium	硒
rowanberry	花楸浆果
pyrethroid	拟除虫菊酯
pyrethroid	合成除虫菊酯
latex	乳汁
latex	乳胶
latex	橡胶
yegg	抢劫金库者
yegg	强盗
thumbnail	拇指甲
thumbnail	极小的东西
thumbnail	极小的
thumbnail	极小
thumbnail	极短的
thumbnail	极短
instancy	紧急
instancy	迫切
unshed	未流出的
unshed	未流出
unshed	未吐露的
unshed	未吐露
ratch	棘齿
abject	卑鄙的
abject	卑鄙
abject	可怜的
abject	可怜
giver	送礼者
inertially	借助地
inertially	借助
sweetener	甜料
sweetener	甜味佐料
assets	资产
grasp	抓住
grasp	抓紧
grasp	掌握
grasp	领会
grasp	抓住
grasp	抓紧
grasp	掌握
grasp	领会
unyieldingly	不屈服地
unyieldingly	不屈服
unyieldingly	坚硬地
unyieldingly	坚硬
miniver	白鼬毛皮
miniver	白鼬
tarras	=trass
havel	哈弗尔河
mealworm	生于谷类
mealworm	面粉中的甲虫之幼虫
curr	咕咕叫
curr	发咕咕声
cockish	傲慢的
cockish	傲慢
cockish	自负的
cockish	自负
overflight	飞越领空
passible	易动情的
passible	易动情
lutrine	水獭的
lutrine	水獭
lutrine	象水獭的
lutrine	象水獭
garnet	石榴石
garnet	深红色
hetairism	=hetaerism
paludrine	百乐君
unseconded	无人后援的
unseconded	无人后援
claimsman	意外险的调查员
embryology	胚胎学
quatorze	(两人对玩的皮克牌戏
fructan	果聚糖
bulgaria	保加利亚
ovr	改写
uaa	United
uaa	Arab
uaa	Airlines
uaa	阿拉伯航空
microfolio	微型文件夹
tundzha	登萨河
forever	永远
forever	永恒
forever	永久
forever	常常
forever	始终
lakeport	湖畔港埠
dispersedly	分散地
dispersedly	分散
dispersedly	散乱地
dispersedly	散乱
dispersedly	散开地
dispersedly	散开
clericalism	教权主义
clericalism	任圣职者不正常的政治势力
tranquility	宁静
ichthyography	鱼类学
muriphobia	鼠科学
mononucleated	单核的
mononucleated	单核
proteus	希腊海神
proteus	多变的人
unifacial	单面精细加工的
unifacial	单面精细加工
lambdology	λ噬菌体学
fifth	第五的
fifth	第五
nominee	被提名的人
nominee	被任命者
