balalaika	俄式三弦琴
overwhelming	压倒性的
overwhelming	压倒性
overwhelming	无法抵抗的
overwhelming	无法抵抗
preincline	使预先有倾向
preincline	使预先有准备
elsewhere	在别处
cutlas	短剑
cutlas	弯刀
emmy	艾美奖
pole	棒
pole	柱
pole	杆
pole	竿
pole	极
pole	磁极
pole	电极
pole	用竿支撑
pole	用棒推
pole	撑篙
pole	Pole
pole	波兰人
kazatsky	哥萨克舞
devitalization	夺去生命
devitalization	丧失活力
theanthropism	神人一体说
theanthropism	基督的神人两性说
canine	犬齿
canine	犬的
canine	犬
canine	似犬的
canine	似犬
canine	犬科的
canine	犬科
canine	犬齿的
canine	犬齿
homonym	同音异义字
homonym	同名异物
sacrum	荐骨
sacrum	骶骨
fittingly	适切地
fittingly	适切
fittingly	适合地
fittingly	适合
prodromal	前驱的
prodromal	前驱
prodromal	有前驱症状的
prodromal	有前驱症状
nonaligned	不结盟的
nonaligned	不结盟
compart	分隔
valuative	评价的
valuative	评价
chthonian	阴间的
chthonian	阴间
chthonian	冥府的
chthonian	冥府
corroborate	使坚固
corroborate	确证
circumscription	界限
glassily	玻璃似地
glassily	玻璃似
cispadane	在波河这边
cispadane	位于波河南边的
cispadane	位于波河南边
galatians	迦拉太书
preadolescent	青春期前的
preadolescent	青春期前
arethusa	兰科植物
arethusa	水神
avigation	航空
avigation	航空术
kelland	凯兰
phasic	形势的
phasic	形势
phasic	相位的
phasic	相位
feeb	蠢货
feeb	笨蛋
feeb	低能者
metasomatism	交代
ual	United
ual	Air
ual	Lines
ual	联合航空公司
antagonism	对抗
antagonism	对抗性
ruin	废墟
ruin	遗迹
semiconic	半圆锥形的
semiconic	半圆锥形
railer	斥责者
railer	骂人者
woodworker	木工
indubitably	无疑地
indubitably	无疑
indubitably	确实地
indubitably	确实
macrography	大形书写
macrography	肉眼检查
borehole	地上凿洞
disomic	二体的
disomic	二体
disomic	二体生物
pulka	船型雪橇
elbowroom	活动之空间
elbowroom	行动自由
trendiness	时髦
trendiness	时新
papermaking	造纸
papermaking	造纸业
papermaking	造纸学
thorite	钍矿
thorite	硅酸钍矿
lunule	半月形的东西
drivepipe	套管
superoxide	过氧化物
superoxide	超氧化物
diener	医学院实验室助手
grayly	灰灰地
grayly	灰灰
strenuosity	费力
strenuosity	艰辛
parroquet	长尾小鹦鹉
reverberator	反射器
holloa	=hollo
vagi	vagus的复数
pygal	臀的
pygal	臀
pygal	臀部
arrangement	排列
arrangement	安排
chapstick	无色唇膏
knowing	会意的
knowing	会意
knowing	心照不宣的
knowing	心照不宣
knowing	聪颖的
knowing	聪颖
knowing	精明的
knowing	精明
knowing	世故的
knowing	世故
knowing	狡猾的
knowing	狡猾
corrasion	侵蚀
stability	稳定性
deuxchevaux	廉价的微型汽车
unlet	未出租的
unlet	未出租
obituarist	写死亡新闻或略传的记者
carnification	肉质化
grenadine	薄布料的一种
grenadine	糖浆的一种
cere	蜡膜
cere	蜡
cere	以蜡膜包
aerodynamic	空气动力学的
