mis	管理情报系统
crenelate	使成钝锯齿形
zek	犯人
stanchion	支柱
stanchion	用支柱支撑
thief	小偷
thief	贼
judiciary	司法的
judiciary	司法
judiciary	法院的
judiciary	法院
judiciary	司法部
judiciary	司法官
judiciary	审判员
untying	untie的现在分词
zoophile	动物爱护者
zoophile	适于动物传粉的植物
despiteful	故意为难的
despiteful	故意为难
despiteful	有恶意的
despiteful	有恶意
answerable	有责任的
answerable	有责任
answerable	应负责的
answerable	应负责
answerable	可回答的
answerable	可回答
answerable	可答覆的
answerable	可答覆
galvanotaxis	趋电性
bolson	沙漠盆地
bolson	沙漠盆
bolson	封闭盆地
bolson	封闭盆
usn	United
usn	States
usn	Navy
usn	美国海军
frigaround	虚度光阴
rampantly	粗暴地
rampantly	粗暴
rampantly	猖獗的
rampantly	猖獗
traintime	火车离站时刻表
alf	阿尔夫
cytogenetically	细胞遗传学地
cytogenetically	细胞遗传学
execration	诅咒
execration	念咒
execration	憎恶
photopolarimeter	照相偏振测量仪
arthropathy	关节病
carious	龋的
carious	龋
carious	骨溃疡的
carious	骨溃疡
carious	腐烂的
carious	腐烂
botan	botanical
meathead	笨蛋
meathead	傻瓜
firestorm	大爆发
dashing	活跃的
dashing	活跃
dashing	浮华的
dashing	浮华
bewilder	使迷惑
bewilder	使不知所措
bewilder	使昏乱
remold	改造
remold	改铸
fasciculate	丛生的
fasciculate	丛生
fasciculate	簇生的
fasciculate	簇生
quezal	=quetzal
pipkin	小瓦罐
pipkin	小汲桶
quadruped	四足动物
overkill	过度的杀伤威力
overkill	过度地杀伤
centralism	中央集权制
swanee	斯旺尼河
truetype	微软和Apple公司共同研制的字型标准
euclase	蓝柱石
squadsman	班的一员
kistvaen	石棺
kistvaen	石墓
dialogism	对话
dialogism	对白
chimborazo	钦博腊索山
mesocratic	中色的
mesocratic	中色
twyfold	=twifold
food	食物
food	养料
gregory	男子名
gregory	古代罗马教皇之名
forestation	造林
dark	黑暗
dark	夜
dark	黄昏
dark	暗色
dark	无知
dark	模糊
dark	黑暗的
dark	黑暗
dark	暗的
dark	暗
dark	黑色的
dark	黑色
dark	隐秘的
dark	隐秘
dark	无知的
dark	无知
dark	隐晦的
dark	隐晦
dark	模糊的
dark	模糊
gynostemium	合蕊柱
conductive	传导的
conductive	传导
nautilite	鹦鹉螺的化石
cenote	沼穴
cenote	洞状陷穴
helix	螺旋
helix	螺旋状物
helix	耳轮
additivity	添加
additivity	添加性
tetraphyllous	四叶的
tetraphyllous	四叶
graybeard	胡须半白的老人
graybeard	老人
shinar	希纳尔
pleasantry	幽默
pleasantry	开玩笑
redeveloper	恢复经济发展
redeveloper	重点恢复
septuplet	同样的七个东西组成之一组
septuplet	七胞胎中之一个
submergence	浸没
submergence	淹没
submergence	潜航
submergence	潜水
salivary	唾液的
salivary	唾液
salivary	分泌唾液的
salivary	分泌唾液
uninvestigated	未予调查的
uninvestigated	未予调查
uninvestigated	未作调查研究的
uninvestigated	未作调查研究
asymmetry	不对称
flanken	后腹肉牛排
nylghai	印度大羚羊
lucidness	清澄
lucidness	透明
sightseeing	观光
eutexia	易熔性
agronomic	农艺学的
agronomic	农艺学
agronomic	农事的
agronomic	农事
benefactress	女施主
benefactress	女恩人
excellence	优秀
excellence	卓越
excellence	优点
excellence	美德
fight	打架
fight	战斗
fight	斗志
fight	打仗
fight	搏斗
fight	对抗
fight	打架
fight	与……打仗
fight	指挥战斗
fight	反对……提案
afflatus	一阵风
afflatus	灵感
afflatus	神的启示
tomentum	绒毛
tomentum	软脑膜的毛状内层
dram	打兰
dram	一杯
dram	微量
dram	Dynamic
dram	Random
dram	Access
dram	Memory
dram	动态随机存储器
rowdy	粗暴而又好争吵的人
rowdy	吵嚷者
rowdy	小流氓
rowdy	吵闹的
rowdy	吵闹
rowdy	粗暴的
rowdy	粗暴
nonvanishing	非零的
nonvanishing	非零
sacrality	神圣的品德
potentiate	加强
aerotrack	飞机场
mesomorphous	介晶的
mesomorphous	介晶
paraphysics	精神物理学
paraphysics	诡异物理学
hijacker	强盗
hijacker	劫盗
hijacker	劫持犯
woodworm	木蛀虫
vr	Virtual
vr	Reality
vr	虚拟现实
surveil	使受监视
maymyo	眉苗
casuistic	决疑的
casuistic	决疑
casuistic	诡辩的
casuistic	诡辩
monophase	单相的
monophase	单相
heliolithic	立巨碑崇拜太阳的
heliolithic	立巨碑崇拜太阳
comanagement	共同经营
narcomaniac	麻醉药狂者
cravenette	一种防水布雨衣
cravenette	施防水处理于……
clasmatocyte	=histiocyte
hydrosulfite	次硫酸盐
hydrosulfite	次硫酸纳
addressograph	印名片机
addressograph	邮件地址印刷机
karnaphuli	卡纳普里河
sapotaceous	山榄科的
sapotaceous	山榄科
sybarite	纵情逸乐之徒
esu	electrostatic
esu	unit
astrographic	天体照像仪的
astrographic	天体照像仪
astrographic	天文定器的
astrographic	天文定器
pot	罐
pot	壶
pot	罐装
untrusty	不可信赖的
untrusty	不可信赖
untrusty	不可靠的
untrusty	不可靠
untrusty	不能信任的
untrusty	不能信任
untrusty	不忠的
untrusty	不忠
pricky	=prickly
numeraire	货币兑换率计价标准
numeraire	货币汇率本位
numeraire	记账单位
decurrent	下延的
decurrent	下延
cete	一群獾
huzzy	=hussy
amphimacer	扬抑扬格
amphimacer	长短长格
acth	adrenocorticotropic
acth	hormone
antiquark	反夸克
heterophile	异嗜性的
heterophile	异嗜性
heterophile	异染性的
heterophile	异染性
mechanisation	机械化
circumspect	慎重的
circumspect	慎重
circumspect	周到的
circumspect	周到
abashment	羞愧
abashment	害臊
anthem	圣歌
anthem	赞美诗
riga	里加
riga	里加湾
viability	生存能力
viability	发育能力
geneticist	遗传学者
borer	钻孔者
borer	钻孔器
borer	钻孔的虫
keratosis	角化症
preinvasive	侵袭前的
preinvasive	侵袭前
preinvasive	蔓延前的
preinvasive	蔓延前
paginary	=paginal
rubaboo	干肉饼汤
ratline	横索的梯绳
zygodactyl	攀木类鸟
zygodactyl	对生趾的
zygodactyl	对生趾
zygodactyl	脚掌前后有双趾的
zygodactyl	脚掌前后有双趾
viaticum	旅费
viaticum	临终的圣餐
shortlist	供最后挑选用的候选人名单
sparkless	不发出闪光的
sparkless	不发出闪光
sparkless	不发出火花的
sparkless	不发出火花
irritated	恼怒的
irritated	恼怒
irritated	生气的
irritated	生气
contactee	被接触者
retool	将机械重新整备
retool	重组
brickmason	砌砖工人
brickmason	泥水匠
gild	镀金
anodyne	止痛剂
anodyne	镇痛剂
anodyne	止痛的
anodyne	止痛
algernon	阿尔杰农
daggle	拖曳
daggle	拖脏
daggle	使肮脏
giftwrapping	礼品用的包装材料
curiae	中世纪法庭
tint	色彩
stannite	黝锡矿
acquitment	释放
acquitment	开释
cappuccino	热牛奶咖啡
problematique	相互关联的问题群
turndown	翻下的
turndown	翻下
turndown	翻折的
turndown	翻折
turndown	拒绝
turndown	谢绝
turndown	低落
turndown	可翻下部分
sequestral	死骨的
sequestral	死骨
blackthorn	李树的一种
blackthorn	李木手杖
disproportional	不相称
valonia	一种斛果的壳子
isogram	等值线
majuscule	大写字母
aquiclude	含水土层
electrorefining	电精炼
tract	广阔的地面
tract	土地
tract	土
tract	地方
tract	地域
tract	管道
tract	小册子
cresset	灯号
cresset	标灯
inhomogeneous	不同类的
inhomogeneous	不同类
inhomogeneous	不同族的
inhomogeneous	不同族
inhomogeneous	不均一的
inhomogeneous	不均一
inhomogeneous	异成分的
inhomogeneous	异成分
aminopyrine	一种无色透明化合物
aminopyrine	氨基比林
senescence	老朽
senescence	衰老
impalpable	感触不到的
impalpable	感触不到
impalpable	摸不到的
impalpable	摸不到
impalpable	难解的
impalpable	难解
bikky	=bicky
emetatrophia	吐瘦
valorize	规定价格
valorize	稳定物价
largeish	颇大的
largeish	颇大
largeish	稍大的
largeish	稍大
elastoplastic	弹性塑料
rhabdomyoma	横纹肌瘤
aerothermoacoustics	气热声学
hypersthenic	紫苏辉石的
hypersthenic	紫苏辉石
tribunitial	保民官的
tribunitial	保民官
tribunitial	保民官职位的
tribunitial	保民官职位
tribunitial	像保民官的
tribunitial	像保民官
sudarium	有耶稣像的手帕
archetype	原型
audiotypist	录音打字员
duckfooted	后趾向前的
duckfooted	后趾向前
noetic	智力的
noetic	智力
noetic	抽象的
noetic	抽象
noetic	知识分子
noetic	纯粹理性论
rambutan	红毛丹树
rambutan	红毛丹果
norad	North
norad	American
norad	Air
norad	Defense
norad	Command
norad	北美防空联合司令部
predorsal	背前区的
predorsal	背前区
agape	张口发呆地
agape	张口发呆
agape	目瞪口呆地
agape	目瞪口呆
main	主要部分
main	体力
main	力量
main	大陆
main	要点
main	干线
main	主要的
main	主要
main	重要的
main	重要
main	全力的
main	全力
main	主群组
slv	satellite
slv	launch
slv	vehicle
slv	卫星运载火箭
plastic	塑胶
plastic	可塑体
plastic	塑料制品
plastic	整形
plastic	塑胶的
plastic	塑胶
plastic	塑造的
plastic	塑造
plastic	有可塑性的
plastic	有可塑性
plastic	造形的
plastic	造形
plastic	整形的
plastic	整形
coccidium	双孢子球虫
coccidium	二联等孢子球虫
diesis	双剑符号
skylarking	嬉戏
skylarking	欢笑
lest	唯恐
lest	以免
lest	免得
lest	免
postmistress	女性邮局局长
cork	软木塞
cork	软木
cork	塞住
extermination	消灭
extermination	根绝
bubbleheaded	傻乎乎的
bubbleheaded	傻乎乎
bubbleheaded	蠢的
bubbleheaded	蠢
enthusiastically	热心地
enthusiastically	热心
enthusiastically	狂热地
enthusiastically	狂热
malleability	有延展性
malleability	柔韧性
malleability	柔顺
isolatable	=isolable
snaggy	有暗桩的
snaggy	有暗桩
expedience	方便
expedience	私利
expedience	权宜
meretrix	娼妓
rima	细长之口
rima	裂缝
icsh	interstitial
icsh	cell
icsh	stimulating
icsh	hormone
cheeky	厚颜无耻的
cheeky	厚颜无耻
fiveshooter	左轮枪
decommitment	解除承诺
decommitment	背弃义务
shook	shake的过去式
conidium	无性孢子
conidium	分生孢子
orebody	矿体
turnbuckle	螺丝扣
turnbuckle	套筒螺母
weeper	哭泣者
astrocytoma	星细胞瘤
caloric	热量
caloric	热量的
caloric	热量
shibilant	咝音的
shibilant	咝音
extratropical	热带以外的
extratropical	热带以外
extratropical	发现于较高纬度地带的
extratropical	发现于较高纬度地带
parotoid	似腮腺的
parotoid	似腮腺
homoerotic	同性恋的
homoerotic	同性恋
mucluc	=muckluck
intuitionistic	直觉的
intuitionistic	直觉
intuitionistic	直观的
intuitionistic	直观
