presidiary	驻防
endurance	忍耐
mithril	虚构的贵金属
septennium	七年期
homochromatism	单色
afforcement	加强阵容
concetto	矫揉造作的文体
headwaiter	服务生领班
deathplace	死亡地
deathplace	死亡
deathplace	临终之地
deathplace	临终之
peritonealize	用腹膜覆盖
peritonealize	使腹膜化
snowpack	积雪场
tayra	白头鼬
starfish	海星
carpetbagger	美国内战后利用南方不定局势谋利的人
anelasticity	滞弹性
calkage	塞船板隙缝用的材料
epinasty	偏上性
tgv	Train
tgv	a
tgv	Grande
tgv	Vitesse
tgv	巴黎
tgv	里昂间高速火车
peroxyborate	过硼酸盐
denticulate	有小齿状突的
denticulate	有小齿状突
denticulate	齿状的
denticulate	齿状
concerning	关于
ixodid	硬蜱
peritoneal	腹膜的
peritoneal	腹膜
refractile	折射的
refractile	折射
refractile	能折射的
refractile	能折射
refractile	有折射力的
refractile	有折射力
overcolour	着色过浓
overcolour	过份润色
herakleion	=Iraklion
silicic	硅的
silicic	硅
armenian	亚美尼亚的
armenian	亚美尼亚
armenian	亚美尼亚人的
armenian	亚美尼亚人
armenian	亚美尼亚人
armenian	亚美尼亚语
collimate	校准
adrenalize	刺激
adrenalize	使兴奋
adrenalize	使激动
anticlockwise	逆时针的
anticlockwise	逆时针
cs	铯
zuidholland	=South
zuidholland	Holland
grading	等级
grading	坡度缓和
grading	分阶段
oolith	鲕粒
negotiability	可磋商性
negotiability	可转让性
negotiability	流通性
prohibitory	禁止的
prohibitory	禁止
prohibitory	很昂贵的
prohibitory	很昂贵
oxtail	牛尾
unequivocable	毫不含糊的
unequivocable	毫不含糊
unequivocable	清楚明白的
unequivocable	清楚明白
unequivocable	明确的
unequivocable	明确
bessarabian	比萨拉比亚的
bessarabian	比萨拉比亚
bessarabian	比萨拉比亚人的
bessarabian	比萨拉比亚人
zeugma	轭式修饰法
ministrable	适合的
ministrable	适合
misplacement	误放
misplacement	遗忘
bebop	爵士音乐的一种
glut	充斥
noisily	吵闹地
noisily	吵闹
photorealism	照相现实主义
photorealism	超级现实主义
vrm	CPU电压调节组件
anaemic	贫血的
anaemic	贫血
anaemic	患贫血症的
anaemic	患贫血症
xanthosis	黄肤症
xanthosis	黄变病
classwork	在教室做的功课
classwork	老师与学生一起在教室做的功课
judicatory	审判的
judicatory	审判
judicatory	审判制度
argol	粗酒石
ankle	踝
episiotomy	外阴切开术
antidromic	逆行的
antidromic	逆行
antidromic	逆向的
antidromic	逆向
conquistador	西班牙征服者
conquistador	征服者
pecksniff	式的
pecksniff	式
pecksniff	伪善人
mainour	在盗贼身上搜到的赃物
royster	=roister
prankster	顽皮的人
prankster	爱开玩笑的人
trifid	三裂的
trifid	三裂
punctulated	有小点的
punctulated	有小点
punctulated	有细孔的
punctulated	有细孔
punctulated	有凹陷的
punctulated	有凹陷
flavobacterium	黄质菌属
flavobacterium	产黄菌属
dehydroisoandrosterone	脱氢异雄酮
cerecloth	蜡布
cerecloth	裹尸布
rusa	黑鹿
motionless	不动的
motionless	不动
motionless	静止的
motionless	静止
karl	卡尔
dissentient	不赞成的
dissentient	不赞成
dissentient	反对的
dissentient	反对
dissentient	反对
dissentient	不赞成
summary	摘要
summary	概要
vespertilionine	蝙蝠科的
vespertilionine	蝙蝠科
ostracism	贝壳放逐法
ostracism	放逐
ostracism	排斥
eleatic	埃里亚人
eleatic	埃里亚派之信徒
eleatic	埃里亚的
eleatic	埃里亚
dimethylmethane	二甲基甲烷
dimethylmethane	丙烷
foldboater	折叠式舟艇驾驶者
hexerei	巫术
framing	取景
exculpation	使无罪
exculpation	辩解
correspondency	符合
correspondency	一致
cephalochordate	头索动物
cephalochordate	头索动物的
cephalochordate	头索动物
hesper	金星
hesper	黄昏星
tannery	制革厂
tannery	硝皮厂
panini	帕尼尼
peepul	=pipal
cydonia	为Canea之古名
periselene	=perilune
esthonia	爱沙尼亚
rescinnamine	萝芙木碱
rescinnamine	抗高血压剂
tooth	牙齿
conroy	康罗伊
unversed	不精通的
unversed	不精通
unversed	不熟练的
unversed	不熟练
unversed	无知的
unversed	无知
unversed	无经验的
unversed	无经验
albumenize	涂蛋白于
confinement	禁闭
confinement	产期
confinement	分娩
varimax	最大方差法
dissatisfy	使感觉不满
dissatisfy	不满足
olive	橄榄树
olive	橄榄叶
olive	橄榄枝
olive	橄榄色
olive	Olive
olive	奥利夫
strumae	瘤状突起
strumae	小节叶
puff	一阵喷烟
puff	肿块
puff	蓬松
puff	吹嘘
puff	宣传广告
puff	喷出
puff	张开
puff	夸张
puff	骄傲
puff	喘息
puff	鼓吹
puff	吹捧
polimetrician	计量政治学者
numidian	努米底亚的
numidian	努米底亚
foziness	肥胖
foziness	愚笨
schizophyte	裂植植物
biome	生物群系
amiantus	石棉的一种
amiantus	石绒
filipino	菲律宾人
nauch	=nautch
longing	渴望
memoir	论文集
referendary	审查官
referendary	谘询官
listenable	值得一听的
listenable	值得一听
jounce	颠簸
jounce	颠簸
califate	伊斯兰教国王的地位
theremin	泰勒明电子琴
somber	阴森的
somber	阴森
somber	昏暗的
somber	昏暗
somber	阴天的
somber	阴天
somber	忧郁的
somber	忧郁
such	这样的
such	这样
such	这种
such	某一
such	pro
such	这样的人或物
keybutton	键钮
basined	为盆地所围绕的
basined	为盆地所围绕
basined	位于盆地的
basined	位于盆
negatively	否定地
negatively	否定
negatively	消极地
negatively	消极
uncreated	自存的
uncreated	自存
uncreated	未创造的
uncreated	未创造
uncreated	尚未产生的
uncreated	尚未产生
rarefy	稀薄
dietitian	营养学家
dietitian	营养学家
patientless	无病人的
patientless	无病人
brightly	明亮地
brightly	明亮
vinny	文尼
cytomegalic	巨细胞的
cytomegalic	巨细胞
silverless	无银的
silverless	无银
