advisee	受教授指导选课的学生
leptocephalic	颅骨窄小的
leptocephalic	颅骨窄小
sleepy	困乏的
sleepy	困乏
sleepy	欲睡的
sleepy	欲睡
pseudomyopia	假性近视
burglarize	夜盗
burglarize	行窃
hierarchize	按级别排列
hierarchize	按等级排列
canal	运河
canal	小道
canal	导管
canal	槽
canal	沟渠
canal	开运河
magnifical	庄严的
magnifical	庄严
magnifical	崇高的
magnifical	崇高
skilled	熟练的
skilled	熟练
bailout	跳伞
bailout	将优先股发给股东作为红利之行为
bailout	救援行动的
bailout	救援行动
semitonic	半音的
semitonic	半音
syntone	精神和谐者
syntone	人格完整者
rosalie	罗莎莉
douse	插入水中
douse	把弄熄
douse	弄湿
douse	放松
douse	浸泡
douse	泼洒
inelegancy	不雅
inelegancy	粗俗
glutinous	粘性的
glutinous	粘性
vituperatory	=vituperative
nonprovided	不靠地方教育当局供给经费的
nonprovided	不靠地方教育当局供给经费
gnash	咬牙切齿
gnash	咬
agouti	刺豚鼠
agouti	刺豚鼠皮毛上的深浅环纹
stylohyoid	茎突舌骨的
stylohyoid	茎突舌骨
stylohyoid	颞骨与舌骨茎突的
stylohyoid	颞骨与舌骨茎突
militarily	以武力
militarily	以军事行动
ensky	耸入天空
ensky	把……捧上天
canaanitic	=Canaanitish
preservation	保存
stabilization	稳定性
hermaphroditic	两性的
hermaphroditic	两性
hermaphroditic	雌雄同体的
hermaphroditic	雌雄同体
bean	豆
bean	豆形果实
lawnmower	剪草机
happy	快乐的
happy	快乐
happy	幸福的
happy	幸福
happy	陶醉于……的
happy	陶醉于……
happy	恰当的
happy	恰当
wanton	荒唐的
wanton	荒唐
wanton	嬉戏的
wanton	嬉戏
wanton	繁茂的
wanton	繁茂
wanton	肆意的
wanton	肆意
wanton	不道德的
wanton	不道德
wanton	不贞洁的
wanton	不贞洁
wanton	荡妇
wanton	水性杨花的女人
wanton	嬉戏
wanton	闲荡
wanton	放肆
wanton	挥霍
contrivable	可发明的
contrivable	可发明
contrivable	设计的
contrivable	设计
proprietariat	有产阶级
surreptitiously	秘密地
surreptitiously	秘密
hosea	希伯来的先知
hosea	何西阿书
junto	政治集团
blackpoll	黑顶白颊林莺
enthusiast	热心家
enthusiast	狂热者
protoxylem	原生木质部
euphausiacean	磷虾目浮游甲壳动物
curioso	美术品爱好者
code	代码
code	代号
code	密码
code	编码
code	编码
dilacerate	撕开
dilacerate	撕毁
fogged	有灰雾的
fogged	有灰雾
fogged	不清晰的
fogged	不清晰
annotator	注解者
flamy	火焰似的
flamy	火焰似
flamy	熊熊的
flamy	熊熊
ideal	理想
ideal	理想的
ideal	理想
ideal	完美的
ideal	完美
ideal	想象的
ideal	想象
ideal	观念的
ideal	观念
ideal	唯心论的
ideal	唯心论
mold	模子
mold	铸型
mold	浇铸
mold	塑造
kink	纽绞
placebo	为死者所诵的晚祷词
placebo	安慰剂
unshared	不分享的
unshared	不分享
unshared	独享的
unshared	独享
unshared	不分担的
unshared	不分担
unshared	不共同参与的
unshared	不共同参与
adminicular	补充的
adminicular	补充
adminicular	辅助的
adminicular	辅助
ddd	数据字典目录
ddd	长途直拨
subincandescent	近炽热的
subincandescent	近炽热
niihama	新居滨
cariogenic	生龋齿的
cariogenic	生龋齿
appendectomy	阑尾切除术
corticous	皮层的
corticous	皮层
corticous	有表皮的
corticous	有表皮
rheumaticky	为风湿症所苦的
rheumaticky	为风湿症所苦
aircraftsman	空军士兵
aircraftsman	空军新兵
less	较少
less	较小
less	少的
less	少
less	小的
less	小
less	较少地
less	较少
less	更小地
less	更小
less	不及
less	减去
citizenhood	公民身份
uncus	爪形突
lockmaking	制锁
assignee	受让人
assignee	代理人
assignee	受托人
assignee	分配到任务的人
villosity	绒毛
villosity	绒毛面
villosity	绒毛丛
adjective	形容词
tribunicial	=tribunitial
gent	绅士
gent	假绅士
gent	男厕
pastel	彩色蜡笔
pastel	彩色蜡笔画
pastel	彩色蜡笔的
pastel	彩色蜡笔
pastel	柔和的
pastel	柔和
drapery	织物
drapery	帏帐
drapery	布料
chalcenteric	铁石心肠的
chalcenteric	铁石心肠
chalcenteric	坚强的
chalcenteric	坚强
chalcenteric	铜筋铁骨的
chalcenteric	铜筋铁骨
lathyrism	山黧豆中毒
initiatrix	女创始者
initiatrix	女传授者
undercutter	擦伤
dermatologic	皮肤病学的
dermatologic	皮肤病学
contortive	扭歪的
contortive	扭歪
contortive	曲解的
contortive	曲解
impacted	压紧的
impacted	压紧
impacted	结实的
impacted	结实
defenseless	无防备的
defenseless	无防备
eutychianus	优迪基安努斯
jeanine	珍宁
mangostin	倒捻子素
gracias	谢谢
ecdyses	ecdysis的复数
stupend	=stupendous
inflict	造成
trinocular	三目的
trinocular	三目
tachyon	超光速粒子
northward	向北
northward	向北的
northward	向北
univariate	单变量的
univariate	单变量
univariate	单变的
univariate	单变
metallurgy	冶金
metallurgy	冶金术
acouasm	幻听
acouasm	幻觉
gimmie	=gimme
potato	马铃薯
meandering	蜿蜒的河流
meandering	漫步
meandering	聊天
meandering	蜿蜒的
meandering	蜿蜒
meandering	漫步的
meandering	漫步
meandering	聊天的
meandering	聊天
orestes	俄瑞斯忒斯
calcification	石灰化
hydroxyphenyl	羟苯基
mantle	斗蓬
mantle	覆盖物
mantle	壁炉架
mantle	披风
mantle	覆盖
major	大调
major	主修的
major	主修
major	成年的
major	成年
major	大调的
major	大调
major	主修
as	同样地
as	同样
as	被看作
as	象
as	当做
as	与……一样
as	当……之时
as	象
as	因为
as	Air
as	to
as	Surface
as	空对地
as	空对
sheen	光辉
sheen	闪光
sheen	发出光彩
meacock	懦夫
meacock	脂粉气的男子
recapitulative	概括性的
recapitulative	概括性
recapitulative	着重阐述要点的
recapitulative	着重阐述要点
staghound	狩鹿用猎犬
cacoethes	恶癖
cacoethes	难抑制的欲望
unlonely	不孤独的
unlonely	不孤独
unlonely	不寂寞的
unlonely	不寂寞
swellmobsman	衣着讲究的小偷
swellmobsman	扒手或骗子
paraguay	巴拉圭
paraguay	巴拉圭茶
paralipsis	假省笔法
mester	主人
mester	老爷
unceasing	不断的
unceasing	不断
unceasing	不停的
unceasing	不停
acquiescence	默许
toreutics	金属细工
kuban	库班河
casablanca	卡萨布兰卡(即达尔贝达
punctiform	点的
punctiform	点
tourcoing	图尔昆
excide	切开
funest	凶恶的
funest	凶恶
funest	致命的
funest	致命
cloven	分裂的
cloven	分裂
cloven	裂开的
cloven	裂开
aleksandropol	亚历山德罗波尔
disbursable	可支出的
disbursable	可支出
homotaxic	排列相似的
homotaxic	排列相似
homotaxic	不同时代化石之排列相似的
homotaxic	不同时代化石之排列相似
trivialist	对琐事感兴趣者
trivialist	婆婆妈妈的人
dividing	区分的
dividing	区分
dividing	分划的
dividing	分划
wiper	擦拭者
wiper	手帕
kgr	kilograin
crampfish	电鱼
pleiotropism	基因多效性
pleiotropism	多向性
pute	单纯的
pute	单纯
sanguimotor	血液循环的
sanguimotor	血液循环
bulldiker	女子同性恋中充当男角者
bulldiker	女相公
talkatively	爱说话地
talkatively	爱说话
talkatively	饶舌地
talkatively	饶舌
sudetes	苏台德山脉
officialdom	官场
officialdom	官僚作风
desudation	出汗过多
initiatory	开始的
initiatory	开始
initiatory	创始的
initiatory	创始
initiatory	入会的
initiatory	入会
initiatory	入社的
