varioloid	假性天花
ppfa	Planned
ppfa	Parenthood
ppfa	Federation
ppfa	of
ppfa	America美国计划生育联合会
pilar	毛发的
pilar	毛发
galax	加莱克斯草
disservice	伤害
disservice	虐待
disservice	不亲切的行为
cribo	森王蛇
arguable	可辩论的
arguable	可辩论
arguable	可论证的
arguable	可论证
zingy	愉快而激动的
zingy	愉快而激动
zingy	非常漂亮的
zingy	非常漂亮
zingy	极吸引人的
zingy	极吸引人
venisection	=venesection
lil	小的
lil	小
slothful	偷懒的
slothful	偷懒
contusion	擦伤
contusion	撞伤
contusion	挫伤
thyroxine	甲状腺素
thyroxine	甲状腺氨酸
bebeeru	绿心树
bebeeru	贝比罗木
nobbler	使马无力竞赛
nobbler	诈骗者
cray	=crayfish
casimire	=cassimere
christiania	挪威首都奥斯陆的旧称
nonyl	壬基
clysis	灌肠
clysis	打点滴
nazi	纳粹党人
nazi	纳粹党的
nazi	纳粹党
subulate	锥形的
subulate	锥形
subulate	尖锥状的
subulate	尖锥状
neep	萝卜
crabhole	蟹穴
sloshy	雪泥的
sloshy	雪泥
sloshy	稀泥的
sloshy	稀泥
flophouse	廉价旅馆
flophouse	小客栈
islamize	皈依伊斯兰教
afghan	阿富汗的
afghan	阿富汗
afghan	阿富汗人的
afghan	阿富汗人
afghan	阿富汗人
afghan	阿富汗语
afghan	一种毛毯
skit	讽刺话
skit	幽默故事
skit	若干
skit	一群
feelingful	充满感情的
feelingful	充满感情
memorialise	=memorialize
zygophyllaceous	蒺藜科的
zygophyllaceous	蒺藜科
frostbelt	霜冻地带
falsism	极为明显的谬论
papular	乳突的
papular	乳突
quadriga	四马二轮战车
catalpa	梓
catalpa	梓属植物
byssus	古代的亚麻布
byssus	足丝
hotelier	旅馆经营者
importable	可进口的
importable	可进口
herefordshire	赫里福郡
footprint	足迹
footprint	脚印
reptilivorous	以爬虫类为食的
reptilivorous	以爬虫类为食
godling	小神
godling	地方神灵
flexile	柔韧的
flexile	柔韧
flexile	可变通的
flexile	可变通
canny	谨慎的
canny	谨慎
canny	精明的
canny	精明
canny	节约的
canny	节约
phantasize	=fantasize
diarial	日记的
diarial	日记
donkeyback	驴背
donkeyback	在驴上
donkeyback	骑在驴背上
supplementary	增补者
supplementary	增补物
supplementary	附助的
supplementary	附助
gallows	绞架
gallows	绞刑
ess	S
ess	字
ess	S
ess	字形之物
babacoote	大狐猴
countryward	走向乡村的
countryward	走向乡村
countryward	下乡的
countryward	下乡
intercommunicate	`IntEkE9mjUtion
intercommunicate	systens//内keIt/
intercommunicate	互相连络
intercommunicate	:nI`keIFEn/
intercommunicate	互喜客ɑ跋低
intercommunicate	内部突ネㄏ
tui	蜜雀
pseudovirion	假病毒粒子
pseudovirion	拟病毒子
forint	福林
gala	节日
gala	祝贺
gala	特别娱乐
gala	a:节日的
gala	a:节日
gala	快乐的
gala	快乐
gala	庆祝的
gala	庆祝
breach	违背
breach	破坏
breach	破裂
breach	裂口
breach	打破
breach	突破
downthrow	地盘下降
downthrow	投下
downthrow	陷落
gave	give的过去式
grecize	使希腊化
grecize	使希腊语调
grecize	译成希腊语
gearwheel	大齿轮
aril	假种皮
semirigid	半刚性的
semirigid	半刚性
semirigid	半硬式的
semirigid	半硬式
sixpennyworth	六便士可购买的数量
sixpennyworth	价值六便士的数量
barbed	有刺的
barbed	有刺
barbed	具侧刺毛的
barbed	具侧刺毛
barbed	尖刻的
barbed	尖刻
barbed	尖锐的
barbed	尖锐
barbed	讽刺的
barbed	讽刺
extraditable	该引渡的
extraditable	该引渡
extraditable	可引渡的
extraditable	可引渡
concessionaire	受让人
concessionaire	特许权获得者
tensility	张力
tensility	伸力
tensility	伸长性
houseboat	形如房子的船
houseboat	游艇
eightball	撞球中有8记号之黑球
demote	使降级
demote	使降职
floccule	絮状物
floccule	絮凝粒
cassegrainian	telescope=Cassegrain
hanky	手帕
coprostasis	便秘
potlead	石墨
wampanoag	万帕诺亚格人
imprimatura	底色
imprimatura	底子
imprimatura	底漆
morganite	铯绿柱石
bastardization	认定为私生子
fiberboard	纤维板
cloth	布
cloth	织物
cloth	衣料
buttocks	臀部
silicicolous	在硅质土中生长的
silicicolous	在硅质土中生长
silicicolous	在硅质土中生长茂盛的
silicicolous	在硅质土中生长茂盛
matrilineal	母系的
matrilineal	母系
eyelashes	睫毛
heed	注意
heed	留意
heed	注意
heed	留意
yellowweed	千里光
yellowweed	堆心菊
hellweed	菟丝子属植物
enterobacterium	肠细菌
tridymite	鳞石英
whortleberry	越橘树的一种
whortleberry	越橘
petrissage	揉捏法
behalf	为
behalf	利益
stowage	堆装物
anisocoria	瞳孔大小不等的
anisocoria	瞳孔大小不等
sponson	舷侧突出部
sponson	突出炮座
sponson	水鳍
falcate	镰状的
falcate	镰状
falcate	钩状的
falcate	钩状
bleach	漂白
bleach	变白
endocentric	内向的
endocentric	内向
endocentric	向心的
endocentric	向心
gonk	蛋形洋娃娃
demonophobia	魔鬼恐惧症
confessional	自白的
confessional	自白
confessional	忏悔的
confessional	忏悔
confessional	忏悔室
cringe	畏缩
cringe	阿谀
cringe	奉承
locksmith	钳工
locksmith	锁匠
locksmith	修锁工
infundibulum	漏斗状器官
infundibulum	漏斗管
standardbred	标准竞赛用马
justine	贾丝廷
beefsteak	牛排
morbilli	麻疹
godiva	戈代娃
thalamencephalon	间脑
thalamencephalon	丘脑
unprocurable	不可获得的
unprocurable	不可获
unprocurable	不可实现的
unprocurable	不可实现
spae	预言
spae	预示
easily	容易地
easily	容易
easily	不费力地
easily	不费力
trigeminus	三叉神经
acidophile	嗜酸细胞
acidophile	嗜酸细菌
electrodiagnosis	电诊法
linson	林森纸
antiadministration	反对政府的
antiadministration	反对政府
tomography	X线断层摄影术
dethrone	废黜
dethrone	废位赶出
waddle	蹒跚而行
herby	长草的
herby	长草
herby	草的
herby	草
herby	似草的
herby	似草
barrack	木板房
barrack	兵舍
barrack	军营
barrack	使驻兵营内
concrete	具体的
concrete	具体
concrete	有形的
concrete	有形
concrete	混凝土
concrete	用混凝土修筑
concrete	浇混凝土
concrete	凝结
hy	海
hy	henry
macrocyte	大红细胞
elision	元音省略
fragmented	成碎片的
fragmented	成碎片
fragmented	片断的
fragmented	片断
parthian	帕提亚人
ghoul	盗尸者
radiocarbon	放射性碳
radiocarbon	碳的放射性同位元素
hemangioma	血管瘤
recycle	使再循环
recycle	反复应用
recycle	再循环
recycle	再生
recycle	重复利用
footman	男仆
footman	步兵
witticize	说妙语
witticize	说俏皮话
witticize	说诙谐话
shastracara	符合印度教圣典原则的行为
broche	织锦的
broche	织锦
broche	锦缎的
broche	锦缎
disinterest	无兴趣
disinterest	不关心
orris	鸢尾草
orris	其根
orris	金花边
blessedness	幸福
malacostracous	=malacostracan
inert	无活动的
inert	无活动
inert	惰性的
inert	惰性
inert	迟钝的
inert	迟钝
linz	林茨
depression	沮丧
depression	消沉
depression	低气压
depression	低压
zoneless	无分区的
zoneless	无分区
zoneless	无束带的
zoneless	无束带
sciophilous	适阴的
sciophilous	适阴
sciophilous	喜阴的
sciophilous	喜阴
summertide	=summertime
xanthocarpous	有黄色果实的
xanthocarpous	有黄色果实
polypnea	呼吸急促
polypnea	气促
enflame	=inflame
faugh	呸
unhysterical	非歇斯底里的
unhysterical	非歇斯底里
stuck	stick的过去式和过去分词
personator	演员
personator	装扮者
personator	假冒者
alhambresque	宫殿式的
alhambresque	宫殿式
alhambresque	装饰豪华的
alhambresque	装饰豪华
neofeminist	新男女平等主义者
nipponian	日本的
nipponian	日本
nipponian	日本人的
nipponian	日本人
nipponian	日语的
nipponian	日语
faller	砍伐树木的人
dodecahedron	十二面体
antithrombotic	抗血栓形成的
antithrombotic	抗血栓形成
cardiosclerosis	心硬化
caleche	旧时的折篷轻便马车
caleche	摺篷式软帽
abstergent	去垢的
abstergent	去垢
abstergent	洗洁剂
intercrystalline	晶间的
intercrystalline	晶间
intercrystalline	沿晶界的
intercrystalline	沿晶界
hospitable	好客的
hospitable	好客
hospitable	招待周到的
hospitable	招待周到
lunacy	精神失常
lunacy	精神病
nonary	九进法的
nonary	九进法
nonary	九个一组
moneybags	富翁
enarchist	高级文官
radicel	基
radicel	根
radicel	原子团
murrelet	小海鸦
cyclonite	一种高性能的炸药
bedizen	俗丽地穿着或装饰
handcuff	手拷
handcuff	上手拷
downloading	下载
dba	Doctor
dba	of
dba	Business
dba	Administration
dba	经营管理学博士
dba	database
dba	administrator
dba	数据库管理员
recession	撤回
recession	退回
recession	退后
recession	工商业之衰退
recession	不景气
punctuative	标点的
punctuative	标点
punctuative	用作标点的
punctuative	用作标点
pharmacogenetics	遗传药理学
pharmacogenetics	药物反应遗传学
visna	绵羊脱髓鞘性脑白质炎
triphylite	磷酸锂铁矿
gaggy	插科打诨很多的
gaggy	插科打诨很多
summery	夏的
summery	夏
summery	夏天似的
summery	夏天似
grad	毕业生
grad	校友
abortarium	堕胎医院
prissie	普丽西
northwester	西北大风
repacify	再平息
repacify	再安抚
wheen	不多的
wheen	不多
wheen	少数几个的
wheen	少数几个
hatasu	哈塔苏
whisperous	=whispery
territorialise	=territorialize
calciform	石灰状的
calciform	石灰状
triforium	教堂拱门上的三拱式拱廊
domiciled	指定支付地点的
domiciled	指定支付地点
domiciled	定居的
domiciled	定居
bardolatry	莎士比亚崇拜
ineludible	逃脱不了的
ineludible	逃脱不了
remaindership	残留权
remaindership	继承权
phototherapeutics	光线疗法
phototherapeutics	光照疗法
granny	奶奶
voyager	航行者
voyager	航海者
resurface	重铺路面
resurface	重新露面
basin	盆
basin	盆地
basin	盆
basin	水池
wilhelmina	威廉敏娜
microtomy	超薄切片机使用术
microtomy	超薄切片法
reportage	报道
reportage	报道的消息
reportage	报告文学
frugal	节俭的
frugal	节俭
frugal	朴素的
frugal	朴素
pointed	尖角的
pointed	尖角
pointed	敏锐的
pointed	敏锐
pointed	锐利的
pointed	锐利
pointed	率直的
pointed	率直
pointed	突出的
pointed	突出
privatdozent	=privatdocent
jazzy	有爵士特点的
jazzy	有爵士特点
jazzy	奔放的
jazzy	奔放
jazzy	愉快的
jazzy	愉快
reconcilement	调停
reconcilement	一致
needle	针
aurific	变成金色的
aurific	变成金色
aurific	镀金的
aurific	镀金
enswathe	vt0
enswathe	包扎
enswathe	裹紧
haroosh	混乱
haroosh	动乱
prototrophic	原养型的
prototrophic	原养型
photoplate	照相底片
photoplate	摄影底版
photoplate	照相干版
invisibly	看不见地
invisibly	看不见
invisibly	看不出地
invisibly	看不出
extrauterine	子宫外的
extrauterine	子宫外
ship	船
ship	海船
ship	舰
ship	装上船
ship	航运
ship	载运
ship	在船上工作
smirky	假笑的
smirky	假笑
smirky	傻笑的
smirky	傻笑
smirky	得意地笑的
smirky	意地笑
erastus	伊拉斯塔斯
haloid	卤素的
haloid	卤素
haloid	卤素盐
haloid	卤素衍生物
macaw	金刚鹦鹉
macaw	美国棕榈
carene	四旬斋
falstaffian	像福斯塔夫的
falstaffian	像福斯塔夫
impellingly	迫使性地
impellingly	迫使性
impellingly	强有力的
impellingly	强有力
chilachap	=Tjilatjap
arthrosporous	分节孢子的
arthrosporous	分节孢子
resistor	电阻器
vascular	脉管的
vascular	脉管
vascular	有脉管的
vascular	有脉管
vascular	血管的
vascular	血管
dilutedness	稀释
dilutedness	无力感
gully	冲沟
gully	溪谷
gully	集水沟
gully	雨水口
gully	檐槽
gully	在……上开沟
octavius	奥克塔维厄斯
veinule	小静脉
covariance	协方差
riksha	黄包车
riksha	人力车
militarization	军事化
militarization	黩武主义的提倡
poverty	贫穷
poverty	贫困
poverty	贫乏
poverty	缺少
photometer	光度计
photometer	曝光计
offaly	奥法利郡
unwindase	解链酶
hoary	灰白的
hoary	灰白
hoary	头发灰白的
hoary	头发灰白
hoary	古代的
hoary	古代
hoary	久远的
