theosophical	神智学
beingless	不存在的
beingless	不存在
xerasia	干发病
acidemia	酸血症
watersplash	浸水路段
watersplash	流过路面的浅流
glochidiate	具钩毛的
glochidiate	具钩毛
glochidiate	生倒刺的
glochidiate	生倒刺
counterreformation	反改革
workmanship	手艺
workmanship	技艺
workmanship	作工
workmanship	技巧
rhizogenic	生根的
rhizogenic	生根
rhizogenic	长根的
rhizogenic	长根
maneuverability	可操作性
maneuverability	机动性
automaton	自动机器
automaton	机器人
growing	成长的
growing	成长
tsarevna	=czarevna
furriery	毛皮
furriery	毛皮衣制作
furriery	毛皮商
rut	车辙
rut	常轨
rut	定例
rut	惯例
rut	在……形成车辙
gynaecologic	=gynaecological
ozonometer	臭氧计
ameroenglish	=AmerEnglish
qinghai	青海
autocycle	摩托车
bacteriological	细菌学的
bacteriological	细菌学
bacteriological	细菌学上的
bacteriological	细菌学上
caithness	凯思内斯郡
beetsugar	甜菜糖
sestina	六节诗
lansign	语言符号
beyrouth	=Beirut
hospital	医院
speedwriting	速记法
doleritic	辉绿岩的
doleritic	辉绿岩
doleritic	深色火成岩的
doleritic	深色火成岩
septicize	使有脓毒
septicize	使腐败
bavaria	巴伐利亚
boxcar	货车车厢
commissural	合缝处的
commissural	合缝处
ahab	亚哈
hierarch	教主
hierarch	掌权者
hierarch	高僧
houseparent	学生宿舍管理员
carageen	角叉菜
soakage	浸润
soakage	浸透
soakage	浸渍
consoling	可安慰的
consoling	可安慰
pharmacist	配药者
pharmacist	药剂师
peroneal	腓骨的
peroneal	腓骨
peroneal	腓侧的
peroneal	腓侧
rosebush	蔷薇
rosebush	灌木
bethlehem	伯利恒
vroom	=varoom
cupellation	灰皿提炼法
cupellation	灰吹法
handout	分发的印刷品
handout	新闻稿
insurance	保险
insurance	保险单
insurance	保险业
insurance	保险费
melanite	黑榴石
pin	钉
pin	销
pin	栓
pin	大头针
pin	别针
pin	腿
pin	钉住
pin	别住
pin	阻止
pin	扣牢
pin	止住
pin	牵制
void	空间
void	空旷
void	空虚
void	怅惘
void	空的
void	空
void	无人的
void	无人
void	空闲的
void	空闲
void	无效的
void	无效
void	无用的
void	无用
void	没有的
void	没有
ostrogoth	东哥德族
vivid	生动的
vivid	生动
vivid	鲜明的
vivid	鲜明
vivid	鲜艳的
vivid	鲜艳
vivid	大胆的
vivid	大胆
vivid	清晰的
vivid	清晰
vivid	活泼的
vivid	活泼
vivid	逼真的
vivid	逼真
inclasp	抱住
emancipated	被解放的
emancipated	被解放
emancipated	不受约束的
emancipated	不受约束
larnax	红色黏土无釉陶棺
cheeseparing	吝啬
cheeseparing	爱钱如命
dogfish	角鲨鱼之一种
defloration	摘花
defloration	夺美
defloration	玷污
defloration	蹂躏处女
trestle	脚手架
trestle	高架桥
trestle	三角凳
mantova	=Mantua
kidology	儿童心理学
moribund	垂死的
moribund	垂死
moribund	垂死的人
waterlocks	水闸
hiatus	裂缝
hiatus	脱落
caijan	移居美国路易斯安纳州的法人后裔
acetabulum	髋臼
acetabulum	关节窝
acetabulum	吸盘
truthfulness	真实
truthfulness	正当
truthfulness	坦率
turanian	突雷尼语族
turanian	突雷尼人
turanian	突雷尼语族的
turanian	突雷尼语族
turanian	突雷尼人的
turanian	突雷尼人
perpetration	做坏事
perpetration	犯罪
theoretician	精通于理论的人
theoretician	理论家
equid	马科动物
maladminister	对……处理不善
transcurrence	横推断层现象
tampon	棉球
tampon	止血垫
tampon	用棉塞住
trustworthiness	可信赖
trustworthiness	确实性
platinocyanide	铂氰化物
platinocyanide	氰亚铂酸盐
fsm	finite
fsm	state
fsm	machine
fsm	有限状态机
veloce	快速的
veloce	快速
paradoxure	椰子猫
semester	学期
lawrenciana	=Lawrentiana
airfield	飞机场
sanforize	将作桑福整理
sanforize	将……预缩
uncombined	未结合的
uncombined	未结合
uncombined	分离的
uncombined	分离
uncombined	未化合的
uncombined	未化合
biosynthesis	生物合成
sententia	警句
sententia	格言
handsomely	帅气地
handsomely	帅气
handsomely	熟练地
handsomely	熟练
stepmother	继母
inflector	弯曲物
sundrops	月见草
restring	重新装弦
