scholasticism	经院哲学
philharmonic	爱好音乐的
philharmonic	爱好音乐
philharmonic	交响乐团
bagel	百吉饼
tawdrily	俗丽地
tawdrily	俗丽
sulphanilamide	磺胺
sulphanilamide	对氨基苯磺酰胺
mythologem	基本的神话主题
chromic	含三价的铬的
chromic	含三价的铬
chromic	铬的
chromic	铬
totipotency	全能
totipotency	全能性
stromboid	凤螺的
stromboid	凤螺
excreta	排泄物
fringy	穗状的
fringy	穗状
fringy	有缘饰的
fringy	有缘饰
interposition	插入
receiver	接受者
receiver	接收器
receiver	收信机
chambermaid	女服务员
chambermaid	清理房间的女服务员
synovium	滑膜
encaustic	上釉烧的
encaustic	上釉烧
encaustic	烧上蜡的
encaustic	烧上蜡
encaustic	烧上彩色的
encaustic	烧上彩色
encaustic	蜡画法
encaustic	蜡画
encaustic	瓷画
glycogenolysis	肝糖分解
dumbness	无言
dumbness	沉默
foyer	休息室
foyer	大厅
mandragora	曼陀罗草
mandragora	醉仙桃
transacetylase	转乙酰酶
battle	战役
battle	战争
battle	作战
battle	战斗
battle	搏斗
battle	斗争
deductivist	演绎派的
deductivist	演绎派
daughter	女儿
daughter	女儿的
daughter	女儿
daughter	如女儿的
daughter	如女儿
daughter	关系如女儿的
daughter	关系如女儿
heliborne	由直升机运送的
heliborne	由直升机运送
odoriferous	散发气味的
odoriferous	散发气味
odoriferous	臭的
odoriferous	臭
rhinocerotic	犀牛的
rhinocerotic	犀牛
rhinocerotic	像犀牛的
rhinocerotic	像犀牛
sassywood	=sasswood
canaille	暴民
canaille	贱民
doctoral	博士的
doctoral	博士
meline	獾的
meline	獾
meline	獾样的
meline	獾样
blackmail	勒索
blackmail	勒索所得之款
blackmail	勒索
skiagraph	照
skiagraph	X
skiagraph	光照片
physiology	生理学
taffia	劣质甜酒
lithontriptic	溶石药
lithontriptic	碎石药
lithontriptic	溶结石的
lithontriptic	溶结石
fretfully	焦躁地
fretfully	焦躁
fretfully	焦急地
fretfully	焦急
frustrate	挫败
frustrate	阻挠
frustrate	使感到灰心
frustrate	阻止
limberly	柔软地
limberly	柔软
limberly	灵活地
limberly	灵活
upstanding	直立的
upstanding	直立
morphophonics	词素音位学
cotics	麻醉剂
cotics	致幻毒品
comparability	相似性
comparability	可比较性
intrafallopian	输卵管内的
intrafallopian	输卵管内
omnium	担保证券的总值
trilogy	三部剧
trilogy	三部曲
zeitgeist	时代精神
zeitgeist	时代思潮
opalescent	乳白色的
opalescent	乳白色
steer	驾驶
steer	掌舵
vercelli	维切利
frag	Fragmentation
frag	碎片
frag	蓄意杀伤
nothingarian	没有信仰的人
nothingarian	无神论者
nothingarian	无派别者
melitose	棉子糖
melitose	蜜三糖
melitose	蜜里糖
parasitism	寄生状态
parasitism	寄生病
sopping	浑身湿透的
sopping	浑身湿透
lithometeor	大气尘粒
vettura	四轮马车
logicise	=logicize
rushingly	急流地
rushingly	急流
rushingly	旺盛地
rushingly	旺盛
wade	跋涉
wade	涉水
wade	费力行走
wade	跋涉
wade	可涉水而过的地方
chemmy	铁路牌
pentagonoid	似五边形的
pentagonoid	似五边形
irenics	和平的神学
irenics	协调论
pearl	珍珠
pearl	Pearl
pearl	珀尔
incommutation	上下班交通
microbe	微生物
microbe	细菌
rome	罗马
spuddle	在脏水
tabloid	小报
tabloid	药片
exec	execute实行
exec	executive
exec	实行的
exec	实行
stereochemistry	立体化学
saccharomyces	酵母
cuvette	小玻璃管
cuvette	透明小容器
cuvette	试管
dymaxion	最大限度利用能源的
dymaxion	最大限度利用能源
dymaxion	以最少结构提供最大强度的
dymaxion	以最少结构提供最大强度
oddness	奇怪
oddness	奇妙
haugh	河岸平台
haugh	泛滥平原
seneca	=senega
conscionable	凭良心的
conscionable	凭良心
conscionable	正直的
conscionable	正直
crimination	使负罪
crimination	责备
crimination	控告
lune	弓形
lune	半月形
hamadan	哈马丹
beemistress	养蜂女
civilizable	可教化的
civilizable	可教化
embourgeoisification	=embourgeoisement
unclipped	未剪的
unclipped	未剪
forerunner	先驱
forerunner	传令官
forerunner	预兆
endodontics	牙髓学
becalm	使安静
becalm	因无风而使停航
triphase	三相的
triphase	三相
xanthomycin	链霉黄素
xanthomycin	胍甲四环素
nerveless	无力的
nerveless	无力
nerveless	松懈的
nerveless	松懈
graminaceous	草
graminaceous	禾本的
graminaceous	禾本
cottar	佃农
wizen	凋谢的
wizen	凋谢
wizen	枯萎的
wizen	枯萎
emancipist	刑满释放的犯人
schoolfellow	同学
schoolfellow	校友
dbe	Dame
dbe	Commander
dbe	高级英帝国女勋爵士
barmecidal	画饼充饥的
barmecidal	画饼充饥
barmecidal	口惠而实不至的
barmecidal	口惠而实不至
simulation	仿真
simulation	假装
simulation	模拟
methodological	方法的
methodological	方法
septenate	七出的
septenate	七出
septenate	成七的
septenate	成七
archiphoneme	原
flatting	使物体平滑的方法
flatting	使油漆无光泽的方法
unzipped	未拉上拉链的
unzipped	未拉上拉链
srv	space
srv	rescue
