karstology	岩溶学
riotously	骚动地
riotously	骚动
riotously	暴乱地
riotously	暴乱
smellie	气味电影
antiatom	反原子
terebra	产卵器
cherokee	切罗基族人
rissole	炸肉圆
selangor	雪兰莪州
stillness	静止
stillness	沉静
impregnatable	=impregnable
garboard	龙骨翼板
eyra	美洲南部所产之小野猫
syrphian	食蚜蝇
hypercatalectic	超音节的
hypercatalectic	超音节
hypercatalectic	过律的
hypercatalectic	过律
hypercatalectic	冗余音节
mudsill	底梁
kwakiutl	夸扣特尔人
limby	多树桠的
limby	多树桠
turkomen	Turkoman的复数
impale	刺穿
impale	逼视某人
troppo	太多
troppo	过度
troppo	过于
insomnious	失眠的
insomnious	失眠
insomnious	患失眠症的
insomnious	患失眠症
lateritious	如砖的
lateritious	如砖
lateritious	有砖之红色的
lateritious	有砖之红色
ultraviolence	超暴力
ultraviolence	极端暴力
stratification	/n/
stratification	层化
stratification	成层
stratification	阶层次语法
tidbit	珍闻
tidbit	小栏报导
bohemia	波希米亚
kayah	State
kayah	克耶邦
ak	美国阿拉斯加邮递区号
importunity	硬要
importunity	强求
octaword	八倍子
euphony	悦耳之音
skiograph	=skiagraph
forefoot	前脚
forefoot	龙骨的前端部
heterocaryon	=heterokaryon
bistoury	手术刀
anastrophe	倒置法
revivification	复活
revivification	恢复
revivification	苏醒
parramatta	=paramatta
testudinate	龟甲状的
testudinate	龟甲状
seakindly	航海性能良好的
seakindly	航海性能良好
enfeoffment	领地授与
enfeoffment	封地
enfeoffment	封
aeroshell	减速伞
achroglobin	消色球蛋白
unarm	缴械
unarm	放下武器
apathy	缺乏感情或兴趣
apathy	冷漠
ibsenian	易卜生的
ibsenian	易卜生
suffocation	窒息
telecopier	电传复印机
polychaetous	=polychaetan
cady	便帽
leveret	小野兔
stringcourse	层拱
stringcourse	束带层
refect	使精力恢复
refect	使精神振作
hardhanded	手粗硬的
hardhanded	手粗硬
hardhanded	强制的
hardhanded	强制
hardhanded	手段强硬的
hardhanded	手段强硬
tamoxifen	三苯氧胺
tamoxifen	它莫西芬
polyhedrical	多面的
polyhedrical	多面
polyhedrical	多面体的
polyhedrical	多面体
blinkers	有色眼镜
blinkers	马眼罩
blinkers	护目镜
elt	English
elt	Language
elt	Teaching
elt	英语教育
escabeche	油炸调味鱼
escabeche	油炸调味鸡
sukiyaki	寿喜烧
illaudable	不值得赞美的
illaudable	不值得赞美
illaudable	应受谴责的
illaudable	应受谴责
flip	掷
flip	弹
flip	轻击
flip	蹦跳
flip	抛
flip	弹
flip	筋斗
flip	无礼的
flip	无礼
flip	冒失的
flip	冒失
flip	轻率的
flip	轻率
ribbon	缎带
ribbon	丝带
ribbon	带
ribbon	带状物
ribbon	带子
fivepenny	一又四分之三英寸长的
fivepenny	一又四分之三英寸长
fivepenny	五便士的
fivepenny	五便士
homeostatic	自我平衡的
homeostatic	自我平衡
homeostatic	原状稳定的
homeostatic	原状稳定
bulbar	球根的
bulbar	球根
virogene	病毒基因
senile	老年的
senile	老年
senile	高龄的
senile	高龄
senile	衰老的
senile	衰老
melian	岛的
melian	岛
melian	米洛斯岛人
latinization	拉丁化
visualise	=visualize
cassation	毁弃
cassation	废弃
imparlance	商议
imparlance	谈判
imparlance	……和一
lascivious	好色的
lascivious	好色
lascivious	淫荡的
lascivious	淫荡
lascivious	挑动情欲的
lascivious	挑动情欲
blastproof	防爆炸的
blastproof	防爆炸
pneumoangiography	肺血管造影术
