daishiki	=dashiki
austin	英国制汽车牌名
hoosh	到北极地方旅行所煮的杂锅菜
hoosh	浓汤
jactancy	吹牛
estrangement	疏远
treves	=Trier
spermatological	精子学的
spermatological	精子学
thermotolerant	耐热的
thermotolerant	耐热
emulation	竞争
emulation	效法
monolith	独块巨石
monolith	整体塑制品
prizewinning	获奖的
prizewinning	获奖
prizewinning	有得奖可能的
prizewinning	有得奖可能
subtilty	狡诈
subtilty	微妙
stereographic	立体画法的
stereographic	立体画法
stereographic	立体照相的
stereographic	立体照相
nonliving	无生命的
nonliving	无生命
nonliving	缺乏生命
riverbed	河床
diffluence	分流
diffluence	溶解
refectory	食堂
refectory	餐厅
samar	萨马岛
contraorbitally	与正常轨道反向地
contraorbitally	与正常轨道反向
subpopulation	分组人口
acanthocephalan	棘头虫
acanthocephalan	棘头纲虫
immoderate	不适中的
immoderate	不适中
unexampled	无前例的
unexampled	无前例
unexampled	无可比拟的
unexampled	无可比拟
wipeout	被浪打翻
wipeout	失败
lavatorial	厕所的
lavatorial	厕所
lavatorial	洗涤的
lavatorial	洗涤
lavatorial	低级粗俗的
lavatorial	低级粗俗
coxswain	艇长
coxswain	舵手
chasmy	裂口多的
chasmy	裂口多
likable	可爱的
likable	可爱
vivisect	活体解剖
vivisect	解剖
proctodaeum	肛道
carlet	三面锉
chudder	方围巾
chudder	方形披巾
wesleyan	卫斯理公会教徒
wesleyan	卫斯理公会派的
wesleyan	卫斯理公会派
muggy	闷热的
muggy	闷热
misspelling	拼错
feudal	世仇的
feudal	世仇
feudal	封建制度的
feudal	封建制度
feudal	封地的
feudal	封
feudal	领地的
feudal	领
ochlophobia	人群恐怖
ochlophobia	恐群症
holography	全息摄影术
holography	全息术
archosaur	祖龙
archosaur	古蜥
calliper	两脚规
calliper	测圆器
allergin	变应素
hexokinase	己糖激酶
head	头
head	头脑
head	领袖
head	最前的部分
head	人
head	顶点
head	作为……的首领
head	朝向
head	前进
head	用头顶
head	成头状物
head	出发
head	头的
head	头
head	主要的
head	主要
recalcitrancy	反抗
recalcitrancy	不顺从
breastbone	胸骨
rhotacism	r音化
rhotacism	r音之过度使用
hipbone	臀骨
hipbone	髋骨
hipbone	无名骨
tutress	女助教
tutress	女家庭教师
natron	天然碳酸钠
natron	泡碱
spurrey	大爪草属植物
spurrey	尤指产于北美洲的大爪草
patrilateral	父系的
patrilateral	父系
patrilateral	父亲一方的
patrilateral	父亲一方
patrilateral	堂亲关系的
patrilateral	堂亲关系
microcard	缩影卡片
martha	玛撒
martha	马大
xyphoid	=xiphoid
typhoid	伤寒症
typhoid	伤寒的
typhoid	伤寒
typhoid	斑疹伤寒症的
typhoid	斑疹伤寒症
readably	读起来津津有味的
readably	读起来津津有味
indulgently	放任地
indulgently	放任
indulgently	溺爱地
indulgently	溺爱
subtile	隐约的
subtile	隐约
subtile	微妙的
subtile	微妙
subtile	敏锐的
subtile	敏锐
subtile	狡猾的
subtile	狡猾
polychroite	藏红花颜料
codon	密码子
codon	基码
mellow	柔美
mellow	使成熟
ballade	三节联韵诗
ballade	叙事曲
isochron	=isochrone
tonto	阿帕奇分族的印第安人
forwent	forgo的过去式
trichuriasis	鞭虫病
liberty	自由
liberty	特权
liberty	随意
liberty	冒失
liberty	冒昧
liberty	失礼
gaggery	开玩笑
relend	再借
diplosis	倍加作用
lithograph	平版印刷
lithograph	平版画
lithograph	以平版印刷
semicircumference	半圆周
intervenor	n
intervenor	干预者
intervenor	介入者
bert	伯特
annabella	安娜贝拉
gazar	透明丝织物
eosinophilic	嗜曙红细胞的
eosinophilic	嗜曙红细胞
giftbook	寄赠本
giftbook	呈献用书籍
giftbook	赠阅本
scalelike	鳞状的
scalelike	鳞状
stutter	口吃
stutter	结结巴巴
stutter	口吃着说
racemism	外消旋性
howitzer	榴弹炮
multipole	多极
jammer	干扰发射台
jammer	U型钢丝芯撑
sdrs	特别提款权
egest	排泄
falcula	钩爪
falcula	爪
oleander	夹竹桃
nemean	复仇女神的
nemean	复仇女神
skyer	高打
skyer	高飞球
banc	法官席
stultify	使显得愚笨
stultify	使变无效
stultify	使成为徒劳
leptocephalous	颅骨窄小的
leptocephalous	颅骨窄小
cambrian	寒武纪的
cambrian	寒武纪
cambrian	寒武纪人
cambrian	威尔士人
cambrian	寒武纪层
frondeur	政治上的反叛者
foreleg	前肢前脚
rasher	咸肉的薄片
emeute	暴动
emeute	骚动
staghorn	雄鹿角
staghorn	石松
staghorn	一种大珊瑚
fleabite	蚤咬
fleabite	蚤咬疤痕
fleabite	稍微的损伤
fleabite	轻微的痛痒
fleabite	小麻烦
fleabite	少量的花费
minesweeping	扫雷
crest	鸟冠
crest	盔上的装饰
crest	顶部
crest	顶峰
crest	浪头
crest	到达绝顶
crest	加以顶饰
radiumtherapy	镭疗法
frisette	发缨
agamid	=agama
octonary	八的
octonary	八
octonary	八进制的
octonary	八进制
octonary	八个一组
octonary	八行诗
rhe	流值
hypodynamia	体力不够
hypodynamia	衰弱
uniliteral	只有一个字母的
uniliteral	只有一个字母
uniliteral	由一个字母组成的
uniliteral	由一个字母组成
off	远的
off	远
off	空闲的
off	空闲
off	不工作的
off	不工作
off	离开
off	在远方
off	离去
off	分离
off	中断
off	完成
off	从……离开
off	脱离
hortation	劝告
hortation	鼓励
hortation	忠告
hortation	奖励
dicumarol	双香豆素
hedgehog	猬
tacker	敲平头顶的人
tacker	敲平头钉器
locket	小盒
locket	纪念品盒
disparage	蔑视
disparage	贬损
disparage	使失去信誉
reaping	收割
cervid	鹿科的
cervid	鹿科
cervid	鹿类的
cervid	鹿类
vulvitis	外阴炎
recommit	再委托
recommit	再犯
numidia	努米底亚
agronomist	农艺学家
agronomist	农学家
consumptive	消费的
consumptive	消费
consumptive	消耗性的
consumptive	消耗性
consumptive	浪费的
consumptive	浪费
consumptive	肺病患者
soja	大豆
swinery	猪栏
swinery	猪群
swinery	粗鲁
swinery	贪婪
ulcer	溃疡
ulcer	腐烂物
roundtop	桅楼
photoresistance	光敏电阻
credulity	易信
credulity	轻信
chemiosmotic	化学渗透假说的
chemiosmotic	化学渗透假说
cladophyll	扁平的叶状茎
matrilinear	=matrilineal
seoul	汉城
barents	Sea
barents	巴伦支海
witless	无知的
witless	无知
witless	轻率的
witless	轻率
syndrum	电子综合鼓
butterfingered	东西容易从手中滑掉的
butterfingered	东西容易从手中滑掉
butterfingered	不小心的
butterfingered	不小心
chetrum	切特鲁姆
brava	好啊!
acciaccatura	短倚音
liturgy	圣餐仪式
liturgy	礼拜仪式
bibliophil	爱书者
bibliophil	藏书家
bubbly	多泡的
bubbly	多泡
bubbly	起泡的
bubbly	起泡
bubbly	香槟酒
ridership	公共交通工具乘客
why	为什么
why	……的哎呀!什么?
maladept	不熟练的
maladept	不熟练
maladept	不内行的
maladept	不内行
tabac	烟店
sleekly	光滑地
sleekly	光滑
sleekly	光泽地
sleekly	光泽
gingelly	芝麻树
gingelly	芝麻油
isokite	氟磷钙镁石
surakarta	苏腊卡尔塔
steapsin	胰脂酶
feedstuff	饲料
feedstuff	饲料中的营养成分
prelect	讲演
prelect	讲课
schrik	突发的恐怖
heptachord	七弦琴
heptachord	七音音阶
periostea	periosteum的复数
colorimetry	比色法
granite	花岗岩
alipterion	古罗马澡堂用以搽油于的房间
lampern	七鳃鳗
jerkiness	急动
jerkiness	抽筋
odelsting	下院
drug	药
drug	麻药
drug	麻醉药
drug	滞销货
drug	吸毒
drug	使服毒品
drug	毒化
raki	葡萄酒
raki	梅酒
agglutinogenic	可粘结的
agglutinogenic	可粘结
redback	spider
redback	赤背蜘蛛
cogitate	思考
cogitate	考虑
applausively	喝采地
applausively	喝采
tango	探戈
actualist	现实主义者
kerbs	克雷布斯
reconfirmation	再证实
reconfirmation	再确认
sporulation	孢子形成
express	急速的
express	急速
express	特殊的
express	特殊
express	明确的
express	明确
express	快车
express	快递
express	专使
express	表达
express	表示
express	乘快车
express	以快递方式
armorist	纹章专家
capability	能力
capability	性能
capability	容量
capability	接受力
streetlight	街灯
patently	明白地
patently	明白
patently	公然地
patently	公然
canister	滤毒罐
bindweed	旋花类的植物
acariasis	疥癣
acariasis	疥虫病
mocamp	汽车宿营地
mocamp	汽车宿营
leat	露天人工水渠
prosodeme	超音质音位
wharfinger	码头管理员
intangible	难以明了的
intangible	难以明了
intangible	无形的
intangible	无形
feeler	动物的触须
feeler	触毛
feeler	触角
feeler	试探性的建议
brochette	烤肉叉
brochette	小串烤肉
wristy	用手腕的
wristy	用手腕
wristy	用腕部动作的
wristy	用腕部动作
ungiven	无癖好的
ungiven	无癖好
ungiven	无倾向的
ungiven	无倾向
seasoner	调味人
seasoner	使用调味物的人
seasoner	调味剂
peronista	=Peronist
saber	马刀
saber	骑兵
saber	骑兵队
saber	用马刀砍或杀
bibliolatry	书籍崇拜
bibliolatry	圣经崇拜
psychometric	心理测量的
psychometric	心理测量
psychometric	心理测量学的
psychometric	心理测量学
autecology	个体生态学
heterolecithal	卵黄营养物分布不齐的
heterolecithal	卵黄营养物分布不齐
allodiality	自由地
allodiality	自由
dumbly	默默地
dumbly	默默
dumbly	无言地
dumbly	无言
chlorate	氯酸盐
shanxi	山西
supramaximal	超大的
supramaximal	超大
supramaximal	最大度以上的
supramaximal	最大度以上
chromidrosis	色汗症
americanisation	美国化
snatchback	恶化
snatchback	逆转
snatchback	收回
snatchback	退回
alethea	阿勒西娅
sapience	贤明
morris	莫理斯舞
periscopic	展望的
periscopic	展望
periscopic	周视的
periscopic	周视
tenuto	持续的
tenuto	持续
sporocyte	孢囊
sporocyte	孢子被
proteinate	蛋白盐
eocene	始新世的
eocene	始新世
eocene	第三纪下层的
eocene	第三纪下层
eocene	始新世
eocene	第三纪下层
isograft	同系移植物
isograft	同基因移植物
soroban	日本式算盘
locoism	疯草病
microanatomy	组织学
microanatomy	显微解剖学
sumptuous	奢侈的
sumptuous	奢侈
sumptuous	华丽的
sumptuous	华丽
licence	执照
licence	许可证
licence	特许
licence	许可
licence	特许
licence	认可
licence	发给执照
philopena	双核坚果
shadowbox	与假想敌作拳击训练
shadowbox	谨慎地对付对手
uprush	上冲
uprush	猛增
uprush	冲动
uprush	涌起
pitprop	坑木
pitprop	坑道支柱
spellable	可以拼写的
spellable	可以拼写
idiograph	标记
idiograph	签名
idiograph	商标
archaean	太古代的
archaean	太古代
splack	伴有溅泼声地
splack	伴有溅泼声
splack	以扑通一声
uptear	撕毁
uptear	把……撕成碎片
behtlehem	伯利瀚
behtlehem	耶稣诞生地
behtlehem	耶稣诞生
jackanapes	傲慢的家伙
jackanapes	顽童
jackanapes	猴子
violative	违反的
violative	违反
violative	违背的
violative	违背
violative	违犯的
violative	违犯
interchangeabilty	可交换性
interchangeabilty	可交替性
overwhelmingly	压倒性地
overwhelmingly	压倒性
overwhelmingly	不可抵抗地
overwhelmingly	不可抵抗
hubble	小瘤
zincode	电池的阳极
petiolar	叶柄的
petiolar	叶柄
petiolar	生在叶柄上的
petiolar	生在叶柄上
horn	角
horn	喇叭
horn	触角
horn	装角
baddie	坏人
baddie	恶人
lungfish	肺鱼
hardness	硬
hardness	硬度
hardness	艰难
hardness	难度
saxifrage	虎耳草属植物
pos	Point
pos	Of
pos	Sells
pos	电子收款机系统
nickelodeon	五分钱娱乐场
nickelodeon	一种旧式自动点唱机
cremains	骨灰
cuculliform	兜帽状的
cuculliform	兜帽状
ionosphere	电离层
effigy	肖像
effigy	雕像
bionomy	生命学
bionomy	生态学
steamroller	压路机
talkathon	冗长的讨论
talkathon	冗长的演说
decollate	斩首
decollate	杀头
microstatement	微语句
pippin	苹果之一种
pippin	优秀的东西
technify	技术化
elss	extravehicular
elss	life
elss	support
elss	system舱外生命维持系统
treponeme	=treponema
immunologist	免疫学者
teleferic	索道
teleferic	缆道
gpf	General
gpf	Protection
gpf	Fault
gpf	一般保护错
deformity	残缺
deformity	畸形
deformity	残废
deformity	畸形的人或物
gannetry	鲱鸟繁殖地
gannetry	鲱鸟繁殖
eyereach	眼界
eyereach	视野
corporally	肉体地
corporally	肉体
corporally	身体地
corporally	身体
corporally	个人地
corporally	个人
pietas	敬意
pietas	敬重
transponder	异频雷达收发机
judd	贾德
sweetie	恋人
sweetie	爱人
sweetie	糖果
inquisitionist	审讯者
inquisitionist	检查官
cupronickel	白铜
inalienable	不能让与的
inalienable	不能让与
inalienable	不能剥夺的
inalienable	不能剥夺
peninsular	住在半岛上的居民
peninsular	半岛
peninsular	形成半岛的
peninsular	形成半岛
womenfolk	妇女
womenfolk	女性
audibly	可听见地
audibly	可听见
summarist	总结者
summarist	概括者
enigmatic	谜一般的
enigmatic	谜一般
enigmatic	高深莫测的
enigmatic	高深莫测
hammerfest	哈默菲斯特
vycor	维克玻璃的商标名
cornuto	妻子与人私通的丈夫
skagerrak	斯卡格拉克海峡
putlog	脚手架跳板横木
entrant	进入者
entrant	新到者
entrant	新工作者
entrant	新会员
entrant	大学新生
entrant	参加竞赛者
reaffirmation	再断言
reaffirmation	再肯定
overspeed	超速
overspeed	超速的
overspeed	超速
overspeed	超速运行
turfy	草皮的
turfy	草皮
turfy	用草皮做的
turfy	用草皮做
turfy	泥炭的
turfy	泥炭
turfy	赛马的
turfy	赛马
react	起反应
react	起作用
react	反抗
react	起反作用
schvartza	黑人
schvartza	黑人姑娘
consulate	领事
consulate	领事馆
consulate	领事任期
consulate	领事的职位、权力和职责
labiodental	唇齿音的
labiodental	唇齿音
labiodental	唇齿音
glean	拾落穗
glean	收集
herl	作钓饵用的假蝇
dusty	满是灰尘的
dusty	满是灰尘
dusty	积满灰尘的
dusty	积满灰尘
dusty	粉末状的
dusty	粉末状
dusty	含糊的
dusty	含糊
brachycephalic	短头颅的
brachycephalic	短头颅
mudar	大牛角瓜
mudar	牛角瓜
elbow	肘
synthetic	合成的
synthetic	合成
synthetic	人造的
synthetic	人造
synthetic	综合的
synthetic	综合
roland	罗兰
serfdom	农奴身份
serfdom	农奴境遇
lambdoid	似希腊语第十一个字母的人字形的
lambdoid	似希腊语第十一个字母的人字形
reverse	相反
reverse	背面
reverse	反面
reverse	倒退
reverse	相反的
reverse	相反
reverse	倒转的
reverse	倒转
reverse	颠倒的
reverse	颠倒
reverse	颠倒
reverse	倒转
php	Hypertext
php	Preprocessor
php	超文本预处理器
shirleen	舍琳
purposive	有目的的
purposive	有目
purposive	故意的
purposive	故意
vertigines	vertigo
vertigines	的复数
turgidly	肿胀地
turgidly	肿胀
turgidly	夸张地
turgidly	夸张
tulipwood	郁金香木
satanology	魔王信仰史
satanology	魔王信仰文集
countermissile	反飞弹之飞弹
multilead'	NULL)
nonidentity	不同一性
apotropaion	避邪物
gifted	有天才的
gifted	有天才
respondence	响应
respondence	一致
respondence	回答
respondence	答复
backout	拆除
adsmith	撰写广告字的人
kidney	肾
kidney	腰子
kidney	个性
kidney	性格
insanely	疯狂地
insanely	疯狂
insanely	狂暴地
insanely	狂暴
paramylum	副淀粉
paramylum	类淀粉
paramylum	裸藻淀粉
narrate	叙述
narrate	讲述
narrate	作解说
narrate	讲故事
repaginate	重编页码
acarine	=acarid
solodize	脱碱化
pyrometer	高温计
semidrying	半干性的
semidrying	半干性
semidrying	慢干的
semidrying	慢干
predicable	可推断的
predicable	可推断
predicable	可肯定的
predicable	可肯定
predicable	可推断的事物
ootid	卵细胞
intermesh	使互相结合
intermesh	使互相啮合
cytochrome	细胞色素
pisay	=pise
spurred	装有马刺的
spurred	装有马刺
unmetrical	不按照韵律的
unmetrical	不按照韵律
unmetrical	不讲究格律的
unmetrical	不讲究格律
focalization	集中焦点
merriness	愉快
merriness	快活
hawsepipe	锚链管
okeydoke	=OK
unwariness	不注意
unwariness	疏忽
fahrenheit	华氏温度计的
fahrenheit	华氏温度计
fahrenheit	华氏温度计
fahrenheit	华氏温度计
collinear	在同一直线上的
collinear	在同一直线上
collinear	同线的
