sterling	标准纯银
thankworthy	值得感谢
heteroclitic	=heteroclite
deepfelt	深深感到的
uralian	=Uralic
indulgence	放任
rhythmical	合拍
palliatory	减缓
stackstand	垫架
shock	突击
pieridine	粉蝶科
arcturus	大角星
nuncupative	口述的
escalation	增加
accroach	强占
tramroad	轨道
angina	咽痛
salyut	"礼炮号"
commis	副手
variola	天花
glitch	短时脉冲波形干扰
clear	空旷
faucalize	使带喉音
martellato	槌弓奏法
flatboat	平底船
leafless	无叶的
amoral	与道德无关的
panhellenism	泛希腊主义
thuringia	图林根州
habanero	哈瓦那人
unclassifiable	不可归类
blithesome	愉快
neutretto	中介子
colonial	殖民地的
manned	有人驾驶的
intramural	校内
leatheroid	假皮
rimous	多裂口
infrastructure	下部构造
lantern	天窗
prepositional	前置词的
environmental	环境的
athlete	运动选手
bedsheet	床单
feldspathose	像长石的
horunspatio	horae
windjammer	饶舌的人
effectively	有效地
marseillaise	马赛进行曲
expire	期满
tropology	比喻之使用
halfpenny	半便士之值
queuetopia	Q托邦
norilsk	诺里尔斯克
maltster	制造麦芽的人
apagogical	反证法
cgh	Hope
huarache	条带鞋帮拖鞋
enrich	使肥沃
iodate	以碘处理
lively	真实
rejoicingly	高兴地
reinvition	再邀请
tether	范围
kotow	磕头
physiotherapeutic	`fIzIEJ9Wer`pjU:tIk/
resolutive	消肿
antihuman	反人类的
showbread	=shewbread
logy	迟缓
indissolubility	不稳定性
lacrimate	=lachrymal
charivari	大胡闹
lace	花边
unprompted	未经鼓动
botchy	不精致的
stinker	臭鬼
depressible	可抑低
electroengineering	电工学
pollutant	污染物质
hydrogen	氢
noddy	笨人
kindling	引火柴
saprophagous	以腐败物为生的
asterid	海盘车
singularly	不常见
smokechaser	森林灭火员
sphygmogram	脉搏描记
stationmaster	站长
subphylum	亚门
peloton	佩洛通玻璃
abasable	可贬黜
algoid	水藻般的
henceforth	今后
corticate	有外皮的
corrective	矫正物
monetization	铸造货币
immovable	不动的
miee	of
tussis	咳嗽
openhanded	大方的
uselessly	无用地
yarn	纱线
dyspnea	呼吸困难
autotransfusion	自体输血法
trembly	发抖
scepter	拥登王位
postponement	延期
canting	伪善
nonskidding	=nonskid
controvertible	可辩论
er	铒
dysphagy	咽下困难
inequable	不均匀的
hermes	electromagneticseparator
offal	下水
planetesimal	星子
ivba	Association
undyed	未染色
interlay	插于中间装饰
keenly	敏锐
localiser	=localizer
veena	=vina
emotive	动感情
municipalism	地方自治论
mipmap	MIP映射
jock	苏格兰高原地方的士兵
neutercane	变性热带气旋
erode	侵蚀
kite	空头支票
dun	催促者
blurry	不清楚
surgy	动摇得很厉害
morphotactics	语素结构学
grappler	抓东西的人或物
tincture	酊剂
heaps	非常地
nacred	真珠质
muzzleloader	前装枪
potentiality	可能性
solus	单独的
fatter	丰满的
honorific	表示敬意的
uda	Data
loop	打环
flocculous	丛毛状的
actual	实际
corruptionist	舞弊政治家
abstractive	摘要式
cyclosis	胞质环流
madly	发狂地
phosphene	光幻视
triploid	三倍体
bismuthal	铋的
celibate	独身者
hmcs	Ship加拿大皇家海军舰艇
rabbitry	养兔场
papillose	多疣
forficulate	形状像小剪刀的
chaung	水道
aerially	象空气一样
spandy	漂亮的
jejune	贫瘠
circannian	以一年为一周期
gk97	金山软件公司制作的一个中文界面、用于修改游戏的工具软件
extra	另外
shiplap	用以相接槽口的木板
illegitimacy	不合逻辑
axletree	轴
indophenol	靛酚
iatrogenicity	因医生的治疗而引起的病症
stuart	英国斯图亚特王室
dozen	十二个
slablike	平板状的
form	组成
chirk	快活
gumshoe	秘密行走
expressional	表现的
limpa	甜黑麦面包
lacunule	小陷窝
eric	Center
desirably	愿望地
sure	有把握
bacteriolytic	溶菌
nob	头
liberator	释放者
martyr	殉教者
sfa	Association苏格兰足球协会
acd	Call
muff	弄糟
suberic	木栓的
therewith	与之
encurtain	给……装上帘子
dicty	富裕
create	引起
schimpfwort	侮辱性称谓
catechesis	用问答方式演讲
fraenum	=frenum
victorianism	维多利亚女王时代之风格
substantiate	使实体化
orthoaxis	正轴
denver	丹佛
foaly	怀驹
abortive	夭折的
grayling	河鳟
upswept	向上弯曲
vdt	Display
stalactite	钟乳石
reducible	可简化的
invisible	无形
acetabularia	伞藻
working	运转的
hermaean	赫尔密斯方形石柱的
schottische	其舞曲
perch	位于
preantiseptic	抗菌法采用前的
alta	阿尔塔
beanie	无檐小便帽
disrupt	使陷于混乱
kempt	梳理好
semiyearly	半年一次
leave	同意
unspiritual	非精神
divali	=Dewalee
irksome	令人厌烦的
distinctness	明显
tweet	鸣叫
ampliative	扩大的
constabulary	警官
gynoecium	雌蕊
invandrare	客籍劳工
kurtosis	峰度
decolorize	使脱色
prolixly	冗长
offertory	奉献仪式
immovable	固定的
unretarded	未受阻止的
cooling	冷却
transpositional	变换
untrodden	杳无人迹
overdrunk	overdrink的过去分词
skirting	裙料
mitered	戴礼冠
reasonless	不合理的
altisonant	崇高的
stabbed	刺穿
kaf	希伯莱语的第十一个字母
autoconditioning	自动调整
jove	朱庇特主神
lara	拉腊
laureate	佩戴桂冠的
manizales	马尼萨莱斯
collect	由收件人付款的
exhalant	发散管
retract	缩回
faultfinding	挑剔
outstretch	伸展
piccata	香溜肉片
dipteral	有双廊的
alienator	让渡者
dependency	属国
dutiable	有税
packinghouse	罐头工厂
liquory	烈酒所引起的
processional	游行的
immovable	不动
moorcroft	默克罗夫特陶器
feat	合适
flexible	灵活
mottlement	斑驳状
thanage	大乡绅的身份
reflet	光泽
outworn	用旧
lettering	书写的文字
sententious	富于格言
allot	分派
slash	削减
tootsies	小脚
hortative	鼓励
mammonist	贪财者
scutate	圆盾形
handwriting	书法
clamp	夹紧
wheatland	小麦地
falkner	William
yap	狂吠声
unwrung	不被扭曲的
roam	闲逛
plane	水平
inexplainably	无法解释地
papillate	乳头状突起
incurably	治不好
subthreshold	不足以引起反应的
celestially	神圣
wristlet	腕饰
catrigged	独桅艇装有桅艇式之索具
aging	成熟的过程
junkie	废旧品商人
reduced	减少的
expostulatory	忠告
assiduous	勤勉
moluccas	MoluccaIslands摩鹿加群岛(印度尼西亚东北部马鲁古群岛
pancake	薄烤饼
objurgatory	叱责的
phosphorylase	磷酸化酶
farcicality	谐谑
floral	植物
pteridoid	如蕨类
reasonableness	妥当
neighbor	邻居
marinate	浸泡
impropriator	接受教会财产移交者
hardcase	强健
speculation	思索
nyassa	尼亚萨兰人
commemorable	值得纪念
solicitudinous	焦虑的
chindwin	亲墩江
keister	屁股
indetectable	不易发现
clubbable	善交际
puky	令人恶心
slade	of
exhortatory	告诫的
homeopathy	同种疗法
palatable	美味
crispation	卷缩
ptomain	尸毒
finely	美好地
word	为……措辞
overhead	企业一般管理费用
token	表意
overuse	过度使用
noncombat	非战斗
settler	殖民者
admix	混合
terrifically	极端地
leaf	翻书页
papaw	番木瓜
shrilly	刺耳
paroecious	雌雄有序同苞的
query	表示怀疑
aeolian	伊奥利亚人的
communalize	镇等所有
wolfy	似狼
agreeable	惬意
vasculitic	患脉管炎
prank	恶作剧
brugge	=Bruges
univocal	意义明确的
rale	肺的诊音
fascinator	头巾的一种
pollination	授粉
bibliographic	书籍解题
