vacuome	液泡系
mandora	大型曼陀琳
mooneyed	眼睁大的
aegisthus	埃癸斯托斯
divorce	使离婚
statesmanship	政治才能
sack	布袋装
contributory	捐助
claustrophilia	幽居癖
deliberate	故意
fizzle	发嘶嘶声
calibre	口径
vxd	Virtual
explicative	解释
nitric	硝石的
gauchist	左派分子
arabization	阿拉伯化
redirection	改道
hotelman	旅馆老板
filature	螺丝厂
thunderboat	大型水上飞机
bonnily	美丽
zolaist	自然主义作家
jar	罐
autoionization	自电离
endophyte	内生植物
priesthood	教士
reincarnationist	灵魂转世说信徒
continuator	继承者
orbicular	环状
medley	混合
containerization	货柜装货
gnomic	格言的
rename	重新命名
necessary	必要的
roentgenite	伦琴石
haematogenous	造血
dauber	涂鸦者
covellite	靛铜矿
zounds	表示愤怒惊讶的咒骂声
carboxylate	羧酸盐
disprove	反驳
condonable	宽恕的
rani	王侯夫人
linked	连接
afrit	=afreet
octahedral	有八面的
upbeat	乐观
choking	透不过气来的
hauteur	自大
villose	象绒毛一样
quetta	基达
wftu	Unions
equivalent	等价物
pyrolysate	热解物
roughout	人造品原型
slavish	奴性的
homeopathist	顺势医疗论者
suck	吸取
spcc	the
gag	塞口物
cdsl	DSL
unadvantageous	无益
moist	潮湿的
gametocide	坏配子素
paladin	杰出倡导者
ipm	per
cowrie	货贝
stereopticon	立体感投影仪
explicable	可说明
polyhedron	多面体
scratch	刮
intercession	代祷
apronful	满满一围裙
scratch	发刮擦声
conquerable	可击败的
victual	食物
oscillation	摆动
zing	活力
harleian	哈利父子搜集的文稿及图书的
abusive	滥用
limousine	豪华轿车
lapidate	投石击毙
chasse	作快滑步
uc	大写
delegate	委派……为代表
noncaloric	无热量
consistorial	宗教法院的
thermostable	热稳定的
promissory	有约束力
oft	常常
unorganized	未加入工会
lactate	分泌乳汁
usual	平常
balneal	浴室
therefrom	从那里
scintillant	产生火花
overtly	公开
grimly	严格地
lenticulated	双凸透镜状的
foughten	曾为战场的
inaccessible	难以接近
whole	全体
irreversible	不能取消的
pignus	典质物
spick	=spic
arm	臂
foudroyant	引起敬畏的
regionalist	地方主义者
affected	假装的
datable	按日计工资
aeronautic	航空
planetesimal	小行星体
shintoism	日本之神道教
exconvict	有前科者
shantung	山东绸
crunkle	弄皱
concutient	受到震荡的
willis	威利斯
retriever	能把猎物找回来的猎狗的一种
suspenseful	悬疑的
ratt	radioteletype无线电电传打字电报机
herodian	希律王室的
thickety	=thicketed
montagnard	山地土著民族
uncomfortably	不舒适
demonolater	崇拜魔鬼者
salmagundi	一种意大利式凉拌菜
squatty	矮胖
ugt	urgent
maidenly	处女般
poisoning	中毒
unchristian	粗野的
ampullaceous	瓶状
incombustible	不燃性物质
winnipeg	温尼伯湖
muscularity	发达的肌肉
opiumism	鸦片瘾
autism	自我中心主义
denuclearise	撤除核武器
consecrated	神圣的
sidekick	插袋
tunisian	突尼斯人的
bargain	成交商品
proprietary	私人拥有的
retract	取消
mass	大规模
higgler	小贩
absorbedly	专心致志地
guttate	滴状
columniation	柱列
position	职位
atmospheric	大气的
lapm	Line
tablecloth	桌布
composedly	沉着
imminent	即将来临的
diethyltoluamide	二乙茎甲苯酰胺
talky	说话过多
searchless	不可测知
unpunishable	不该受处罚
preface	前言
teleview	收看电视
tiptop	出色
oviferous	产卵
gimpy	瘸
ultrarightist	极右分子
moor	沼
fluid	流畅的
fullmouthed	声音响亮
waxiness	可塑
ogreish	恐怖的
cassock	教士
weather	天气
ursiform	熊状
infinitely	无限
jokingly	开玩笑
yond	彼处
crocky	破旧
description	描写
harmoniously	和谐
gastrotrichan	=gastrotrich
lightship	灯塔船
simplism	简化主义
jamaica	牙买加甜酒
gadfly	牛蝇
