dover	多佛
unfortunate	不合宜
drawerful	一抽屉之量
disrespectful	无礼的
columelliform	似小柱的
dog	狗
dendroid	树木状
charta	包药粉用的小纸包
orcinol	苔黑素
filmstrip	幻灯影片
pawnshop	当铺
valvelet	=valvule
bioorganic	生物有机
quietus	偿清
straighten	伸直
hydrophilic	吸水
able	有才能的
jadishly	毫无价值
nonbank	与银行无关
amblyoscope	弱视矫正器
jibe	嘲笑
meagerly	瘦
wga	America美国作家协会
malt	麦芽
umbral	有荫影
ethnic	种族的
psalmodic	唱赞美诗的
steepled	尖塔状的
rakish	轻快
flubdubbed	笨拙的
cozily	安乐地
capitoline	Capitol的山丘
underwrite	承诺支付
shoehorn	鞋拔
nephropexy	肾固定术
field	担任场外队员
lithophyl	叶子的化石
congest	拥挤
surmullet	金色羊鱼
quintessential	精萃
cribrose	筛状的
outsole	外底
brcs	British
superstitiously	被邪教所支配
gramdan	赠地
rebel	造反者
subversive	颠覆破坏分子
flagellant	执鞭抽打者
hateable	可恨
silentious	习惯性沉默的
anopheles	疟蚊
lush	繁荣的
worldling	俗物
confuse	搞乱
thistledown	非常轻的
astringe	使收缩
uneconomical	不经济
elevenfold	十一倍地
somatotype	体型分类
document	文献
circumfuse	充溢
ringside	马戏团
fidgety	不安
he	他
printer	打印机
tectonomagnetism	构造磁性
philip	菲利普
heft	分量
simpai	黑冠猴
incog	隐姓埋名
piscary	捕鱼权
phosphorescent	磷光性的
judgement	评价
expatiate	细说
intranational	国内的
academy	学术团体
western	来自西方的人
refute	驳倒
flauntiness	虚华
supervise	管理
rejective	拒绝的
produce	出示
flavobacterium	产黄菌属
crepitant	捻发音的
strawy	稻草一样的
diplomata	diploma的复数
phytocide	植物枯死剂
awake	觉醒
creatureliness	动物或人有的特质
indignant	愤怒
enervated	衰弱的
situated	位于
faculative	偶发的
serried	重叠罗列
congou	工夫茶
unappealing	无吸引力的
eventual	可能
systematism	系统化
mfh	of
simple	简朴的
enforceable	可实施的
installment	部分
tout	吹捧
conferva	黄丝藻
invalid	有病的
lucubration	苦心而成的著作
staminody	变成雄蕊
bibliographical	著书目录的
boomtown	新兴都市
columbium	铌
inhumorous	不滑稽
unlicked	没舔干的
laboursome	吃力
magic	巫术
blessed	受祝福的
equilibrist	杂技表演师
flickering	摇曳的
xerothermic	干热
saucebox	冒失鬼
deseam	除去表面上的缺陷
fodgel	丰满健美
tigrine	似虎的
uncdf	联合国资本开发基金
fracture	骨折
compliment	称赞
seaway	海上航道
echinodermata	棘皮类
surgical	手术上的
contextless	无来龙去脉
trashiness	碎屑
syntactically	依照句法地
dernier	最后的
annoying	恼人的
ece	Economic
esc	/ESC/Page
tig	追到
photoelectroluminescence	光电发光
myrmidon	盲目执行主子命令的人
spoiler	损坏者
ridgelike	脊状的
dogra	多格拉族
social	社交的
krad	=kilorad
inculpable	无罪的
headstream	发源
instanton	瞬子
wolfish	残忍
hyperostosis	骨肥厚
strepitant	=strepitous
monoclonal	单克隆的
hoop	篮
saprolite	残余土
broncho	野马
escharotic	苛性剂
goddam	讨厌的
mischievous	恶作剧
anthocarpous	掺花果
obtained	获
quizzy	爱查问
insalubrity	有碍健康
msts	Service
runproof	不会渗化
abreast	并排地
pmla	Modern
propagation	动植物
trencher	木制食盘的
thistly	有刺的
chinaman	中国人
methoxychlor	甲氧滴滴涕
sacroiliac	骶骨关节病
remonstrative	抗议
easiest	容易的
bloodiness	残酷
underemployed	未充分就业
homorganic	以同一器官发出的
constellate	形成星座
pitch	用沥青涂
counterintelligence	反情报
catchall	包罗万象的
thankful	感激
gyniatry	=gyniatrics
lustration	洁净
devilment	如魔鬼般的行为
hoof	踢
absurdist	荒诞主义者
dicrotism	二波脉
agassiz	trawl阿格赛兹拖网
sciaenid	=sciaenoid
teletranscription	电视屏幕录像
superphysical	已知物理定律所不能解释
rendezvous	集合点
