mao	毛式服装的
osteologic	学
diminutive	小的
synanthropic	生态上与人类关联
magnetogram	磁力图
rasping	锉磨声的
teeny	极小的
choux	chou的复数
continuous	持续
autosomal	正染色体的
underlease	分租
superincumbent	自上而下的
harmonic	和声
redowa	雷多瓦舞曲
rejuvenate	使更新
geologist	地质学者
mural	墙壁上
weightily	重要
articulator	发音之人或物
monarticular	单关节的
meretricious	华丽而庸俗
suine	代黄油
hela	人宫颈癌传代细胞
cobber	合伙人
gadgetize	装置机械
ravioli	馄饨
vendibility	可销售性
abject	卑鄙
huxley	生物学家
rochet	白色法衣
settltment	殖民
atilt	倾斜
unbirthday	非生日那一天
cyclostomate	圆口动物
amboyna	青龙木
hemorrhoids	痔疾
czar	大权独揽的人
waggonette	=wagonette
plodding	单调乏味的
drumbeat	鼓声
ephor	长官
dentine	牙质
attachable	可逮捕
accessory	从犯
adding	增加
demonstrate	示威
soilless	不用泥土的
megacycle	兆周
empiricism	庸医的医术
aubade	黎明曲
dishabilitate	取消……的资格
vox	嗓音
forked	有叉子的
multivocal	暧昧的
hereditable	可遗传的
short	缺乏
silverpoint	银尖笔
sleazy	质地薄
ampersand	的记号名称
basilisk	蛇怪
canonize	推崇
boss	上司
aftercrop	后作
hydric	含氢的
reconvence	再集会
ichthyology	鱼类学
foresaid	前述
simitar	弯刀
dpi	点每英寸
unshift	松开打字机或键盘的字型变换键
gauffer	襞
lacerna	短披风
rush	匆忙地做
presenile	过早衰老的
baccivorous	以浆果为食
sphenopsid	木贼纲植物
physician	内科医师
juglandaceous	胡桃科属的
depositional	沉积的
xanthous	黄色
battue	大量捕杀
huntress	女猎人
tail	限定继承权
radiochemistry	放射能化学
influential	有势力的
lunarscape	月面景色
unlock	解开
schmoll	傻瓜
monumental	纪念碑
puff	吹捧
strategics	兵法
tartarous	酒石
mordacious	刻薄
cladistic	进化枝
adversity	不幸
thin	细的
smithereens	碎屑
bulldike	女相公
slimsy	不结实的
migrate	使移植
myoatrophy	肌萎缩
unconcerned	不相关的
felafel	=falafel
fancy	设想
yell	忍不住笑
oilily	油似
xenotime	磷钇矿
exit	去世
platitudinous	平凡的
rare	珍贵的
cluster	成群
loader	装货设备
booky	=bookish
sermonize	说大道理与人听
gravitas	庄严的举止
trichomonacide	滴虫剂
incapacious	无能的
aldosterone	醛固酮
result	成效
spokesman	代表者
whipsaw	使受双重损失
diastyle	柱间距离等于柱径三倍的
voluntary	故意
multiparty	多党
fascinatedly	出神
tapestry	用挂毯装饰
overflow	充溢
udp	用户数据报文协议
eyeservice	在雇主看着时才干的活
triumphant	洋洋得意
continuable	可持续
backroom	后屋
scullery	碗碟储藏室
petalody	成花瓣形
levallois	文化期的
justification	辩护
rex	雷克斯猫
cockleshell	小划艇
lithospermum	紫草
calligraphy	书法
promote	促进
polysyllabic	多音节
gargoyle	怪兽饰
revanchism	德国复仇主义分子
chloridize	氯化
flannel	法兰绒的
begirt	begird的过去式及过去分词
cerebromalacia	脑软化
condition	情形
crop	产量
dendrite	树枝石
occident	西欧诸国
flowering	以花饰
prediction	预报
unpleasing	不愉快
horological	钟表
equator	赤道似的圈
augean	极脏的
glossematic	语符学的
subversive	颠覆性的
sciagraph	对……作X射线摄影
safeguard	安全措施
language	/
searchless	不可理解的
sutural	针脚的
biannulate	具两个色环
kioto	=Kyoto
paten	金属制平碟
antifederal	反对联邦
galtonian	高尔顿的
enfeoff	授予采邑
unstuffed	不拥挤的
equatorial	近赤道的
propagandistic	宣传家
precipice	悬崖
covey	一群
cardiectomy	心部分切除术
restoral	=restoration
ballistically	弹道学地
invidious	不公平
percuss	叩诊
turbosupercharged	[縫E9tFB:dVE涡轮增压器
eshaustibility	可耗尽
transvenous	经静脉的
submucosa	黏膜下层
