hub	网络中心
wdp	Transport
antsy	坐立不安的
inosite	纤维糖
feature	起重要作用
cowtail	有牛味的
dutifully	忠实
dipartite	划分的
secretively	稳秘地
capillarity	毛细管作用
arrayal	排列
complaisant	柔顺
pocket	击……入袋
befitting	适合
superannuation	领养老金退休
ruffian	凶恶的
interferometric	干涉仪
reversion	反转
estrogenic	动情激素的
starve	使饿死
rummery	酒店
warsong	军歌
possible	可能存在或发生的
marlinespike	解索针
bund	同盟
reward	奖赏
letdown	减低
humourless	一本正经的
matrimonial	根据结婚的惯例
hydrofluoric	氢氟酸的
malfeasant	不法行为
mortuary	停尸房
piping	笛声
nondescript	难以区别的
defy	违抗
zygosporic	接合孢子
drawstring	拉带
saponaceous	圆滑的
uneconomical	浪费
racialism	人种偏见
devolution	转移
crackled	有脆皮
arctic	北极
cern	for
somesthetic	躯体感觉
declivitous	向下倾斜
emerge	显现出来
variational	变更的
bisque	桔黄色
pawl	制转杆
pepsinogen	胃蛋白酶原
migronaut	无国籍游民
rhinology	鼻科学
remorseless	不屈不挠
zigzag	弯弯曲曲地
motley	小丑
pale	暗淡
appreciate	鉴赏
paigle	药用樱草
layering	压条法
gastronomic	烹任学的
wildfowl	猎鸟
acetophenone	乙酰苯
ile	"倾向"
escapee	逃避者
sulfa	磺胺类药剂
colourably	似是而非地
extraparochial	教区外
areopagus	最高法院
beerengine	啤酒泵
masticatory	咀嚼的
fascinating	醉人
pooch	杂种狗
lightplane	私人小飞机
deliberation	商议
digest	融会贯通
body	人
slough	脱落
gristle	软骨
volcanologist	火山学家
bla	Bachelor
rs	rupees
fetch	售
dac	Aircraft
department	系
undone	未完成
religionary	涉及宗教的
suitability	相配
reverent	尊敬
conestoga	一种大篷马车
scarlet	深红的
weightiness	重
slavish	盲从的
hydrostatical	流体静力学
zi	zone
scurvily	下流
very	甚
papillary	长乳突的
whipstall	尾冲失速
ruler	直尺
impenitent	顽固
commodore	海军准将
aglisten	光辉耀眼的
sigmoid	C形
richelieu	黎塞留河
past	过去的
ken	见地
subcutaneous	皮下用的
assailment	痛骂
ani	自动号码标识
with	关于
hyperparathyroidism	甲状旁腺功能亢进
nacarat	鲜艳的桔红色
allegorically	寓言地
wll	Wireless
fiducial	基准
photography	摄影术
tarsal	眼睑软骨的
loathful	令人讨厌
crave	渴望
anastrophy	倒置法
equipment	铁道车辆
acolyte	侍僧
cedarapple	rust
smudge	弄脏
lucullan	富裕的
offering	献礼
bractlet	小苞片
chrysocarpous	结金黄色果实
groats	碾去壳的燕麦
blooming	盛开的
criminal	犯法的
shaky	不安
help	助长
sochi	索契
presence	出席
