disunionist	分离主义者
limicolous	生活在烂泥巴中的
posted	消息灵通
criminatory	控告的
diagrammatic	概略
revery	幻想
exponential	倡导者
transfluence	越流
dishevel	使头发凌乱
declensional	词形变化
chunky	矮矮胖胖
operation	操作
salpingotomy	输卵管的切除
indiscreet	轻率的
asean	South
count	计算
analogically	类推
huffish	发怒
forgeability	可锻性
streaky	容易变
teetertotter	上下晃动
landtied	陆连的
coordinative	同等的
rubbly	碎石状的
postage	邮资
orthopaedist	整形外科医师
kickboard	踢水板
dsn	Data
caressant	爱抚
wonted	习惯
advised	考虑过
autotomize	自行分裂
revisable	可订正
mechanization	机械化
speculate	思索
superb	极好的
endotrophic	体内营养
gpd	gallons
skiascopy	视网膜镜检查
beady	象珠一样
sacrificially	牺牲地
misprise	贬低
deportable	可流放的
mamillated	乳头状的
unformed	未充分发展的
inconsequently	不合适地
foresighted	深谋远虑的
necessary	必需的
geist	感性
fatheaded	愚笨
intolerable	无法忍受
director	主管
answer	符合
epaxially	轴上地
faint	昏晕
carbohydrate	醣类
sulfureous	硫磺质
kooky	怪人
sectionalism	地方偏见
fucking	烦恼等的语气
wash	洗澡
brooklime	婆婆纳之一种
sarmentaceous	=sarmentose
clonesome	机器人般
teal	水鸭
prop	维持
multihull	多船体船的
spirit	灵魂
endocrinology	内分泌学
astrologer	占星家
cytosol	细胞溶质
rachis	叶轴
bellipotent	战力强大的
windless	平稳的
lasable	可受激光照射
euphotic	透光层
workingman	劳动者
molucan	摩鹿加语
deltoid	delta
disquiet	忧虑
subapostolic	十二门徒后的时期
codlin	尖头苹果
isoglucose	糖类代用品
sprowsie	6便士
bedouin	贝多因人
civet	麝猫香
chromatism	变色
foredeck	前甲板
fasciated	成束的
hempy	似麻
montevideo	蒙得维的亚
mitred	斜拼接
restitute	归还
beachcomber	流浪汉
pert	Program
gnarl	节
favorite	亲信
druffen	酒醉
rcvs	College
rehearsal	预演
sabulite	强烈炸药
kenning	比喻的复合辞
petalite	透锂长石
snuggery	舒适的位置
terpolymer	三元共聚物
scummy	下流的
preexilian	放逐前
backboned	有脊椎
spuddy	短而粗
soprano	女高音
expressible	可表现
superb	华丽
agrochemical	农用化学品
amah	保姆
citing	举例
from	今后
pontifical	主教祭服及徽章
supportable	可忍耐
postimpressionism	后期印象派
tetrasyllable	四音节字
excelsior	精益求精的
shiftless	想不出办法的
ectotropic	体外营养的
larghetto	稍缓慢的
