fondly	情柔地
unmurmuring	不发牢骚的
urinose	尿质的
cornucopia	丰富
flush	齐平地
slightly	些微
magistral	主导的
ambulatory	走动
perceivably	可察觉地
atomic	原子
glm	graduated
lithophytic	岩表植物
moravian	摩拉维亚人的
vvip	person
gramdan	赠村
empire	帝国
panleucopenia	猫瘟
oecd	经济合作发展组织
evangelistically	传道
carbarn	车库
reedit	修订
trow	相信
stably	坚定地
sophisticate	曲解
jol	荒芜碎裂的石灰岩高
strainometer	变形测定器
vitally	生死攸关地
lex	罗马公法
uigur	维吾尔人
removable	抽取式的
restaurant	餐馆
abyssalpelagic	深海水域
nutmeg	肉豆蔻
mephistopheles	诱惑者
macadamize	以碎石铺
spiffing	好看的
somesuch	诸如此类的东西
synonymy	同义
bizonal	分为二地区
landgravate	伯爵领主的职位
wonder	非凡
bulrush	香蒲
thundering	异常
strap	用带捆扎
bimestrial	持续两个月的
rind	外壳
one	同样
brumous	多雾
constriction	压缩
leer	淫荡的目光
retina	视网膜
nonlogical	不合逻辑的
amr	Riser
prismy	五光十色的
thiobacteria	硫细菌
nurserymaid	保姆
codominant	共显性的
acaridan	=acarid
hansel	新年礼物
israelitish	希伯来人
bename	为……取名
thule	极北之
cranage	起重机使用费
lymphangial	淋巴管的
incredible	难以置信的
skee	滑水
lobeliaceous	山梗菜属植物的
enterprise	干事业
prop	道具
congregationalism	会众制
contretemps	不合适宜
plumy	用羽毛装饰的
scholiastic	古典注释
immunology	免疫学
vat	装入大桶
external	外国的
lamely	不完全
osteal	由骨构成的
abscisin	脱落素
externally	外表上
polemic	争论
bondage	奴役
uprear	升起
nonluminous	不发光的
irradiant	光辉
seismoscopic	地需求示波仪的
shown	show的过去分词
multiplex	多元的
morosely	忧郁
undergraduette	大学本科女生
elliptically	椭圆形
chatoyance	变彩
grade	级别
exigence	紧急事件
estrade	讲坛
hootchykootchy	胡奇库奇舞
setting	安装
juratory	宣誓的
bland	柔和的
immediate	紧靠的
authorless	作者不详的
endangered	有危险的
ulama	=ulema
extrasystolic	额外收缩
styliform	刺针状的
crusade	宗教战争
bedspace	可以放床位的空间
splotchy	沾上污点
veritably	真
blagoveshchensk	布拉戈维申斯克
nasion	鼻根点
conchy	因良心而逃避兵役者
pipelike	管状的
limpidness	清澈
chaffingly	戏弄地
potpie	一种肉馅饼
tadzhiki	=Taijiki
trapezist	高空秋千表演者
ruffian	残暴的
ishmaelite	以实玛利人
ankylose	使骨愈合
magnetometive	磁势的
reintegrate	复兴
batrachian	无尾两栖类
safrol	=safrole
subscapular	肩胛下
indexed	编入索引的
diagnosis	诊断
chip	筹码
catagenesis	退化
menacme	经潮期
corea	韩国
tanto	那么多
rye	裸麦
functionary	机能的
ceylon	锡兰
stopper	阻塞物
brahmanical	婆罗门的
heterometabolic	不全变态的
disquietingly	令人心烦
passionflower	西番莲的花
bloomy	多花的
jacksonian	杰克逊思想
mamba	曼巴
primogenitary	长嗣继承的
dialectic	辩证
spinulescent	带微刺
plump	丰满
mishandle	错误地处理
motordrome	赛车道路
choreic	舞蹈病的
choke	使呼吸困难
blatantly	看穿了地
miladi	夫人
synaeresis	元音省略
enure	弄惯
winebibber	酒徒
unpolarized	不分化的
