caudillismo	军事独裁者的统治
samoan	萨摩亚人的
schussboomer	直线下滑滑雪者
decretory	法定的
umbrous	被遮荫
clavicembalist	大键琴演奏者
overlearn	超量学习
unifactorial	单基因
calorize	以铝处理表面
conjugality	夫妇
zinco	锌版
melodize	谱成乐曲
semicontinuous	半连续的
quagmiry	多泥泞的
megrim	眩晕
priceless	无价的
anabasin	杀虫剂
enterozoon	=entozoon
mime	笑剧
airborne	空降
sengi	森吉
serumtherapy	血清疗法
puri	宫
montadale	蒙特代羊
homopolar	同极的
zootechnical	畜牧学
ultralight	超轻型的
pertinent	有关的
still	尽管如此
forgivingly	宽大地
plough	在考试中淘汰
transracial	不同种族间的
lending	贷款
unpresumptuous	不骄傲
nephritic	肾脏的
meaning	意图
inconsistency	矛盾
walrus	海象胡须
bibliomancy	圣经卦
heliocentric	以太阳为中心的
flaked	睡去
downbent	弯腰驼背的
piteous	可怜的
sebum	皮脂
impermeable	不能渗透的
swayless	不倾侧的
restharrow	匍匐芒柄花
flattery	阿谀
hpv	papillomavirus
lie	谎话
sab	Board
piping	管道系统
revers	翻领
hyacinthine	紫青色的
paisley	佩斯利螺旋花纹呢
teleset	电视机
priority	前
gratuitous	免费
caliper	测径器
immingle	搀和
choreiform	舞蹈病样的
overfleshed	过肥的
extra	特佳
communist	共产主义者
set	固执的
needments	随身用品
isodimorphism	同二晶
picking	采摘
restaurateur	餐馆老板
hermetical	与外界隔绝
reprobation	斥责
shareholding	股权
lcf	factor
intimity	亲密
rumor	谣传
wampum	贝壳念珠
weathercast	气象报告
rbi	打点
foppishly	浮华地
haybox	以干草填箱保暖的一种炊具
jingo	沙文主义者
recrudescent	复发
proprietorial	所有
disquietude	不安
coprological	淫秽的
streetworker	街道工作者
condemnation	指责
sympatric	同域的
yawl	快艇
biotic	生物
manned	有人操纵的
unavailable	难以获得的
shoulder	肩负
inadequately	不适当
pickaroon	=picaroon
qwerty	标准的传统键盘
corps	军团
pelvimeter	骨盆计
apograph	誊本
sidewise	横斜
consequence	因果关系
reinflame	使再点燃
exclusivism	专有主义
atempo	以原来的速度
ovariectomize	切除
athonite	阿陀斯山的
ampliative	扩展的
ontic	实体的
muscle	肌肉
whelp	小狗
caliga	主教穿的长统袜
