unknown	不知名的
diorama	立体模型
oxybenzene	苯酚
calvados	苹果白兰地酒
monospermous	单种子
unmixed	未混杂他物的
dartle	反复
elide	省略发音
kook	疯狂
unornamented	无装饰
cerography	蜡写法
contrail	凝结尾
chipper	吱吱叫
gelidity	冰冷
reichspfennig	旧时德国铜币
spiky	装有大钉的
mellophone	美乐号
apostatize	脱党
dudish	纨裤子弟
infusive	令人兴奋的
chimpanzee	非洲的小人猿
mound	垛
nongrammatical	不合乎文法的
evalina	伊夫林娜
hurt	损害
fiddler	拉提琴的人
oleandomycin	竹桃霉素
govern	统治
ass	臀部
monetary	货币
adonis	美少年
infant	幼稚的
gabardine	华达呢
benchman	在工作台旁工作的人
arcaded	成为拱廊街道的
jockey	操作员
plumulate	羽毛华丽
stearine	硬脂酸
insouciant	漫不经心的
topographer	地志学者
junta	派别
thumper	击键声检测器
depressible	消沉的
chunderous	令人厌恶的
biradial	两侧辐射对称的
upstairs	在楼上
weird	神秘的
nagged	感到厌烦
ultramundane	太阳系之外
phonetically	语音学上
schimpfwort	骂人的话
nicety	精密
burleigh	伯利
submillimetre	亚毫米
nongovernment	非政府
brachiate	十字对生的
fix	困境
abuliding	兴建中
stilt	跷
geocentric	以地球为中心的
tolerable	可以的
mendacious	虚假
montage	文学音乐或美术的组合体
naughty	不适当
carbonaceous	含碳
accurst	讨厌
rebaptize	为……再施洗
osteologist	骨学家
podalgia	脚痛
such	这样的
vindicability	可辩护性
official	职务上
hotspur	鲁莽的人
systematise	=systematize
catalonian	加泰罗尼亚
jazzily	有爵士特点地
aestidurilignosa	夏绿硬叶木本群落
banefully	有毒
photorealism	照相现实主义
bundobust	组织
grantee	受让人
unsex	使失去性征
mention	说起
nephrectomy	肾切除术
byzantinism	拜占庭风格
flummery	布丁
veiling	面纱
notochord	脊索
barricade	设路障
convincible	可说服
sixty	六十
raid	奇袭
shillelagh	橡木棍
horsefeathers	梦话
tappit	有冠
nasdaq	全国证券交易商自动报价系统协会
square	直角
disclose	揭露
platband	嵌条
bioelectrogenesis	生物电发生
sparable	无头小钉子
recent	新近
platband	扁突线条
interuniversity	大学间的
viremia	=viraemia
he	雄
outlier	局外人
pimply	肿泡的
transpositive	互换位置
unambiguous	明确
rotatory	轮流的
malfeasant	行为不正的
cephaloid	头状花
unprofitable	无利益
sensitizer	感光剂
latifoliate	阔叶的
exultant	非常高兴的
state	典礼用的
cavern	挖空
cheyenne	夏安族
legatary	受遗赠人
make	获
tasmanian	塔斯马尼亚的
abruptly	突然地
be	Be
durance	禁锢
refinance	再供……资金
quiescent	静止的
echoencephalography	脑回波描记术
organizational	组织
jactitation	辗转不安
inventroy	清点存货
traceableness	可描画
usphs	美国公共卫生署
superposition	叠合
ornl	国立橡树岭实验所
yamato	大和民族
shunless	避不开的
pumpman	泵管理员
changemaker	换零钱机
rapper	叩击者
deadness	无生气
unfenced	没有篱笆的
isogyre	等施干涉条纹
petrologic	岩石学
omophagy	生食
ebb	退
rarer	更稀罕的
froggish	蛙状的
raid	搜捕
bulrush	芦苇
macrencephaly	巨脑
modularize	模块化
bookworm	蛀书虫
amphichroic	双变色的
togae	官服
indetermination	无法断定
dislikeful	令人嫌恶
swim	游过
exsertile	可伸出
fadedly	色彩已褪
rubella	风疹
telewriter	电传书写机
annulate	由环组成
regular	经常地
uba	Union
criticality	危险程度
aforehand	预先
hazchem	危险化学品标签系统
ululant	呜呜叫的
weight	分量
clatter	发出哗啦声
declutch	分开离合器
hellyon	=hellion
sargassumfish	裸襞鱼
dacca	达卡
fluoroscope	用荧光镜检查
displace	转移
peruvian	秘鲁人
lindy	跳林迪舞
eternal	不灭
trough	槽
chief	主要部分
freemason	共济会会员
damned	该死
abyssal	深渊
unmentionable	不宜说出口的
flexibly	柔软地
caller	呼叫者
deliberate	故意的
muffle	压抑
potass	苛性钾
unfaithful	不忠实的
notably	特别地
fit	恰当
wonder	惊奇
hade	伸角
pendulous	下垂
ichthyolatry	鱼类崇拜
hazy	烟雾弥漫的
liposoluble	脂溶的
scatty	低能的
clocker	计时员
weakly	有病的
airburst	炸弹在空中的爆炸
belowdecks	在船舱内
overlook	眺望
psid	pounds
anzuk	澳新英
unriddle	解
project	投射
neanic	青年期
ministrable	适合
coalport	煤港瓷器
nobleness	高贵
hypsometrical	测高术的
secularize	改作俗用
poole	普尔
bonded	抵押的
remorselessly	冷酷
lilacky	淡雪青的
gin	轧棉机
justiciable	可在法庭裁决的
plotinism	柏罗丁的哲学体系
steep	不合理
brazen	黄铜制
overlook	俯瞰中的景色
germanophil	崇拜德国的人
blepharoplast	生毛体
