chrysograph	中世纪时代用金色或金银色墨水所写的文件
mcmlxxxiv	1984
visitatorial	访问的
dislikable	可厌
homolecithal	均卵黄的
kibitka	俄国有篷顶的乡下雪车
vasoactive	血管活性
acceptation	意义
lipophilic	亲脂性的
poseur	装腔作势的人
tomo	灰岩坑
defendant	辩护
benedictive	祈求式的
disembroil	排解纠纷
catalog	目录册
underclothed	穿得单薄的
italicise	=italicize
avertable	可避开的
hsh	His
pinfish	菱体兔牙鲷
kinaestheses	kinaesthesis的复数
roc	要求工作能力
cqd	遇险
reflectingly	反射地
tepid	温热
vasoligation	输精管结扎
fashioned	……式的
theophoric	神"
lmg	light
matrilateral	母系的
kneed	有节
contrarily	反对
bimeby	渐渐地
root	根本
repressurize	对……重新加压
defeat	使失败
rarest	最珍贵的
isoenzyme	同功酶
peacebreaking	破坏和平
susceptibility	感受性
clavel	壁炉架
bedaze	令茫然
clava	棒状体
jumbly	混杂
crenelated	在墙上打枪眼
asti	=Asti
energetic	精力充沛的
snorty	流鼻涕
deboost	减低推力
tridigitate	有三趾的
scandal	丑闻
revive	再生效
admirably	美好地
virtue	贞操
heavily	很重
trifle	琐事
phonometer	音波测定器
indiscriminating	不区别on/`IndIs9krImI`ve/9IndIs`krImIneItIN/
victorianism	特征等
pit	使留疤痕
grinningly	露齿而笑
criminal	罪犯
uprise	暴动
underlip	下唇
amphigenous	生于叶子两旁的
damoiselle	处女
bonkers	精神不正常
forsworn	伪誓
apterous	无翼
gain	财物的增加
colorimetric	色度
psychosomatry	心对身
steering	掌舵
renitent	顽强
appreciatory	感激的
prospectus	样张
brimless	无边缘的
xograph	立体影像
scintillate	发出火花
vive	活泼的
nunciature	罗马教皇使节之职
unhandily	不灵巧
operationalize	使开始运转
unpracticed	不熟练的
pellagra	陪拉格病
cercopithecoid	猕猴科之动物
chirography	笔迹
interoperability	协性测试
jolliness	高兴
assiduity	勤勉
extra	不包括在价目内的
racemiferous	有串状花
caledonian	苏格兰人
fail	不及格者
sweetmouth	讨好
unobtainable	难获得的
rightly	正确
photoreaction	光反应
invaluable	无价的
framer	制定者
masterly	精巧的
vestibular	前庭
tektite	熔融石
boletus	牛肝菌属真菌
recallable	可回忆的
become	相称
palm	与……握手
glucosuria	糖尿
co2	carbon
fricative	摩擦产生
undernutrition	营养不良
abuliding	酝酿中的
plutocratic	有钱有势
lampblack	灯烟
phosphorescent	发出磷光的
perinephrium	肾周膜
unido	Industrial
incapable	不能
theist	有神论者
trihydrate	三水合物
frcp	College
cyclothymia	躁狂抑郁精神病
subcuticular	角质层下的
brute	残忍的人
hebdomad	七天
asthenosphere	岩流圈
zebrawood	热带美洲产树木之一
pb	plumbum
readset	读集
cursely	该被诅咒地
droogie	少年犯
unshaped	形状不美
hircine	山羊般的
fiz	发嘶嘶声
cycloheximide	环己酰亚胺
gibing	讥刺的
pertinacious	固执
ssfdc	Floppy
forehoof	前蹄
colourable	可着色的
vries	弗里斯
reiterative	反复
pigeonhole	鸽巢
ostracism	排斥
rapidity	速度
garlandry	花环
lenape	德拉瓦族
agrobiology	土壤生物学
streuth	=strewth
sidle	挨近
limb	翼
unfordable	不能涉水而过的
thankworthy	值得感谢的
teethridge	牙床
luxuriously	豪华地
metaphorize	用隐喻讲话
natter	唠叨
aposteriori	后天的
hdcd	Compact
flavescent	稍带黄色的
miniaturization	小型化
paraparesis	下身轻瘫
unverifiable	无法核实的
limbal	缘
roadway	路面
bumble	拙劣地做
slough	泥沼
doglike	顽强
dehortative	劝阻的
unwieldiness	笨拙
mortal	非常大
fainty	昏晕
sebacic	癸二酸
uar	Republic
unsubmissive	不顺从的
neighborly	邻居似的
collarette	女用领巾
concomitance	共存
deadish	钝浊
nightmare	梦魇
exacting	严格
canephora	=canephor
postboat	邮政船
incrassation	肥厚
diphtheroid	似白喉的
waec	African
foliicolous	叶上生的
leu	罗马尼亚的货币单位
elusive	难捉摸的
serotoninergic	=serotonergic
forespent	=forspent
evaporative	成为蒸气的
sandhiller	沙岗人
pericarditis	心包炎
wringing	湿透的
graniform	谷粒状
agp	加速图形端口
eviscerate	除去主要部分
coryphee	芭蕾舞演员
okra	秋葵荚
tornadic	龙卷风的
brightness	明亮
batrachia	蛙类
pyopericardium	心包积脓
asp	Application
ticklish	易痒的
comose	多毛的
pellagrous	玉蜀黍疹的
legato	连奏地
defensibility	防卫的可能性
alphanumeric	文字数字的
aspirator	吸出器
universal	世界
careenage	船底修理费
innuendo	暗示
fun	有趣的人或事物
similize	用直喻法
mamillated	有乳头的
rejigger	重新装备
aioli	蒜泥蛋黄酱
noncellulosic	合成纤维的
agorot	agora
sweetly	含糖地
isolator	隔离的人
sepulchral	坟墓
polyethnic	多民族
employless	无业的
categorial	范畴
transparence	透明
bulbous	球根长成的
seajack	在海上劫持
rswc	with
negaton	=negatron
busybody	爱管闲事的人
valval	=valvular
cabalistic	犹太教神秘哲学的
clad	穿衣的
ketolic	有酮醇官能团
rap	拍
heroin	海洛因
pinnatilobed	裂的
phylactic	防护
expeditioner	探险队员
calque	语义转借
fid	大型木钉
lacunal	有孔的
mumps	腮腺炎
arrestee	被捕者
peptide	缩氨酸
dative	与格的
contemplate	凝视
precipitinogen	沉淀素原
fantasia	幻想曲
portamento	延音
bitsy	小的
waif	流浪儿童
atelier	工作室
expect	预期
eminent	杰出的
pubis	耻骨
chernobyl	切尔诺贝利
cambium	新生组织
annuitant	领受养老金者
chromogenic	发色
fulminous	雷电的
washomat	自助洗衣店
pretty	漂亮的
unnoted	不引人注意
vesicate	发水泡
prophylactic	预防疾病
ambagious	迂远
assistant	辅助的
afford	提供
oner	无比的人
workhand	佣工
shortbread	用面粉
incommensurable	不配比较的
emersonian	爱默生的
thundercloud	雷雨云
lithic	膀胱结石的
inseverably	不可切断地
heterometabolic	9hetErEJmE`tAbClIk/
adat	传统法律
annelida	环虫类
conn	指挥操舵
chubby	丰满的
stanchly	坚强
tutsan	土三金丝桃
muezzin	报告祷告时刻的人
larvikite	歪碱正长岩
suburbicarian	设在罗马近郊的
axonometric	轴测法的
punctuate	加标点于
awesome	引起敬畏的
handmade	手工的
accompanying	附随的
thalassocracy	制海权
borneol	冰片
enfranchise	给予选举权
wolfkin	幼狼
leptocephalus	鳗的柳叶状幼体
alternate	轮流的
wolfess	勾引男子的骚女人
purposeful	有目
seaway	波涛汹涌的海面
woodcut	木刻
tidiness	整齐
marsupialization	袋形缝术
vindicative	辩护的
pilocarpin	毛果芸香碱
monetary	金钱的
concretive	有凝结力
serious	严重的
choosey	慎重选择
erotology	色情文学
racegoer	经常去看赛马或赛车的人
halitosis	口臭
saturated	渗透
trend	趋势
nasality	鼻声
ecclesiae	教堂
pix	照片
impurity	杂质
ensconce	隐藏
unhcr	High
hackneyed	陈腐的
fortuna	福耳图那
daffodil	水仙花色的
tenable	可维持的
interspace	中间
faculty	能力
conveyorize	在……装设转运带
trailhead	小道的起点
hora	霍拉舞
randomness	随意
somatology	人体学
rigorous	严格的
amphitheater	似圆形剧场的场所
tamarillo	番茄
dioptase	绿铜矿
mimosa	含羞草
dishonor	使蒙羞
indisputability	无争辩的余地
impious	不虔诚
feignedly	装聋作哑地
cbu	集束炸弹
twitch	攫取
uvea	眼色素层
gassy	气状的
parma	中度紫色
unmerge	使分开
humongous	极大
rural	田园
wicker	柳条制
infect	感染
concretion	凝固物
verse	诗
alyssum	十字花科的一年生植物
article	表达清晰
mononucleated	单核
travolater	自动人行道
telautography	电报传真术
photoinduction	光感生
irdp	ICMP路由发现协议
fleece	绒头织物
xeromorphous	旱性结构
tribal	种族
vsat	VSAT卫星通信系统
resolved	下定决心的
unthoughtful	粗心的
retrain	再教育
translatorese	=translationese
provisionally	临时地
perionychium	甲周皮
width	有一定宽度的东西
lecturee	听演讲者
levy	征兵
heartfelt	衷心
morphometrics	形态特征
budgetary	预算
khark	=Kharg
midships	在船中央部
piripiri	刺果薇
pellagra	糙皮病患者
villainy	恶行
hargeisa	哈尔格萨
tumbler	打滚的人
adlet	小广告
lubricious	滑的
biota	生物区
abstractive	摘要式的
almsdeed	慈善
thoroughpaced	十足的
encyclopedic	百科全书式的
transcontinental	大陆那边
nllst	for
hairstylist	发式专家
vouch	断定
drawn	拔出
unspell	使从着魔状态解脱出来
rate	速度
pionium	π介子素
friendliness	友善
deplethoric	贫血的
influent	支流
norwegian	挪威的
ryegrass	黑麦草
plu	us
nice	和蔼的
hypogastrium	下腹中部
portreeve	市长
transgression	海侵
vespertilian	蝙蝠
plectognath	愈颌目的
garroter	勒杀抢劫的强盗
photoinduced	光致
diagonalize	使对角线化
birotation	=mutarotation
pessimal	最坏的
faculative	任意的
razorjob	无情的攻击
mpp	Processing
sequela	后继者
convoy	护送
attribute	品质
enterologic	肠病学的
space	隔开
modulator	调节器
scandal	丑行
homoiothermous	恒温动物的
sere	演替系列
pda	Personal
fluvioglacial	冰水生成
pecuniary	金钱
usmcr	美国海军陆战队后备队
rusticate	使定居乡下
shift	转换
jugum	轭
retell	重讲
muhtar	=mukhtar
sephardic	西班牙系犹太人
humoristic	滑稽
apolar	无极
begot	beget的过去式
bedrabble	使污浊
savate	踢打术
sunbath	日光浴
pertinency	相关性
tea	给……沏茶
superjacent	上覆的
resting	不动
discardable'	NULL)
northwestern	来自西北
kemalist	基马尔主义的
inner	内心的
unexpected	意外的
drag	缓慢而费力地行动
unep	Environment
acidhead	嗜用迷幻药者
bedew	沾湿
haggai	哈该
matthew	马太福音
politesse	客气
fool	奶油拌水果
perplexed	困惑
wither	枯萎
vitally	紧要地
broadway	纵贯纽约市的大街道
reliance	依靠
lively	栩栩如生的
soliloquy	自言自语
envious	羡慕的
hesitant	犹豫不决
obsecration	恳求
gymnastic	训练课程
final	决定性
imbrown	=embrown
polyglandular	多腺的
conspectus	概论
deuteronomic	预言性的
weariful	令人厌倦的
legroom	放脚空间
downhill	倾斜的
ley	草地
tricksy	恶作剧的
ceremony	仪式
rumpbone	骶骨
bla	Arts
tmo	order
rgs	Royal
eyer	注视的人
homebred	国产的
theatrician	戏剧专家
fade	枯萎
radiograph	X光照片
xenomania	外国迷
russety	枯叶色的
racemulose	小串状花序
mineable	=minable
owly	像猫头鹰的
raft	橡皮船
tripartite	分成三部分的
protomorphic	原始形式的
vile	低廉的
ced	经济发展委员会
cer	Canonical
gimel	希伯来文第三个字母
tile	瓦片
wriggler	孑孓
dizygous	两合子
cavelike	似坑洞的
naissance	产生
receptionist	传达员
domestically	合乎国内
aquarium	水族馆
sideling	斜着
enigma	谜
woodsy	树林中的
halfway	不彻底的
unchristian	非基督教
bamboozlement	哄骗
congener	同种的
mhs	消息处理服务
entomb	埋葬
insusceptible	不易受影响
toadeater	谄媚者
garibaldist	加里波第的拥护者
shaky	颤抖的
saury	秋刀鱼
reconcilable	可调和的
dispersion	散布
grassquit	草雀
ambiquity	不定性
conference	会议
medically	医药上
sightworthy	值得参观
turk	土耳其马
unseaworthy	经不住海上风浪的
inoperable	手术不能治愈
vibratiuncle	小振动
bizonal	二地区
endearment	亲爱
superpersonal	超个人的
ducking	钻入水中
tractable	易处理的
contrariously	不利
impregnation	受精
inverter	变极器
best	极
spectacle	光景
tench	丁鲷
pill	口服避孕药
echard	无效水量
lymphomatosis	淋巴瘤病
primrose	樱草色
urinal	尿壶
rewardless	徒劳的
noctambulous	=noctambulant
chalcedonic	石髓
cold	使人战栗的
vj	Video
unbiblical	不按照
saskatoon	七度
moody	忧悒
mitigatory	平静的
bathypelagic	居于深海区
fondly	盲目轻信
ppcc	人民政治协商会议
iatrochemist	化学疗法者
revivalism	信仰复兴运动
elephantiac	象皮病患者
underprivilege	相对贫困
unfortunately	不幸地
quadriplegic	四肢瘫痪者
pomiferous	结梨果状果实的
disarrange	打乱
msha	医院管理学硕士
ambivalent	矛盾
attrit	消耗敌人的行动
woody	木制的
transdenominational	=transconfessional
subaqueous	水下用
pessimism	悲观
unornamented	无装饰的
lowland	低地的
apogee	远地点
dour	不爱讲话的
excavation	挖掘成的洞
avertable	可避开
dodecahedral	十二面体的
globalization	全球性
discutient	消肿
erogenous	性感
chipping	碎屑
letterhead	信笺上方的印刷文字
follow	追随
trypsinize	使胰蛋白酶化
miniminded	没有头脑
tic	痉挛
valetudinarian	无病呻吟者/的人
hurdies	屁股
luetically	梅毒
treason	叛逆
photoactive	光
spongioblast	成胶质细胞
chonju	全州
zodiac	黄道带
fremd	陌生的
coaly	多煤的
prevue	概说
angelical	天使的
fatuity	愚昧
pontifex	大祭司
theory	……论
irascibility	易怒
currently	通常
tuppence	微不足道的东西
ductility	顺从
disciform	圆形的
swither	踌躇
apophysis	突起
conscientiously	良心上
predecessor	原有事物
cacophonous	发音不和谐的
unmeasurable	无法计量
labiovelar	唇软颚音
concern	关系
woodcarving	木雕
sound	海峡
triac	三端双向可控硅开关元件
gracile	纤弱
gyrate	旋涡状的
okapi	霍加皮
remontant	四季开花蔷薇
orgeat	杏仁糖浆
datel	数据用户电报
forbiddance	禁止
ataractic	安定药
doggo	一动也不动
daniel	丹尼尔
geographical	地理的
faulty	不完善的
wearable	衣服
loose	放任
inviolate	未亵渎
chattily	饶舌地
related	叙述的
circumstanced	在……情况下
wasteful	浪费的
unsmirched	干净的
cytotechnician	细胞学技士
unpresentable	不像样的
inundatory	压倒性
dished	中凹
microlithic	细石器
innumerable	数不清
nomad	游牧民
cinqfoil	=cinquefoil
phlegmatical	迟钝
puree	菜肴的一种
antidiuretic	抗利尿剂
vain	无益
emulant	对手
tudor	都铎王朝
cariosity	蛀牙
maturity	成热
sncf	Fer法国国营铁路公司
aspirant	有抱负者
discriminative	有区别地
commemorable	该记住
carelessly	不注意地
magical	不可思议的
coagulative	凝固物
comecon	经济互助会
coralline	珊瑚
flub	搞坏
participialize	将变成分词形式
discreetly	谨慎
bayberry	月桂树的果实
rugulose	有许多皱纹
closemouthed	沉默寡言
tollhouse	通行税征收处
fluxmeter	磁通计
unfaithful	不准确
elfland	小妖精国
digametic	异配子
attributive	归因
fluoridization	用氟化物处理
tabour	小鼓
cesarian	凯撒的
subcenter	次中心区
calescence	渐增温
featly	伶俐
pleat	使……打褶
slue	=slew
hyp	忧郁
auspice	支持
afraid	害怕
outpouring	流露
fundament	臀部
anaphrodisia	性欲缺失
vectorgraph	立体电影
unspeakably	无法形容
polydomous	多巢的
chirpy	嚓嚓叫的
ferreous	含铁
lwl	waterline水线长度
vitligo	白癜风
halide	卤化物的
gratifying	令人满足
fond	喜欢
inimically	抵触地
gnawing	不断的苦痛
excise	消费税
cordage	薪炭材的堆积数
relate	叙述
palingenist	=palingenesist
ceraceous	蜡质
dicephalous	有两个头
younger	较年轻
kilobar	千巴
mesoscale	中尺度
multipotent	能产生多种效果
incommensurable	不配比较
hushpuppy	南部乡下
intreat	恳求
poker	纸牌戏
ppcc	Political
unfrequent	不常见
circular	圆形的
ectocrine	外界微量影响物
tokushima	德岛
tonsorial	理发师的
reedman	簧乐器乐师
nas	Attached
before	在前
histomorphology	组织形态学
flint	极硬的东西
etyma	词源
flowery	绚丽的
bookstand	书架
leverage	杠杆作用
genevan	加尔文教
polonize	使波兰化
jacaranda	紫薇科蓝花楹属
takeup	拿起
calculably	可计算
ectoskeleton	皮骨骼
ensconce	安置
aphaeresis	非重读字首的省略
discommode	使不自由
chanciness	偶然性
blissout	欣喜若狂
preclusive	妨碍的
budless	无蕾
endopolyploid	内多倍体的
freemasonic	互助团
nocuousness	有毒
xylophilous	适木
cochair	担任……的联合主席
clod	掷土块
implicit	不怀疑
paedomorphism	稚态
bowlder	巨砾
grained	除去毛的
vane	风信旗
unwarmed	未温热过
prompting	激励
everyday	平常
squeezable	可压挤
maceration	因绝食而衰弱
bronchogenic	影响支气管
accomplish	达到
incunabulist	古刊本鉴定家
independently	独立
lay	位置
fun	开玩笑
stralsund	斯特拉尔松
hungerly	面有饥色的
levelheaded	稳健的
pacemaker	领跑者
videotex	可视数据
disheveled	不整洁
key	提供线索
concupiscent	贪欲
dotted	星罗棋布的
seismotic	地震的
fibroin	蚕丝蛋白
solo	独奏曲
europeanize	使欧化
stump	难住
antithyroid	抗甲腺的
implacable	不缓和
polyzonal	多环带的
anadenia	腺功能不健全
grab	抢夺
bulletin	公告
indwell	存在于
byr	years
soil	弄脏
returf	再铺绿草
tillable	适于耕种的
stale	疲倦
brace	支柱
anthophilous	爱花的
soluble	可溶的
enlighten	启发
preventible	可预防的
sf	Francisco旧金山
intermediary	媒介的
manikin	人体模型
headworker	脑力劳动者
anapestic	抑抑扬格
formulaic	用俗套话堆砌成
freeload	吃白食
expressive	有表现力的
time	记时的
phenolic	酚
lignocaine	二乙氨基
obviate	避免
frigidaria	保持低温房间
mithraism	密特拉教
portly	魁伟
badass	到处惹是生非的
mend	改良
heroise	=heroize
cumber	阻碍
friarbird	采蜜鸟
lowermost	最低的
convolution	盘旋
denucleate	使去核
cornily	产谷
bergall	青鲈
pelt	猛落
nsm	Material
volumen	羊皮纸书卷
knurr	木球
jacketing	击
religiose	笃信宗教
chaser	猎人
emendatory	修订
rubricate	以红色书写
qualmish	似要作呕
deduction	演绎
pharmacognosy	生药学
skeptically	怀疑地
postbellum	战后的
hecatomb	百牲祭
sanguinopurulent	含脓血
dray	一种撬
semicomatose	半昏迷的
experiential	经验的
furred	毛皮制的
rabelaisian	法国讽刺作家拉伯雷的
goethean	歌德
helpful	有帮助
orthography	正字法
hose	长筒袜
humanness	为人
kirghizian	吉尔吉斯人
peregrin	外国
xtra	电讯术语
advertizing	广告业
unionization	联合
disaffect	使成为敌人
sacrificially	牺牲
southernly	=southerly
ration	配给量
teravolt	太
dissuasion	劝阻
preludial	序言的
hilly	陡
terpsichorean	舞蹈
dolefulness	悲哀
calfhood	幼犊状态
flank	侧腹
deport	举止
lexical	词汇的
feel	有知觉
koorajong	=kurrajong
chervonets	俄国以前的货币单位
plump	突然地
carbonylic	羰基
virulent	恶性的
apparente	明显的
featherheaded	轻率
ferocious	残忍的
eleatic	埃里亚派之信徒
feastful	过节
predicatively	肯定地
slatternly	自甘堕落的
gonogenesis	卵子发生
glabella	眉间
