traveling	滑动
done	合乎礼仪的
decanal	南侧唱诗班的
rattleheaded	愚蠢多嘴的
facility	容易
bnoc	Corporation
espial	间谍活动
intellectualize	使理智化
loral	眼端
equally	公平地
melinite	炸药之一种
register	提示
coiner	造币人
manganiferous	含锰的
staphylinid	隐翅虫
sinistral	左旋
fluidity	变移性
emiocytosis	细胞物质
roughly	粗糙地
acoustical	声学的
copier	制作拷贝者
caenozoic	新生代
novillada	斗牛
pluralist	兼职者
traumatic	创伤
salute	行礼致敬
bondmaid	女奴隶
accentuate	强调
tramontana	屈拉蒙塔那风
patavinity	方言的使用
pigmentize	给……着色
manikin	侏儒
krone	德国旧金币
semibold	半黑体的
preterhuman	超人
dainty	讲究
glairy	蛋白质的
klieg	=klieg
gymkana	运动会
wallow	堕落
irritably	性急
nitrotoluene	硝基甲苯
fossilate	成化石
gemmule	无性芽
dichromatism	二色性
extern	走读医学研究生
phe	公共卫生工程师
endoglobular	在血球内发生的
co	Order
antirust	不锈
toscana	托斯卡纳区
oxo	氧络的
multivocal	多义的
looseleaf	活叶式的
dentirostral	喙边有齿状突起的
rate	费用
headpiece	头盔
sessional	会议
basanite	碧玄岩
penology	监狱管理学
usefully	有用
motion	运动
satchel	书包
intellectualize	赋与理智
astringently	收敛性
abiogenetic	偶发
catecholaminergic	含有儿茶酚胺的
swimmy	眩晕的
rotator	转动体
kitbag	行囊
instead	更换
beamingly	发光
term	期间
monobuoy	单浮筒
field	使上场
oomingmack	=musk
lithic	膀胱结石
kent	ken
geomedical	风土医学
command	命令
dissipated	消散
diphycercal	圆尾鳍的
esthesiometry	触觉测量法
prelibation	预尝
crannog	沼泽地内之人工岛
dodecastyle	十二柱式的
assumption	假定
mildew	霉菌
undercut	牛腰部下侧嫩肉
fudge	梦话
afield	在田野
hurdle	篱笆
aero	航空的
calceolate	拖鞋状
mwa	Woodmen
atonalistic	无调性的
obscurity	阴暗
alternate	预备
coedit	共同编辑
bta	英国旅游管理局
bottom	底部的
crustily	有硬皮
dumbbell	蠢人
