whorfian	沃夫假说
lithesome	柔软的
defy	使……难于
city	城市
shellbark	小糙皮山核桃
dismay	沮丧
formulating	明确地叙述
unboundedly	无限制地
chancre	硬性下疳
leafworm	棉树叶虫
veadar	=Adar
handiwork	手艺
myob	Mind
gynogenesis	雌核发育
overcurious	过份好奇
kmt	Min
macrolide	大环内酯物
skokiaan	无执照酒店供应的烈性酒
ingest	咽下
hatha	yoga瑜伽气功
frate	修道士
immunoregulation	免疫控制
microcapsule	微囊体
luncheonette	供应便餐的小餐馆
habiliment	装饰
scotopic	暗适应的
marginalia	次要的东西
loser	失主
peroxidation	过氧化反应
decretory	命令的
rident	笑
thousand	一千
sinistral	左首
shaky	动摇
affirmatory	承诺的
limner	画家
excusatory	道歉的
imbrue	把……浸
jeer	嘲弄
loud	不断的
whisky	威士忌酒的
splanch	斯普兰奇式房屋
adonis	小白脸
micellization	胶束化
occidentally	西方文化地
url	统一（通用）资源定位器
hide	兽皮
remissive	宽恕的
undissembled	公开
rich	富的
enjambment	跨行连续
veratrize	用藜芦混碱麻醉
polyploid	多倍体
dingily	邋遢
lowermost	最低
improvisatorial	即席的
tepefaction	微温
ashcan	垃圾桶
diagrammatic	图表的
leonora	利奥诺拉
snoopy	爱探听的
unkindly	不亲切地
subabdominal	腹下的
integumentary	外皮
homocentric	具同一中心的
lawfully	合法
cockneydom	伦敦人居住区
rally	集结
tiffin	供应午餐
shippable	可运输
sequestrate	扣押
scrutable	可以了解
softhead	无主见的人
birthrate	出生率
heartstricken	悲痛欲绝
crass	非常的
ai	人工授精
meow	猫叫声
fasciole	狭窄的色带
aphanitism	非显晶岩
kennel	狗窝
intrazonal	在地区内
skatole	粪臭素
lucite	透明合成树脂
horsebean	蚕豆
nutrimental	有营养
arisen	出现
disturbedly	被打扰
mission	使团
umbilical	母系
feoff	封地
omega	结局
unrhymed	不押韵的
evangelism	福音主义
hrip	hic
fecundate	使丰饶
sulfa	磺胺药剂的
triliteral	由三个字母组成的词
fore	在前部的
montanic	多山的
external	外面
portliness	肥胖
disputer	争论者
riverine	河
loof	=luff
participate	参加
sensuous	感觉上
sympathetic	合意的
metatherian	后哺乳下纲
eib	Bank
betimes	及早
root	坚定不移
scope	范围
distinct	独特
pat	人为的
homozygously	纯合子
tinnery	炼锡厂
unbesought	未恳求的
queenlike	女王般
endosporous	孢子内壁
indefinably	无法下定义地
bagarre	争吵
expressive	表达……的
burthen	使负重担
nullipore	红藻科植物
society	社交界
microvascular	微脉管
ruck	一群
obstruct	阻碍物
vote	得票数
stigmatic	有烙印
make	认为
desensitize	减少感光性
lambdacism	将/r/发音成/l/的错误
kingsun	金山公司
punishment	惩罚
unworldly	天真的
embryulcia	钳胚术
haemophilioid	类血友病的
unbrace	松驰
sickly	疾病流行的
comprisal	包括
shantytown	以临时搭盖的陋屋为主的地区
amebocyte	=amoebocyte
hemoblast	血胚细胞
angler	钓鱼者
most	最大
suited	适合
cloop	发砰声
harmonious	悦耳
pegasus	诗兴
coachman	马车夫
pli	linear
philosophism	虚伪的哲学
unslaked	未安抚的
trivium	三学科
furcula	叉突
buster	小鬼
helices	helix的复数形式
muntz	metal
astigmatic	乱视
bimanous	有两手的
writ	文书
goblet	高脚玻璃杯
vertical	头顶
forest	森林的
telomerization	调
veridical	诚实的
cesarevitch	=czarevitch
seasonableness	合季节
finery	鲜艳服装
pussytoes	蝶须属植物
minifloppy	小型软磁盘
hydrogeology	水文地质学
nemoral	适林
hack	出租
flannelet	棉织法兰绒
disputably	有讨论余
honeydew	甘汁
sigmoidoscope	状结肠镜
blackbody	黑体
ultrashort	超短波的
hepatogenous	肝原
bibliopegistic	书籍装订醯
ofuro	大浴桶
glumpy	闷闷不乐
johanna	约翰娜
enfeoff	授予领地
underdress	内衣
unberufen	但愿老走这种好运!
surplice	斜叠
ungainly	笨拙的
depilitant	去毛剂
innocuously	无毒地
asme	美国机械工程师协会
unfished	非钓鱼用的
adsorptive	吸附的
elector	选举人
olympic	奥林匹斯山
protopodite	原肢
flier	飞行者
gigametre	吉米
rowdyish	粗野
falseness	虚伪
conium	毒参属植物
toxoplasma	弓形体
untidy	不整洁
preoccupant	抢先占有
waterscape	水景画
kuomintang	国民党
distributive	分发的
argentine	银色的
mtbf	Time
egyptian	埃及人
justicial	正义
polysyntheticism	=polysynthesism
seaside	海滨
aerofoil	翼型
bachelorette	未婚女子
anthroposophy	人智说
cegb	Central
arenicolous	生长在沙中
structuralist	构造主义
bukharan	布哈拉的
neroli	橙花油
lugubrious	可怜的
homochromatic	只有单色的
unreachable	不能得到的
palaver	交涉
smokily	烟熏着
fibrefill	纤维填充物
grained	漆成木纹的
wake	守丧
francophile	亲法者
antennule	小触角
enframe	配上框子
borak	愚弄
regimen	政体
khurta	宽松的无领长衬衫
courtesan	妓女
brach	雌猎犬
regret	感到抱歉
hypothetically	假想地
pushing	有冲劲
agrimony	仙鹤草
mandamus	履行职责令
sumph	笨人
shaven	修过脸
cms	Missionary
columned	圆柱状
pda	Assistant
gecko	壁虎
raffish	卑鄙
oft	再三
introvertive	=introversive
designator	指示者
korfball	荷兰式篮球运动
profess	表示
extremity	末端
fall	下降
geniture	诞生
supposing	假如
carefully	小心地
contractibility	收缩性
caricature	歪曲的模仿
mass	块
skiey	=skyey
intended	已经订婚的
pathetically	情绪上
helot	农奴
squeegee	使用橡胶扫帚
macroinstruction	宏指令
deorbit	脱离轨道
coprophagous	吃粪的
aforetime	以前的
interphase	相间
demagoguism	煽动
supertransuranic	超铀后
shavie	恶作剧
interdictory	禁止的
projective	投射的
supraconscious	超意识的
flimflam	胡说
pander	拉皮条者
agio	扣头
photodegradable	可光降解
foreboding	先兆
leah	利亚
foreseeingly	有预见地
pivotal	关键
adown	朝下
isogyre	同消色线
preventorium	防病疗养院
boxful	一箱
pearlescent	珍珠般的
wistfulness	愿望
custodes	custos
possession	自制
zing	精力
supplemental	补足
garnetiferous	含柘榴石
newham	纽汉
parc	Alto
masticatory	咀嚼物
hypnotism	催眠状态
mediocritize	使变得普通
wurley	土著小屋
electrical	电的
hibernia	爱尔兰的拉丁名
insult	侮辱
freehold	不动产
callithumpian	吹吹打打吵闹杂乱的街头游行
follicular	卵泡
consumedly	格外
goliardery	放纵派吟游书生的行为
cercaria	摇尾幼虫
soulful	充满热情
barren	空洞
caulker	填塞船缝的人或器具
pageboy	头发内卷
jangler	吵闹者
supplicatory	祈愿
lubber	傻大个
asap	s
nonexistent	不存在的
forge	铸造
somber	昏暗
iata	International
ammonic	铵
haematological	血液学
medievalist	中世纪研究家
dote	溺爱
mongolian	蒙古语
untasted	未经辨味
enemy	敌人的
dactylography	指纹学
unhallowed	污渎
beggary	卑鄙
rebind	重捆
effusive	流出的
curvulate	稍有弯曲
amphibious	两栖的
tumble	翻斤斗
tumbler	杂技演员
metalclad	铠装的
transilient	骤变
farcie	塞有馅的
instillation	滴下
paramyxovirus	副粘病毒
heteromorphous	=heteromorphic
rattlebox	猪屎豆
disembogue	开航
amimeche	M
flashy	浮华
valued	尊重
disputative	爱争论的
justificatory	起辩护作用的
zealotic	热心者的
general	一般的
extracondensed	特狭活体的
seraphic	天使一般的
subantarctic	亚南极的
pippy	多种子的
unsc	Council
extracorporeal	身体外的
sfx	特技效果
literal	照字面上的
eupepticity	消化良好的状态
extract	析取
humorous	滑稽
fashionist	追随时行者
amusingly	好笑
kerry	黑色的小乳牛
ornamentation	装饰品
karafuto	库页岛
laboring	操劳
debatable	可争议
izzat	荣誉
fieldwork	野战工事
estancia	大牧场大庄园
picture	图画
amiens	亚眠
implicit	盲从的
homebuilt	家里做的
fslic	Insurance
versifier	拙劣诗人
fumaroyl	延胡索二酰
verbicidal	歪曲词义
alba	de
unspliced	未拼接的
racemiferous	长总状花序
chide	责骂
warn	发出预告
furfuraceous	似麸的
dispersedly	散乱地
lepidopteran	鳞翅类的
ampliative	扩大
fast	很快
delighted	欣喜的
fussily	无事空扰地
outmatch	胜过
soliflucted	因泥流作用而移动
