verandah	阳台
sestertius	=sesterce
unacquirable	不可占有
pasticheur	集成曲作者
striated	有条纹
monocephalous	具单头状花序
dbms	System
unwell	有病
dpl	diplomat
wood	木头
motorial	运动的
exemplary	可仿效
petulancy	性急
godwards	对神
nonreturnable	不能退给卖主
semiparasitic	半寄生的
teller	告诉的人
vacuum	产生真空的
timeout	工间休息
excitated	激发
unprescribed	非规定
isohume	等温度线
gag	欺骗
rockbound	多岩石的
leontiasis	狮面
indignant	愤怒的
mutability	易变性
suitably	相称
journalism	报章杂志
upbeat	兴旺
xylophagous	蚀木穿孔的
ridgelike	脊状
paddler	涉泥浆者
magnolia	木兰
anemic	贫血
fluxionary	不定的
scrappy	细小的
recognized	经过验证的
kara	Sea喀拉海
collectedly	冷静
chernozem	黑钙土
ouzo	希腊产的饭后酒之一种
tableau	生动的场面
newsstand	报摊
remex	飞羽
raving	语无伦次的
idiomorphic	整形的
peridiole	小包
buffoon	小丑
psychognosis	心理诊断术
laic	俗人的
incursive	侵入的
acrid	刻薄
percept	知觉的对象
organizable	可变为有机体的
glycose	葡萄糖
acantha	脊椎
comprehensively	包括地
farmyard	农场建筑物周围的空地
shunless	回避不了
sextuple	变成六倍
misandry	对男性之厌恶
disrespect	无礼
humiliate	使丢脸
safedeposit	贵重物品保管设备
hairtician	高级理发师
thitherwards	向那边
debouchment	走出
yeo	=yo
viatic	旅行的
sulfadiazine	磺胺嘧啶
triboelectric	静电的
anergy	无反应力
onus	负担
barostat	恒压器
mirepoix	植物性调味香料
absorptiometer	溶气汁
unharmed	太太平平的
benthon	底栖生物
jawbone	信用
brantail	欧洲红尾鸲
polliwog	蝌蚪
interoperability	合作共事型ぷ鞯哪芰
collectorship	收集
guttersnipe	流浪儿
bonnily	美丽地
presentence	宣判前的
zigzag	蜿蜒曲折
pulverous	满是粉的
isotac	同时解冻线
errata	正误表
radiator	冷却器
scyphistoma	钵口幼虫
intrusion	侵扰
unhip	不符合集团其他成员所遵循的习俗
soot	用煤烟弄脏
knobstick	工贼
atonicity	弛缓
mpp	Parallel
chloroacetic	氯乙酸的
nippy	刺骨
eva	太空人在飞船外的活动
sthenic	精力旺盛
cotillion	沙龙舞
unwell	有病的
aseasonal	四季可用
granitiform	花岗岩状的
fastuously	高傲地
asphyxial	窒息的
lactide	交酯
ballooning	气球操纵
idyll	田园诗
puruloid	脓样的
illusionless	无幻觉的
aethereally	轻飘
atheromatosis	动脉粥样化症
univalent	单价染色体的
thermit	灼热剂
screaming	令人惊愕的
loculus	房
snorter	发出噪音的东西
forementioned	前述的
carragheenin	=carrageenan
dactylic	长短格
chandleress	女杂货商
ophidian	蛇类
behindhand	耽误
laryngoscopy	喉镜检查
moony	月亮的
microprojection	显微映象
triclinic	三斜晶系的
aconitine	乌头碱
volcanically	猛烈
flowing	流畅的
roil	煽动
obcordate	倒心形的
hague	海牙
mooneye	月盲症
subversive	破坏性的
plank	厚木板
timbul	铜鼓
extricable	可解救的
homegrown	自家种植
quell	镇压
flagging	铺砌石板
bur	粘附物
xuthus	苏托斯
liable	很有可能
assyriologist	亚述专家
laloplegia	言语器肌麻痹
azo	含氮的
duodecimal	十二为单位的
encroach	界线
mathematician	数学家
town	城镇
degradative	使下降
avventurina	chance
zacharias	撒迦利亚
iaaf	Federation
drum	打鼓奏
ginza	银座
flexuose	曲折
crick	肌肉抽筋
blighted	毁灭
molecular	由分子组成的
upbeat	弱拍
make	前进
set	规定的
inesculent	不可吃的
cemetery	墓地
fungal	真菌的
stagehand	舞台管理
claimsman	意外险的调查员
rascally	流氓的
caravansarai	商队旅馆
introduce	传入
seminary	学院
calciferol	钙化醇
supposititious	冒充
extrahepatic	肝外的
shenzhen	深圳
khanate	可汗的地位
arciform	弓形的
sublime	卓越的
septennium	七年期
technologically	科技
griddle	矿筛
luminarist	用色鲜明的画家
denucleate	除去的核
disestablishmentarian	主张政教分离找对教会不予承认论/
vapour	水蒸气
apology	道歉
zoophilic	爱护动物的
labile	不安定的
tremella	白木耳
aciduria	酸尿
details	详细资料
archiepiscopacy	大主教的管辖
print	印迹
republicanize	使成共和国
shivery	易碎成片状的
diabolatry	魔鬼崇拜
costectomy	肋骨切除术
great	大的
unpunctuated	缺标点的
meticulous	小心翼翼
skip	蹦
genevra	吉纳夫拉
vagarious	异想天开的
fortunebook	命书
vpd	or
marginal	边缘
sparerib	小排骨
libraire	书商
lich	尸体
confusable	易被混淆的
most	十分
pullout	离去
murky	黑暗
tapioca	木薯粉
sacking	制袋子用的粗麻布
unconfirmed	未经认可的
poop	真实的消息
electrolyte	电解液
stitch	缝
raptured	狂喜的
resumptively	概括地
woozy	虚弱
dnp	dinitrophenol
succulently	多汁
faultfinding	吹毛求疵
true	真实
disengaged	自由的
disestablishmentarian	主张政教分离的
expand	张开
abstinence	戒酒
iupap	International
autarchic	独裁的
yowl	吼声
man	为……配备人手
engineman	火车司机或其助手
restauratrice	饭店女老板
dun	暗褐色
gloomy	阴郁
atomization	雾化
unimpugned	未被指责
mspe	of
consummative	使最终得以实现
foa	Administration援外事务管理署
gioconda	蒙娜丽莎的肖像画
juge	法官
editorial	主笔的
caste	社会等级制度
electropositive	阳性
nonprescription	未经医生处方可以买到的
trimly	整洁地
piperidine	哌啶
sunlike	太阳似的
foamy	起泡沫
terribly	可怕地
subthreshold	低于最低限度的
demonstrator	指示者
unep	Programme
dullard	笨蛋
arthrospore	分节孢子
abracadabra	咒语
bacteric	细菌
garlandry	花环状装饰品
downlink	下行线
caenozoic	新生界的
heteronuclear	异核核糖核酸
twu	Workers
cayenne	辣椒
caliginous	朦胧的
eduction	引出
outworn	废弃
puzzling	使迷惑的
spheroid	球状体
hypothenar	小鱼际的
lanner	其雌鹰
harshen	使荒凉
belgium	比利时
eyestrings	眼腱
pitchometer	螺距规
said	上述
economy	经济实惠
unnecessaries	非必需品
curtail	减少
mallow	锦葵属植物
authenticity	真实性
blaff	烩鱼汤
imaginal	想象
asthma	哮喘
flagged	不能再喝的
compulsive	禁不住
slingman	使用投石环索者
fluviometer	河川水位测量器
apostate	脱党者
defeatist	失败主义者
theorbo	琵琶的一种
glossarial	字辞注解的
matchmaking	做媒
faker	摊贩
uteri	uterus的复数
hassidism	=Hasidism
camphor	樟脑
mass	群众的
usga	States
run	run的过去式和过去分词
helve	柄
incorrect	不正确
secondhand	用旧货
pressburg	=Bratislava
distress	使悲痛
sportfishing	从事垂钓的
dewy	如露的
depressing	抑压
rustily	声音沙哑
assistantship	研究生助教奖学金
hoverpad	气垫船的金属底板
velvety	柔软
runic	古代北欧文字的
aquicultural	溶液培养
retire	退却
melodic	有旋律
follicular	滤泡的
restrictivist	限制
firry	多枞树
hemispheroidal	半球体
undulated	波形
louver	天窗
robustious	粗鲁
ratable	按比例的
eversible	可翻转
afterlife	后半生
crocean	克罗齐的
one	一个人
swabian	斯瓦比亚人的
inconsequence	不合适
whiskers	腮须
incoherently	无条理
twisty	狡猾的
tridimensional	三度
hide	痛打
cultipack	用碎土镇压器击碎土块并压实
hypnotic	易被催眠的
complication	并发症
khrushchev	赫鲁晓夫
discussible	可讨论
laryngeal	喉部
imputation	诋毁
cuspidate	尖端
physiographer	地形学者
unsophisticate	不懂世/
nonpasserine	非雀形目的
deamination	去氨基
vixen	刁妇
medley	拼凑的
wry	歪曲的
apprehensible	可了解
neighborly	睦邻
sheerly	完全地
mistiness	模糊
matron	保姆
changeably	不稳定地
supermanly	超人特有的
galley	船上厨房
workbasket	工具袋
unequalable	比不上的
yaf	美国青年争取自由组织
inviolable	神圣
muddily	污浊
healthy	有益于健康
barkeep	酒吧间招待
baragnosis	重觉丧失
