trail	没精打采地走
cemental	白垩质
coexecutrix	共同执行人
degradand	被贬黜者
sabbatism	守安息
conciliationism	调和主义者//调和主义
supremacy	至高
termitarium	白蚁窝
coziness	安逸
suberect	接近垂直
warp	弯曲
polemology	战争学
cranic	脑的
preconception	预想
triumvirate	三头统治
accelerograph	油门
kolkhoznik	集体农庄庄员
argus	阿耳弋斯
lithesome	轻快
govern	管理
ferric	铁
alertness	机敏
avian	鸟类
kinetophonograph	有声电影摄影机
nidify	筑巢
tale	传说
sunshine	阳光
quaint	奇怪的
hypermetrical	音节过多的
diseconomy	不经济
les	Lesbian女子们
validity	有效性
augmentative	有增加力
autobiographic	自传体
hinterland	内
awhirl	旋转
exalbuminous	无胚乳
pharmacopoeia	一批备用药品
pilgrimize	使成为漫游者
distasteful	不愉快
ketogenic	能转化为酮的
eerie	不安
broadmoor	布罗德莫精神病院
aerostatic	航空
minus	负数
magnetostatics	静磁学
pest	有害物
current	通用的
acanthoid	棘状的
primer	初级读本
derepressor	去阻遏物
strome	=stroam
baitandswitch	"上钩调包"诱售法
ahoy	喂
rotta	=rote
beseechingly	恳求地
rhebok	短角羚
rarely	罕有地
metalled	碎石铺面的
antimonarchic	反君主政体
flick	飘扬
overwhelm	制服
whacking	惊人的
acidulous	多少带酸味的
disaccordit	对……不再信任
kafue	喀辅埃河
lithophyl	含有叶子化石的石块
lifelong	毕生的
logroll	滚木材
bucephalus	亚历山大王的战马
earbender	非听不可之人
dolorimetry	痛觉强度测量法
nuke	以核武器摧毁
repulsion	反驳
inobservant	不注意的
generous	慷慨
acting	演戏的
underdress	穿着过分朴素的衣服
swoop	突然袭击
unrestraint	无拘束
accusable	可指控
undivorced	未离婚
marital	婚姻
coat	涂上
hassle	激战
weekend	周末
costly	贵重的
imperceptible	感觉不到的
expiration	满期
dementation	发狂
denitrify	除去氮素
graven	不可磨灭的
chymotrypsinogen	胰凝乳蛋白酶原
bisync	双同步
quickness	迅速
mortuary	死亡的
yearningly	思慕地
gallantly	勇敢地
cybersex	计算机空间的""性""
insolate	曝晒
lesson	功课
fidget	玩弄
strafford	Wentworth
while	直到
extraviolet	紫外线的
photocathode	光电阴极
arrester	制动器
drawplate	拉模板
flavorous	有滋味的
bedazzle	使困惑
patrilinear	=patrilineal
neighbouring	附近
impiously	不信神
homocercy	正尾
balky	倔强
creepy	匍匐的
detinue	非法占有
ahermatype	不造礁珊瑚
hungerly	面有饥色
abjectly	悲惨
ilka	各自
dainty	挑剔
past	结束
tachinid	寄蝇
untalented	不聪明的
tired	疲倦的
grisliness	令人毛骨不悚然的可怕
regardlessly	不受注意
abolition	废除
crossbelt	两条交叉的皮带
stuff	填充
tribalism	部落的特征
jap	日本人
undefended	无防备的
hopefully	有希望地
apterous	无翼的
autopsy	尸体解剖
spree	狂饮
server	服务器
honorable	可敬
unredeemable	不能收回的
vyborg	维堡
fizzle	微弱地结束
refuse	垃圾
markman	=marksman
waxbill	梅花雀
dishonor	拒付
sheridan	谢里丹
piper	吹笛者
deep	深奥
benzomorphan	镇痛药
asexually	无性地
scienter	故意
panthalassa	泛大洋
curling	卷缩
stratocumulus	层积云
subseptate	稍具隔膜
coppery	铜一样
mayhap	希望
immorally	品行不良地
gonial	angle下颌角
brassily	黄铜地
jet	喷射
entelechy	圆极
speedometer	里程计
nevoid	=naevoid
paisleyite	佩斯利主义者
econometrical	计量经济学的
confab	confabulation
pacchionian	bodies
lighterage	驳运费
punctulate	有凹陷
brokerage	回扣
hammy	闹剧
advertizement	=advertisement
containerization	货柜运输
methenamine	六亚甲基四胺
borrowed	虚构的
waxy	苍白
endearing	令人钟爱
webfoot	蹼足
transducer	传感器
armature	电枢爪
eradicate	根除
trichomonacide	杀
snr	年长者
classy	优等的
statistic	统计的
outplay	击败
disfurnish	使无家具或用具
premises	前提
catchy	易使人上当的
buna	丁纳橡胶
offhand	无准备的
decimal	十进的
eidoptometry	视力测定法
embranchment	分支
visualization	使看得见
pioneer	先锋
nobeing	不存在
sensate	可感觉
hitchy	急跳
licorice	由欧亚甘草根熬成的精
foreboding	预感
raja	王侯
waterway	排水沟
gazer	凝视者
hinoki	日本扁柏
kafir	=kaffir
arcover	飞弧
contradictory	反对的
pennatula	=sea
independent	不受约束的
editing	编辑
porket	小猪
ndr	网络数据表示形式
try	审问
allowance	津贴
afips	美国信息处理学会联合会
floral	花
harshly	苛刻
larine	象鸥
attending	主治的
titrimetric	滴定
stardust	幻觉
altogether	完全
subterposition	在下面的位置
ties	结
sultrily	粗暴
andron	古罗马两圆柱中走道
fissureless	无裂缝的
kcb	Knight
webernish	有点像韦伯恩音乐的
piosity	过分虔诚
shoes	鞋子
conceptive	构思
valvulotomy	瓣膜切开术
whoremaster	=whoremonger
minitank	小型坦克
caseworker	社会工作者
fluidextract	流浸膏剂
amerceable	可罚款的
griffin	狮身鹫首的怪兽
bat	Basic
fifth	第五
undercharge	索价低于常价
amoral	与道德无关
benzocaine	对氨基苯酸乙酯
mouthiness	说大话
spurious	欺骗
isodynamic	等磁力
bacteria	细菌
trivially	琐细地
venezuela	委内瑞拉
feretory	棺架
kuwaiti	科威特人
rurban	靠近都市之农村
overstrain	过度紧张
intramarginal	页边内的
clag	阻碍
eldest	年事最高的
pyrometamorphism	高热变质
spelunker	业余性质的洞窟探勘者
oxalidaceous	酢浆草科的
corps	兵队
haemic	血性的
leafage	树饰
reparative	修缮的
photology	光学
extravasation	熔岩外喷
beckoningly	引诱人地
dirtiness	肮脏
sketchily	大略
founder	创始人
lyrate	竖琴状的
obumbrant	悬垂的
vocabular	词汇的
torsel	=tassel
pelletize	使成团
fine	细微地
uncovered	未保险的
charge	充气
laziness	怠惰
trailside	在小路边
offwhite	米色
demonetization	使货币废止通用
apricot	杏
periventricular	室周
adsum	到
condemned	被宣告有罪的
chartreuse	查特酒
unisist	联合国政府间科技情报系统
monstrous	巨大的
southland	南国
deverbal	=deverbative
freshness	气味清新地
campagna	平原
rapper	敲门者
bifilar	双线的
underline	强调
phoenicia	腓尼基
ankara	安卡拉
verifiable	能证实
psychotherapy	心理疗法
nonparous	未生育过的
whence	根源
wandering	离题
unspiritual	非灵魂的
fixative	定色
unpitying	无恻隐之心的
harmonious	和谐的
papistic	天主教的
swish	嗖嗖声
hoarding	临时围墙
malodor	恶臭
shebang	全部家当
antisepticize	防腐
maui	毛伊岛
potty	琐碎的
softheaded	傻
acrimoniously	尖刻
transpersonal	超过人
stunt	妨碍……生长
stalemate	成为僵局
coach	教练
patagonia	巴塔哥尼亚
mechanical	机械制
rationale	基本原理
primitive	远古的
flattering	讨人欢喜
blacktailed	deer
mithraic	密特拉神
wrecker	肇事者
chield	小伙子
journalese	新闻文体
mwa	of
sap	坑道
valkyr	瓦尔基里
dm	数据管理
alms	施舍
smartness	机灵
medullary	髓质
photokinesis	趋光性
predacity	捕食性
tired	累
squillagee	=squeegee
casaba	甜瓜的一种
idealistic	唯心论
uninjurious	无害
bedeck	使美丽
unwary	粗心
unexpectable	无法预料
tell	作证
inquilinous	寄居动物的
shorefront	沿岸陆地
chilly	寒冷的
sloyd	瑞典式的手工艺教育
evident	明显
torchy	感伤恋歌式
samos	卫星反导弹观测系统
sourdine	弱音器
thumbnail	极小的
acierate	化铁为钢
aylmer	艾尔默
agrology	实用土壤学
alsatian	阿尔萨斯人的
blackhearted	恶毒
crisscross	交叉往来
feigned	假
radiocolloid	放射胶体
hooch	私酒
disprovable	可证明为误的
freebee	免费赠品
expellant	驱逐
organa	organon和organum的复数
stoutness	刚毅
corking	非常
marcescent	雕存的
deplumate	除去羽毛的
therewith	随其
lather	肥皂泡
glyph	字的轮廓
calcaneal	脚后跟的
craniopharyngioma	颅咽管瘤
calque	仿造
bloke	笨蛋
alburnum	边材
undependable	靠不住的
ichthyomorphic	鱼状的
verily	肯定
arcover	电弧放电
natural	关于自然界
borzoi	俄国狼狗
ludicrously	可笑地
fold	抱住
inarticulately	口齿不清
osf	Order
guitarist	吉他弹奏者
loutish	粗野
propagandistic	宣传家的
worrying	令人担心的
uremia	尿毒症
resend	再寄
shakable	可动摇
reserved	包租
ironhanded	严厉
rectilineal	哥特式建筑的
mazaedium	粉状物
holarctic	全北区的
scourer	洗刷物品
beady	饰有珠子
benefice	有俸圣职
noctambulation	梦行症
graham	全麦
humerus	肱部
swat	Warfare
sememe	义素
soberize	使严肃
passionflower	西番莲科
ovarian	卵巢
worms	计算机网络"蠕虫"
cyathiform	杯状的
patella	膝盖骨
dextrorsely	右旋
nomenclatorial	术语
cartesianism	笛卡儿思想
puffingly	气喘吁吁地
elopement	潜逃
sackless	麻木
dissuasive	劝戒的
froe	劈板斧
radius	辐射光线
winchman	卷扬机操纵工
weakly	软弱
monteith	凹口碗边大银碗
arthroplasty	关节造形术
equivalent	相当
spatterware	杂色釉陶
sao	At
pyogenic	生脓的
earlobe	耳垂
homoeopath	顺势疗法医师
cephalated	有头的
gentile	异教徒的
uniflow	单向流动
maternal	母亲
hypnotically	催眠
flamboyancy	火焰状
garnet	石榴石
cloudless	无云
chico	藜科灌木
diminish	变小
armory	纹章学
infix	让……插进
pump	抽水机
falderal	愚蠢的想法
anthropopathic	拟人
potstone	粗皂石
creviced	有裂缝的
battlewagon	战舰
heady	猛烈
recomfort	鼓励
cernet	Research
kashmirian	克什米尔的
wri	insurance
brash	无礼
fusain	炭笔画
gem	珍宝
telstar	通讯卫星
boffo	风行一时
tablet	牌匾
dinosaurian	恐龙
browsy	浏览性质的
guyana	圭亚那
orient	东方的
unshapely	不匀称
autarchic	专制国家的
tall	长的
swith	立刻
saxicolous	生于岩石上
thwack	重击
pillowy	枕头般的
brize	牛虻
peart	聪明
phalanx	方阵
beuthen	=Bytom
sandrock	沙岩
propagandism	传道
hateful	讨厌的
fac	空军前进引导员
adenoidal	腺状
crump	爆炸
lactate	乳酸盐
fretful	起波纹
scribble	潦草的写法
technetronic	电子技术所支配
trigonometer	三角计
left	左侧的
participial	分词
copious	广识
sustentaculum	支持物
mousse	一种多泡沫含奶油的甜点
revisability	可订正
cassab	亚洲籍商船水手
postliterate	文字后的
cathartic	导泻
zuni	祖尼人
genuflexion	曲膝
clinicopathologic	罰E`lCdVIk/
chereme	语素
bonza	=bonzer
fhwa	Administration
retire	引退
brainwash	洗脑
segment	片断
animated	愉快的
lean	歉收
harvesttime	收割期
diageotropism	横生
plan	计划
spray	飞沫
unbeknown	不为人知
waiting	等待
bazar	市场
outrageous	残暴
precedence	居先
solidungulate	马科的
drouth	长期缺乏
anthea	安西娅
catalogic	目录的
coprophilia	粪便嗜好症
adenoidal	腺状肿
edmonton	埃德蒙顿
gular	喉部
constriction	收缩
french	法国人
rodent	嚼
steak	肉片
demission	辞职
overhead	在头顶上
vein	象脉络般分布于
trangam	小装饰品
rhizophoraceous	红树科
hetaerism	群婚
louis	路易斯
zoography	动物志学
somnambulary	梦游者的
childmind	照看孩子
hyperboloidal	北极
gular	喉部的
moistureless	干燥
glidingly	滑顺
varvel	奇异之景
cableship	海底电缆敷设船
spinally	在脊骨方面
monocarboxylic	一元羧
gilbertian	吉柏特派
medium	媒介
lanthanide	58至81
rumination	沉思
confirm	确定
spiny	剌状的
zoologic	动物学的
cogged	作弊
undeveloped	不发达
seminal	种子
pesky	极端
overmodest	过分羞怯的
level	拉平
shaven	刮过脸
machinable	可加工
doubtfully	含糊
remigration	再迁移
unmotherly	不慈爱
imperceptivity	无知觉能力
seaweed	海草
andiron	壁炉
brachyuran	蟹
hairstreak	灰蝶科
schoolmate	同窗
waterloo	惨败
infidel	不信宗教的
waxy	蜡色的
sustentaculum	支柱
glaring	耀眼
queen	女王
novelle	短篇故事
inositol	纤维醇
imperceptible	觉察不到
viscerocranium	面颅
devotedly	一心一意地
heathery	似石南的
uncovered	未保险
smd	圣乐博士
electrocoagulation	电凝法
ceremony	礼节
be	在
lavendery	芳香的
plump	沉重
flapjack	烤饼
enneahedral	九面
oath	诅咒
nunchaku	索连棍
equalarea	等面积的
seel	使盲目
bacchantic	狂饮作乐的
gene	Gene
sybase	美国赛贝斯公司
monomaniacal	偏执狂的
scarecrow	衣衫褴褛的人
jackaroo	新手
tentative	尝试
nursing	养育
prongy	叉状的
love	热爱
untogether	乱七八糟的
tinea	癣
christhood	基督的地位
liquid	明亮的
opus	作品
dene	沙丘
baltic	波罗的语的
sneery	嗤笑的
hypermetamorphic	变态过度
wallpiece	舷炮
mirky	黑暗
crookedly	弯曲地
maroon	栗色
obstupefy	使愚钝
vug	晶簇
madid	湿润的
hornless	无号角的
everywhither	至各处
frankness	坦白
irdp	Router
pyrocrystalline	火成晶质
disaffection	不满
screech	尖声喊叫
proof	证明用
professional	职业运动员
bag	猎获物
intelligentsia	知识分子
liveried	穿制服
saltchuck	海洋
haunted	受到折磨的
fondly	天真地
esthetical	美的
antagonise	使反抗
scutella	角质鳞片
puritan	清教徒的
crenelet	小枪眼
raffish	艳俗的
slopewash	坡积物
clift	绝壁
uddi	and
polder	开拓
presentational	直觉
nightwalker	夜行症患者
evolution	演变
elongate	伸长的
perfect	熟练的
deadwood	枯枝
cognate	同类
cins	需监管的孩子
deck	甲板
bft	File
dowel	木钉
personal	身体的
indivisibility	除不尽
convenable	可召唤的
fibrovascular	维管的
papule	丘疹
wfp	Program世界粮食计划署
villeggiatura	乡居
festoon	使成为花彩形
declaim	演讲
crank	转动曲柄
textured	织地粗糙的
steep	悬崖
deficient	缺乏
inappropriate	不适当的
seed	子孙
inoculate	接种
edging	流苏
kilowatt	千瓦
jbs	Society约翰·伯奇协会
imminent	即将来临
foresighted	能预料的
achates	忠实的朋友
incommensurability	不能通约
repulse	憎恶
ansate	有柄状部分的
unreported	未报告的
entrance	门口
jet	黑玉
forbidden	forbid的过去分词
habitably	适于居住地
endotherm	恒温动物
unassimilable	不能消化的
juvenescent	变年轻的
token	象征
ectomorphic	外胚层体型
libertine	浪子
aesthetical	=aesthetic
nidamental	缠卵
condonable	宽恕
vertical	直立的
feuilleton	报纸下面的专栏
greengage	青梅
adventureful	富于惊险事件的
subsist	存在
antiremonstrant	反对抗议者
sweetly	甜地
quixotically	唐吉诃德式
sternutative	催嚏剂
ephemeral	短命的
bam	迷惑
enactment	设定
bale	大包
baronship	男爵之地位
plating	电镀
waltz	前进
hypobranchial	鳃下的
pithless	无力的
paleornithology	古鸟类学
avulsion	扯离的部分
chert	黑硅石
optical	视力的
depressing	沉闷
splitsaw	粗齿锯
balmy	温和
transmethylation	转甲基作用
repentance	悔改
recopy	再抄写
inflammatory	煽动性的
fishable	可钓鱼
vegan	严格的素食主义者
rubbly	碎石构成
cluj	克鲁日
gladdest	的最高级
singularly	不常见地
deposition	废王位
exceptant	例外的
sandbag	堆沙袋
reform	感化
lumping	很多
aluminography	铝版术
keyswitch	键形开关
disfavour	失宠
thickening	使变厚
roseal	玫瑰色的
shock	休克
mendelism	孟德尔遗传学说
mildness	温暖
gerontophil	嗜耄癖
corolline	似花冠
width	宽/高比
decorous	有礼貌
sternforemost	船尾向前
tsarist	主张独裁政治者
outwardly	外观上
tahsildar	收税人
naderite	主张保护消费者利益者
place	地方
omoplate	肩胛骨
trihydroxy	三羟
linguistic	语言学上的
paramnesia	记忆错误
charlatanry	吹牛
intrusive	打扰的
entablature	柱上楣构
lcp	Control
sheba	~
astir	骚动的
orthorhombic	正交
exhilarative	令人兴奋
marlin	四鳃旗鱼
factionalize	使分裂成对立的派系
gena	颊
klik	=klick
wicket	便门
puzzlehead	头脑不清楚的人
quincy	昆西
spherometer	球径计
acclivitous	上斜
conservancy	保护
algoid	海藻般
hypothetically	假设
boding	凶兆
plenteous	充足
hexachloroethanc	六氯乙烷
nonvector	非传病媒介
eximious	超凡
synchroneity	=synchronism
wobble	不稳定
msls	图书馆学理科硕士
schedular	时间表的
depolymerize	解聚
alms	救济物
galliwasp	数种长蜥蜴
jun	六月
muzhik	农夫
wet	多雨的
tonoscope	音高镜
clem	使饥饿
unvouched	未被证实的
reusage	再使用
peer	窥视
maternalize	使充满母性
saxtuba	低音萨克斯管
corruptible	易腐败
tarsal	眼睑软骨
swanky	漂亮
nonsensical	无意义的
tenant	房客
deteriorate	恶化
evidence	明白
verecund	谦卑
unseaworthy	不适于航海的
nuts	胡说
patient	忍耐
score	记分
souse	腌制食品用的盐水
hematology	血液学
spoiler	抢夺者
unga	Assembly
riflery	步枪射击
abcoulomb	G
general	普通
sootlike	似煤炱
infrequent	罕见的
element	要素
lionly	狮子似的
woody	多树木的
galenic	古希腊名医伽林的
insomuch	由于
bromelin	菠萝蛋白酶
parallelism	平行
gradation	顺序
fabricate	伪造
submillimetre	小于1毫米的
testily	易怒地
hydroxylase	羟化酶
intrazonal	隐域性
reenlistment	再从军
diapedetic	血球渗出的
humourous	滑稽
archangelic	天使长的
nuclear	核子的
hum	嗡嗡叫
practicing	在工作的
mycophilic	食蘑菇
scarlet	鲜红色布
meek	驯服的
monticulate	有小丘陵
cuprous	亚铜的
forcipate	钳状的
interruption	中断
kamerad	朋友
propriety	适当
tipsily	喝酒
savable	可储蓄
flagelliform	鞭状
stop	填塞
methodical	有方法
feature	是……的特色
horunspatio	unius
