onfound	使混淆
hypobaric	低比重
vibrator	振动器
slavophil	亲斯拉夫人
bamboozle	欺骗
scholar	学者
invariance	恒定性
lowlands	苏格兰东南部的低地
simpleminded	率真的
incapsulate	压缩
golly	神
neutralisation	中立状态
postoffice	邮局
internuclear	核间的
landeshauptmann	州长
lutrine	象水獭
syphilotherapy	梅毒的治疗
taoist	道教的
etymon	词源
retrospective	回顾的
storiology	传说研究
infuse	灌输
compressional	与压缩有关的
olg	Low
viking	北欧海盗
cystic	胞囊的
traffic	交通量
carbonatation	二氧化碳饱和
unforested	未造林的
briony	=bryony
exorability	心肠软
luciferous	明确的
sagely	贤能地
reportable	值得报告的
manxwoman	马恩岛女人
prodigalize	浪费
emiction	小便
volumetric	测定体积
regret	悔恨
fluxion	不断的变化
trengganu	丁加奴州
grade	评分
frailish	无力
sewer	缝具
flee	逃
apt	易于……的
gluttonous	贪吃
amyloid	淀粉体
inappropriate	不适当
coalbox	发黑烟的炸弹
hypnosis	催眠
insectual	小虫子似
torreyite	羟镁锰锌矾
ascensiontide	升天节
tinplate	镀锡铁皮
scansion	按韵律诵读
shikotan	色丹岛
megimide	贝美格
sportfishing	垂钓用的
adolesce	如青春期少年般行事
lumber	无用的杂物
chackle	喋喋不休
crepuscle	黎明
reciprocate	酬答
paye	Enter
mendicancy	行乞修道士
band	带子
preterlegal	不合法
intercurrent	并发的
dazzling	眼花缭乱的
sleuth	侦探
oppression	压抑
undertip	对未给足小费
pseudoscorpion	伪蝎
economy	系统
exasperating	气死人的
janissary	土耳其兵
neocosmic	新宇宙论
oxford	牛津
unwatched	未被观看
gorgerin	柱颈
eraser	橡皮
lpn	Nurse
fastidious	苛求
deictic	直证
interactional	相互影响
knur	结节
monsoon	雨季
accentual	有抑扬的
mooneyed	眼睁大
mammogen	乳腺发育激素
opiumism	鸦片中毒
amphibiotic	长大生活在陆
expensive	昂贵的
exhumation	发掘
broadcaster	广播员
nonfeeding	不进食的
mesial	中央
flattery	奉承
bathorse	军用驮马
replete	充满
redfish	鲑
carmelite	派的托钵僧的
sjc	Judicial
nullification	取消
conjuncture	接合
solubility	溶解性
biomass	生物的数量
dispatcher	发报机
presto	迅速
throughother	杂乱
fissirostral	有裂喙的
trustee	托管人
merger	合并
asleep	睡着
gambir	苍儿茶
sleepyhead	贪睡者
floccillation	捉空摸床
occultism	神秘学
forbearing	忍耐的
sivaite	崇拜湿婆者
rhetorically	讲究修辞
weedy	杂草多的
hematocryal	冷血
antepaschal	复活节前
incent	激励
prop	支撑
ontic	本体
runless	无得分的
mnemotechnics	记忆术
rigmo	mortis
yellowwood	黄色木材
endosymbiosis	内共生
lime	酸橙
fast	紧紧地
structureless	无定形
coronium	氪
lendable	可借贷
epidermoid	像表皮
cold	不热情的
tacitean	似塔西佗文风的
nondescript	无特征的
urania	掌管天文的缪斯女神
hypermetamorphic	osis/`haIpE9metE复变态的//`mR:
sharkskin	鲨鱼皮
aswoon	晕倒的
cloture	讨论终结
haji	赴麦加朝圣过的伊斯兰教徒
escap	an
tsetse	舌蝇
clasp	抱住
vasoactive	影响血管
commando	水陆装备突击队
puttyblower	射豆枪
colory	色泽甚浓的
hydrotrope	助水溶物
arbitrage	套汇
vocabulary	词汇量
hotly	激烈
conglomerator	联合大企业的领导人
tagrag	褴褛
sortita	出场咏叹调
spar	园材
astatically	不稳定
geometrise	=geometrize
inc	包括
multiparous	非初产
inventory	财产清册
bubby	乳房
undercooked	煎
feathering	附装羽毛状
wettable	可霑
agglutinative	会胶合
stenciller	模板印刷工具
xenolalia	=xenoglossia
succulently	有兴趣地
inclinable	倾向于……
denobilize	降为平民
mill	被碾磨
limpid	清澈
broad	明朗的
meganewton	兆牛顿
velarity	软腭性
optically	视力
praline	果仁糖
irrelevancy	不恰当
tasteful	有鉴赏力
xylophilous	喜木的
winning	动人
ground	地面上的
ingot	锭铁
enrollment	入伍
unseaworthy	经不住海上风浪
patagonian	巴塔哥尼亚人
descriptively	叙述地
exponential	指数
ataxic	混乱
lamellirostral	扁嘴类的
suction	抽气机
sexfoil	六叶性的植物
inscription	题字
cystamine	塞斯塔明
confounded	讨厌
epipastic	撒布用的
sabre	马刀
brainpower	智囊团
getup	服式
arrowheaded	镞状
cripplehood	残废
reprovingly	申斥地
gradual	逐渐的
convalesce	渐渐康复
peer	封为贵族
doctrinist	教义至上主义者
generation	一代人
laryngology	喉科学
vasodilator	血管扩张的
technicolored	天然色
promptness	机敏
rearmament	改良装备
dextral	右旋的
vibronic	电子振动的
unobjectionable	难反对
enigmatical	难解的
formalin	甲醛水
tetraspermous	四种子
goosey	愚蠢
contralateral	对侧
average	通常
hellkite	残忍的人
consistent	坚固
inculpable	无罪
fibroplasia	纤维素增生
boloney	荒谬
pitiable	可怜的
grittiness	坚韧不拔
endotrophic	体内营养的
ignobly	卑贱地
inherency	固有
counsel	忠告
haematologist	血液病学学者
kempt	整洁的
deflationary	通货紧缩
excircle	外切圆
bwr	water
antacid	抗酸剂
trunk	箱形的
divisive	不和
roboticist	机器人专家
tipple	饮烈酒
thresh	打谷
dyspeptic	患胃病的
popish	天主教的
eximious	杰出
traumatic	外伤的
gun	用枪打猎
metropolitan	大城市
death	死亡
nonconformist	不信奉英国国教的
celestine	塞莉斯泰因
arsphenamine	胂凡纳明
almond	杏仁壮物
tripinnate	三回羽状
chincherinchee	球根植物
deep	难懂的
shakiness	颤抖
exertion	行使
choiceness	精选
coleopteran	鞘翅类之昆虫
lerp	昆虫分泌出来的一种蜜
emulously	好竞争
brassy	厚脸皮
radiolarian	放射虫
accessory	附加物
hematoxylin	苏木精
tomorrer	=tomorrow
contraindicate	显示不当
garote	西班牙的绞刑具
physicianship	医生的职位
remnant	零料
stearic	硬脂的
pout	绷脸
newissue	新发行的债券
decanal	院长
admire	赞美
intensification	激烈化
agonisingly	苦闷
mongeese	mongoose的复数
crockery	瓦器
pine	消瘦
anybody	pro
dreadful	可怕
evolutive	进化
msie	Science
adrenergic	肾上腺素
pray	恳求
organdie	蝉翼纱
apostate	背教的
mount	安放
clavate	一端膨大的
fashioned	……风的
plu	like
cartelize	组成企业联盟
done	注定要完蛋
softbank	日本最大的软件销售商
ceuca	African
acropolis	雅典的卫城
telephotogram	传真电报
disband	裁减
sublime	异常
unselfish	慷慨
direct	直接
transfiguration	变貌
dead	突然的
ho	满足
piranesi	即
berime	作诗
vulturous	兀鹰的
undam	使从堤中涌出
adularia	月长石
uptrend	向上
rush	灯芯草
taxless	免税的
damaged	被损坏
exigency	紧急事件
crosswise	交叉地
hieromonk	圣职修道士
blazing	炽烧
propitiatory	和解的
solarism	太阳中心说
smoke	抽烟
incoherence	不连贯
horizontality	水平状态
guttatim	逐滴
walloping	十足
televise	广播
mattress	空气垫
gct	Time
put	固定不动的
sideline	局外人的观点
refractile	折射的
current	当前的
structure	构成
rampike	直立的死树
florescence	开花
world	世界
tannoy	其商标名
sessional	开庭
sapan	=sappanwood
scot	Scot
klunky	残旧
unimpressible	不可印
left	在左面
reencounter	再相遇
unreclaimable	=irreclaimable
defecator	精制机
pericardiac	围心的
brinjaul	茄子
nephrostomy	肾造口术
travoise	旧式雪橇
bejewlled	以珠宝装饰
tragus	耳屏
oystershell	牡蛎壳粉
periapt	护身符
peppy	活泼的
culturist	培养者
adverbial	副词
generous	慷慨的
photolithograph	影印石版
snowcat	雪地履带式车辆
swart	有毒的
anglocentric	以英格兰为中心
footsie	挑逗
shock	震动
pararescue	伞降救援
chronon	假设的计时单位
sforzando	强调音符
myxoneurosis	黏液神经机能病
flocculent	羊毛状的
noser	迎面强风
khanka	兴凯湖
faddist	趋于时尚者
chaser	驱逐舰
itching	贪
vlb	Bus
misinformant	误报者
signatureless	未签名的
gambit	开始
molwt	molecular
ankyloglossia	舌黏连
tosh	废话
costless	不须花钱的
acetaminophen	退热净
prohibit	阻止
hesternal	昔日
crescendo	声音渐增
toilless	不费力的
tensor	张量
joint	接缝
expectative	期待中
tenderness	棘手
backbitten	backbite的过去分词
scan	细看
pedagese	教师行话
cristate	有鸡冠状突起的
apa	Press
semicylindric	半圆柱状
negotiability	可磋商性
curvesome	=curvaceous
cleome	白花菜属植物
rale	罗音
flatter	使满意
unexcited	镇定的
daedalian	巧妙的
pul	普尔
cavu	晴朗与能见度极好
rauvite	红钒钙铀矿
wrung	wring过去式及过去分词
faa	联邦航空局
bedraggled	湿透
phanerocrystalline	显晶质类
jehad	运动
bludger	二流子
anathemata	被咒逐的人
scribbler	小文人
wonderland	仙境
navigation	航海
formulize	用公式表示
serf	农奴
painty	用涂料弄脏的
voudou	=voodoo
cirenaica	=Cyrenaica
gbs	George
aerobatics	特技飞行术
cock	使耸立
effective	有效
kmps	千米/秒
guy	人
breechless	无后膛
larmor	拉莫尔旋进
symphonette	流行交响曲
rugger	英式橄榄球
beachhead	滩头阵
land	陆
pregenital	性前期的
enneastyle	有九柱
exarch	总督
barytone	男中音
prattle	废话
mechanomorphic	机械形成论
crowhop	蹦跳
loudmouthed	吼叫
nsa	National
limacine	蛞蝓的
kickdown	换低挡装置
amethystine	紫水晶质的
rattling	很好
operatise	=operatize
shekarry	猎人
concent	允许
drainless	无排水设备的
face	承认
eave	屋檐
remorseless	坚持不懈
vulturine	秃鹰似
coyly	羞怯地
anthropometrist	人体测量学家
perigynous	周位
bromyrite	溴银矿
situs	位置
monteverdian	蒙特威尔地音乐
unreported	没有报道的
forementioned	上述
gyrose	回状
floodwater	洪水
hypostasize	假设的实在性
drifting	漂流的
audio	声音的
netfs	Film
interpunction	标点
straitness	狭
bojardo	Matteo
sudsy	肥皂一般
railway	铁道
indivisible	不能分割
unguardedly	不留神地
boychik	小青年
pauperism	有被救济的资格
resultingly	因此
orderliness	规律
