disagreement	争论
jilolo	=Gilolo
unimpassioned	没有激情的
cancel	删去
elegiacal	挽歌的
regardless	不管
smatter	充内行
distributing	分配
superior	上好的
infusive	令人兴奋
illness	生病
subtility	狡猾
matricentred	以母亲为中心的
accord	调和
overlook	俯瞰
amerenglish	美国英语
nearctic	新北区的
ridge	犁垄
outerwear	外套
storiette	短篇故事
coldish	微冷的
seta	刚毛
inner	内心
protective	保护的
agamic	无性
blaze	在树皮上刻路标
incisory	切割用的
anomalism	反常
shaef	Expeditionary
baconian	归纳
bribability	易受贿
inappetency	欲望缺失
signory	领土
coeducation	男女同校
valuable	有价值的
galliard	活泼愉快的
patient	患者
crib	食槽
snide	伪造的
amphitheatre	阶梯教室
perinephrium	肾外膜
hoopskirt	有裙撑的裙子
value	评价
nte	全国教师考试
ostracon	=ostrakon
shaef	Forces盟国远征军最高统帅部
greasy	油脂的
hydrocoral	水螅珊瑚类
unfortunate	不吉利的
repulsive	令人厌恶的
valued	贵重的
absorber	吸收者
misdone	的过去分词
rationalisation	=rationalization
spectacle	观览物
westwardly	向西
ropedancing	走索
bronchogenic	支气管原的
rarefied	稀薄的
candid	公正
inesculent	不可食用
slurp	啧啧吃的声音
twinkling	闪烁的
antivenom	抗蛇毒血清
stockjobbing	股票买卖
firmness	坚定
boff	卖座的戏
crusade	十字军东侵
consummative	使最终得以实现的
particularize	列举
tearing	撕开的
generalizable	可归纳
fleckered	有斑点的
poppied	多罂粟
fense	栅栏
ssrc	社会科学研究委员会
novillero	见习斗牛士
voluminously	庞大地
gummiferous	产树胶的
death	屠杀
determinative	限定
manumit	释放
microinterrupt	微中断
shellheap	midden
poolroom	弹子房
cinerarium	骨灰存放处
appointor	任命者
magma	岩浆
pipy	发尖声的
tantivy	疾速地
aching	痛的
ifo	已识别的飞行物
procephalic	原头的
eyesome	媚人
drafty	通风良好的
imperforated	闭锁的
escap	Commission
schismatic	分裂的
hyperinsulinism	胰岛功能亢进
parasitoid	拟寄生物的
dissociable	可分离
antigalaxy	反星系
controvertible	可辩论的
filiform	纤维状的
comic	滑稽
scurf	皮屑
water	水上的
new	新的
fruitery	果实
teltag	说明标签
walkaway	轻易得到的胜利
tristful	阴沉的
benchman	收音机及电视机修理工
cochromatograph	/
scratch	勾抹掉
integral	整体
filth	污秽
acervate	簇生的
reciprocator	往复机构
destitution	穷困
bather	入浴者
wendic	=Wendish
chersonese	半岛
humic	腐殖的
linguiform	舌状的
pyelogram	肾盂造影照片
protestor	反对者
quag	沼
scission	切断
score	刻痕
diehard	顽固分子
villainy	坏事
untamed	难控驭
prescient	预知的
czar	沙皇
centre	中央
scapple	=scabble
bondslave	奴隶
kirgizia	=Kirghizia
epigamic	诱惑性
inbreeding	近亲交配
weaken	变弱
arsis	上拍
rowdyish	吵闹的
exemplary	可做模范的
sepalous	有萼片
precoital	性交前
presumptive	假定的
projectile	射弹
radiology	X光线科
eponymous	齐名的
soil	变脏
silvern	银一般的
abweber	=maxwell
tinker	做焊锅匠
servantgirl	小保姆
timocracy	金权政治
caressive	亲柔
anemophilous	风媒的
dryness	干燥
canaanite	迦南人
ponce	Ponce
giddy	轻率的
jumby	幽灵
endosteal	位于骨内的
rayonnant	辐射式的的
clansman	族人
authoritative	命令
interindividual	个人与个人之间
aeriferous	装气的
reemphasize	重新强调
mayvin	=maven
trialogue	三方谈
overmountain	位于山上的
versatile	万能的
nuclear	中心
chilliness	寒冷
sortilege	抽签占卜
incb	Board
concomitancy	伴随
nav	net
modernbuilt	现代化结构
disappointedly	失望地
develop	逐步展开洗印
bonne	女佣
gauntry	木桶架
caird	挑担铜匠
gratuity	赠物
bid	命令
cormorant	贪婪的
undisturbed	安静的
caoutchouc	生橡胶
redoubted	可敬
plumb	探测
half	相当的
moonshiny	空想的
bracteal	苞的
pitted	有凹痕的
bristled	有刚毛
obstinate	顽固
quadrate	方形的
polyamine	多胺
indication	指示
angiomatous	血管瘤的
spiritualise	使成精神上
protostellar	原恒星
pork	猪肉
shirr	宽紧线
hangnail	手指头的倒拉刺
dreamful	常易梦见
smooth	消除
quadrisonic	=quadraphonic
tauri	Taurus
extern	外来的
adenine	腺嘌呤
befuddle	使酒醉昏迷
inconsecutive	前后不连贯
adulterer	奸夫
quadrantal	象限
triable	可以试验的
kneesie	到碰膝盖地步的亲昵关系
mystery	神秘的事物
calescent	变热的
vugular	晶簇性的
heterocyclic	杂环
negotiate	越过
rantipole	泼妇
playfully	开玩笑地
aramean	=Aramaean
moisturize	变潮湿
intravital	活体
oogenesis	卵子发生
unwind	放松
humped	有肉峰
tromba	小喇叭
nitwit	傻子
runnel	细流
glob	一滴
semeiotics	=semiotics
fnma	Association联邦国民抵押协会
quadplex	有四部分的
synthetical	合成的
spile	打桩
hoarsely	刺耳
readvance	再前进
unfasten	放松
medieval	原始
amalgamator	合并者
hotfoot	火急
parabomb	伞投炸弹
overcentralized	过分集中
culture	文明
subchairman	代主席
homologous	同源的
adhesion	支持
muck	捣乱
jenghiz	Khan
imo	In
cinquecentist	16世纪意大利文艺家
madcap	狂妄的人
contaminator	弄脏者
ergogram	肌功波
cachot	地牢
exuberant	繁茂
galley	长方活字盘
explode	推翻
preexilian	公元586年以前
nonpersistent	非持续
pleading	恳求
rehospitalization	再进医院
eclipse	月蚀
quadrumvir	四人团体中的一员
momently	暂时地
screaming	尖叫的
cutoff	切掉
ppe	哲学、政治学、经济学统称
republican	共和国
paynim	异教
prof	教授
practolol	心得宁
portion	一分
stellular	星点花样的
infidel	异端的
monospermous	单种子的
conclude	断定
eurystomatous	阔嘴
gangetic	恒河的
varietist	与常人不同的人
ethylic	乙基属
alfa	字
usaid	Development
tanto	这样
treasonable	不忠
flocking	棉屑
roisterous	作威作福的
godwinian	戈德温的
maneb	代森锰
hiplength	盖住臀部的
shroff	兑换银钱的人
mixing	混合
cultivation	中耕
testify	证实
provoke	挑拨
happening	事件
smackhead	吸海洛因者
dtv	video
magyar	匈牙利人的
bitewing	咬翼片
flexible	柔韧性
bristletail	蛀虫
coldslaw	=coleslaw
steward	乘务员
suggestion	意见
carbonization	干馏
jeanne	珍妮
unduplicated	无副本的无法匹敌的
whole	未打破
bowed	有弓
underground	地面下的
waterlogged	涝
cottus	科托斯
woman	女性的
wakeless	未受打扰的
incognito	隐名埋姓地
futhark	北欧古字母
excitant	使兴奋
flatten	变单调
impracticably	不可能实施地
dextrose	葡萄糖
catatonic	紧张性精神症
placegetter	获名次者
unmold	把……从模子里取出
bhut	恶魔
minster	大教堂
tortile	弯曲的
scrappy	斗志旺盛
speaker	扬声器
sneeringly	嘲笑地
robe	制服
scua	Canal
doodlebug	超小型赛车
aacs	Communications
horological	钟表术的
abortive	中断的
mattoid	半疯子
intermontane	山间的
epidural	硬膜上
relume	重新点燃起
modernistic	现代派
nameless	不可名状的
actuarial	保险精算师的
am	M
decubital	褥疮
snafu	大混乱
trail	拖拉
gasman	煤气装配工人
ruffian	恶棍
equipotential	等电位的
oversee	俯瞰
biostatistics	生物统计学
evaporative	蒸发的
curmudgeonly	不和悦
ringside	拳击场
hobbler	无照领港员
unspent	仍有效
retrusion	牙齿的后移状态
authentically	真正地
bachian	巴赫
lifeboat	救生艇
gynophore	雌蕊柄
unfishable	不适合钓鱼
borough	区
outlier	外露层
takeoff	起飞的
leach	滤去
impenitence	顽固
toccata	托卡塔
toon	马兰香椿
pycnogonid	海蜘蛛
strobilus	=strobile
sneezes	打喷嚏
standfast	坚定的立场
pentacid	五价
tungusian	=Tungusic
adopted	被收养
claudicant	跛脚的
every	全部的
typewriting	打字
reassure	再保证
revolving	旋转
sinker	下沉的人
mainboard	主机板
megavoltage	兆伏级
relativize	相对论应用于
teardrop	泪状物
airconditioned	备有空气调节装置的
firer	烧火工人
amoral	超道德的
qualificative	修饰的
reclusion	隐居遁世
germination	发生
loadhigh'	NULL)
whereunto	为什么
