bier	棺材架
overemphasized	过份强调
devitaminize	失去维生素
interstation	台际的
showerproof	防水
flighty	心情浮动的
amphimixis	两性混合
trinitrotoluene	三硝基甲苯
necessary	必要
lentic	静水
stolid	感觉迟钝
cheerily	快活
laudableness	值得佩服
facs	of
honestly	真诚
scotopic	暗适应
cowper	发现此腺的英国解剖学家]
matchlock	火绳
countercheck	复查
hanger	绞刑执行者
squash	挤压
stench	发恶臭
rufus	鲁弗斯
roumanian	罗马尼亚
cooperation	合作
recite	背诵
slip	使滑动
vacuous	空虚
lutetian	巴黎
uplighter	向上照射的灯
haffir	临时蓄水池
pillowy	柔软
pogonotrophy	蓄须
takeoff	卸除
enthymeme	省略三段论法
faithful	忠实
conciliatory	抚慰的
unperceptive	无感觉的
ideaistic	观念
reconvey	送还
uninstructed	未经教导的
quist	林鸽
sinai	=Sinai
aluminum	铝
disloyalty	不义
dovetail	吻合
maidless	不雇女仆
reconcile	使顺从
packinghouse	食品加工厂
zouave	轻步兵
pietism	虔信主义
iniquitously	非法地
lavish	过分丰富
nerviness	有勇气
diffusible	可传播
rode	ride的过去式
searching	搜索
corona	光环
incisory	门牙
lusty	精力充沛的
tacky	缺乏教养或风度的
viscounty	子爵的管辖区
varsity	大学运动代表队
bookable	可预订
bindery	装订厂
touch	缺点
hotter	热烈的
factually	真实
honorific	敬称的
unknit	平整
meteorite	陨星
kraut	泡菜
laotian	老挝语
shortall	短连衣裤
director	控制器
sheathe	覆盖
trifid	三裂的
supermarket	超级市场
inky	墨水
ningbo	宁波
semismile	淡淡的微笑
flee	消失
elsass	=Alsace
dysphoric	烦躁不安的
elaborate	详细阐述
chromoplasmic	易染浆
basilic	重要
acetifier	醋化器
reduplicate	重复的
mephistophelean	冷酷
counterplea	反驳
conduit	喷泉
precapillary	前毛细管的
anatomize	解剖
subtle	微妙的
unsharp	不明显
triad	三和音
unpresentable	见不得人的
pachydermatous	迟钝的
abaddon	魔鬼
sprig	子孙
pedometer	步程计
demotic	通俗的
discriminatorily	有区别地
darkminded	阴险的
sizable	大小相当的
chapped	裂开的
dotard	老糊涂
lmbc	Lady
minatory	威胁
suicidal	自取灭亡
nexus	连结
logogram	语标符号
culpability	有罪性
ambassador	大使
succinctly	简便地
provocable	=provokable
lugubrious	悲哀
inept	无能的
steerage	最低票价的舱位
quintan	每隔五天发作
sbc	Board
tympanic	鼓皮似
hyperdulia	圣母崇拜
unbranded	无物主
vigorous	精力旺盛
anthropomorphosis	有人形
messina	墨西拿
bromide	溴化物
ectotrophic	体外营养的
unselfish	不自私
somatotopic	躯体特定区的
presidial	驻防军的
acesodyne	止痛
pitiably	可怜地
lenticellate	产皮孔
simulative	模拟的
indisposed	不舒服
dipartite	区分的
leniently	仁慈
fopling	矫饰者
crossly	相反地
efficaciously	灵验
digest	分类
uppiled	堆积起来的
misinformant	提供错误消息者
yankeefied	美国化
fieldsman	垒外球员
nefariously	邪恶
clannishly	团结地
microgametocyte	小配子体
conamore	带着爱心地
lend	借给
slob	懒汉
rejoicing	欣喜
dorp	村落
latency	性潜伏期
inhalatorium	吸入治疗所
atoxic	非毒
beer	啤酒
crackbrain	傻子
angiomatous	血管肿
foaming	布满泡沫
wistfully	渴望地
leisured	从容不迫的
knightly	侠义
help	显示命令格式的简短概述
onrush	突进
amphitheatrical	圆剧场式
gentile	异教徒
telecamera	远距离撮影机
counterpropaganda	反宣传
regret	抱歉
oxidizable	可氧化的
libido	生命力
unwatched	未受监视的
esc	转换字符
hyalography	玻璃雕刻术
bargaining	交涉
ineffaceable	不能取消
running	连接
crackling	烤猪肉的脆皮
pinkwash	粉红色涂料
unhidden	不隐瞒的
subroutine	子程序
let	障碍
breadthwise	横向地
upon	在……之上
glenurquhart	=glen
swivel	旋转
potbellied	大腹便便
prescientific	近代科学以前
adscription	归于
udag	Urban
saprophagous	以腐败物为生
monochromator	单色仪
uricotelic	排尿酸
dulocracy	奴隶统治
countian	县民
impromptu	即席地
rimal	细长之口
dauphiness	法国皇太子的妃
labilise	=labilize
criticise	非难
sorrow	悲哀
teachable	驯良
garpike	雀鳝
infidel	异端
perpetuator	永久保存的人
berserk	狂暴的
mcpo	Officer
farmyard	农家庭院
clypeate	有唇基的
naturalize	移植
bogota	波哥大
indistinctly	朦胧
correctional	矫正的
nubbly	块状
barren	没有结果
jitteriness	战战兢兢
anaemic	患贫血症的
weal	福利
hateable	可憎的
insectile	昆虫的
micromodule	微模块
leaded	行间空格特别大的
sent	send的过去式和过去分词
recision	废除
knickerbocker	纽约早期荷兰移民的后代
fishpound	潜网
rhonda	朗达
equational	均分的
fisticuff	一掌
zygoma	颧骨
therapeutist	临床医学家
spent	用尽的
rippling	起涟漪
leaden	沉重
retrocardiac	在心脏后的
imperialism	帝国主义
archer	弓术家
intercolonial	殖民地间
arapaima	巨滑舌鱼
cramp	狭窄
ungrammatical	不合文法
infrasonic	使用次声
myelofibrosis	骨髓纤维变性
banyan	印度榕树
aliform	有翼壮物的
abiogenetic	自然发生论的
sailage	全部船帆
zoroastrianism	拜火教
shamash	沙玛什
rafter	椽
duplicate	使加倍
hemeralopia	夜盲症
tigon	虎狮
disannul	取消
pinafore	围涎
gioconda	迷一般
avoid	避免
upper	上面
antigen	抗原
evaluating	评测
judenhetze	对犹太人的迫害
animadversion	批评
counterpart	极相似的人或物
bicentennial	二百周年纪念
merrymaker	嬉戏者
feminacy	妇女的性质
stigmatic	有烙印的
emancipative	旨在解放
fanwise	成扇形地
fable	编寓言
egger	幼虫食叶子的蛾类
xenoglossia	讲陌生语言的能力
pensile	悬挂的
excite	使激动
dullard	愚人
jollop	烈酒
wettable	可湿
menstruous	月经来潮
adoringly	敬慕
hiaa	Health
womanish	像女人
differentiable	可辨
sparerib	带肉肋骨
accoutrement	配备
slosh	泼
occasionalism	机会论
stablish	使坚固
metropolitan	主要都市的
daily	朝来夜去的女佣
onstage	台上
sunburnt	晒黑
nother	不同
olympian	奥运会选手
sciatica	坐骨神经痛
tealess	无茶的
pack	压紧
disagreeably	不愉快
employee	店员
labradorian	拉布拉多的居民
unclassifiable	不可归类的
nidget	愚人
templelike	似庙宇
underperform	表现不佳
sunstroke	日射病
sheathy	合身
betweentimes	在中间的时间
paramount	极为重要
equimultiple	等倍数
endangeitis	血管内膜炎
captan	克菌丹
heteroploid	非整倍体
hulled	有壳
begohm	十亿欧姆
dynastic	王朝
polygon	多角形
sanctified	神圣化
staccato	断唱
multimegaton	有数百万吨级爆炸力
digitation	指状分裂
radiocontamination	放射污染
fanback	有扇形靠背的
moneygrubber	守财奴
salmon	鲜肉色
unheard	未知的
stall	货摊
marmaduke	马默杜克
water	注入水
alignment	结盟
sneak	鬼鬼祟祟做事
overstock	过多的进货
paleness	苍白
lose	使迷路
tonometer	音调计
blazing	强烈
spicula	针状体
corsage	胸衣
gloomy	阴沉
curl	卷曲
undeflected	不偏离的
campesino	农夫
scantily	吝啬
double	加倍努力
coterie	圈内人
bottomless	无底
dodgery	推托
headstock	主轴箱
thinnest	瘦
contrastively	对比
carboniferous	石炭纪
undimmed	清楚
letup	停顿
labyrinthine	曲折的
theatromania	过度爱好看戏
chaffer	吹毛求疵
trainee	练习生
monomania	对一事的热狂
meshy	象网的
originator	创作者
jumpy	跳跃的
sanely	心智健全
capacious	容积大的
mow	干草堆
muck	搞坏
sncc	全国学生统一行动委员会
scotch	刻痕
remissive	减轻
naseberry	人心果树
scoriaceous	铁渣子
pickled	盐渍
caravaggesque	卡拉瓦乔作品
jurisconsult	法学家
holiness	陛下
catechist	盘问者
actuarial	保险精算
bygone	过去的事
owlwise	像猫头鹰一样聪慧的
plane	飞机
saponated	用皂处理过
equitableness	公平
molecular	分子
lakeport	湖畔港埠
warp	歪曲
recidivous	有经常犯罪倾向
halt	有缺点
stimy	妨碍球
corpus	文集
ban	取缔
nazification	纳粹化
external	外用
lockable	可锁定
crackly	容易破裂的
cineprojector	放映机
complyingly	顺从
perch	有利的地位
pubescent	有软毛的
curiosa	珍品
breathlessly	闷热
worrying	焦虑
jesuitically	阴险地
western	西方
photocube	立方照片架
mephitic	恶臭的
charry	似炭
vision	梦见
blackish	带黑色的
idioglossia	自语症
vellum	牛皮纸
hydrodynamic	水力
key	关键
barrelled	桶装的
laxation	轻泻
ludditish	反对机械化自动化
rotfl	the
gazette	在公报上刊登
unsharp	不清晰
livelily	敏捷地
frilly	镶褶边
corvus	乌鸦座
adunc	向内弯曲的
sacw	senior
corolliform	花冠状的
tombstone	墓碑
photoacoustic	=optoacoustic
isometrical	等容积的
singlehanded	单枪匹马的
infuser	鼓吹者
obviate	排除
caballer	阴谋家
unwilled	非自愿
skunk	臭鼬
infamize	使声名狼藉
mill	使乱转
nelson	压住对方头部或颈后及一臂或二臂的手法
peleus	珀琉斯
fumy	冒烟
ozonic	臭氧的
sneaky	卑鄙
whelp	幼兽
disaffect	使不满意
interlude	两段时期中间之时间
morsel	少量
contrary	相反的
introsusception	=intussusception
elective	选修课程
oily	油的
hymnist	赞美诗作者
disposal	处置
physiognomic	人相
unbacked	无助
windrow	狭长的一行
pitch	搭帐篷
teutones	条顿族
groovy	常规的
unabridged	未经删节
rough	大致的
delphian	暧昧
chauvinism	盲目的爱国心
underserved	服务水平低下的
polarize	两极分化
gmat	mean
abstruse	深奥
sorceress	女巫
fundament	基本原理
freaky	捉摸不定的
orient	向东
consolidation	合并
digital	数字
thermoduric	耐热
quadrangularly	正方形或矩形
undivorced	未离婚的
aedes	伊蚊
slavophobe	厌恶斯拉夫人
malformed	畸形的
interpunctuate	=punctuate
matronly	主管的
rue	后悔
theropod	兽脚亚目的
careen	使倾侧
raptured	狂喜
pogonotomy	剃须
cocky	骄傲
bassinet	摇篮车
moneychanger	货币兑换机
wendell	温德尔
db	decibel
satyagraha	非暴力抵抗及不合作主义
ferial	平日
rupestrian	由石头构成
inextricable	无法解脱的
unseparated	未分隔
repellency	排斥性
gerontogeous	旧世界的
monocular	单眼用的
gownsman	教士
tornado	旋风
ungirt	不缚带
westfalen	威斯特法伦
ingrowth	长在肉内
noumenally	本体地
lenticulated	双凸透镜状
sprat	瘦小个子
erotologist	色情文艺家
crackbrain	无理性的人
brakie	司闸员
shelter	庇护所
aok	极好
yirr	怒吼
vestige	痕迹
getup	装订格式
feckly	差不多
eisa	Architecture
eosinophil	嗜曙红的
anticorrosion	防
sanatory	治疗病症
photosensitise	9fEJtEJ`sensItIz/
eudiometrical	空气纯度测定管的
asshead	笨蛋
gray	广告商
noia	无聊
sulfonamide	磺胺药物
stragglingly	脱离队伍地
its	pro
supposable	可想象得到的
enfold	折迭
fabrication	装配工
profiteering	牟取暴利的
clypeate	有额板
undefended	无辩护人
sociogenic	社会因素影响
kindless	冷酷的
bacteriorhodopsin	噬菌调理素
uproariously	喧嚣
covert	偷偷摸摸的
salmon	大麻哈鱼
grimness	冷酷
dendroclimatic	年轮气候学的
lwop	pay留职停薪
disposal	安排
intellectual	有智力
opuntia	仙人掌属植物
lavolta	=volta
calamity	不幸事件
quick	快
amimeche	the
guttatim	逐滴地
jinx	使倒霉
fulminant	爆发性的
far	远处
nephroid	肾形的
amenorrhea	无月经
aphrodisiac	引起性欲
mortify	苦行
misfit	不称职的人
invertebrate	无脊椎的
paragraphic	章节
downtime	停工期
