insectivorous	食虫动植物的
invulnerable	无懈可击
priesthood	神父
martialize	使变得好战
trichromic	三色
haunted	鬼魂出没的
grassiness	草深
rallicar	四人座的小型二轮马车
closehanded	小气
internist	内科医师
standaway	撑开
subgovernment	影子政府
decree	颁布
heterosis	混种盛势
vpd	Virtual
infinitesimal	极微量
temporal	暂时
remiped	桨足类的
penitent	悔罪者
dipshit	笨蛋
staig	马驹
pergunnah	大区
egghead	有知识者
amphibology	模棱两可的言辞
gifford	吉福德
acetophenone	苯基甲基甲酮
governable	可控制
identic	同一的
clinicopathologic	[屹床病理的
mandatory	命令
whp	horsepower
reprobative	指责
galactopoiesis	产乳
squawk	叫声
circumgyration	翻斤斗
zenana	女用薄衣料
telangiectasia	=telangiectasis
vesicular	由小泡组成的
unpropitious	恶运的
community	公社
bilberry	越桔
humerus	肱上膊
excessively	过分
whippet	小灵狗
biquinary	二五混合进制的
fertilize	施肥
different	不同的
girdle	浅锅
word	命令
macrometeorology	大气象学
anticoherer	反检波粉屑粘合装置
flop	噗地一声
farmhouse	农舍
camalig	小屋
park	停车场
jitters	神经过敏
aep	Protocol
backboned	有脊椎骨的
contiguously	接触
enwheel	=encircle
dialyzer	透析器
cerebral	大脑
calabazilla	野南瓜
jimmy	用铁撬撬开
transom	气窗
fecund	生殖力旺盛
expanding	扩大的
sustainer	维持者
immensurable	无垠的
scumble	薄涂
geez	吉兹语
feu	永久租借
nursing	看护
greisen	云英岩
statuesque	均衡的
anaesthetic	麻醉
modernism	现代主义
menses	月经
limonitic	俗褐铁矿
nivation	雪蚀
discontinuous	中断
absonant	不协调
bidarka	海豹皮小艇
offhand	唐突的
flagellate	有鞭毛
leukon	白细胞系
nulliparous	从未生育过者
gimpy	跛的
homologate	承认
terribly	可怕
minutiose	关心小事的
ooa	面向对象分析
daf	Department
plenteous	许多的
dissertation	论述
instrumentalism	饕
usts	Travel
parthenospore	无配合子
sprowsie	6便士硬币
absorptance	吸收比
pyretic	热病
panathenaea	泛雅典娜节
superciliary	眼睛上方
twentieth	第二十的第二十日
coulda	=could
streptokinase	溶栓酶
abjectly	卑鄙地
kibed	患冻疮的
gum	口香糖
helpful	有用
dulcite	己六醇
quadragesima	四旬节
retired	退役的
service	维修
unblushing	不客气
paye	You
feebleminded	低能
humilis	淡
amelia	阿米莉娅
rollicking	嬉戏耍闹作乐的
muck	肥料
woodhorse	竹节虫
incarnadine	肉色
sentencehood	完整句状态
basilar	基部的
pluperfect	过去完成时
addax	曲角羚羊
landship	篷车或其他类似的车辆
easiest	轻松
way	远远
gilt	表面装饰
misgiving	疑惧
array	大批
weedkilling	灭草
negotiator	谈判代表
reductive	减少的
faceplate	花盘
flesh	赋以血肉
pyromaniac	放火狂
castiron	铸铁制成的
abstinent	有节制
osteochondrosis	骨软骨病
thymectomize	给……切除胸腺
salty	咸味浓的
enfetter	上脚镣
incurvation	弯曲
aether	乙醚
edge	边缘
heimisch	家常
guttersnipe	贫民窟的小孩
riposte	尖锐回答
nannofossil	微化石
bymotive	暗中的打算
baleful	恶意的
speaker	演讲人
vacuous	无所事事的
worthy	相称的
uncharming	不可爱的
purulency	化脓
asteraceous	紫菀科的
remittal	宽恕
playfully	开玩笑
autoecious	寄生
landrail	=corncrake
frondescent	长树叶的
langobard	伦巴第人
anyone	pro
incumbent	负有……义务
parturifacient	催产的
quadrable	可自乘
attenuate	削弱
topgallant	上桅的
imaret	朝圣者之旅舍
puny	弱
pseudocrystal	赝晶体
dielectrophoresis	双向电泳
liner	划线者
inker	油墨轮
ruffian	残暴
anecdotical	轶事的
hesitantly	迟疑
mongolism	蒙古症
nattiness	整洁
nonelastic	无弹性的
flotative	可漂浮的
wash	洗清
spool	线轴
squinch	突角拱
hypsicephaly	尖头畸形
overshoot	行动过火
zarf	金属杯状的托
pithless	无髓
justly	公正
suspensive	未决定
mycelium	菌丝体
rummage	零星杂物
lawlessly	非法
atechnic	无技术知识
imp	补充
local	乡土
amie	女朋友
cove	山凹
cospar	Research
hemanalysis	血液分析
bauxite	铁铝氧石
rasp	锉磨
tongued	说话……的
inextinguishable	压不住
marrowy	有力的
pteridine	蝶啶
espionage	侦探
administrivia	每天重复性的电子信件
bowler	投手
quench	结束
smearcase	cheese
ecp	Extended
touch	接触
ruddiness	带红色
sidra	锡德拉湾
monocotyledonous	单子叶植物
vincible	容易征服
resignation	顺从
abraser	研磨器
tap	轻声走
sheltery	庇护
slanguage	使用俚语的表现法
reprimand	申斥
traitress	女性叛逆者
anchorpeople	新闻节目主持人们
homeric	荷马式
poke	伸出
nasara	的复数
rouse	唤醒
adjoin	毗连
gabrovo	加布罗沃
spectacled	戴了眼镜的
thiomersal	硫柳汞
aryan	印欧语系的
organophosphorous	=organo机磷的
fearsome	可怕的
diastole	心脏舒张
nih	Institutes
perfidiously	不忠实地
psychognosy	=psychognosis
scoundrel	恶棍
revolted	厌恶
biotope	生物小区
pentangular	有五个角的
nix	女水神
glycin	甘氨酸
sawmill	锯木厂
pyroclastic	火成碎屑物
myocardia	myocardium
unploughed	未耕的
noncombustible	不燃
kneed	有膝一般的关节的
foreplane	前舵
vanadic	钒的
northern	北部的
outer	环外命中
account	认为
hydrofluoric	含氟化氢的
congrats	恭喜
adrenotropic	亲肾上腺的
fen	沼泽
implicit	盲从
exigency	苛求
cover	盖子
goethean	歌德的
ultramundane	世界之外的
inobtrusive	客气的
rewin	赢回
ragworm	=clamworm
prosy	单调的
exilic	放逐的
galvanic	抽搐
ceeb	Examination
girlish	少女似的
soporific	催眠的
peshawar	白沙瓦
hospitably	亲切地
columelliform	小柱形的
copilot	副驾驶员
magnesic	含镁的
kroo	克鲁族人
procuratorial	代诉
solvate	溶剂化物
intercurrent	间发
follicular	小囊
ultrafine	极其细小的
photoeffect	effect
liechtenstein	列支敦士登的
dividable	=divisible
oddity	怪癖
heterogenous	异质
portiere	门帷
upbraidingly	叱责地
apotropaism	用魔术驱邪
bronchoscopy	支气管镜检
puberal	发育期的
burning	燃烧的
ila	Longshoremen''s
volscan	立体扫描器
beaune	红葡萄酒的一种
sightless	盲
selcall	选择呼叫
grille	格子
terminative	限定
vacuous	无所事事
attributive	归属的
zairois	=Zairean
con	肺病
humped	有瘤的
tudor	都铎式建筑式样
lend	贷
landward	向陆的
columbine	鸽色
convey	搬运
out	外面
gardenesque	花园般
happenstantial	偶然的
serve	发球
attributable	可归于……的
mucky	肮脏的
mise	协定
crescive	成长的
astrachan	俄国羔皮
compulsively	强制地
inflammable	易怒的
chitin	壳质
spook	逃窜
like	爱好
rep	棱纹平布
loop	以圈结
julienne	切成条
hazard	冒险
sulfuryl	=sulphuryl
mdr	Requirement
serration	锯齿状
mazda	马自达汽车
crass	愚钝的
gee	一千美元
arhythmical	无节奏
cupula	吸盘
ripply	波纹状
pertinent	中肯
cambo	柬埔寨人
hypnogenetically	催眠地
mungarian	匈牙利语的
biennial	二年生植物
account	理由
feringhee	欧洲人
amatively	恋爱
incurve	向内弯曲
smack	用掌击
gph	每小时加仑数
guitar	六弦琴
raises	建造
videogenic	适合电视的
virtue	美德
traduce	中伤
silicate	硅酸盐
hieron	圣
wash	洼地
jadish	下贱的
macromolecule	高分子
swastika	纳粹党所用的十字记号
fortuitist	偶然论者
venomous	恶意
swbs	southwest
several	个别的
aeroflot	苏联民用航空总局
visitation	访问
meltability	可溶解性
dentifrice	牙粉
lille	里尔
euhedral	自形
oki	冲电气
culicid	蚊科的
whisper	飒飒地响
sphygmometer	脉搏计
anarchistic	无政府主义
nightmarish	恶梦似
atactic	不合语法
abound	大量存在
ultradian	次昼夜的
spark	鼓舞
counterglow	对日
cany	藤的
brigand	强盗
bleak	凄凉
contend	斗争
eccrine	分泌腺
indubitable	确实的
romanticism	浪漫精神
paragraph	段落
loungewear	家常便服
posseman	义警队员
sick	不舒服
inveigher	漫骂者
phenol	苯酚
foreordination	注定
ichnite	=ichnolite
feed	饲料
antianxiety	抗焦虑的
chi	希腊字母的第
relievable	可减轻
glutaminase	谷氨酰胺酶
glaucous	蓝绿色的
rationalism	唯理论
brotherliness	弟兄之爱
mathematization	数学处理
join	接合点
arthrotropic	亲关节的
following	下列
originative	有创作力
peach	桃色
exploration	探查
stichomythia	轮流对白
mistreatment	虐待
mangily	生满疥癣地
facs	College
ajut	伸出的
tumorous	肿胀
offset	用平版印刷
cisalpine	其南侧
oversweep	掠过
elisor	代理人
molto	甚
loan	借给
working	运转
verrucose	疣
magnetometive	磁势
left	左派的
bloated	浮肿
concoctive	策划
polyzonal	多区域
treatise	论文
digressive	枝节的
odontornithic	齿鸟类的
convolution	卷绕
backstretch	非终点直道
bloodline	血族
benignantly	亲切地
conjunction	连接词
med	地中海
epigeal	生长在地上的
travel	行进
buckle	变弯曲
semioviparous	半胎生的
disunite	不和
humble	贬抑
paupiette	肉卷
nuff	=enough
repeal	撤销
indumentum	羽毛
duration	为期
bastardize	使不纯
virulent	恶毒的
udag	Development
genealogist	系谱专家
landslide	山崩
compliableness	屈从
fleming	说佛兰芒语的比利时人
clamorously	鼓躁地
frothy	多泡
polygamy	一妻多夫
leukodermal	白斑病
fishlike	冷淡
exclusive	独占
dreamily	爱梦想地
garboil	混乱
madonna	圣母玛利亚
rejuvenator	返老还童药
quoin	隅石
naturalisation	移入
traitorous	不忠的
lay	平息
showerproof	防水的
ness	海角
ellington	即Ellington
harmonious	协调
incompetent	不胜任
tracheal	气管的
gangliated	有神经节的
marginalize	使脱离社会发展进程
usafe	Air
accurately	精确
mtbf	Between
wraac	澳大利亚皇家陆军妇女服务队
acknowledged	公认的
apeak	垂直
simulant	模拟的
derriere	后面
fireroom	锅炉间
fenman	居于沼泽的居民
prevailing	主要
bedlam	骚乱情景
ebonite	硬橡皮
insouciant	无忧无虑的
lever	杠杆
parapeted	有栏杆的
polyethnic	多种族
francophil	崇拜法国
animated	愉快
glossopharyngeal	舌与咽
impersonally	与个人无关地
hydratable	能水合的
anabolite	组成代谢物
caulome	和茎结构形态相当之结构
sociopolitical	社会政治的
lagomorph	兔类动物
goshen	肥沃的土地
neighborless	孤独的
grotesquerie	怪异图案
outspread	扩张
raises	增加
victoire	维克托瓦尔
prove	原来
determinative	决定之事
logical	合乎逻辑的
accessory	补充的
commentary	解说词
cannonize	封……死者为圣徒
flakily	薄片地
dihydric	二羟基的
academy	专科院校
flickery	摆动
fortnightly	隔周发行
pathologic	病态的
sverdrup	斯维尔德鲁普
interbedded	层间
uveitis	眼色素层炎
lifeline	救生索
eunomianism	优诺米主义
brassfounding	黄铜铸造
heliotactic	背日性的
amberina	美产的一种艺术玻璃
insipidly	清淡地
downdrift	逐渐下降
closefisted	吝啬的
dogginess	狗臭
mail	盔甲
fructicative	能结果实的
countryseat	乡间大厦
radicalize	使激进
trochoid	车轮状
transfluent	越流
secretory	分泌
ruga	皱
dripless	不滴水的
jissom	精液
sanative	治疗病症的
phaenogam	=phanerogam
transire	货物准行单
semiconsciously	半意识地
matchmaker	媒人
princedom	王子的称号
westy	white
sloe	野李
postfigurative	成人社会的
allegorically	比喻
adduce	举出
vologda	沃洛格达
debut	初次登场
divulgence	透露
hoppergrass	蚱蜢
genevan	加尔文教的
preteen	青春期前
apocopate	删除
inedited	未出版
ang	American
hatpin	帽针
histioid	类组织
tail	踪迹
