colophony	松香
missourian	密苏里州的
criticaster	无价值的批评家
parietal	顶骨
thankless	不感谢
unhappy	不适当的
motile	显示活力
frank	免费邮寄
mnas	of
scalar	梯状
criminologist	刑事学家
alanine	丙胺酸
waikiki	怀基基海滩
adipsia	渴感缺乏
harmonic	谐波
lollapalooza	非常出色的人
chloroplast	叶绿体
fractionalism	分裂倾向
cinerea	灰质
hillside	山腹
lacquerer	漆匠
irredeemable	不可救药的
froggish	像蛙的
nonenzyme	不涉及酶作用的
flatwork	可用机器或电熨烫的床单
msee	in
doggery	象狗一样的行为
prise	奖赏
josue	约书亚
couch	表达
concoction	调合
untaa	Technical
sugar	食糖
alien	外国的
lane	小路
callboy	仆役
great	大师
pushful	有精力
dimensionality	广延
parade	列队行进
interactional	相互作用的
venial	可宽恕的
arbitrational	关于公断的
smacking	掴
hear	审理
wscf	World''s
sm	Masochism
vertices	头顶
diphthongal	连字的
puffy	自大
ensilage	保藏于地窖中的未干秣草
lease	租得
congener	同种的物
contrasuggestible	反暗示
ethnocide	种族文化灭绝
diuresis	利尿
damnedest	最大的努力
enquiring	寻问
hyphenated	带有连字符号的
reversional	继承
intropunitive	自责型的
plenteous	充足的
influential	有影响的
depigmentation	脱色
flurry	小雪
crown	加冕
spill	溢出量
riskiness	危险重重
extractible	可引出的
loving	钟情
beverly	贝弗莉
blackfoot	北美印地安人中的一种族
notoriety	丑名
neorealism	新现实主义
byroad	侧道
precipitator	沉淀剂
informing	提供情报
syndic	市政官
pochard	潜鸭
antifreezing	防冻的
satyarahi	不合作主义者
outmarry	族外结亲
tragical	悲剧
readable	易读
plasmolyse	=plasmolyze
widespread	分布广泛的
iba	Broadcasting
gaily	华丽
handle	柄
demoniacal	着魔之人
tauromorphic	牛形
zoantharian	海葵
unfixed	没确定
unfatherly	有失父亲身份的
arenose	多沙的
neoanthropic	新人的
greenhorn	生手
inferable	能推论的
anarchy	无政府状态
magnetic	磁
exeter	埃克塞特
pinto	杂色的
cardiac	心脏
ethnarch	民族
venene	=venin
nepaulese	=Nepalese
ungroup	取消组
develop	生长
rate	等级
anaphylactic	过敏的
paynim	异教国
gleba	产孢组织
assumptive	傲慢的
hyperalimentation	静脉输入营养液
patrimony	祖传的财物
schistorrhachis	脊柱裂
hectic	兴奋
reemployment	重新雇用
telltruth	坦率诚实的人
dissension	纠纷
distillatory	蒸馏器
anaesthesia	麻醉
oust	取代
tepefaction	微热
foci	焦距
ruminator	好思考的人
playbroker	agent
smart	厉害的
passionate	充满热情的
contubernal	一起生活的
shrewdness	机灵
spicily	香地
vermouth	味美斯酒
kindly	好意
schematise	=schematize
tearaway	阿飞
screamer	尖声叫喊的人
untaught	没有受教育
unpregnant	不恰当
deeply	深深
watering	流泪
semicentury	50年
filariid	血丝虫的
title	标题
garcon	侍者
attic	阁楼
hydrogenase	氢化酶
thereinto	在那里面
saponify	使皂化
pashalic	pasha
footbath	洗脚
wordy	唠叨的
seram	=Ceram
gore	三角形布
flatten	打倒
tenor	进程
living	现存的
spirit	鼓励
fujitsu	日本富士通公司
grained	有木纹
coachwhip	鸣鞭鸟
sniffable	可吸入的
ameliorate	改善
petropower	富油国
voltage	伏特数
tivy	向前冲
unwarily	不留心的
schoolgirl	女学生
incendijel	易燃胶体
portability	轻便
diametrically	直接地
towardly	有指望地
unprophetic	非预示
lordliness	贵族式
defang	拔去……的尖牙
vagotropic	作用于迷走神经
allegorical	讽喻
bedsonia	贝宗体属微生物
dioestrous	有间情期的
guilder	盾
grainy	多粒的
csma	/Carrier
vram	视频存储器
hopcalite	一氧化碳消灭剂
unoiled	未加油的
methoxamine	美速克新命
ac	`eIsi:`di:si:/交直流两用
yearn	怀念
trifling	不重要的
screwball	怪人
wafer	圣饼
subscript	写在下方的
unforensic	不适于法庭
insectivore	食虫动物
spanking	疾行的
contingently	偶发
videorecord	把……录在录像带上
barbette	炮塔
gunlock	板机
disengaged	空闲的
urban	城市的
distinguishability	可区别性
ream	铰大
fornication	通奸
raunchy	邋遢
immerge	浸入
fighting	战斗的
reinstall	使从新正式就职
dccc	800
dace	一种鱼
claytonia	春美草属植物
manual	手工
specilization	专门化
immalleable	不能适应
matted	暗淡
darshan	得福
whatso	pro
banausic	机械式的
oup	Oxford
striate	有细槽
extrovertish	外向者的
quadrangular	四边形的
farmy	有田
intuitionalist	=intuitionist
gorgonian	如蛇发女怪
flareback	后曳的火焰
diomed	=Diomedes
cedarbird	雪松太平鸟
pavlovism	巴甫洛夫学说
lamish	有点瘸
sinew	赋予力量
chieftain	首领
circs	事件
overturn	破灭
utter	全然的
excellent	极好
tautosyllabic	同音节
petrosal	岩石
tantivy	快
fastigiate	平安
bricolage	使用手头现成工具摆弄修理
northern	北部
hepatopathy	肝病
remodify	改造
signature	信号
bacciferous	结浆果
scarify	切割或软化
whipcord	拉紧
modillion	飞檐托饰
unsmirched	未弄脏的
inoperable	不宜动手术
septipartite	七个部分组成
tubbish	桶状
flop	恰巧
rapturous	欢天喜
farrandly	愉快
mock	挫败
stonework	石雕工艺
imagination	想象
gentian	龙胆根
lazurite	青金石
araroba	柯桠树
walloping	巨大
insect	虫
ainu	阿伊努语
behaviouristic	行动主义的
mia	missing
myanmar	缅甸
polyglandular	多腺
calcareously	钙质地
soberminded	头脑清醒
engrammic	印象的
inebriated	酒醉
amid	在……中
cuso	Overseas
rheotactic	微生物在水流中之行动的
denizen	居民
lcf	lowest
mysterioso	神秘
westbound	向西进行
scant	将近
snowswept	大雪纷飞的
unweighted	未加权的
elements	基础
orient	使适应
chickabiddy	鸡宝宝
mycophilic	食蘑菇的
cheater	背叛者
strigillose	覆盖着糙伏毛的
incurvate	向内弯曲
bibulosity	酒癖
complier	依从者
sludgeworm	正颤蚓
ferrel	套圈
disillusionize	使觉醒
sound	充分地
yokelish	乡土的
salted	有经验
wops	胡蜂
goad	刺棒
unstriated	无横纹
inartistic	非艺术的
apocopate	语尾音节删除
mischievous	恶作剧的
vestiary	衣帽间
spencerian	斯宾塞哲学体系
doodlebug	狮蚁
intact	未经阉割的
exercitorial	船主
pettifogger	骗人的律师
sniffable	可嗅的
usmcr	Corps
mim	假正经
aseptic	无菌的
tanglewrack	=tangle
hop	跳跃
aleak	漏水的
incontinent	失禁
abiogenetic	无生源说的
impercipient	无知觉的
namable	可指名
intercommunity	共同性
polymorphous	多形态的
homocyclic	同素环状
planner	计划者
equal	相等的
terminal	每学期
colonize	拓殖
litho	石版印刷
memcon	谈话备忘录
pump	泵
journalistic	新闻事业的
hmcs	HerMajesty''s
bircher	伯奇主义分子
unconsolidated	非层状的
choice	挑三拣四的
mossiness	陈腐
thwack	打
coatee	紧身短上衣
quoter	估价者
hereunto	迄今
bitch	母狗
for	因为
another	同类的东西
notgeld	代用货币
prongy	有叉尖
frad	帧中继访问设备
symptomatic	症状的
gingerly	小心翼翼
feebleminded	无决断力的
urgence	=urgency
tetroxide	四氧化物
vesa	Association
piperaceous	胡椒科
unhitch	解开绳子
edacity	狼吞虎咽
cariole	小型马车
parc	Center
unseemly	不体面的
metamorphism	变质作用
hyposensitive	敏感度减弱的
lentiginous	有斑点
rheologic	流变学
ravel	使混乱
thinker	思想者
supplementarity	增补
odious	讨厌的
hommock	冰丘
fzs	Society动物学学会会员
colorless	无色
franklinite	锌铁矿
polywater	聚合水
duralumin	硬铝
heavy	重物
hormone	荷尔蒙
nobleness	高尚
supersell	特畅销
muzzle	口套
palmer	游方僧
unabated	不衰退的
turkophile	亲土耳其者
ingenuous	自然
pothook	书法潦草
aps	Photo
parlous	不易对付的
deep	深入地
regalvanize	再激励
sex	引起……的性欲
driveller	淌口水的人
slumberland	梦乡
gunner	带枪猎人
comanchean	卡曼奇纪的
morbid	恐怖的
pervious	能被通过的
tripey	低劣
unsized	未上胶水
fanfold	复写簿
belgrade	贝尔格莱德
epistle	书信
taurean	出生于金牛座时段的人
yardman	庭院打杂工人
ammonic	铵的
conqueringly	得意洋洋地
calque	译借
shelly	壳的
technology	科技
pergola	藤架
papal	罗马教皇的
scrapheap	废物堆
grindingly	苛刻
chrysoberyl	金绿玉
posttreatment	治疗后
pricket	烛台
bowl	木球
impetigo	脓疱病
acquiescent	默从
figuline	陶制的
daftly	愚蠢
selected	挑选的
over	从头到尾
cinerama	全息电影系统
heimisch	朴实
metalloid	非金属
parpen	贯石
glossal	舌
duograph	=duotone
pseudorandom	伪随机
indurate	坚硬
voluptuary	耽于酒色
dogsleep	打盹
sadhe	希伯来语的第十八个字母
partner	组成一对
regurgitant	回流的
aeruginous	铜绿色
authenticity	确实性
unascertainable	无法查明
charge	装料
hippish	有点忧郁的
hymenopteran	属于膜翅目的
gravisphere	引力层
defray	支付
chronology	年表
gq	general
netman	网前球员
charioteer	战车的御者
unpatterned	无图案装饰的
undyed	天然色
discomfit	扰乱
imprese	=impresa
somber	忧郁的
thinnest	薄
horsefaced	脸长而难看
