francophil	亲法
upriver	向上游
ardeid	属于鹭科的
swashbuckler	恃强凌弱者霸道小说
nok	next
disjunctive	分离性
sheol	阴间
afloat	飘浮的
intercalary	被夹于中间
padouk	=padauk
managing	管理
deluxe	豪华地
ileum	回肠
deception	欺骗
objectively	客观
secrecy	秘密
exhaustible	被取尽
thatcher	茅屋匠
thin	细小部分
preprofessional	职前
gawk	呆呆地看着
twill	把……织成斜纹
ecclesiae	教会
blah	乏味的
wrongly	错误地
boaz	波阿斯
prelicense	领取执照前
soulful	深情
society	交际
pulvillus	爪垫
boggle	不知是否应
gentlefolk	名门世家
brumous	冬天的
ascap	Authors
ulexite	硼钠钙石
dickensian	崇拜狄更斯者
polyhedral	多面体的
medieval	中世纪
antares	心大星
interior	内的
microvolt	微伏
unassimilable	不能消化
dialectologist	研究方言者
nondairy	不含奶的
deeply	深深地
formicate	蠢动
misplay	违反规则的玩法
grungy	低劣的
creepered	蔓草丛生的
willemstad	威廉斯塔德
feminality	妇女喜爱的物
frigate	三帆快速战舰
louvered	像百叶窗板一般安排
choose	选择
outright	痛快
emanative	流出的
bladdernut	省沽油
exoteric	公开的教义
stencil	用蜡纸印刷
drop	滴剂
infatuated	入迷的
changeably	易变地
birdy	多鸟的
baor	of
abrasive	研磨
radiotechnology	辐射能
fastidious	挑剔的
afflicting	痛苦的
nauseated	厌恶的
pullulation	成长
australia	澳洲
neaped	搁浅
plumb	垂直的
audio	声频的
slashing	尖锐的
triquetral	三棱的
cankerous	使溃疡的
adapter	扩充卡或特殊设计的电路
metrist	诗人
hemicyclium	半日晷
dantonesque	似丹东
staylace	女人的束腹的带子
cancerous	癌的
battu	打脚
chromatology	色彩论
poleax	以斧砍倒或攻打
hoppingly	忙碌
inflect	使屈曲
physiocracy	重农论
brassily	低廉而华丽
rustily	声音沙哑地
reddish	略带红色的
solunar	日月共同作用引起的
blockage	封锁
associational	联想的
jake	乡下佬
perfect	修改
afebrile	无热
shorts	短裤
blimp	肥胖的人
schemozzle	=shemozzle
faultiness	不完善
cesarian	专制政体的拥护者
uprate	提高……的等级的价值
cape	海角
verifiable	能作证
supraspinal	棘上的
elegant	雅致的
surround	环境
mollescent	变软的
imperialization	帝国主义专横
peachful	爱好和平的
bosom	胸
apprehensibility	能理解
avignon	阿维尼翁
lampad	烛台
thrustful	有强大推进力的
domain	范围
christly	如基督
carney	哄骗的话
targe	圆盾
ssafa	Association
ascensive	强调
quadrilateral	四边形
exhaustible	被汲尽的
grab	攫取
rearward	在后面
imperscriptible	非正式
word	词
photoelectric	光电子照相装置
domical	圆屋顶
ssr	Soviet
diminutive	指小的
uncontradictable	无法否认的
wattle	板条的
trochaic	扬抑格诗句
sulfur	用硫磺处理
stiletto	一种小剑
carnelian	玛瑙
geopolitic	理政治学
nitrous	含氮的
dicom	in
crazed	癫狂
floricultural	种花的
keester	屁股
easel	画架
cochineal	胭脂虫洋红
quarrel	挑剔
indistinction	模糊
appreciable	可评估
reoccupy	收复
canonic	轮唱
quakerism	贵格会
aerobics	增氧健身法
bailey	城堡外庭
petit	没价值
freon	氟利昂
genocidal	种族灭绝的
coon	无可救药者
eurytherm	广温性生物
internuclear	核间
hypotensive	降血压药
cockcrowing	破晓
fuzzy	模糊
devotional	虔诚
adhere	胶着
attaboy	好啊!
pinnatiped	蹼足的
countermine	对抗
pocketbook	笔记本
inobtrusive	谦虚
sedately	安详
continue	延伸
gibeon	吉比恩
performance	性能
basidia	的复数
netop	朋友
calculational	计算
buttermilk	酪乳
arcticologist	研究南北极的科学家
aram	the
atomic	微粒子的
packsack	=knapsack
acrimonious	辛辣
wizened	消瘦的
stemmed	有茎
marabou	鹳
might	可能
epitomist	写摘要者
gracile	细长的
russet	黄褐色的
krete	=Crete
tba	to
vengeance	复仇
philtrum	人中
disinterested	无私的
epochal	划时代的
ousel	乌鸫
costive	便秘的
explanation	互相讲明
vulcanic	硫化的
spignel	=spicknel
bogor	茂物
undelete	恢复被删除的文件
loose	解放
undamped	不潮湿
interjectional	叫声的
feather	长羽毛
bireme	古代船
selective	选择
polygamous	一妻多夫
barky	似树皮的
belong	住
slavery	苦役
thersitical	破口大骂
unshed	未流出
ballooning	乘气球
getparms	获取参数的
zygosperm	接合子
mime	多用途的网际邮件扩充协议
irreverence	不尊敬的
weave	纺织
crossroad	十字路口
repellance	=repellence
disentanglement	解开纠结
allegorization	讽喻手法
varicosity	静脉曲张
reflectional	反映
aut	of
anisomerous	不对称的
upscale	质优价高的
houseless	无家
dirndl	少女装
carpogonium	果胞
underproductive	生产供不应求
unploughed	未耕
debouchment	流出
sitosterol	谷甾醇
youngberry	杨氏草莓
whish	以呼呼声催促
transpersonal	超过人的
pop	热门的
perfervid	非常热心
maul	抨击
eponychium	指甲上皮
rub	摩擦
battlefield	战场
fiddlefucking	操他妈
lean	瘦
ipecacuanha	吐根树
corporate	共同的
buddhistical	佛陀
grateful	感谢
transnature	改变性质
cess	运气
recognized	经过验证
hurst	林中小丘
pulpitis	牙髓炎
ioffe	bar约飞棒
session	开庭
sapped	受冰川作用侵蚀
temperately	节制
asternal	无胸骨的
way	途中的
eudaemonia	幸福
lumberer	伐木人
aciculignosa	针叶木本群落
bashfully	羞怯
biggity	=biggety
categorize	分类
tease	逗惹
adnex	述语
passee	凋谢的
arrhizal	没有根
impersonate	扮演
picocurie	皮居里
windbreak	防风设备
imap	Access
surprise	奇袭
thumbnail	极短
dissimilation	异化作用
reproachless	无可非议的
purchase	购买
tother	另一个
crenulated	小圆齿状的
cheers	举杯敬酒之用语
pacification	讲和
ectoskeleton	外骨骼
dreamily	爱梦想
ab	空运
hydrofoil	水翼艇
episiotomy	外阴切开术
bioconversion	生物转化
rss	Socius
parcelgilt	内表面镀金的
spermic	精子的
soporose	昏睡
seise	依法占有
inaudibly	听不见似地
outmatch	优于
asphyxiate	使窒息
balkanize	分割成小国
nebulizer	喷雾器
tumescent	肿胀性
eruct	喷
initiatress	女传授者
photolitho	影印石版
atkins	Atkins
tellurometer	微波测距仪
flirtatious	轻浮的
jurisprudent	精通法律
lender	出借人
start	赛跑的先跑权
salvage	抢救
zygomycete	接合菌
xeme	北极鸥
hand	支持
snib	插销
tribune	看台
valour	英勇
puzzlement	迷惑
conspue	吵吵嚷嚷地反对
bottom	测量深浅
maoist	毛泽东
synroc	合成岩
polymixin	=polymyxin
calumniator	中伤者
contemporaneous	同时代的
impelling	迫使性
demilance	短矛
cozy	安逸
fortnightly	每两星期一次
unwilling	勉强
stearic	十八酸
philippines	菲律宾共和国
finale	终曲
vulpecula	狐狸座
carthaginian	迦太基
felted	用毡覆盖的
jacobian	理论
liquidize	使液化
redraft	改写
