toiler	劳动者
jwb	Welfare
euhemeristically	神话即历史论
damned	极
nairobi	奈洛比
epithalamus	上丘脑
slowness	缓慢
tactometer	触觉测量器
chart	制图
undissembling	不加掩盖的
baseband	基带
spiculate	针状的
exhaustion	详尽无遗的论述
acetyl	乙酰基
imap	Message
aniconic	无偶像的
undulated	波状
narrow	狭窄部分
rhodos	=Rhodes
eventuate	终于发生
fellow	同道
righty	用右手的
gardenless	无花园
incivilization	不文明
hirudinoid	似水蛭的
decapitator	解雇者
colewort	海甘蓝属
puling	呜咽
ichthyology	鱼类学者作
oppugn	抗击
inexpansible	不能膨胀的
concerted	协调
multidialectal	懂得2
ownerless	无主
eon	无数的年代
pluckily	大胆
knotless	没有节的
disseminate	散布
actuarial	保险精算师
mill	工厂
hypnograph	睡眠生理测定仪
peak	顶点
spill	使摔下
seething	沸腾
parcenary	共同继承
lincolnshire	林肯郡
jittery	神经过敏
defect	过失
spin	旋转
loose	宽松
prolamine	醇溶谷蛋白
unwittingly	无意地
parabombs	空袭
monocarboxylic	一元羧的
streakily	有条纹地
synchronously	同时
tapa	塔帕纤维布
chenopodiaceous	藜科的
duties	关税
fiorin	小糠草
eeling	捕鳝鱼
with	同……
abatement	消除
assailment	攻击
tache	钩扣
likewise	照样
charmless	无魅力
product	产品
bp	Beep
staple	常用的
unregimented	无组织
shapelessly	无定形
hoveller	无执照领港员
puccoon	紫草属植物
swaddle	束缚
aerosol	气雾剂
taper	锥度
prickle	扎
verisimilar	好象真实的
incity	市内的
star	星
pudge	矮胖的人
salicylate	水杨酸盐
trickiness	棘手
surfaceman	维护工人
blunder	做错
halftone	网板
sporangiophore	孢囊柄
arrowroot	竹芋粉
admiral	旗舰
satyromaniac	男性色情狂者
harvestry	收割
asu	Student
tridigitate	有三指的
ecliptic	日食
cracknel	薄饼干的一种
epilimnion	温度跃变层
libra	镑
inconsequently	不合理地
pane	面
unprompted	自发的
fundamentalism	此派的运动
choriocarcinoma	绒膜癌
dqdb	分布排列双总线
insect	卑鄙的人
seclusive	爱孤独
accomplice	同谋者
unsightly	不好看的
protechny	烟火
since	因为
sacred	神圣的
acgb	Arts
compunctious	内疚的
dou	即Dou
scrag	扭住……脖子
sophisticate	篡改
sittable	自始至终不必离座
holoenzyme	全酶
hedger	推卸回避的人
imperfectness	缺点
algerish	提倡艰苦创业精神
wandering	流浪
algologist	藻类学家
sandbag	沙袋
gct	Greenwich
cesspool	污秽场所
testimonial	证明书
northerly	来自北方的
