isocephalic	人像头部等高的
fire	烧制
evolvement	演化
chainomatic	链码天平
sameness	一致性
ptolemaist	托勒密体系的信徒
punk	小阿飞
tobacco	烟草
hermitship	遁世
unsccur	Nations
bavarian	巴伐利亚人
dover	英国东南部的港口
tubuliflorous	管状小花的
gliding	流畅
tiliaceous	椴科植物
rattly	吵闹
copemate	伙伴
once	一次
isograph	求根仪
unacquirable	不能获得的
awanting	缺乏
billposter	受雇张贴广告者
hongi	毛利族人的以鼻相触的见面礼
triphenylmethyl	三苯甲基
aeriality	类似空气的性质
subtractive	负
excitation	激动
breezy	轻松愉快
lunabase	月球上低平面
potassa	=potash
slide	幻灯片
pretense	自称
rowland	罗兰环
augmentation	增加
outwardness	客观性
whitewash	石灰水
instigation	教唆
tackboard	图表板
disquisitive	研究的
pizzazz	=pizazz
leaky	漏
torpedo	用鱼雷进攻
lewisson	吊楔
unrifled	未在枪膛内制来复线
rigorism	死脂
subtropical	亚热带的
recremental	废物
theretofore	在那以前
troublous	动乱不安的
rebuttable	可反驳
pedestrian	徒步的
surcoat	女用外衣
lutetian	巴黎的
singly	个别地
stale	疲倦的
oligochrome	只用少数颜色的
fabrication	伪造物
graininess	木纹状
unicostate	中脉显明的
loxodromic	斜驶
tragedian	悲剧演员
ergosome	动体
mossbunker	=menhaden
circumglobal	环地的
clank	发叮当声
eudiometric	空气纯度测定管的
hagiarchy	圣人之间的尊卑次序组织
themselves	他们自己
corrigenda	勘误表
elegantly	优致地
skeleton	骨骼
sustenance	食物
mesocephalon	=mesencephalon
masterpiece	名著
criminaloid	本性有犯罪倾向之人
preadamite	亚当以前的
amelioration	改进
ocso	Observance
epigynous	上位的
girdle	包围
abusive	辱骂
serinette	八音琴
npl	国家物理实验所
hardhattism	强硬保守主义
molectron	集成电路
secretory	能分泌的
nc	数字计算机控制
unitarianism	集权制
rhinostegnosis	鼻狭窄
curiosa	奇品
faithful	守信的
cromer	克罗默
way	远远地
candlenut	桐实
galop	跳该舞
tack	行动方针
redcoat	英国军人
unselected	未经选择的
hyperverbal	极其罗唆的
judaeophobia	对犹太人的恐惧
cutlet	肉饼
whipsaw	利用一方打击另一方
white	白的
rapturously	狂喜
ventil	活栓
band	结合
invaluable	价值无法衡量的
flowing	流畅
scrambler	扰频器
turncap	旋转帽
nationality	国家
colory	色泽甚浓的
sleugh	泥沼
mean	普通的
ceresin	地蜡
otp	Trading
veinulet	小静脉
exquay	码头交货价
damned	被咒骂的
profoundly	深深
stirring	忙碌
skelp	快步走
unction	虚情假意
intended	有意的
instant	直接的
stiletto	钻孔锥
airhop	乘飞机短程旅行
caterer	指备办宴会者
finis	死
nummular	硬币形
confound	讨厌
forceps	钳子
waive	放弃
flee	逃
allpowerful	全能
inarm	环抱
system	规律
