snubby	好轻视人
interdependent	相互依存地
esthetical	美
ungual	爪的
molwt	weight
gantry	桶架
euthyroid	甲状腺机能正常
binge	狂欢
scoreless	没得分的
apiece	各
technologic	工艺的
unbitt	解下
malpais	熔岩区
trichinous	患旋毛虫病
preadamite	亚当以前的人
bibliotics	文件真伪鉴定学
stimulus	刺激
twinned	成双成对的
accredited	质量合格的
lallation	音发成
desiccant	干燥剂
exoderm	外胚层
thrombokinase	活性司徒氏因子
passe	已过盛年的
jenny	纺织机
unfaithful	不准确的
brotherly	亲切的
diathermy	透热疗法
deradicalize	使放弃政治上过激的立场
deflationary	通货紧缩
prophylactic	避孕药
cavalier	对女人献殷勤
procurance	获
hexamethylene	环己
readdress	使重新着手
at	在……方面
gondi	冈德语
locoplant	洛苛草
tacnode	互切点
sinkage	下沉
lentiginous	雀斑
sizz	使发出嘶嘶声
lieabed	常睡懒觉的人
horrific	令人毛骨悚然
superduper	非常好的
white	白种人的
romanian	罗马尼亚的
bask	愉快或舒适
evangel	福音
walloping	极好的
conflagration	大火
stretch	伸长
postiche	仿造品
teratologist	研究畸形学学者
slender	苗条
zoot	=zoot
calcimine	刷墙粉于
engagement	约会
isa	Standard
stum	用防腐剂防止发酵过度
logaoedic	由混合韵律组成
current	通用
frostbiter	冬季帆船运动员
autostrada	意大利的高速公路
awash	被浪冲打
basswood	椴木
encapsidate	用壳体包裹
capernaism	迦百农主义
locomotive	运动
phoniatrics	语音矫正法
hardhearted	心肠硬的
decametre	十音步的一行诗
incorporation	组成公司
untasted	未体验过的
harmless	无害
firth	河口湾
psychotic	精神病
reenaction	再制定
nccw	Women
do	制作
dressing	穿衣
rename	再命名
corsage	女服的胸部或腰部
etruscan	伊特鲁里亚人
gmbh	股份有限公司
lumping	很多的
reasonably	相当
tumultuate	引起骚动
plunderer	掠夺者
zamindar	印度地主
pintoresque	似画
reredos	壁炉的背部
reconcilably	可调停地
qda	agreement大量折扣协议
alba	Duke
sun	是JAVA语言的创始者
covenanter	盟约者
dampness	湿气
square	平方的
khoums	库姆斯
nullification	取消
hydrocephalic	脑积水的
sncf	Societe
fashioned	……风的
film	变成朦胧
uplooking	有抱负
bareback	无鞍的
deduction	推论
rivalize	竞争
glitzy	眩目
fos	轮船上交货
underproductive	生产不足的`tIvEtI/
eelspear	刺捕鳗鱼的叉子
pine	憔悴
mildly	适度
cookshop	小菜馆
administrant	管理人
timberwork	木结构
lymphosarcoma	淋巴肉瘤
condensability	可简约性
permanent	永久的
eastwards	东方
scene	景色
toothful	微小
limp	柔软
hemistich	不完全诗行
abysmal	深不可测
unadvised	轻率的
linguatulid	舌形虫
oakling	栎树萌发枝
acronical	薄暮的
equerry	侍从武官
bachian	巴赫的
fathom	彻底了解
satiation	使饱足
frilly	镶褶边的
frostline	冰冻线
hexameter	六步格
tulwar	曲刀
intine	内壁
famous	出名
illuviate	经受淀积作用
josh	说笑
playmate	游伴
striated	有线纹
dead	废弃了的
corporate	法人的
lymphoma	淋巴瘤
cessation	停止
pastrami	熏牛肉之一种
orthicon	象管
taint	感染
sacred	神的
maldivian	马尔代夫人
uniflow	单流的
unhip	非赶时髦派的
decanal	院长的
potlatch	冬节
ungulate	蹄状
pemmican	干肉饼
ardent	热情洋溢的
isoplastic	等基因移植物
capsule	蒴果
debark	卸载
bleb	疱疹
formosa	台湾
hidalgo	西班牙的下级贵族
scrutable	可解读的
tdma	时分多路寻址技术
scansion	韵律节奏的分析
clavecinist	大键琴演奏者
icarus	伊卡洛斯
sing	演唱
operatise	=operatize
dinky	不足道
nummulated	钱币形的
fullmouthed	威势十足的
snooker	阻挠
eoka	埃奥卡(希腊语"
scamper	奔跳
identical	同一的
surely	确
nocturne	夜景
subinfeudatory	受分封者
darkminded	阴险
alkalimetry	碱测定法
cornfield	小麦田
naderite	纳德主义者
psychoenergetic	利用心力的
client	委托人
astrictive	止血
symbolatry	=symbololatry
hasty	匆忙
cystine	双硫丙氨酸
naprapath	按摩治疗者
costive	小气
affixation	附加
endobiotic	组织内寄生
quatercentenary	400年
obstreperous	任性的
potent	有效
clypeate	有唇基
barney	巴尼
sweatband	吸汗带
augusta	奥古斯塔
suppletive	替补的
pyrola	鹿蹄草
knitwear	毛织类
meltability	可熔性
disannex	使分开
horsefaced	脸长而难看的
spiflicate	痛打
bipinnate	两羽状
softbound	=softcover
exostosis	外生骨疣
albumin	清蛋白
regret	遗憾
fidelity	保真度
destructor	垃圾焚毁炉
elective	有选举权
letterweight	镇纸
nodus	难点
queasily	令人恶心地
dragonesque	龙状
devotional	祷告的
flickery	摆动的
slavish	奴隶
antichloristic	阴氢剂的
embayment	港湾形成
hexaemeric	创世之六日
chansonette	小调
sainfoin	红豆草
nuncio	罗马教廷大使
quickly	很快
impartial	不偏不倚
blagueur	说大话者
rectifiable	可纠正
perceivable	可知觉
tedious	单调乏味的
byroad	间道
commend	表扬
vacuum	真空的
commodious	宽敞的
stringless	无细绳
stakhanovism	斯达汉诺夫运动
ispy	一种捉迷藏游戏
gasless	不产生气体
freehand	凭手画
ingroup	小集团
ced	for
oscan	欧斯干人的
letterspacing	字间隔空
chewie	橡皮糖
fondly	盲目轻信地
fetation	怀孕
molina	de
thetatron	角向收缩
revisionary	校订的
succinctly	简便
ferric	铁的
pavilion	亭
cannonade	连续开炮
shikari	猎人
translunary	虚构的
separator	脱脂器
physicist	物理学者
curse	诅咒
ruminant	反刍动物的
dbms	Management
thermometric	温度计的
iaaf	Athletic
anachronous	年代错误
crossed	划掉
erotophobic	憎恶性爱的
fibrotic	纤维变性
waco	韦科
unpick	拆开
eidetic	异常清晰
lilacky	丁香紫
unido	Development
nzima	恩济马语
racially	人种上
repent	忏悔
tyrannical	残暴
coenosarc	共肉
hydrate	与水化合
cycloserine	环丝氨酸
lacertine	有蜥蜴状花饰
featly	优美的
cancer	毒瘤
doited	老朽
cfs	cubic
lop	闲荡
holophotal	全光反射
boisterous	喧闹的
rhapsodize	狂热地描述
prognathous	下巴突出的
greenstone	绿玉
constringe	使收缩
carpeting	毛毯
volution	涡旋
bluejeans	粗蓝布裤
roi	Institute
columelliform	似小柱
homosexuality	同性恋
crossbeam	横梁
nauseate	使作呕
homochromatic	只有单色
partizan	敌后游击队员
inleakage	透入
firewater	烈酒
solemnify	使神圣
pauperdom	=pauperism
economic	经济的
proconsular	方总督
portocaval	=portacaval
film	生薄膜
hrip	在此安息
acceptable	合意
fix	固定
oceanic	海洋
hibernal	寒冷的
refreshen	=refresh
intersection	交叉点
perplexed	不知所措的
elevenfold	十一倍的
orbit	进入轨道
kozhikode	科泽科德(旧称卡利卡特
cullis	墙槽
albuminoid	蛋白似
brassy	象黄铜的
hermitage	偏僻的寺院
undiscerning	无辨别力
linked	连接的
paddlewheeler	明轮船
weatherboard	装以护墙板
washday	洗衣日
timing	适时
seer	幻想家
sumpsimus	正确措辞
premaxillary	前颌骨的
whorl	轮生体
ingleside	炉旁
congratulatory	祝贺
lustreless	无光彩
quorum	法定人数
ordure	排泄物
fastish	有些放荡的
pelagic	浮游的
manageable	便于管理
projective	投射
hollandia	霍兰迪亚(印度尼西亚东部港市查亚普拉
copier	抄写员
manifer	护手铠甲
disaccharid	二醣类
overwinter	把……保存过冬
migrate	迁徙
fascinating	迷人
percheron	佩尔什马
svga	Graphic
unjustifiable	无法辩护的
intercurrent	并发的
salmonid	=salmonoid
scribe	犹太法学家
cervine	鹿
slapdab	恰好
amniotic	有羊膜的
stoke	司炉
backfire	逆火
