callow	年轻而无经验
bowknot	蝴蝶结
anthropological	人类学上/人类学上
beaten	挫败
peppy	精神充沛
contradictorily	反驳
walach	=Vlach
snook	嗅
isoagglutinin	同种凝集素
womanlike	女人般地
shillaber	道旁小贩
midlife	中年
ministrant	服侍者
halibut	大比目鱼
possessed	疯狂
oystershell	牡蛎壳粉
soogan	=sugan
gammer	乡下老太婆
unsophisticate	单纯
falseness	不正确
exploiter	开发者
ponticello	琴马
ophthalmologist	眼科医师
formant	共振峰
mirky	阴郁地的
brethren	同胞
perineal	会阴的
print	印刷
subcellar	地下室的第二层
multipoint	多点的
yarnsmith	作家
septate	具隔膜
elusively	巧妙逃避
unavoidable	不能取消
maximum	最大极限
plutocratic	有钱有势的
acknowledge	报偿
tickler	备忘录
filamentous	如丝的
hyperosmolality	高渗透压性血清状态
ineloquent	不雄辩
whitebait	鲱鱼的幼鱼
ho	满足
inept	不适当的
ack	命令正确应答
amour	恋情
subtractive	有负号的
hardhack	绣线菊属的植物
aspergillosis	曲霉病
peddling	无关紧要的
volute	涡形的
cerebrotonic	孤僻气质
boanerges	传教士
prelibation	先尝
electrodermal	皮电活动
handgun	手枪
sisterly	姐妹一般的
seriation	顺序排列
deceive	行骗
emblazon	颂扬
flaring	发光
ideogram	表意文字
laurel	授予荣誉
antibacterial	抗菌
recumbency	休息
swift	大滚筒
pentad	五个一组
astern	在船尾
crm	Management
rotiform	轮状
rhyparographic	对卑贱事物之描写的
plastid	成形原体
cragsman	攀岩者
oceanaut	海中作业员
fidge	抽筋
hotelman	旅馆经理
rah	激动
scrap	文章
fly	敏捷
paster	贴纸
opprobrium	责骂
semievergreen	半常绿
iodine	碘
lewis	吊楔
servomechanism	跟踪器
horseless	无马的
strikebreaking	破坏罢工
qcb	队列控制块
siderolite	铁陨石
residential	住宅
misknow	认不出
haematozoon	血内寄生虫
stupid	愚蠢
potable	适于饮用
arcticology	研究南北极的科学
airer	晒衣架
xenial	异花受粉
courtyard	庭院
clerisy	知识分子
transbus	超级公共汽车
acclimate	服水土
dissociate	游离
retribalize	使复归部落状态
xanthoxin	黄氧素
snugly	贴身
shul	=synagogue
rupicoline	=rupestrine
snorty	心眼小
boozeroo	简陋的小酒店
guano	海鸟粪
sunlike	非常明亮
paced	步伐
bronzer	古铜色化妆品
whizz	子弹等在空中掠过的声音
oracle	神谕处
puberal	青春期
fall	倒下
debris	碎片
tantivy	疾驱
baccalaureate	在毕业典礼上对毕业班所作的告别讲话
traversing	穿越
alkylate	烷基化物
xenomania	外国狂
suberose	软木质
jdisplay	J
norther	酷寒北风
staid	沉静
equability	平静
araneiform	像蜘蛛的
telemetric	遥感勘测
forgetfully	不注意地
psephite	砾质岩
courtroom	法庭
mungarian	匈牙利语
