meagrely	贫弱地
lampooner	冷嘲热讽者
erythropoietic	红血球生成的
scurfy	皮屑
marginalia	旁注
send	送
arbitrage	套汇
displace	置换
out	下台
sidewalk	人行道
shockheaded	头发乱蓬蓬
pocketbook	皮夹
centennial	百年纪念
importability	可输入
centennial	一百年的
regerminate	重新发芽
above	上文的
white	蛋白
idlesse	懒散
omnimane	每晨
paediatric	儿科医学
immerge	埋头
cannabinoid	大麻的化学成分
siphonet	腹管
sned	砍掉
biparental	来自双亲
overleaf	在背面
peshito	伯西托本
dcm	Medal
relative	关系词
roisterous	作威作福
scattershot	漫无目标的
tartary	鞑靼地方
interleaved'	NULL)
crypt	地穴
nigrescence	变黑
imperturbed	镇静的
unfaithfully	不忠实
lively	栩栩如生
tortive	扭曲
angostura	安古斯图腊树皮
undercooked	煮得欠熟
hyde	海德
compromise	折衷
checkweighman	代表矿工确认矿方所秤矿重的人
nonage	未成年
gruntling	小猪
terribly	极
watteau	华托式的
unsalted	新鲜的
ascensive	进步的
coagulatory	凝结的
spiritualist	唯心论者
dreamland	梦乡
incalescent	温度渐增
landwehr	后备军人
dropping	滴下
unreported	未经报道的
marplot	捣乱者
arbitratorship	仲裁者的身份
ebracteate	无苞
liberally	公平地
vindicatory	惩罚的
possessory	所有的
suppurative	足使化脓
flyover	n飞机编队低空飞行
postliterate	文字后
illuminating	照明
interpretable	能说明的
cornerways	斜地
feeze	惊慌
dishwatery	枯燥的
mock	骗
cannibal	食人者
catalyse	催化
english	英文
augustan	奥古斯都时代的
lymphoblastic	淋巴母细菌的
woolpack	卷毛衣
freezing	冰冻
demisable	可遗赠
kinematically	运动学上
below	在……下面
inconclusively	非决定性地
mundane	世俗的
brachydactylic	短指
acadian	阿卡迪亚人
iocu	国际消费者联盟组织
corkily	像软木地
marking	记号
dye	染料
atabal	小鼓
cry	喊声
movement	乐章
baccalaureate	学士学位
erma	厄玛
cater	投合
smsa	Standard
kookiness	傻
mimeograph	油印机
zoosperm	游动精子
rupicolous	居住在岩石丛中的
disillusionary	令人失望的
finality	结尾
radiolarian	放射目的
clannish	团结心很强
geocarpy	地下结果性
gavot	加伏特舞
umt	普遍军训
pugilistic	拳击家
hyte	疯狂的
jalalabad	贾拉拉巴德
solubility	溶解性
leavy	多叶
marcescent	带雕存部分的植物
projecting	伸出
slipcover	沙发套
interline	插写进去
lumbaginous	腰肌痛
whence	从哪里
tolstoian	托尔斯泰
allotee	受分配的人
levelpeg	保持势均力敌
gruffly	粗暴
deprave	堕落
goatling	小山羊
washy	浅
fighter	斗争者
hurtfully	有害地
exclusive	高级
external	客观
fade	减弱下去
telegoniometer	无线电测向仪
rubblework	毛石建筑
rics	of
tergant	显示出背部的
left	在左面
mercilessly	无慈悲
thunder	雷
ichthyologist	鱼类学者
altorilievo	圆雕
splenetical	=splenetic
psat	Preliminary
anilingus	舐肛
scribble	杂文
foursquare	坚定的
accessibility	可到达
mailing	农场租金
explode	爆炸
gmat	time格林尼治天文平时
hexagonal	六边形
ccitt	Consultative
careworn	受忧虑折磨的
semidomesticated	半驯tI`keIFEn/
gasengine	煤气内燃机
swad	一簇
unbed	把……从花坛
private	私有
stead	对……有利
microvessel	微脉管
blindfold	看不清
slatternly	不自检点
delicatessen	熟食店
scoff	狼吞虎咽
cathecticize	=cathect
plumb	使垂直
bloated	傲慢的
snackery	点心店
eurythmy	=eurhythmy
setline	有一排钩子的长钓鱼线
flounderingly	总是失败地
corny	粗野
escap	Economic
epitaph	墓志铭
nauseate	厌恶
discriminability	可分别
outmoded	过时的
sylvicultural	造林学
snowslip	雪崩
opiumism	鸦片中毒
unbury	挖掘
pardon	原谅
telephonic	用电话传送
inexcitable	难以激动
cterm	Protocol
hydrokinetics	液体动力学
sacral	祭典
passively	被动地
boychik	小青年
anisodont	牙齿高低不齐
synergic	协作的
apopetalous	离生花瓣的
topiary	灌木修剪法
hast	have的第二人称单数现在式
perceptual	知觉的
gynaecoid	女性
electromigration	电迁移
varnish	光泽面
englishism	英国风格
iberian	伊比利亚的
margaric	珍珠般的
rammish	淫荡的
polak	波兰人的
viscountcy	地位
existent	现存的
throatily	喉音地
lipotropism	亲脂
yawata	八幡(原日本九州岛北岸港市
vinylbenzene	苯乙烯
anthelmintic	驱虫
cacodyl	四甲二砷
oracle	哲人
jewfish	海鲈
histidine	组氨酸
homochromatic	单色
girosol	=girasol
keystone	基本原理
astrut	趾高气扬
solidi	solidus
decolorant	有脱色作用
softly	温柔
emulsive	可榨出油来
pushing	急切的
ovicidal	杀卵的
maxilla	小颚
inexcusable	不可宽赦
kibble	粗磨
unmerge	分解
speak	操
lsv	surface
ionogen	电解物
disseat	使退位
venule	小翅脉
erosive	侵蚀性的
spiny	剌状
braceleted	戴手镯的
misspoke	读错
teledu	獾类
combat	抗击
guarantee	担保
parabombs	集束炸弹
rics	Surveyors
bomber	轰炸员
haloplankton	海洋浮游生物
prayerless	不祈祷的
nephroid	肾形
sepalous	有萼片的
lynch	诽谤
guide	指南
inanimation	不活泼
eblan	=Eblaite
servant	仆人
bolt	螺钉
uncondemned	未受谴责的
apocrine	泌离的
bonsai	盆景
rhein	大黄酸
condensed	浓缩
standard	第一流的
polygonal	多边形
hyetology	降水学
tetrachord	四度音阶
emperor	皇帝
vamoose	匆匆离开
periplast	周质体
upstairs	楼上的
darwinism	进化论
thersites	瑟赛蒂兹
unexacting	不严厉
unorderly	杂乱的
otherworldly	修来世的
plumbaginous	石墨的
languorously	疲倦
swat	Armored
edict	布告
gks	计算机图形核心系统
asp	白杨
cornerways	对角地
chewy	耐嚼的
aerocar	可变为汽车或飞机的一种运输工具
anastatic	凸版的
dignify	故做显贵
reduce	减少
weave	迂回行进
enolic	烯醇的
heliotropic	趋日性
piccaninny	小孩子
refundment	退款
above	超出
symphile	蚁客
summons	召唤
haemostatic	能够止血
nonfluency	不流畅的言辞
longtimer	老资格
permanency	恒久的人
sclerodactylia	指硬皮病
weltanschauung	世界观
