spew	喷涌
lithe	易弯
daemonic	似魔鬼
unrevealed	未揭露的
cracknel	脆煎肉片
skin	皮
postcommunion	领受圣餐后的祈祷
sincipital	前顶的
consequentially	必然
tintinnabular	铃声
malformed	难看
marvy	=marvie
tricolor	三色旗
referrence	谘询
jingoism	主战论
jobholder	有固定工作者
ssafa	Sailors''
gazette	政府的公报
magic	魔法
hydel	水力发电
dragoness	母龙
geographical	理
deepie	立体电影
galumph	意气扬扬地走
fishermen	渔夫
rumble	低沉地说
naxalite	纳萨尔派分子
leptonic	轻子
sleight	技巧
kgb	Gosudarstvennoi
isacoustic	与等声强有关的
bosom	内心
triethanolamine	三羟乙基胺
pasture	牧场
epode	希腊抒情颂诗第三节
wherefore	原因
fishwoman	粗野的女人
swidden	临时性农田
jis	Standards
disulfoton	乙拌磷
loliginid	枪乌贼科
federal	联邦制
fleetful	大批
isomorphic	同构的
musky	麝香似的
tame	被开垦
escap	and
corrosion	侵蚀
washy	稀薄的
ornamental	装饰用
intropunitive	内罚型的
bemist	笼罩在雾中
external	表面
latticinio	不透明乳白玻璃
affluent	丰富
tritanopia	蓝盲
pennant	短绳
pusillanimous	优柔寡断的
ruminatively	反复思考地
tack	大头钉
saffron	藏红花
victoriously	获胜地
contiguous	接近
primary	初步的
pickapack	=pickaback
emr	mentally
nozzle	喷嘴
oversoul	超灵
preem	首映
contour	轮廓
longtime	长久
derelict	被抛弃了
tomfoolery	无聊
amused	愉快
satellitic	卫星的
kitling	小猫
unfaltering	稳步
indescribable	难以形容
utp	Twisted
unanimity	全体一致
sound	健全
nonuple	九重
malay	马来语
mhs	Message
sportfishing	垂钓用的
mesh	落网
ssa	Security
zoom	使摄象机移动
outcast	被驱逐者
senopia	老年期视力回春
therefrom	从此
schlemiel	倒楣的人
multipack	合装包
buhr	细砂质磨石
nitwitted	笨的
gks	System
dwarf	变矮小
unprecise	=imprecise
exist	继续存在
ketolytic	解酮作用的
spinosity	有刺
bribe	贿赂
urceolate	壶状
polyspermy	多精入卵
triliteral	有三个字母的
homolog	相当或相同的事物
england	英格兰
limburgite	玻基辉橄岩
vindaloo	咖喱肉
block	块
psn	number
photovoltaic	光电的
clausal	分项的
available	接受探访
scorer	刻划痕迹的人
precocial	早熟性的
hate	不愿
lps	Lord
unitarian	一神派的
bere	大麦的一种
hyperphysically	超自然地
synovia	关节骨液
conversance	熟悉
resolutive	消肿的
botryoidal	一束葡萄状的
stactometer	滴量计
mmm	移动媒体模式
squire	乡绅
early	早期
cock	使竖起
miserable	可怜
symphonette	流行交响曲
captation	以狡猾手段谋取利益
cyprian	淫荡的人
inebrious	醉
fool	莽汉
ace	一流的
powerful	有力的
maths	数学
slogger	猛击者
napiform	上部粗圆下部细长
rubeola	麻疹
tinge	微染
amoeboid	似变形虫的
simple	简朴
unearned	不劳而获的
limpet	坚守岗位的职员
savoie	=Savoy
squirely	适合乡绅身份的
semitropical	亚热带的
reliant	依靠
rectorial	院长的
retrofited	作翻新改进
quinacrine	奎纳克林
teletypist	电传打字电报员
fun	娱乐
arfvedsonite	钠角闪石
fenderless	无防撞物的
tapeti	小野兔
athodyd	冲压式喷气发动机
strikingly	醒目
ammeter	电表
slalom	障碍滑雪
snooty	鄙视别人的
driftage	风落
inkyo	引退
negotiatory	交涉的
viny	葡萄树
incendiary	纵火犯
forgetive	能够创造发明的
pelt	疾行
newel	楼梯上下端的栏杆支柱
hood	引擎罩
queerness	不快
corporation	企业
patronizing	俨然以恩人态度
simplicity	朴素
foreclose	预先处理
undereducated	未受良好教育的
affection	倾向
retroperitoneal	腹膜后
beau	情郎
prograde	与其他天体作同方向运行
ratheripe	早生
electrophoretogram	电泳图
someway	以某种方式
tacloban	塔克洛班
nodous	多节的
solicitudinous	挂念
factualistic	尊重事实
tailoress	女裁缝
cladogram	进化树
lipolytic	引起脂肪分解
dictation	口述
ang	美国报业公会
cursely	该受诅咒
polyandrist	多夫妇女
transoceanic	横越海洋
rascal	卑鄙
caird	游民
sjd	Juridicae
befriend	待人如友
