bornite	斑铜矿
erosion	侵蚀
kick	踢
deadwood	碎屑
allpowerful	最强大
rentable	可出租
phosphene	压眼闪光
landlordly	房东
autumnal	秋的
aspersion	洒水
incised	雕刻的
douai	=Douay
implant	灌输
jmb	Board入学考试联合委员会
halfway	部分
halves	一学期
adiabatic	绝热的
pugwash	conferences帕格沃什会议
esculent	可食用
opalize	使成乳色
unreported	没有报道的
profound	意义深远
nematocidal	杀线虫
indelible	不能拭除的
isodiaphere	同差素
jowled	双下巴的
blusterous	咆哮的
alveolate	蜂窝状
donatism	多纳图派教义
sapric	含极腐烂生物的
pandemonium	大混乱
suffering	患病的
tribolet	=triblet
milieu	周围
pule	呜咽
appurtenant	隶属
boloney	荒谬
pakistani	巴基斯坦的
vagotomy	迷走神经切断术
almsdeed	善举
glomerulate	聚成密集小群的
monticulous	=monticulate
softbank	日本最大的软件销售商
helpful	有益的
species	核素
vitrifiable	可玻璃化
nonmonetary	非金融的
handjob	手淫
toxicologically	毒物学地
interceder	仲裁者
malta	马耳他
disciform	盘状
nuque	颈背
informing	鼓舞的
expect	指望
saucisson	粗红肠
tamarugo	塔马鲁戈牧豆树
shoal	大量
buckled	有扣
leakance	电漏
despise	轻视
sinitic	中国的
trivially	很一般的
lochial	恶露
sheepkill	=sheep
angst	焦虑
facinorous	罪孽深重的
waste	浪费
filicauline	有丝状茎的
maleficence	坏事
semiorbicular	半球形的
quatercentenary	400周年纪念的
short	矮
rhinogenic	鼻性
noncontentious	非争论性的
makeshift	权宜之计的
reedy	尖声的
befriend	帮助
iaz	zone
wilderness	大量
autochanger	自动换片器
renegue	违例出牌
eclectic	折衷主义者
table	搁置
revolted	起来反抗的
tongueless	哑
bookcase	书架
tumefy	隆起的
premiership	首相之职位与任期
unbeliever	异教徒
satanic	邪恶
stinkweed	发出臭味的植物
ridge	翻土作垄
seismonastic	感震的
deregulate	解除管制
rhyme	押韵的词
christianlike	如基督徒
ineffectually	无益地
brusquely	唐突
archangelic	大天使的
catenate	使连续
cytochalasin	细胞分裂抑素
undermost	最下的
bequeath	遗留
interchange	相互交换
gmbh	Gesellschaft
fiz	作嘶嘶声
devotement	奉献
say	话语
lickerish	好色
grown	成年
lustily	精力充沛地
jollily	愉快
unthinking	无思想
testily	暴躁地
riverine	河边
pascual	牧场
woof	低音
flow	流程
leglet	脚镯
tumble	翻倒
region	区域
unroyal	不是王室
completion	完成
discouragement	劝阻
pontifical	主教仪典书
repulsive	严拒的
reverent	虔诚
about	周围
squall	暴风雪
parallel	并联的
superannuated	过时的
coul	=cowl
consulship	领事的任期
canned	一稿数用的
morose	郁闷
maneating	凶悍的
standpoint	立场
sched	时间
typhoidal	伤寒
lovable	惹人爱的
preharvest	收获期前
ding	连响
fat	油腻的
mmm	Mode
bathypelagic	深海区的
phytolaccaceous	商陆科
lowriding	驾驶低底盘汽车兜风
gorge	障碍物
hypallage	换置法
coquetry	玩弄男人
sex	区别……的性别
scepter	笏
unconstrained	不受强制的
residual	残留
palytoxin	水螅毒素
tot	合计
artificial	人造的
captaincy	captain舰长之地位
poltfoot	畸形足
dodo	渡渡鸟
html	Hypertext
halakist	编辑犹太法典法律部分的法官
arsenic	砷
croquis	素描
falsify	伪造
topiary	修剪灌木的
osteomalacic	骨软化的
interbrain	间脑
quail	感到恐惧
wearproof	防磨损
dualpurpose	作两种用途
convolvulus	旋花植物
cortisone	可的松
subminiaturize	把……制成超小型
saving	搭救
plectra	的复数
disinhume	挖掘
oxygenation	氧化
hydranth	水螅体
homonuclear	同核
curiosa	淫书
overthrust	上冲断层
grue	一点
turgescent	肿
copiously	充裕地
pivot	装枢轴于
contingency	可能性
prosper	繁荣
labroid	咽颌类的鱼
cryptographic	关于暗号的
sociology	社会学
overmaster	压倒
slade	Workers平版及套色印刷工人工会
lugsail	后缘长的四角纵帆
pickerel	梭鱼子
heresy	异教
throughother	乱七八糟
kidlet	羔羊
dizzyingly	令人昏乱地
surge	使汹涌奔腾
pirogue	独木舟
pantomime	打手势
balibuntal	棕榈纤维女帽
fusiform	两端渐细
cryptic	含义模糊
mudstone	泥岩
command	博
block	木块
isolating	绝缘的
sarcastic	讽刺
ulterior	将来的
nigerien	尼日尔的
ragi	鸭脚稗
am	是
breeding	教养
handbill	招贴
scent	发出气味
pronumeral	未知数
conte	小故事
collectanea	选集
sudorific	促使发汗的
nccj	and
potentiality	潜力
undercharge	低的索价
