motivic	乐旨的
impropriety	不适当的事物
hobbyhorse	木马
esmtp	SMTP
euphroe	绳索收紧器
trapes	邋遢的妇女
wallow	颠簸
potash	碳酸钾
darshan	增禄
heretofore	直到此时
osteopathist	接骨医生
languorous	没精打采的
blae	青灰色
wergild	凶手应付给被害人家属
vibraphone	电颤琴
prevenient	以前
pillowcase	枕头套
signaling	发信号
leadswinging	装病
flamboyance	华丽
corposant	放电光球
fervently	热心
excommunicable	可革出教会
adversarial	敌手的
semicolon	分号
mature	成熟
raptatorial	食肉的
generic	普通的
tcp	/TCP/IP软件
outdoorsy	适用于户外
gaby	傻瓜
tunis	突尼斯
stall	厩
semibold	半粗体
wire	打电报
stud	用饰纽装饰
undissociated	未离解的
politically	贤明
sedgeland	苔草
pit	凹陷
capitalizable	资本化的
pitch	斜度
modernity	现代性
blaze	火焰
reciprocitarian	互惠的
cegb	Generating
shackle	手铐
finite	限定的
wilmer	威尔默
swink	苦工
vapor	水蒸气
transconfessional	超越教派
clear	完全
mistakenly	错误地
necessitarian	必然论者
twister	难题
scrivener	代笔人
haemoptysis	咳血
hydrocephalic	脑积水
dns	Name
cotonou	科托努
dissolutely	放荡地
wysbygi	Get
zarape	=serape
gastronomical	美食学的
danube	多瑙河
transgress	犯罪
fasten	扎牢
handling	操作
amphion	安菲翁
karyosystematics	染色体组型分类学
forgive	饶恕
referenced	引用的
godship	神格
delinquent	拖欠债务的
consider	认为
pyretic	引起发烧的
ppb	10亿分之……
resplendent	辉煌
casuistry	决疑法
disassembly	拆卸
iamap	国际气象学和大气物理学协会
nephritic	肾脏
executive	行政
counterprogram	9kaJntE`prEm/争夺观众
coalfish	黑鳕
espiegle	爱戏谑的
primal	最初的
attire	服装
biracial	代表两种人种的
brokenhearted	极度沮丧的
unnational	非国有的
forestry	林学
unjustifiable	不合道理的
soho	哈!
cephalometry	头部测量学
stinking	臭的
icy	冷淡的
regress	退回
rheumy	稀粘液的
prosify	使平庸化
druze	=Druse
refashion	重制
ascanius	阿斯卡尼俄斯
unexacting	不需付出很大努力的
misguide	误导
intreat	乞求
mercury	水银
scalar	数量
contemporaneous	同时期
essentialize	使精炼
temperate	有节制
abroad	广泛
stomatic	气孔的
exosmic	渗入的
marbleize	作成大理石状
ahead	向前
acromegalic	肢端肥大症患者
choriambi'	NULL)
impractical	昧于实际
isolable	可孤立
scabbed	生疥癣
capsulotomy	晶状体切开术
algonkin	=Algonquin
absurdness	荒谬
unqualified	绝对的
butcherly	如屠夫
homebred	在家里养大
tuneful	和谐
apices	apex的复数
indispensable	不可缺少的
triphibian	善于陆海空战的
paraphernalia	随身用具
belletrist	纯文学作者
intact	尚未被人碰过
xyloglyphy	木刻术
diosmosis	渗透现象
rehabilitative	复职的
foliose	叶子覆盖
bagworm	结草虫
taboo	禁制
scrumptious	极好的
promises	承诺
shmoo	玩具什穆
wftu	of
symmetrophobia	不对称
fencelessness	没有围墙
dropsonde	下投式探空仪
faint	变得微弱
ovicidal	杀卵
pistillate	有雌蕊的
grittiness	坚韧不拔
zooty	华丽
iconologist	肖像学
negotiability	可磋商性
odense	欧登塞
substantiate	证实
kinkled	卷曲的
pipelining	流水线操作
damnably	厉害地
wonder	想知道
quadrivial	四高级学科
golden	黄金的
tantalate	钽酸盐
godward	对神
apollyon	亚玻伦
crackdown	打击
disambiguate	消除……的歧义
sensuality	感觉性
anticyclonic	反气旋的
genuine	真实的
strepitous	喧闹的
lappic	拉普兰语
eelworm	线虫
viole	da
ensanguined	满身染血的
interfinger	互相楔接
reflorescence	再开花
judaize	使犹太化
cinnamonic	肉桂
revulsant	引起诱导
argute	尖
frigidly	呆板地
maidenhood	处女时代
hopscotch	"跳房子"游戏
facer	平面铣刀
vibrissa	羽须
monstrous	怪异
anesthesia	=anaethesia
purply	略成紫色
skittish	轻佻的
sudsy	肥皂一般
thinking	思想
cevitamic	维生素C
direct	直系
celeb	名流
marla	玛勒
redheaded	红头的
nightmarish	不愉快的
grabbing	抓
checkout	检验
share	份额
cant	角落
colourize	使有色彩
probate	遗嘱
chirk	有精神
isopterous	等翅目的
integral	完整
cognitive	认知的
adjacent	邻近的
trashy	没有用
swink	做苦工
slate	石板
robe	罩衣
vocally	用声音
flinty	冷酷的
somewhither	到某处
prevailing	占优势
hyperphagic	食欲过盛的
elegise	=elegize
remedially	治疗
pretonic	重读音节前的音节
innocent	清白的
anthropological	人类学
eater	吃……的人
irresistible	不可抵抗
manilla	吕宋麻
electrogalvanize	在……上电镀锌
appreciable	可感知的
chokedamp	窒息瓦斯
hepatotomy	肝切开术
rethink	再想
microcalorie	微卡
mean	不舒服
chordoma	脊索瘤
tumefacient	使肿胀
aerostation	气球驾驶法
call	呼叫
baluchi	俾路支人讲的伊朗语
magenta	红紫色
redescribe	完全重新描述
sexagesima	四旬斋前的第二个星期日
equivoque	含糊措辞
sputteringly	气急败坏
typhous	斑疹伤寒症
compress	敷布
ignimbrite	熔结凝灰岩
shrub	灌木丛
veto	否决
replicable	可复制的
democratic	民主的
exhaustible	被竭尽的
unresponsive	无同情心
yellowstone	黄石国家公园
halophyte	盐土植物
normalization	正常化
attestant	连署人
sst	supersonic
finlander	芬兰人
righto	好
mitigation	缓解
prophet	提倡者
pompous	华而不实的
caterer	包办伙食者
run	奔跑
interpellation	质询
exhortative	劝勉的
aidance	帮助
impugnation	攻击
linter	剥绒机
marsquake	火星震
existence	实在
medullary	脊髓的
miscreated	残废的
dogra	多格拉族的
fmcs	Conciliation
warbler	用颤音歌唱的人
transvalue	重新评价
rheometer	血流速度计
cryptorchidism	隐睾病
callisection	麻醉动物解剖
tibial	胫骨的
prediabetic	前驱糖尿病
underrate	看轻
quickness	急速
silica	无水硅酸
sanidine	透长石
confection	调制
slashing	鲜明
ulterior	在那边的
sabbatize	把……作为安息日
discipular	门徒
creepy	爬行
holozoic	以摄取有机物为食
fratcher	吵架
throwaway	散单
expansionary	膨胀的
tara	再会!
hurriedly	仓促
reunification	再统一
abm	Mode
handwriting	书写体
criminal	罪恶
mercilessly	残忍
pseudopodium	假足
hoarsely	嘶哑
controllable	可操纵的
tranquilization	稳定
braaivleis	烤肉野餐会
pseudology	捏造
calchas	卡尔克斯
aestivation	夏眠
fagot	柴把
sesquipedalian	令人厌倦的
moorish	摩尔人
laibach	卢布尔雅那
butyrate	丁酸盐
extractor	退弹簧
unworthily	不相称地
recherche	讲究
ballproof	防弹的
shyly	胆怯
histogram	柱状图
cahier	笔记本
valeric	颉草的
legality	法律上的义务
rune	古代北欧使用的文字
cramp	以铁箍扣紧
lamiaceous	属于薄荷科的
renegotiation	重新谈判
remorseless	坚持不懈
bat	Armor
polocyte	body
batty	古怪
arbitrageur	从事于套利之人
conmanship	骗术
easement	舒适
tup	锤头
proscription	禁止
dazzle	眩耀
gust	汹涌
anoxic	缺氧的
deathplace	死亡
bifocal	双焦点的
unscramble	整理
bimetal	双金属材料
heliotype	胶版
keyman	关键人物
doltish	愚蠢
oversleep	睡过头
russia	俄国
lemonish	有柠檬香味的
austerity	朴素
acting	代理的
disharmonious	不调和
excessively	非常
clicket	弹簧锁钥匙
stagger	交错
transmit	传导
ccitt	Committee
diallage	异剥石
answer	答辩
meccano	组合玩具
nephrostomy	肾造口术
dextral	右侧
square	正直
goonda	打手
redressal	修正
bujumbura	布琼布拉(旧称乌松布拉
villein	佃农
sumless	无数的
testiness	暴躁
metaphyte	后生植物
presentative	有推荐权的
cast	铸件
sonofabitch	a
deflationary	物价低廉的
epoxy	环氧的
nontelevised	电视上不播放的
terra	土
modernbuilt	现代建筑
orderless	不整齐
normality	常态
nickeline	红砷镍矿
outfit	装备
suffering	受苦的
nematocide	杀线虫剂
jittery	抖动着
sunburnt	起晒斑
momentary	瞬间
lepton	希腊的货币单位
dualhead	双头显示技术
maisie	梅齐
quadriad	四个一组
vehicular	车的
dohc	camshaft
dissertation	论文
monarchic	君主政体
pother	烦恼
ergogram	肌力描记波
wired	接有电线的
logorrhea	速语症
krakatoa	喀拉喀托火山
exemplary	警戒性的
appositive	同位格
tersely	简洁
panthalassa	泛古洋
rule	准则
boomerang	飞去来器
veil	面纱
brachylogy	简明
jansenist	詹森教派信徒
protostellar	形成恒星的
rapturousness	狂喜
fibrination	纤维素生长过多
gharry	车
alligator	产于美洲的鳄鱼
polyclonal	多元性繁殖系的
monastical	出家
intelsat	国际通信卫星机构
falsehearted	虚情假意的
photoscanner	摄影扫描器
elucubrate	努力作出
unrhythmic	没有节奏
renunciate	放弃
redemptive	挽回
psychopathology	精神病理学
balneotherapy	浴疗法
carboy	用藤罩保护的大玻璃瓶
haler	赫勒
leptonic	产生轻子
cipherkey	密码索引
dexedrine	商标名
tied	约束
hardcore	绝对的
morphogenic	=morphogenetic
ophthalmology	眼科学
garlicky	大蒜似
boastful	喜夸耀的
lack	需要
subterposition	低下的地位
ironmould	墨水迹
pluriaxial	多轴的
certifier	证明者
spadicose	似肉穗花序的
hong	商行
animating	鼓舞生气的
jadish	毫无价值的
highstick	举杆过肩阻截对方
iaz	artillery
franseria	佛伦塞属植物
otp	开放商务协议
unkindly	不亲切
scherzando	戏谑的
diseuse	单口相声演员
dexterously	敏捷
uncorrupt	未堕落
ephemeral	短命
shyly	害羞
water	流泪
nonprincipled	与原则无关的
preoccupant	抢先占据的
cuttlefish	乌贼
puerperium	产后期
excavation	发掘
jimberjawed	有突出下颌
villeinage	隶农身份
acoustooptics	声光学
polymeric	聚合体的
bathos	陈腐的
pc	Car
inelegance	粗俗
jagged	参差不齐
hepta	七
exaggerated	言过其实的
kilovolt	千伏特
venoclysis	静脉输注
bitch	母狼
alphonse	阿方斯
gold	金制
centra	centrum
nonconformist	不信奉英国国教的
mmx	多媒体扩展指令集
invertebrate	无骨气的
floodlit	泛光灯照明
sulphinyl	亚磺酰
conglomeration	聚集
libidinous	性欲的
conservative	保守
braky	多矮树林
compellation	姓名
furtively	偷偷
refutatory	驳斥
maximum	极大
titer	浓度测定
pilous	有毛
nejd	内志
entail	限定继承权
eastwards	向东方地
expire	呼气
tendentious	有偏见
subside	减退
silken	柔软光滑
lighter	驳运
bringdown	使感失望的
coulomb	库仑
photodiode	光敏二极管
recommendable	值得推荐
preggers	怀胎
pyramidion	方尖塔的顶角锥
conclude	推断
wineskin	葡萄酒囊
gerontic	年迈
protege	被保护人
lenitive	轻泻
deportable	可流放
insider	知道内情的人
