zoogeology	化石动物学
allantoid	尿囊的
cutout	挖剪图画
sororize	结为姐妹
mycobiont	地衣共生菌
outwit	瞒骗
scenic	风景照片
lapidarian	碑文的
usac	States
confound	挫败
iaupe	国际大学英语教授协会
ligamentous	韧带的
striptease	脱衣舞
hoggish	贪婪的
discipula	门徒的
pronto	很快地
swiz	诈取
blowzy	蓬乱的
leadplant	灰毛紫穗槐
ps	附录
muleteer	赶骡人
undevout	不真诚
fun	供娱乐用的
monochromatic	单色
refer	归诸于
noggin	小杯
mandril	芯棒
outgas	除去……的气
bice	绿色
freeware	免费软件
graphotherapy	书写疗法
articulatory	分节
appointor	指定人
fitch	臭猫皮
irrevocably	不能撤回
highstick	举杆过肩
subcapsular	囊下的
vacationland	度假胜地
ferbam	福美铁
outdoorsy	户外
fond	多情的
rga	Artillery
refrangibility	折射度
flunkey	穿制服的仆役
tony	时髦
functionalism	实用第一主义
becrawl	往……上爬
brachydactylic	短趾的
falconer	放鹰者
campaign	从事活动
bovine	迟钝的
corsican	科西嘉方言
honied	多蜜的
mercury	墨丘利神
weldable	可焊
vandalise	=vandalize
dogbane	夹竹桃
felicitation	庆贺
seel	障人眼目
suppurative	吸脓药
dependability	可靠性
sunk	凹陷的
omnipresent	同时遍在
through	通过
cataclysm	地震
howtowdie	配有水煮荷包蛋和菠菜的白汁鸡
limitrophe	位于边界上
catch	捕捉
iliac	髂骨的
propyl	丙烷基
blueness	蓝色
draft	设计
period	学时
wonted	惯例
humate	腐殖酸盐
identic	形式相同的
cynegetic	打猎的
calf	小腿
monotonous	单调的
exigency	紧急
phylogenic	动植物种类史的
lengthen	变长
stepper	跳舞者
irredeemable	不可救药
androgenous	雄性单性生殖
unhasty	不急躁的
mucosa	membrane
dehydratase	脱水酶
marsh	沼泽地
durable	持久的
yesterevening	昨夜
ameboid	=amoeboid
amphibious	两栖
timesaving	节省时间的
sympathetic	有同情心
concerted	协定的
print	照片
agrestial	农田中野生
monachism	修道生活
unobservance	不留心
interbedded	夹层之间的
wither	使消亡
maintain	供养
vagabond	浪子
tremulousness	胆小
untaa	Nations
caucasus	高加索
translation	调任
ketene	乙烯酮
kogai	公害
skepsis	=scepsis
tubercled	生有结节的
crossgrained	纹理不规则
absorbable	可吸收
hiaa	美国健康保险协会
drive	干劲
pee	小便
enrollment	入会
baffle	阻碍
