folkloric	如同民间传说的
grafter	贪污者
antipodes	澳大利亚和新西兰
cloverleaf	四叶苜蓿形的立体道路交叉点
antivivisection	反对sekFEnIzEm/
coulometry	电量分析
clincher	敲弯钉头的工具
uninquiring	缺乏好奇心
systemic	全身的
tetraplegia	=quadriplegia
plastid	质体
unreel	退绕
underpowered	由动力不足的发动机驱动
beefy	结实
panivorous	以食面包为生的
invitatory	邀请
ebony	乌木制的
ciliiform	均匀细密
incident	附带的
adverbial	副词
homicidal	行凶的
smear	抹掉
nob	有钱人
tashkend	塔什干
grill	烤肉
cccs	商品信贷公司
delicate	微妙的
varvel	惊异
burdock	牛蒡属
besieged	围绕
polypoid	水螅似的
disannul	使无效
barbarous	刺耳
branchiopod	鳃足动物
frg	Germany
operationalize	实施
exhaustible	被汲尽
fatidic	预言的
eyeblack	黑色眼睑膏
brachycranial	圆颅型的
overfull	太满的
undisguised	不戴假面具
tacitean	简洁且多警句的
curacoa	柑桂酒
elapse	流逝
smile	微笑
obliger	施惠与人者
mahogany	桃花心木
delomorphous	显形的
derange	使发狂
gonion	下颌角点
comitragedy	喜悲剧
matchboard	企口板
trumpeter	号兵
howdy	您好
zayin	希伯来文第七个字母
amu	atomic
unveracious	不真实的
omelette	煎蛋
scrubby	矮小
anisometropia	屈光参差症
ymha	Men''s
comble	顶点
vernal	和煦
tgv	Train
demoralization	士气消沉
obvious	明显的
minuscule	极小
loveliness	可爱
holomorphic	对当
archly	狡猾地
imperil	使处于危险
hammering	锤打的声音
unedified	未被启发的
feed	喂养
aerocade	飞机群
nitroaniline	硝基苯胺
rancher	牧场主
malpighia	金虎尾科
secund	只在一边的
prickle	柳条篮子
execution	破坏效果
lowland	低地
gramma	grass
talc	用滑石粉擦
unmediated	无中介的
crassilingual	有厚舌的
wealthy	有钱人
ursuline	乌尔苏拉会的修女
notify	通报
seminal	生殖
amends	赔偿
agrestic	粗野的
hutch	小舍
fiddlefucking	该诅咒
bondage	束缚
unpredictable	不可预知
gassy	吹牛
comby	蜂巢状
restorable	可恢复的
unimaginative	缺乏想象力
commove	使兴奋
catastrophism	灾变说
pine	渴慕
maundy	洗足礼
euchre	以该玩法趁对方疏忽时打嬴
threaten	可能来临
stearic	硬脂的
prolifically	丰富地
lpn	Nurse
asbestoidal	似石棉
unwelcome	讨厌的
hazel	淡褐色的
limitless	无界限的
tombola	一种彩券
snack	快餐
maladjustive	引起失调的
lacerative	有伤害或撕裂力
tulsa	塔尔萨
redear	红耳鳞鳃太阳鱼
humanitarian	人道主义者
writable	能写成文的
exit	离开当前命令行外壳
upsweep	向上斜
goutweed	羊角芹
overall	全部的
attorney	律师
banditi	土匪
suspensive	暂停的
helplessly	无望
saleswoman	女售货员
dishonourable	不名誉的
will	决心
toxoplasmosis	弓浆虫病
airy	空中的
fleetingly	疾驰地
jade	绿色
macroeconomic	整体经济
echinoid	海胆纲动物
epeirogentic	造陆作用
efficacious	灵验的
deceased	已故的
anteriorly	居先地
gossipmonger	饶舌
livid	青紫色
pomiferous	结梨果
golden	金黄色
spheric	球状
eponym	齐名的人
say	假定
quakerish	像贵格会教派
grisliness	严重
trigram	三字铭
carpetweed	粟米草
aspermous	无种子
preantiseptic	抗菌法采用前
yammer	哭泣
either	pro
imap	Protocol
helmet	钢盔
ethnologist	人种学者
stuporous	不省人事
aliquant	不能整除
dm	Music
meshugaas	疯癫
famed	著名
stupe	温布
nutty	坚果般的
lamergeyer	髭兀鹰
german	德国的
start	出发点
sorbose	山梨糖
imaginabale	可能
assiduously	勤勉地
prelatical	高位者
fault	缺点
patellar	膝盖骨的
mayoral	市长的
diminution	减低
phatic	交流感情的
orins	of
assessable	可征收
moldy	发霉的
scoring	得分
callipash	=calipash
pellagrin	糙皮病患者
hydrology	水文学
matted	有席子
decrescendo	乐节
