catchweight	无体重限制的
disgustedly	厌烦
od	OD
scissor	剪
saltationist	突变论
allopatrically	在不同地区发生地
grazioso	优美
fungitoxicity	杀真菌毒性
constrained	不舒服的
likin	厘金
humbly	谦恭地
dalmatic	加冕服
ada	ADA编程语言
boblet	双人雪橇
dy	镝
blowhard	吹牛大家
mshe	Economics
slack	闲散
vulture	贪婪的人
smart	潇洒的
semifarming	半农业
inauthentic	不可靠的
nonnasally	口腔地
frippery	无用的东西
dyspeptic	患胃病的
inexpansible	无法扩张
meadowsweet	绣线菊草属的草
diathesis	因素
amphibiotic	幼时生长于水中
sibilant	咝咝作声的
samp	玉米粥
hypotonicity	低渗
intersatellite	卫星间的
guardship	警戒船
merchant	商业的
nidi	nidus的复数
coastel	水上漂浮旅馆
victorious	获胜
severally	各别地
gladness	欢乐
ring	回响
conduit	沟渠
manrope	扶手绳
aprism	Apra
faultily	不完美
exonerative	免罪的
manhunt	搜捕
benchboard	控制盘
unselective	没有选择性的
puberty	青春期
tactful	圆滑的
home	有效
shaven	修过脸的
retinued	在随员簇拥下的
polyandrist	赞成一妻多夫制的妇女
stratopause	平流层顶
swat	长打
canalage	开掘运河
agog	热切
bibliology	书目学
clipper	快速帆船修剪者
ravel	解开
hardhearted	无情的
kemalist	基马尔主义
mrcp	Royal
puff	肿块
landau	一种四轮马车
divine	非常可爱的
stormy	多风暴
nonenforceable	不可强制执行
atherogenic	导致动脉粥样化的
unobjectionable	难反对
sacrifice	牺牲
dentist	牙科医生
mineraloid	准矿物
proceeding	进行
endocranium	硬脑膜
guileful	诡计多端的
prosocial	忠实于既定社会道德准则的
bogus	假的
imperishable	不朽
circumplanetary	环行星旋转
dexter	右侧
widthwise	横向
cloop	砰声
polydirectional	多向性的
slicken	光滑
eyealyzer	眼测醉
jaggery	粗糖
lambdacism	把/l/读作/r/的错误发音
approvable	可核准
withering	使干枯
canvass	细究
windsail	帆布制的通风筒
manageability	易管理
juris	法学博士
mussily	乱七八糟地
damned	使人憎厌的
loose	松散
stratigraphical	层学
nighted	入夜的
scoff	嘲弄
mdclxvi	罗马数字
severalfold	有几部分分
deflationist	主张通货紧缩者
uptodate	最新式
undoubled	松开的
lean	贫乏的
recharge	再控告
lecithic	有卵黄的
apport	物体显形
gunnybag	黄麻袋
melodious	音调优美的
interfoliaceous	叶间的
canular	套管状的
extensible	可展开的
bomb	投弹于
neuroactive	刺激神经组织
unfix	脱下
docking	入坞的
textured	有织纹的
resurgam	我将再起
drifting	漂流的
bough	主枝
chickabiddy	乖宝宝
overlusty	精力过于充沛的
savourless	缺少风味的
maidenlike	娇羞
controversy	论争
grasmere	格拉斯米尔
hurl	用力或猛烈的投掷
hypostasize	假设的实在性
impervious	不受影响的
anticholinesterase	抗胆碱酯酶
overdub	原带配音
teleputer	电视电脑
phytogeography	植物地理学
jeez	呀
chatty	饶舌的
condemnatory	非难
manifestant	示威运动的参加者
squalor	悲惨
lipogram	避讳某字之文
nacred	真珠质的
improved	改良
joyful	可喜的
fnma	National
glimpse	一瞥
virginal	处女的
purpuric	产生紫色
trimurti	三神一体(即创造之神婆罗贺摩
roue	放荡者
unmarked	未被注意的
afdc	Families
firebrand	火把
cmd	Modulated
antipyrotic	消炎剂
tired	疲劳
adjectivally	形容词般地
extant	突出的
etcetera	附加的人
stamineal	雄蕊
countermovement	反向运动
wright	建造者
aspca	for
shovelful	一铲之量
entirely	全然地
orderliness	规律
ambassadorial	大使的
guttiferous	产藤黄的
boeotian	愚笨
bowdlerize	修订
manual	手的
claudian	克劳狄族人的
execute	执行
taletelling	讲故事
undertip	给……不足的小费
flexuous	动摇不定的
supercolossal	巨大的
pottery	陶器场
hans	德国人或荷兰人的绰号
nondrinker	不喝酒的人
dishearten	使……失去勇气
antiarrhythmic	抗心律不齐
stockbrokerage	证券交易
unapprehensive	理解力差
acrostic	离合诗
octu	Training
waterlogged	浸满水
roadworthy	适合道路上使用的
archaize	使具古风
dud	无用
illicitly	违法
barlow	巴洛刀
acquired	后天通过自己的努力得到的
riot	暴动
vox	声音
belligerent	交战的
ble	火车司机兄弟会
orca	类逆戟鲸
broking	掮客业
saceur	Supreme
horseless	无马
portfire	点火装置
local	乡土的
sequestered	扣押
sonofabitch	of
funfest	娱乐会
attendance	照料
dissolutely	荒淫地
unfaltering	坚决
trinary	三倍
conspire	凑合起来
muralist	壁画家
fallacy	谬论
justicial	公平的
chill	寒冷的
nom	Nominative主格的
capitalintensive	资本集约
saltus	逻辑的飞跃
commensal	共食伙伴
advanced	高级的
uninstructed	未经教导
aurae	先兆
meridian	子午线
pneumonolysis	=pneumolysis
jokingly	打趣地
home	产地
supertransuranic	超重的
literalness	表面意义上
spadices	spadix
tapsalteerie	=topsyturvy
geminiflorous	二花合生的
prowess	威力
ipm	英寸[分
bleep	发出哔哔声
allopatrically	单独地发生
stodge	油腻的食物
yond	那边
skite	一拳
lawny	草坪般的
dray	运货马车
nog	钉
goldwater	=goldwasser
blah	无聊
altai	阿尔泰语
colorific	产生颜色的
railroading	铁路建设
pentad	五年间
examinatorial	考试
absurdness	愚蠢
bronchotomy	气管切开术
asphyxial	窒息
cipher	密码
hoodoo	使倒霉
fecit	……作
gravy	不法利润
scavenger	食腐动物
disturbingly	令人不安地
larcenous	盗窃的
fatten	使充实
