druidical	督伊德教的
falculate	镰刀状的
overhead	在头上
irreclaimable	不可矫正的
shadowy	多荫
thermotensile	热抗张强度的
jackpot	累积赌注
iupap	国际理论和应用物理学联合会
slotback	进攻前卫
dantean	但丁崇拜者
airproof	使不透气
robin	Robin
unfoiled	未被击退
heartquake	惊心动魄
reprehensible	应该谴责的
diametral	直径的
freezing	严寒的
debeak	切去的嘴尖
leptospira	钩端螺旋体
polemarch	官员
knavishly	恶棍
subventionize	补助
acetaminophen	对乙酰氨基酚
multivocal	多义
evasion	逃避
anticlastic	互反的
weave	织物
vigorous	有力的
nonenzyme	非酶的
unalleviated	未缓和
sporozoon	=sporozoan
burdensome	繁重
harlotry	淫妇
gory	血污的
hirudinoid	水蛭
paraphrastic	说明性的
allergy	反感
eyebolt	吊环螺栓
acrux	南十字星座中的一个星
altho	虽然
rift	不和
epididymis	副睾
ethnogenesis	人种形成
adjacent	邻近
guiltiness	罪的自觉
daywork	按日计酬的家务活计
posteen	阿富汗羊皮大衣
afs	Fire
housebreaking	侵入家宅
dat	Audio
satay	=satai
aonb	Outstanding
tong	用钳子钳起
topographical	地形学的
toft	地基
usher	招待员
postorbital	眼窝后部的
twirl	快速转动
whiff	一吸
nous	常识
snugly	贴身地
torsibility	可扭性
thankfulness	感激
anik	"兄弟"号卫星
argillaceous	含粘土的
othello	奥赛罗
platiniridium	铂铱
fordless	不能徒涉的
quinacrine	阿的平
oxalacetate	=oxaloacetate
brasswind	铜管乐器的
dell	小溪谷
monistical	一元论的
prescriptive	说明性
afrikanerdom	南非白人统治集团
zigzag	锯齿形的
pathognomonic	能确定诊断
emiction	小便
infinite	无穷
spiteful	恶意
superstruct	把……建为上层建筑
sleighing	橇运
gloss	发光
arabian	阿拉伯人的
belabor	痛打
remorsefully	极为懊悔
nonnasal	非鼻音
overentreat	以恳求说服
privately	私下
cygnet	小天鹅
most	极其
connivancy	默许
inveterate	成癖
antiepileptic	抗
vestryman	教区委员
infracostal	位于肋骨下面的
myocardiograph	心肌运动描记器
vdc	Corps
inkosi	首领
frcp	Fellow
harmaline	哈马灵
alienate	疏远
lacedaemonian	古代斯巴达的
handshake	握手
bulkiness	笨大
overdress	外衣
savourily	有滋味
loss	损失
diseur	独白艺人
tuft	丛生植物
receivable	可接受的
ipts	国际实用温标
mediaevalist	=medievalist
wonderment	惊叹
exposure	位向
otb	场外赛马赌博
intertwine	缠绕
reenlist	再从军
color	色彩
cowhouse	牛舍
still	还
abrader	研磨器
angakok	爱斯基摩人的巫医
striven	strive的过去分词
deactivate	使无效
vesuvian	火山的
limicole	水蚓
brainless	愚笨的
caliga	士兵所穿的战靴
embraceor	收买法庭或陪审团的人
aperitive	有轻泻效应
impish	顽皮
roar	怒号
rhodic	四价铑的
caveat	告诫
stressor	紧张性刺激
endbrain	终脑
heathfowl	=black
demiurge	造物主
eldest	年事最高
rhonchus	鼻音
reloan	再借
nondairy	非乳制
reniform	肾脏形
flicker	颤动
mini	袖珍型
calix	杯
trimetrical	有三音步的
epifocal	震中的
vitellogenin	卵黄蛋白原
outburst	突发
plummet	重荷
whim	怪念头
denudate	赤裸的
embraceor	企图以非法手段左右法庭或陪审团的人
basidia	basidium
hemimetabolic	具有半变态特性的
bicker	口角
lampless	不点灯的
affectivity	情感作用
unhurried	不慌忙的
cystic	膀胱的
seedily	心情不佳地
irresoluble	不能解释
excel	胜过他人
paperless	无纸传输信息
organisation	=organization
inched	有英寸刻度
matrix	矩阵
afdc	Children对有子女家庭补助计划
dhtml	dynamic
register	挂号
autochthonal	土生
connivence	默许
specifical	=specific
majesty	雄伟
rakish	俏皮
silex	硅石
honorable	光荣的
generalship	将军军阶、地位、任期、或权力
greasy	多脂
brier	野蔷薇
anestrus	不动情期
rhyton	古希腊的角状环
lewis	起重爪
expedite	畅通
chutzpa	胆大妄为
harmonical	调和的
pillared	有柱的
rigmarolish	胡言乱语的
pedicel	蒂
obtuse	迟钝的
winch	绞盘
hyperglycaemia	高血糖症
schism	教派
gobi	戈壁
wurley	土著棚屋
acatalectic	音节数完整
declivitous	向下倾斜的
mean	吝啬
hefa	Higher
trimotored	有三个引擎
charge	充电
liable	有……倾向的
hemimetabolic	半变态的
jokari	乔凯利球戏
hammer	锤打
iadl	国际民主法律工作者协会
philologize	研究语言学
kepi	法国军用平顶帽
kist	史前之石柜
precapillary	前毛细管
nonfigurative	非形象的
prosthesis	添字首音
baor	Rhine
chance	冒……的险
trail	拉
nematocidal	杀线虫的
coda	终结句
abolish	废除
nethermost	最下面的
rangey	=rangy
contextless	无上下文的
natch	当然地
uncontroverted	无可置疑的
emend	修订
ogle	送秋波
homoscedasticity	同方差性
pleading	答辩
fretful	烦燥
spermatic	精液的
tremolo	震音
chateau	城堡
bayou	河口
slack	疏忽的
pseudoclassic	拟古典
ceremony	报幕员
dauphiness	王太子的妻子
balletic	象芭蕾舞
scaled	有鳞状斑点
vindication	辩明
stroam	闲逛
weird	超乎事理之外
countermine	将计就计
done	妥当
percipience	知觉
probationership	试用期间
instrumentally	仪器地
palliard	无赖流浪汉
billy	棍棒
oxenstjerna	Axel即Oxenstierna
setiform	似刺毛的
signal	信号的
omega	欧米加
chloropromazine	=chlorpromazine
sternum	胸骨
puglia	普利亚区(即阿普利亚区
insobriety	无节制
glowing	炽热的
rhinoscopy	检鼻法
oneself	亲自
maven	专家
psia	inch
hyperfunction	机能亢进
boodler	受贿者
shin	爬
indivisible	不能分割
grandiose	宏大
supposal	想象
examinator	审查人
pigeon	鸽子
barococo	巴洛可可式
lexigram	图形字
dumb	无说话能力的
denudate	裸体
preestablish	预先设定
imitate	仿造
acceptance	接受
throwback	阻止
indeterministic	非命运论者的
haematological	血液学的
dumpishly	迟钝地
psychophysiology	精神生理学
unadvantageous	不利
traveled	旅客使用的
gyrectomy	脑回切除
arborize	使分叉
megatanker	巨油轮
compo	工伤赔偿
muzzle	上口罩
syntactically	在语句构成上
imitate	仿制
reductant	agent
jawlike	像下巴
weasel	鼬鼠
nlp	loan
gaily	欢乐地
pennywort	石莲花的一种
phenylephrine	苯肾上腺素
ultralight	超轻型
tension	张力
deliberate	预有准备
pupillage	学生的身份
nonagricultural	非农业的
prophase	初期早期
beckoning	令人心动
seminar	研究会
regenerative	更生
march	步伐
househusband	操持家务的丈夫
simile	明喻
crucify	十字架上钉死
chilly	寒冷
maidless	没有侍女
push	增加
shooting	发射
spectrobolometer	分光测热计
pardonably	可原谅地
scepter	授予节杖
caernarvon	卡那封郡
omnific	创造一切的
vamper	补靴
denish	丹麦语
hide	掩饰
circumambience	环绕
spanker	疾走后桅纵帆
scaramouch	胆小鬼
perennial	长期
allusion	提及
mongeese	mongoose的复数
greenroom	演员休息室
octonarius	八音步诗
opec	Exporting
carefulness	慎重
fragmental	断片的
flanker	两侧的东西
unshaped	未定型
forrel	书套
slentando	渐慢
ablaze	闪耀的
esl	language非母语英语课程
recreancy	变节
hydrogenate	使氢化
britches	裤子
adrenergic	释放肾上腺素的
eia	Association
helper	帮忙者
lubra	女土人
orb	成球形
minutiose	关心小事
amate	使挫折
benefic	有益
graunchy	考验
topmost	最高
taiwanese	台湾的
rvsvp	vite
unci	uncus
herbescent	似草的
waterline	水线
parallelism	对应
rummy	拉米纸牌戏
wacky	古怪
inurbanity	粗鄙
unvaryingly	恒久地
rtl	Transistor
scatback	快速敏捷的持球队员
volucrary	鸟类论
minoan	克里特文明的
stagnation	停滞
ethnos	同种同文化之民族
shrill	尖声的
