bestead	裨益
sumption	信以为真
debilitated	操劳过度的
lull	使平静
theophagy	圣体领食
oddly	古怪
frailly	不坚实地
apostatize	放弃信仰
nyet	没有
timpanist	定音鼓手
biennially	二年一次地
dihydroergotamine	双氢麦角胺
coincidental	符合
mazu	马祖
recruit	新会员
paediatrist	儿科学家
teleonomy	目的性
merienda	傍晚小吃
fidget	烦躁
elector	竞选人
powder	搽粉于
karstology	喀斯特学
cashmere	开士米
countryseat	郡政府所在
transpiration	流逸
roily	生气
raggee	=ragee
amok	杀气腾腾地
sheepman	养羊人
extrality	治外法权
insusceptible	不易受影响的
ichthyolatry	鱼神崇拜
egotism	自尊自大
reversal	反向
discolored	污染
jagged	锯齿状的
maduro	色深味浓的
ovotestis	卵睾
vitalism	生机说
flaxen	亚麻的
confirmedly	坚定地
mikron	=micron
superradiance	超辐射
juggins	蠢货
histotomy	组织切开术
dodgery	诡计
unreflecting	无思虑的
nested	嵌套
hough	踝关节
inexhaustibility	无穷尽不知疲倦
aca	Accountants
serenade	唱小夜曲
ungimmicky	不骗人的
feverfew	菊科植物
austere	严峻的
reclame	臭名
piped	拷边
hystricomorphic	豪猪型亚目
goad	激励物
haemoid	像血
aerosphere	大气层
idiocratically	特性地
hematozoal	血内寄生
spermatocyte	精母细胞
dessiatine	俄国的地积单位
unimposing	没有威信
vibrissa	鼻毛
wipo	Organization
impeccant	无缺点
oily	油
pushily	一意孤行地
worked	处理过的
crake	秧鸡
annealing	退火
numismatics	钱币学
pelles	佩莱斯
carbonari	烧炭党人
vdc	Volunteer
deformalize	简化:
cespitose	丛生
geopolitician	地缘政治学者
leptonic	轻子的
backstair	间接
infuscated	略带褐色的
put	笨蛋
symbolistic	象征性
pharmacology	药理学
fire	放枪
uninspired	平凡的
metis	有八分之一黑人血统的混血儿
bugologist	昆虫学家
stump	砍成树桩
repose	休息
dehydrogenate	使脱氢
jaguar	英、法合作研制的超音速攻击机
equivocal	可疑
parament	祭台布
nondefense	非国防军用的
pavilion	搭帐蓬
sphygmometer	血压计
ramate	有分枝
hectometre	百米
decidophobia	决策恐惧
subadult	接近成年的人
ladykin	小女人
argyrol	含银液
hexasyllable	六音节
ratiocination	推论
wristwork	手腕动作
roentgenoscope	=fluoroscope
shift	移动
unslaked	未满足的
kanggye	江界
methadon	美沙酮
sacrament	沉默
nonconform	不遵照准则
enormous	极恶
dart	飞奔
tormentor	使苦恼之物
ethos	风气
eam	Ethniko
fantasize	梦想
inferior	下等的
stagger	交错的
intervertebral	椎间
scholastic	学校
tournois	图尔城铸造的
sackless	麻木的
chewy	不易嚼碎的
exalted	尊贵
punk	无用
autohypnosis	自我催眠
densify	使增加密度
lambeth	伦敦朗伯斯区
namierite	=Namierian
logged	笨拙
phototropism	向光性
scraping	擦
turgor	细胞的膨胀
laggardly	落后的
quantivalence	原子价
originate	发起
filarial	丝虫的
staph	=staphylococcus
hinterland	腹
oogenesis	成卵法
dobber	浮标
adagietto	更缓慢地
toneme	调素
simplification	简化
messianic	弥赛亚的
rumination	反刍
loop	使成环
somerville	萨默维尔
kiltie	苏格兰高地的兵士
kamaishi	釜石
heteropterous	半翅
newsmonger	饶舌者
antagonize	敌对
matripotestal	母权的
language	语言文学
tarragon	龙嵩叶
klischograph	电子刻版机
psammophile	适沙生物
hymenopteran	膜翅目的
pony	小型马
putridness	堕落
illume	点亮
sportfishing	从事垂钓
charily	节俭地
decorously	高雅地
present	当面的
dm	数据挖掘
restrainedly	有限制地
execute	制成
nervily	大胆地
gotcha	=got
parthenogenone	单性生殖生物
bisync	二进制同步通信
sponsor	发起人
exalted	尊贵的
unload	倾销
whomp	重击
pregnant	富有意义
abcd	and
elfish	小妖精
emotionalism	诉诸感情
waspish	腰细的
reradiative	再辐射
ariose	旋律
horatia	霍雷希亚
dower	天赋
bedlamite	疯狂
subside	平息
ignore	忽视
circumvent	智取
remittal	豁免
anthropotomy	人体解剖学
issueless	无结果的
sanctuary	避难所
incrust	生外皮
lausanne	洛桑
canonic	轮唱的
turbulence	紊乱
shoal	浅滩
presser	压榨技工
saginaw	萨吉诺
demonism	信仰魔鬼
mucopurulent	黏脓性
didactical	教训的
robbery	抢掠
empanada	肉馅卷饼
synthetist	合成者
doum	埃及姜果棕
pisciculture	养鱼业
scenic	景色优美
levity	不稳定
protectress	女性保护人
subcuticular	角质层下
unemployed	未被利用的
strangulation	勒杀
polak	波兰人
untimeous	=untimely
retrospective	回顾的
limnological	湖沼学的
bituminous	含沥青的
jacobinize	改信雅各宾党人的革命思想
antipathic	不相容
enate	母系的
aldermanship	高级市政官的职位
yap	狂吠
suffrutescent	半灌木状
respirable	可呼吸的
lithemia	结石性血
outer	外部的
bbb	bed
galipot	松脂之一种
rattling	很好
rotator	旋转者
taxless	免税的
faggoty	女性化的
privy	个人的
unbonnet	除去……的帽子
incurment	惹起
dengue	登革热
spatiography	空间物理学
channels	通道
diffused	普及的
crake	秧鸡的叫声
sigillography	印记学
antilyssic	预防狂犬病的
agonisingly	苦闷地
areocentric	以火星为中心的
grogram	丝或丝毛交织的粗松斜纹布
bagarre	骚动
frse	Edinburgh爱丁堡皇家学会会员
extremely	极端地
qumran	库姆兰会社
sculpture	雕刻品
allicin	蒜素
deflexed	向下弯曲
polymorphic	多形的
circumglobal	围绕地球旋转
playshoe	轻便鞋
insurrectionary	暴动者
forsworn	伪誓的
understrength	力量不足的
dews	system远程预警系统
underripe	不够成熟的
temperate	温和的
monohydroxy	一羟基
mantic	预言性
ladybug	瓢虫
effrontery	厚颜无耻
pouch	烟草袋
guttatim	逐滴
rummage	检查
denominational	dI9nCmI`neIFize/dI9nCmI`neIF)l/
katrina	卡特里娜
acidimeter	酸比重计
skidproof	防滑的
crockford	英国圣公会圣职者名册
syssarcosis	肌性骨联接
ascomycetous	子囊菌类的
sensitize	敏化
khuzistan	胡齐斯坦省
biolysis	死亡
pusher	推动器
desire	期望
tooth	牙齿
bussbar	bar
castrate	去掉最重要的部分
eclectic	折衷学派
expertise	专门技术
flakily	薄而易剥落
experimentation	实验
show	展览
telefoto	=telephoto
interprovincial	各省之间的
jd	Jurum
nectared	甘美
fardel	束
inquilinous	寄居动物
statutory	法定
antimonial	含锑的
gentle	温和的
rosedrop	酒糟鼻
ambiguously	引起歧异
super	充当跑龙套的角色
pleasurable	愉快的
counterelectrophoresis	对流电泳
multifont	多字体
alterative	改变
sensation	感情
proportional	相称
oviparity	卵生
navarin	洋葱马铃薯炖羊肉
nyctitropism	就眠性
templelike	似庙宇的
foretoken	预示
overmatch	打败
suprahepatic	肝上
pozzuolana	火山灰
implacability	不安静
foremastman	水手
amputate	切除
semihyaline	半透明
keystroke	键击
franchise	赋予特权
unequaled	无敌的
semiconsciously	半意识
invariably	总是
kanarese	卡纳拉人
bender	屈服者
responsible	可靠的
kroo	克鲁族人的
unregistered	未注册
noncombustible	不燃物
assimilative	同化力
beneficially	受益地
confoundedly	十分地
damaraland	达马拉兰
harmonically	和声
fragment	片段
floodometer	潮洪水位测量仪
obligatory	必须的
coaction	强迫
ethos	道义
seducer	诱惑者
acidly	心地不良
divisive	区分的
substitute	代用品
unconfessed	未认罪忏悔
asio	Stream
reservedly	客气
childie	小孩儿
orthodox	东正教
set	一套
underside	下腹
fluidise	=fluidize
orate	演说
dashy	浮华的
capsular	蒴状
liberian	利比里亚人
bubble	泡沫
bewigged	戴假发
crappy	讨厌
garrison	卫戍部队
presession	会议前的
bonbonniere	糖果盒
cembra	瑞士五针松
spinous	难弄
irreclaimable	不可恢复
cockcrow	破晓
villager	村民
outcast	流氓
antemortem	临死前的
frostbitten	受霜害的
xiphias	剑座
halation	白色模糊影像
poohed	疲倦
statuette	小雕像
rotisserie	电转烤肉架
deaccession	出售
flushing	使人脸红
aching	痛
local	当地的
unhallow	亵渎
grub	挖
aic	Chemists
vocative	呼格的
show	说明
contemptuously	轻蔑地
chorea	舞蹈病
regular	定期的
pseudo	假的
grieve	伤心
petrous	岩石般的
bioclimatic	有关生物与气候的
prolific	丰富的
foil	烘托
hydridic	带一个负电荷的
hyalographer	玻璃雕刻术
irenic	和平主义
shopman	小商人
paint	描绘
bayeux	贝叶挂毯
racerunner	鞭尾蜥
khanka	兴凯湖
unnoticed	不引人注意的
hypobenthos	深海生物
aurelian	昆虫采集家
bodleian	牛津大学图书馆
towardly	温顺
nccw	Council
oofy	有钱的
shift	转移
raven	狼吞虎咽
malaguena	其舞曲
ligate	绑
galpon	给农业工人使用的房子
incombustible	不燃性
tubercled	生有结节
current	流通的
audiology	听力学
laminated	层压
hominine	人的
unrepulsive	未被击退
erne	白尾鹫
misquote	错误地引用
lockpin	锁销
farcically	闹剧一般
perform	完成任务
pillared	成柱状
homochrome	=homochromatic
orins	Studies
derivatively	衍生
overpassed	已废除的
chalybeate	铁剂
thermochemistry	热化学
sloughy	脱落
rapturously	兴高采烈
finality	终结
megalomania	夸大狂
ssr	Socialist
gct	Time
fluctuant	变动
unsaddle	使坠马
epicondylar	上髁
mid	中部的
foozle	笨拙的人
whine	发牢骚
sisyphean	徒劳
boatage	小船运费
creditable	可信的
nonflammable	不燃烧的
malarky	空话
mosul	摩苏尔
occultism	神秘论
prearrange	预先安排
refractional	屈折
trouvere	叙事诗人
corporate	全体的
zi	of
panic	没有理由的
totty	发昏
burro	驴子
dcmg	Commander
oarswoman	女划桨能手
pajamas	睡衣
spate	大水
gerontogeous	旧世界
spoken	口语的
unmeaningful	意义
irbm	ballistic
phytocidal	杀死植物的
gotter	to
hyperphysically	超肉体
nagged	感到厌烦的
vaunting	吹嘘
piling	打桩工程
afforce	加强阵容
garrulous	啁啾的
fullmouthed	大声的
perispore	孢子周壁
sasin	印度羚
cristated	有冠
cormorant	贪婪
gam	社交
pyrethrin	除虫菊酯
improper	不合礼仪
loneness	孤寂
delegant	将债务转由第三者偿付的债务人
bant	节食减肥法
quittance	免除
dissidence	意见不同
mirthless	沉闷
invariable	永恒
vectorscope	矢量显示器
undeflected	不偏斜的
disneyland	迪斯尼乐园
insensate	没有感觉的
insufflation	注气法
patrol	出巡
lord	使成贵族
ignoramus	不学无术的人
posteriorly	其次地
druidess	女督伊德
wide	广阔的
roofage	屋面材料
rheogoniometer	流变测角计
counsel	商议
antipyrotic	消炎的
legazpi	=Legaspi
decubitus	褥疮
deceased	死者
subeconomic	不经济的
squawk	发出叫声
agamic	无性生殖
poud	=pood
dispersal	散布
bicoastal	大西洋和太平洋东西海岸
pachydermatous	厚皮类动物的
memoire	备忘录
schematic	示意性
strepitous	嘈杂
orthographic	拼字正确
extensibility	展开性
everyday	日常的
fian	=Fiann
overflew	的过去式
pulverulent	粉状的
maladjustive	不利于调节的
iteration	反复
course	经过
manila	马尼拉
auberge	小客栈
prosecute	起诉
intussuscept	摄取
exstrophy	外翻
coincide	一致
swabber	笨手笨脚的人
diametical	正相反
postnasal	鼻后的
zirconic	含锆的
evenings	在晚上
windcheater	一种户外穿的防风夹克
whitewash	白粉胶泥水
exsection	切去
emendation	校正
hyson	熙春茶
pregnable	易受攻击
mens	精神
bughouse	发狂的
limacine	似蛞蝓的
cumbersome	讨厌的
best	最佳状态或作品
iaaf	International
ours	pro
unspecific	非特定的
insectival	昆虫
feverous	发烧
pit	使凹下
undergo	遭受
duplicity	口是心非
alkyl	烃基
environmental	环境论
chloralose	氯醛缩葡萄糖
mirk	黝暗
phyletic	种族的
reticula	网状组织
streaked	有条斑纹
mailable	可邮寄
shunter	扳道员
soliflucted	因泥流作用而移动的
intravital	发生于活体内的
accuse	控告
terracotta	陶瓦
humilis	淡的
photoproduction	光生
toynbeean	汤因比风格的
samoyedic	撒摩耶人的
dynein	动力蛋白
mowburnt	因堆积发热而霉烂
surfacely	肤浅
exonerative	免除
imposturous	欺诈
nemoricoline	生长在树丛中
sacerdotal	祭司的
neolite	新石
vanadous	亚钒
connivence	纵容
livelihood	谋生
perissodactylate	奇蹄目的
granulation	有粒的表面
electrify	使充电
crudeness	不成熟
sherbet	冰冻果子露
herbary	药草园
clodhopper	乡巴佬
miliaria	栗疹
eyepatch	眼罩
trigoneutic	一年三抱
hurtling	飞奔的
aeromarine	海上飞行的
pretense	借口
embarment	阻遏
lox	液态氧
regretful	抱歉
dissected	分割
gluttonous	贪吃
brimstony	似硫黄的
wyswyg	所见即所
renown	传闻
wreathe	环绕盘旋
stemma	侧单眼
acyclic	脂肪族
scepticize	持怀疑论
plantaginaceous	车前科的
neurotomy	神经切断术
vertiginous	旋转的
olent	有气味的
stably	坚定
poesy	作诗法
ladder	阶梯
amie	爱人
dinothere	恐兽
mean	中间
quadrisyllabic	有四个音节的
intensification	激烈化
slipstream	起带动作用的助力
killick	石锚
noninflammable	=nonflammable
demodulate	使解调
mauritania	毛利塔尼亚
muckworm	粪蛆
woodenheaded	愚蠢的
wealthy	丰裕
endogenic	内营力的
easterly	从东方来
fallen	陷落
broad	宽阔部分
turfite	热衷于赛马的人
recentness	最近
tumultuously	喧闹地
patulin	棒曲霉素
avian	鸟
curling	苏格兰的冰上掷石游戏
shakily	不坚定
sterling	纯正
ambiguous	暧昧
pragmatize	使实际化
precipitantly	倒栽
clatter	喧闹的谈笑
exceed	超越
previous	早先
improbity	邪恶
underplay	使没有充分发挥作用
peacekeeping	执行停火协定
abbreviation	缩写
stringboard	楼梯斜梁侧板
iad	国际天体物理十年
pararescue	伞降救援
riverfront	河边陆
computerlike	计算机似的
try	试图
autumn	秋天
virion	病毒体
recognized	公认的
neurosyphilis	神经梅毒
augean	Augeas王
homologous	相应
knotless	没有结的
downright	率直的
nonadmission	不准进入
rurally	农村风味
colcannon	马铃薯卷心菜泥
tokonoma	床之间
azedarach	楝皮
dogged	顽强的
immunise	赋予免疫性
skice	匆匆而行
rifleman	步枪射手
photoinduction	光致引发
polygalaceous	远志科
broadcloth	一种精细棉布或人造丝织物
bioenergetics	生物能学
axonometric	轴测法
driftingly	漂流
mature	到期的
holyday	宗教节日
nop	not
mastfed	饲养
neogene	晚第三纪
greeneian	格林风格的
incondite	生硬
flocculent	羊毛状的
grubstake	资金
enate	母系亲戚
citify	使都市化
waterworks	喷水装置
organization	团体
overland	经过陆
plosive	爆破音的
homemaker	主妇
extraction	抽出
upward	向上的
headhunt	野蛮人猎取人头的出征
pixel	像素
fancied	空想的
si	硅
shat	拉屎
deformable	可变形
jamaica	牙买加甜酒
devour	毁灭
positivism	自信
anam	=Annam
plumb	用铅增加重量
retiary	结网的
crotcheteer	耽于幼想的人
disarm	回复平常的编制
floriferous	花盛开的
pyogenic	生脓
aesthetics	审美学
crispate	卷缩状的
manana	不久以后
digest	摘要
fimbria	伞
mean	低劣的
farmerly	像农人般
mithraic	密特拉教的
roily	焦急的
peacebreaker	破坏和平者
houseroom	家里的收容能量
displode	=explode
ever	不断
chrysophyte	金藻
arciform	拱状
kunashiri	国后岛
francicize	使改用法语
backroom	私下的
hydrometer	浮秤
working	抽搐
overtime	超时的
unaccountable	无责任的
lipogenous	产生脂肪
calvinism	加尔文教派
undistracted	不分心的
sabotage	妨害
pontifical	大祭司的
multiparty	包含多党党员
conglutinant	粘合
nasty	污秽
droning	发嗡嗡声的
poky	狭小
catamount	山猫
anastomosis	接合
foliature	=foliage
imponderability	失重
add	计算……总和
dentil	齿状装饰
backhouse	后面的小屋
gramineous	青草味的
expander	使身体健壮的强身器具
otary	海狮
repute	名誉
lymphatolysis	淋巴组织破坏
recopy	再复制
weasel	狡猾的人
excitation	刺激
reflectible	能反照
deerfly	鹿虻
midwinter	仲冬
worrying	烦恼的
worth	财产
fractional	小数
evaginable	外翻
trieste	的里雅斯特湾
helen	海伦
endothelioid	内皮状
polyandric	一妻多夫
annalistic	编年史
elimination	除去
unrevealed	未揭露
rightfully	正直地
tubicorn	有洞角的
agedly	老年人似地
infirmity	虚弱
corneous	角状的
heliotactic	向日性的
lerp	昆虫分泌出来的一种蜜
deign	屈尊
handcart	手推车
oink	呼噜声
somatotrophin	生长激素
contemplative	冥想
cozy	舒适的
cytophotometry	细胞光度测定法
fit	突然发作
nervine	神经
polyesterification	聚合
childish	幼稚
reviewal	校阅
fairyism	仙气
jo	爱人
coowner	共有者
gasless	不用气体
dispersal	分散
towhee	红眼雀
univocal	意义明确
voluminous	长篇的
proteide	含蛋白质
paean	赞美歌
horticultural	园艺的
tan	棕褐色
horologe	钟表
hyracoid	蹄兔的
pyaemic	脓血症的
rigor	严酷
daunomycin	道诺霉素
unliquidated	未清算的
prescript	命令
academe	研究院
intention	意图
usurper	篡位者
pit	陷阱
courtling	小朝臣
regulable	可控制的
