athenai	=Athens
discoidal	=discoid
thunderhead	雷暴云砧
cottage	小别墅
alcahest	万能溶剂
tipple	致醉的饮料
interstitial	裂缝
eccrine	外分泌腺
mac	Media
subcrustal	壳下的
cuspidated	有尖端
infuscate	被弄糊涂的
squeegee	用橡胶滚轴压
deride	嘲弄
fenrir	芬里厄
last	最近的
plumulaceous	关于绒羽的
ammo	军火
greenweed	染色用植物的一种
weave	组合
obituary	讣告
austerity	严厉
anaclastic	屈折
co	中心机房
salted	盐腌
rampike	直立的死树
noel	圣诞节
gentelmancommoner	特别自费生
anabantid	热带淡水鱼的一种
lett	列托语
ace	Command
valetudinary	=valetudinarian
parenthetic	插句
wetfastness	耐湿性
september	九月
dubitatively	半信半疑地
petty	小规模
bacterioscopy	细菌镜检查法
agrestic	乡土的
bps	second
ural	乌拉尔山脉的
excision	切除
sinuous	不老实
chiller	冷却器
retrieval	拯救
whittle	切
august	August
trichomonal	毛滴虫的
miniate	涂红色于
ache	疼痛
death	死
process	处理
histrionic	戏剧的
chaser	驱逐舰
ambiguously	含糊不清地
inexcusably	无法原谅地
meretricious	适合娼妓的
ostensive	以事实例证的
faustus	=Faust
plop	使掉下
aesculin	七叶树素
floor	难倒
conglutination	粘连
sunglow	日光
psilophytic	裸蕨植物的
insectile	昆虫
dainty	优美
aileron	副翼
nonacceptance	拒绝接受支票
headlong	轻率
rifleman	步枪兵
rhinolithiasis	鼻石病
inalienability	不能夺取
outsit	坐得超过……时间限度
desultory	散漫
euphemistic	委婉
staging	分段运输
intelsat	International
diocesan	教区主教
relique	遗风
removal	免职
desire	希望
unmitigated	未缓和
back	背部
myob	business
poussette	跳环舞
square	彻底
capitoline	Capitol的山丘的
commonsensible	常识的
thoughtcrime	思想罪
chromidium	核外染色粒
solutrean	梭鲁特期的
gentleness	柔和
transoceanic	横越海洋的
mustardy	芥子粉
consanguinity	亲密关系
backcloth	背景
saleroom	销售活动
hallux	大拇趾
coloury	色泽良好的
monosabio	斗牛士助手
stop	风琴的音栓
journeywork	临时工
binding	粘合物
embolum	铁嘴
charitably	慈善地
sightworthy	值得一看的
kerosene	火油
hauler	搬运工
directorial	指挥者的
wearable	可佩带
rumply	弄绉
coitus	交媾
used	旧
drumbeater	担任广告的播音员
yamato	日本人的祖先
vvip	极重要的要人
shooting	狩猎场
incunabula	摇篮期
rotfl	Floor
dataller	计日工
bwr	water
bagged	松弛下垂
unsegregated	打成一片的
dominating	主要
