techy	易怒
osteomyelitis	骨髓炎
dishonorable	不名誉的
expo	展览会
lacustrian	湖上住屋的
tx	德克萨斯州
discernable	可认识
flashback	倒叙
crackled	有裂痕的
slaver	淌口水
littlish	相当小
planetology	行星学
outroot	根绝
subsea	在海底
reliquidate	重新调整
boubou	宽大长袍
seem	似乎
bonded	存入保税仓库的
dichasial	歧聚伞花序
bastardly	庶生的
pogonip	冰雾
unmirthful	一本正经
blossom	花开的状态
hydromagnetics	磁流体动力学
subsection	分部
hypopnea	呼吸不足
deodand	赎罪奉献物
gullible	易受骗
unappealable	不可上诉
disappreciation	轻视
amercement	罚款
diverting	令人快乐的
reposal	信赖
newissue	新发行的债券
soldierlike	雄纠纠的
epulotic	收瘢药
collet	夹头
fmn	mononucleotide
isotropism	=isotropy
fullface	正面像
uneventfully	太平无事地
capapie	完全
reformatory	改革
kanarese	卡纳拉人的
sliver	长条
algerian	阿尔及利亚
woodworking	干木工活
kirsten	柯尔斯顿
mannered	矫饰的
tirade	长篇激烈的演说
stilly	平静
pedagese	教育界行话
sanguinity	血色
agreeable	适合的
goldminer	采金者
waxlight	蜡烛
luteotropin	=luteotrophin
tolerate	容忍
irresistible	不能压制的
nationalism	民族独立运动
limonitic	由褐铁矿构成的
glimpse	瞥见
foreman	工头
apical	顶上
jejune	无兴趣的
facilely	轻易
stoup	大杯子
fancifully	梦想
whoremonger	嫖客
aching	心痛
goofy	愚笨的
sackless	无害
cebu	宿雾市
staple	把……分级
exiled	放逐
crocky	破旧
economizer	节约装置
chesterfieldian	柴斯特菲尔德爵士所有的
stridulation	磨擦声
hereditable	可继承的
explorative	探测的
haphazardry	偶然性
vrille	螺旋
reformatory	感化的
poddock	蟾蜍
ovotestis	卵精巢
buildup	组合
affirmatory	承诺
assentor	赞同者
reseat	使再坐
aquifer	蓄水层
aristocratic	贵族
anuric	无尿
mammiferous	哺乳动物
disconsolate	孤独
flyer	飞行物
disabled	伤残
rameses	拉美西斯
hidropoietic	流汗
adiaphoretic	止汗
passado	向前交叉步
hallucinatory	引起幻觉的
stormy	暴风雨
sapient	伶俐
deictic	直证
principled	有原则
appetent	意欲的
loanword	借用词
convincingly	信服
substratum	下层土壤地基
cordilleras	南美安地斯山系
onflow	洪湍
headstrong	任性
hoydenish	淘气
loudly	响亮
urtext	原始文本
epidermoid	表皮状
nonfeeding	不进食
helianthine	甲基橙B
bent	爱好
hysteric	过度狂燥的
lowboy	短脚衣橱
dance	舞会
diastatic	脱离的
austere	简朴的
predormition	睡前期
criminality	犯罪行为
hypocrinism	内分泌腺官能不良
clivers	尤指猪殃殃
chamber	膛
laval	像熔岩的
crop	短发
hereditarily	世袭
goatee	山羊胡子
templet	样板
gyrate	旋涡状
cana	迦南
agreed	同意
sound	合理
rf	Radio
swink	劳动
cbu	bomb
tuffaceous	凝灰岩的
nationality	民族性
uptrend	向上的
missish	矜持的
polyglot	通晓数种语言
deoxidate	=deoxidize
stunt	作惊人表演
mutably	性情不定
guy	人
crib	婴儿床
regular	规则的
biting	刺痛
phonometer	测音器
counterproductive	使达不到预期目标的
acetic	乙酸
unerring	正确
jugula	jugulum的复数
unwisdom	缺乏智慧
wood	木材
time	次数
befog	使朦胧
ultramarine	天青石做成的蓝色颜料
commeasurable	可相比的
ppcc	Conference
aerodynamics	空气动力学
multinest	多重嵌套
ungraceful	下流的
broadway	百老汇
genbakusho	=radiation
backlist	重版目录
galvanoplasty	电版术
semipalmated	具半蹼的
rosily	带玫瑰色地
sheeny	犹太人
journey	旅行
brutal	残忍的
prawn	明虾
africanist	非洲语言研究者
semicentury	半个世纪
jacobian	雅可比行列式
topographic	形学上
underdo	使做得不够
regolith	土被
ccd	Charge
outroar	吼叫得比……响
client	顾客
complement	补足
msha	Administration
elytrum	翅鞘
overhappy	过于幸福
cytochemical	细胞化学
pale	使变苍白
marked	有记号的
stop	击落
immunodeficiency	免疫缺陷
weatherly	能驶向上风
floorer	打败
dimorphic	二态
tungstic	六价钨
copartner	合伙人
considerately	体谅
cypriote	塞浦路斯的
expedition	探险队
ramentum	小鳞片
sloughy	蜕皮的
balkhash	巴尔喀什湖
clump	土块
gastronomical	美食学
undeviating	不离正道
engraving	雕版图
photoglyph	照相凹版
buqsha	布格席
damnification	损伤
combination	结合
epiphanic	使人顿悟
institution	制度
joint	合办
demand	要求
counterplan	反击计划
spiniform	脊柱形的
geocentrical	由地球中心所见或测量的
uses	Service
netlike	形成网壮的
worldbeater	惊人之举
ecologist	生态学者
nematocystic	刺细胞
tomium	啮喙
contabescence	衰亡
chawbacon	乡下人
consummately	完成
fls	the
foreclose	阻止
ogbomosho	奥格博莫朔
minuscule	用草写小字写的
alfa	A
blodge	斑点
integrality	完整性
curvilinear	曲线
snappish	急躁的
sandal	檀香
narcomania	麻醉剂狂
tartrated	含酒石的
coprolagnia	粪性淫乱
exploratory	探险的
exception	反对
iaru	Radio
runaround	借口
malariology	疟疾学
blusterous	叫嚷
amortization	摊还
amply	充足地
discomposure	不安
haematoblast	成血细胞
olio	什锦菜
rajaship	君主、王公或酋长的地位
sogat	Trades
evadingly	推托地
portwide	港口范围的
attaintment	=attainder
yager	狙击兵
papillectomy	乳头切除术
summit	参加最高级会议的
mullet	鲻鱼
clavicle	锁骨
hyperbole	夸张法
excitant	使兴奋的
wellerism	韦勒比较语
bully	威逼
inviolateness	无污点
inflectional	屈曲
rightable	可补救
naeb	Educational
protestation	明言
lab	研究室
excursionist	旅行者
indestructibly	无法破坏地
florin	弗罗林
plug	堵
labiate	唇形的
new	初见的
capable	能干的
plumbum	铅
marsupialise	=marsupialize
photoflood	使用照相泛光灯的
insinuative	暗示的
aesthetic	审美
generalist	通才
fear	畏惧
cruelly	残忍地
possession	着迷
punner	夯具
extirpation	根除
undependable	靠不住
ent	nose
unifacial	单面精细加工
nucleophilic	亲质子的
snow	下雪
mailer	包装邮件用的箱
furunculosis	疖病
aciculate	针状的
ajiva	与生命动力相反的物质
conciliate	赢
twinkling	荧荧的
formalin	福尔马林
parti	理想配偶
hyetometer	雨量表
zigzag	Z字形的
sclav	斯拉夫人
blossom	花
alsatia	伦敦一地区
chiloe	智鲁岛
virulent	充满敌意
undertrump	将牌低吃
jostler	推挤的人
extradite	受……引渡
proponent	提出认证遗嘱者
laura	劳拉
afterglow	夕照
sulcus	回间沟
pekoe	白毫
make	进行
bracing	支柱
worry	烦恼
furibund	愤怒
hypnotize	施催眠术
flurry	使狼狈
inconsistent	不一致的
filo	=phyllo
cytostome	入口孔
sigmatropic	σ移位
uncommon	不凡
assertorily	断言地
apophatic	用否定方法所得的
exchangeable	可兑交
taborin	狭长小鼓
bisulphate	重硫酸盐
simulant	模拟
riksdag	瑞典之国会
longe	使用练马绳练马
pullulation	发芽
ominously	恶兆
liabilities	债务
inconceivable	不能想像
slimsy	脆弱的
primarily	起初
uppermost	最高
frse	of
jestingly	闹着玩地
blatant	喧嚣
structure	建筑物
towerless	无塔
proptosis	突出
emblematic	标记的
usib	Intelligence
febricide	退烧剂
shipbuilding	造船
wreathen	wreathe
lassallean	拉萨尔派的成员
lambrequin	装饰用的垂纬
causal	原因的
frugivorous	常食果实的
thoreau	梭罗
essay	尝试
precambrian	前寒武纪
coprological	热衷于色情文学的
ticklish	不稳定的
yikker	发出重复短促的尖叫声
manhood	成年
amusia	无歌唱能力
splenetic	脾气坏
indulgent	纵容的
drainage	排水
shaef	Headquarters
clavate	一端膨大的
diesohol	柴油乙醇混合燃料
rockfest	摇滚音乐节
epileptogenic	引起癫痫
lippy	爱顶嘴
maurist	莫尔会修士
unmurmuring	不咕咕哝哝的
homburg	小礼帽
interfere	打扰
bonny	漂亮的
compensation	赔偿
deductible	可扣除
rabbet	槽口
subsensible	难以感觉到的
dragonesque	龙状的
jeremiah	耶利米书
gray	阴沉的
fire	使发光
maebashi	前桥
olfactory	嗅觉的
nondescript	无以名状
evolving	展开的
sagely	贤能地
political	政治
knight	爵士
costless	无须付出代价
hazy	朦胧的
alarmedly	惊慌地
lulu	俊秀
violet	紫罗兰色
plss	携带式生命保障系统
sawback	锯齿山脊
ethnical	人种的
omnific	有无限创造力的
respecting	关系
scale	测量
diseur	单口相声演员
spleuchan	烟袋
unresponsive	反应迟钝
slot	缝
iad	Decade
equalizer	平衡装置
footstone	基石
imperatorial	威严
inverter	反用换流器
jug	模仿夜莺叫
elemi	榄香脂
kwando	宽渡河
disubstituted	二基取代了的
manstopping	大威力
holosericeous	有丝状短毛的
detection	察觉
foa	Operations
exemplum	说教故事
ethnobiology	人种生物学
floodlighting	泛光灯照明
nourishing	有营养
allopatric	在不同地区发生的
barouche	一种四轮两座大马车
duplicate	副
luxuriously	奢侈
validate	验证
watchword	口令
howbeit	虽然
chirpy	快活的
troubleproof	无故障的
swindle	诈骗
scaphocephaly	舟状头
fst	Flat
nix	皆无
renature	使恢复原来属性
running	赛跑的
ampullae	壶腹
magnetogasdynamic	mA^`ni:tEJ9AsdaI`nAmIk/
setting	安置
banka	=Bangka
piedmontese	皮埃蒙特
whisker	使有须
shawwal	10月
ssid	Radio
coulter	犁刀
tailing	残渣
cosmochemistry	天体化学
fully	充分
unappealing	无吸引力
ataxic	混乱
civilize	教化
leeway	退路
fluorocarbon	碳氟化合物
offscourings	污物
kickdown	换低挡
discreditable	丢脸
nuggar	大驳船
dixit	武断的话
shackle	桎梏
leer	送秋波
muskie	=maskinonge
ukrainian	乌克兰人的
cobwebby	蛛网似的
centrilobular	小叶中心
staple	来源
benevolently	慷慨
cryptographical	号
revivalism	复兴倾向
file	文件
regrade	重分等级
streamy	流水般
heathery	石南丛生
morpheme	形态素
chemoprophylactic	化学预防的
chlorinate	用氯消毒
department	科
jarp	敲
cocomat	椰子树皮所编织之物
unadvised	欠思虑
allocate	分配
brinjaul	茄子
cool	淡漠的
axillary	叶腋
homopterous	同翅类的
fleshless	瘦
hear	听到
neoanthropic	智人的
abiochemistry	无机化学
budgetary	预算的
synallagmatic	双务
mucky	粪肥的
awash	与水面齐平
swore	swear的过去式
mrbm	中程弹道导弹
eminent	有名的
creaser	摺皱者
handmade	手制
gibing	嘲弄
antifibrinolysin	抗血纤维蛋白溶酶
scathing	严厉
secund	偏向一方的
kibbock	乳酪
setem	豹皮衣司祭
amniotin	一种春药
offhand	即时地
ochreous	赭石的
mowburnt	因堆积发热而霉烂的
cyclamate	一种有害的糖精
suburbia	郊区
zoanthropy	变兽妄想
casein	酪蛋白
pump	抽吸
stem	茎干
delegable	可授给的
excircle	外切圆
irradicable	根深蒂固的
mohammedan	伊斯兰教
digitated	趾状
countrywoman	村姑
preaxial	中轴前的
elisor	司法
manx	马恩岛语
continency	贞操
hefa	高等教育设施法
war	作战
unsicker	不确实的
blm	of
zootechny	畜牧学
distressful	苦难重重
sitting	孵卵中
termite	白蚁
mongoloid	象蒙古人
stoplight	红色尾灯
radicular	小根的
separation	分开
aerocurve	曲翼
adversely	反对地
telephotogram	传真电报
pitiable	可怜的
plough	费力穿过
informative	见闻广博的
overhaste	过于急速
swathe	绷带
depopulation	灭绝
socialistic	社会主义的
ethosuximide	乙琥胺
bicuspid	两尖齿
witticism	俏皮话
toastmaster	致敬酒辞者
foozle	笨拙的一击
platonise	=Platonize
beggary	乞食的习惯
ashen	灰色
dissolute	肆意挥霍
mec	机械工
isoantibody	同族抗体
prank	打扮得漂亮
easygoing	懒散
dioptric	折射光学的
aerodynamically	空气动力学地
rupestrian	在岩石上发现的
motley	杂色
ectogenous	外生
mahogany	其木材
steatitic	块滑石
shinleaf	鹿蹄草
lethargize	使无生气
dismiss	使离开
unaffected	自然
unlanded	不拥有土
contingency	偶然
retrojection	后投
cultivated	栽植
discriminatorily	歧视地
exchangite	全国交易俱乐部会员
phase	状态
clavicular	锁骨的
takovite	水铝镍石
uxoriously	疼爱妻子地
effortless	容易
baptismal	洗礼
sacher	萨克大蛋糕
spaz	笨家伙
pedestal	支持
sound	健康
ineptly	不适当地
zg	garden
gynaecoid	似女性的
unlanded	没有
stop	障碍
impeccability	无罪
electrostriction	/
adjutancy	副官职
overcaution	过分小心
aeromarine	海上飞行
imperceptibility	看不见
combination	联合
chill	变冷
uncontainable	难以克制
usac	United
fabled	寓言中的
drearily	沉寂
varioloid	类似天花
jut	突击
hydrostatic	静水力学
submaster	副校长
comparison	比较
goldbrick	假金砖
straight	一直
jacobian	的理论的
vatic	预言
wanta	to
granular	粒状的
gironny	=gyronny
hqmc	Headquarters
lavendery	芳香
peaky	尖峰的
lamed	希伯莱语第十二个字母
vanguard	领导者
somnifacient	催眠药
fledging	无经验的人
ecclesia	会友
runabout	小型单座敞篷车
unsuccessfully	失败地
ledger	横木
sunkissed	受阳光照射
liver	肝脏
scoticize	=Scotticize
penman	书法家
exclusive	高级的
officinal	成药
benioff	zone贝尼奥夫带
windless	喘不过气
essentialize	扼要表达
suffer	受损害
barrater	买卖圣职或官位者
armoric	阿莫里凯语
stoppage	中断
collaborative	协作
outward	外面
codominant	等显性
alkalescence	弱碱性
kaka	橄榄色鹦鹉
colorific	给予颜色的
wrt	关于
outset	开始
northeasternmost	极东北的
unjustly	不法
phrenetic	发狂的
stunner	把人打昏的人
troublous	动乱不安
alembic	蒸馏器
puristical	修辞癖
picaresque	以歹徒为题材的
sertoman	塞托玛俱乐部成员
spatioperceptual	空间知觉
nitwitted	笨
dreadful	可怕
ratafee	果酒
deplumation	除去羽毛
reduplication	加倍
style	称呼
rodingitize	使变为异剥钙榴岩
fusional	熔解的
lotusland	安逸乡
convert	转换……
nearness	靠近
lauraceous	月桂科属的
unwrought	未加工的
adumbral	遮阳
wolf	极度的穷困
test	试验
trifle	闭混
decumbent	横卧
lockout	停工
ironic	讽刺
humourously	滑稽
cupule	壳斗
railwayed	有铁路
bamboozlement	欺诈
sitzmark	滑雪者向后摔倒又坐起后留在雪地上的凹坑
simony	买卖圣职罪
gherao	挟持
mosaicist	镶嵌细工师
sulfonic	磺酸基的
shandrydan	破旧的马车
lapsed	堕落
sensed	感觉
autopen	自动笔
deficient	不完善的
pisa	比萨
acclimate	使适应新环境
loner	孤独的人
multicolor	五彩缤纷
former	从前
childproof	不会被孩童弄坏
carl	乡下人
chance	机会
pleiotropic	多向性的
psephomancy	石子占卜
seric	中国
flicker	使闪烁
pastureland	牧场
enclises'	NULL)
peak	消瘦
fibrilla	根毛
synchronously	同步
deliquescent	溶解性的
m	发票后一月
keynesian	凯恩斯主义者
whorish	妓女
liberally	大方
antidiphtheritic	抗白喉的
pucker	皱纹
semidesert	半沙漠
him	pro
wire	金属丝制的
eyepit	眼眶
emblaze	点燃
stupid	麻木的
heliport	直升飞机场
needlework	缝纫
ndola	恩多拉
colouring	色彩
newsroom	阅览室
warmly	热心地
trichroic	三色现象的
prowler	小偷
conveyable	可移动的
unfamiliar	没有经验
anathemata	被咒逐的人
jocular	诙谐的
cytotropic	细胞互向性的
sweepforward	前掠角
quarter	四分之一
pent	被关闭
gers	热尔省
amylase	淀粉酶
smear	抹去
endurable	可忍受的
calculous	结石的
livelihood	生计
ethnomethodology	民族方法学
afloat	传播
moil	辛苦工作
organizer	建立者
hygrometric	吸湿性的
closter	归隐修道之处
vouvray	沃莱白葡萄酒
radioheating	射频加热
yhwh	耶和华
invisibility	难看见
enspirit	=inspirit
precedents	引用单元
enounce	声明
sanguine	乐天
senor	先生
loose	释放
notionalist	理论家
overshoot	飞过目标
protrusive	凸出的
opporunity	机会
comer	新来者
gunmetal	青铜
hexahydroxy	六元的
microcosmic	微观
conduit	泉水
mind	专心于
accommodationist	妥协者
crockery	陶器
poohed	疲倦的
redfish	鲑
apoplectic	患中风者
sibiric	西伯利亚各族人民
package	包裹
handgrip	有力的握手
modelly	模特儿似的
actin	肌动蛋白
suction	抽气机
undermost	最低
vesical	椭圆形的
dazed	头昏
incoherent	不连贯
joint	共同
bearable	可忍受
concernful	重要
believer	信徒
moderato	中等速度
igmp	Management
gorgy	多峡谷的
mindexpander	致幻药
callus	老茧
pedobaptism	幼时洗礼
ducking	急速的低头
pomade	润发油
selflessly	无私
regolith	风化层
lewd	下流
dyschronous	不合时
unfindable	找不到
sagacity	睿智
manual	体力的
splendor	光彩
repulse	严拒
hackle	颈上的羽毛
pedalo	脚踏船
iranair	National
argumentum	论点
roughscuff	大众
retroverted	倒退的
bunny	小兔子
matchet	=machete
heretofore	迄今
tungstic	钨
diphenylacetypene	二苯乙炔
commination	诅咒
tangent	接触
hexapodous	昆虫
scuff	磨损
campanulaceous	吊钟花科的
pigout	一顿大吃
transtainer	移动式集装箱吊运车
great	意
furred	穿毛皮
trifolium	三叶草
gangster	歹徒
flatling	直挺挺
corruption	腐败
engraphia	印迹形成
tungstous	低价钨
asbestos	石棉
nongovernmental	非政治的
organohalogen	有机卤素的
infallibilism	教皇绝无谬误主义
billionth	第十亿的
rude	无礼的
pack	一副
butcherly	无人性的地
jd	Juvenile
disillusion	醒悟
lacune	洼
fissionable	可分裂的
rumbustious	喧闹的
unlearned	没学好的
wandering	流浪的
metopon	麦托朋
newsman	新闻记者
caprate	癸酸盐
thresh	打谷
oppressive	压制性的
millepore	多孔螅
antipole	相反的极
desperately	失望
foliate	覆有叶
esteem	尊重
boss	指挥
tribromoethyl	alcohol=tribromoethanol
gript	grip的过去式及过去分词
transoceanic	在海洋彼岸
coryphaeus	主唱
infuse	鼓舞
sheriff	郡治安官
nazareth	拿撒勒
pattern	模式
palliatory	减轻的
fleshy	肉质
malic	苹果的
longevous	长寿的
sacchariferous	产生糖
blithe	愉快
deride	嘲笑
mortagage	抵押
ced	Committee
time	时间/日期
bubby	乳房
ashkhabad	阿什哈巴德
tricarboxylic	羧基
dimension	尺寸
interdepartmental	各省间
lemnaceous	水萍科植物
glyconic	格莱坎诗体的
terai	特赖帽
untamable	难驯服的
initializtion'	NULL)
partialness	部分
caracol	半旋转
floorboarding	将汽车油门踏到底
slipway	下水滑道
lamely	一瘸一拐
maelstrom	挪威近海的大漩涡
dashy	浮华
unestablished	未被确认的
affective	表达感情
ametabolic	不变形
osteal	骨性的
arbitrative	有权仲裁的
chuvash	楚瓦什人
aristocratic	贵族的
echo	重复
tvp	protein
floodwood	漂流木
unicode	采用双字节对字符进行编码
loose	自由
peer	封为贵族
hectic	脸上发红
pristine	质朴
vixen	泼妇
zincic	锌
pulchritudinous	美貌
urceolate	坛状
spartacist	Spartacus党员
solvent	有溶解力
mithraistic	=Mithraic
assimilation	同化
flounderingly	总是失败
received	被一般承认
liminal	阈限的
reduction	约简
sonicate	声波降解标本
autoalarm	自动报警器
impastation	用浆糊封涂
bum	无价值的
breezy	通风好
fiftyfold	五十倍地
rushing	旺盛
micra	micron的复数
blazon	广布
nutty	多坚果
cream	乳酪
nonacceptance	不答应
raffinose	棉子糖
cissy	柔弱胆小的
fibrid	纤条体
lifesome	有力的
bioscience	生物科学
livestock	牲畜
weak	弱
antithetic	对立
dissonate	刺耳
prioress	大女修道院副院长
trimeter	三音步
fault	过错
dusky	朦胧的
postmitotic	有丝分裂期后
dislikeful	讨厌的
legitimatize	使合法化
restrainedly	有限制
bamboozle	欺骗
hippophagistical	食马肉的
atonalistic	不成调的
somatosensory	体觉
repaint	重新绘制
improvisatore	即兴诗人
incendive	引火的
monosexual	单性别的
semiquaver	十六分音符
unpoetic	无诗意
specialisation	=specialization
grinningly	露齿而笑以示
concubinage	非法同居
asymptotic	渐近线的
cystamine	胱胺
grate	壁炉
devotional	信仰
polyhydroxy	多羟的
physiographical	地文学的
creephole	借口
proud	自豪的
enfetter	使为奴隶
anuretic	尿闭
such	这种
disparaging	蔑视的
fabulosity	惊人
subaqueous	水下用的
ethical	民族特有
itching	渴望
uneducated	没有受过教育
garnishry	装饰品
cheerily	兴高采烈地
gripe	柄
mattress	床垫
cases	案例
shampoo	洗发精
reseat	使复位
commiseration	同情
harsh	粗糙
boredom	厌倦
federally	联邦
unforced	自然
usable	合用
presentable	象样的
cornea	角膜
bouquetin	北山羊
ahum	低唱的
ourn	=ours
flakey	疯疯癫癫的
acardia	无心畸形
hemiolia	黑米奥拉比例
onstage	台上的
rubrical	仪式指示的
tel	电话
mufti	便衣
churchwarden	教会委员
thyrsoid	聚伞圆锥花序状的
spain	西班牙
calando	减小音量
essay	散文
segregative	不喜欢交际的
blusterous	虚张声势
candu	uranium
nyctitropism	感夜性
pathogen	病原体
vauntingly	吹嘘
termly	定期的
sepal	萼片
apa	Austrian
cosmologist	宇宙学家
exterior	外部的
infectious	易传染的
uaw	Automobile联合汽车工会
interspinal	棘突间的
voluntary	自愿
plagiocephalism	斜头
histopathologic	组理学说
betweenmaid	女佣
scorcher	大热天
tall	夸大
amused	好玩的
kimchi	朝鲜泡菜
fist	紧握
detonation	爆炸声
chopfallen	下颚凹陷
ptolemaism	托勒密体系原理
assumably	大概
nature	天性
barrow	手推车
transient	短暂
undo	撤消
delicate	棘手
parc	Palo
tradable	可买卖的
thrive	兴旺
crackbrained	颠狂的
protoxide	低氧化物
repeated	再三
vitalize	激发
possibilistic	可能主义的
microtektite	微玻陨石
appointer	任命者
suspicion	怀疑
documentary	文件
postern	后门的
yh	youth
metatarsal	跖骨
macrophotography	宏观摄影
tactless	不老练
ocso	西多会
m	发票日
dense	浓厚
yowie	野人
milk	乳
silklike	丝状
heah	多用于黑人英语
knur	硬的突起
undistinguishable	难辨别地/IFEbl/
temperately	适度地
kilderkin	小桶或其液量
contradictory	抗辩的
molder	分裂
carry	携带
aduncous	向内弯曲
steep	浸渍液
signboard	招牌
indefatigably	不厌倦
exenterate	用外科手术去除
hike	远足
wildcard	通配符
ecdysis	蜕化
removed	离开
placidly	平静
tepidity	微热
expectability	能预期
unsuppressed	未压制的
mshe	of
buran	布冷风
quilt	棉被
poodle	狮子狗
elusory	难以捉摸
assuage	减轻
spurious	伪造
watercart	洒水车
rhq	Regimental
dumps	抑郁
doozy	非常出色的人
brushed	拉过绒的
moll	的昵称
copemate	合伙人
mooneyed	眼睁大
incogitable	无法猜测
featureless	无特色
countercheck	对抗方法
riftless	无裂缝
brent	黑雁
unpitied	没人同情
postmen	邮差
looie	中尉
jacinthe	淡橙色
dolefulness	寂寞
sheila	希拉
neutralisation	中立状态
tautologize	重复使用同义字
bedim	模糊
sequence	序列
arabian	阿拉伯
nec	是世界五大电脑制造商之一
doublethink	思想矛盾
unadulterated	没有搀杂的
elliptoid	椭圆状
undistorted	不偏激
eminent	显赫
flowerless	隐花
gin	起重装
fcis	Institute
vestibular	门厅
rareripe	早熟的水果
lancet	小刀
hippocentaur	半人半马的怪物
valiancy	勇猛
drop	落下
numbly	麻木
adulation	奉承
superlatively	无上
refractile	有折射力的
prothoracic	前胸的
townie	城市生活的
shaman	萨满教的道士
aerobatics	特技飞行术
elusive	难懂的
dishing	凹陷
auberge	小旅馆
panegyrist	致颂词者
uplooking	向上看
crinite	有长软毛
ordinary	普通
billabong	洼
harewood	染色槭木
wrest	费力取得
loss	降低
cardioid	具有心脏形状
jazz	颜色过于艳丽的
hibernian	爱尔兰的
libyan	代利比亚语
embark	从事
apathetically	无动于衷
devastatingly	破坏性地
contagium	接触传染物
zoon	发育完全的个体
consumedly	大大地
actinolite	阳起石
mesh	以网捕捉
mickle	多
laudatory	赞赏的
bivallate	围有两层防护土墙
prolixly	冗长地
tricolette	针织网眼丝织物
adaptability	适应性
marked	显著的
andes	安第斯山脉
astigmatic	纠正散光的
cornichon	酸黄瓜
prosocial	亲社会
whistly	似口哨的
smidgen	少量
trillium	延龄草
concourse	中央广场
hid	hide的过去式和过去分词
provenance	起源
remotely	遥远
tarmacadam	柏油路材料
resupinate	向上翻转的
semiconscious	半意识
kittiwake	三趾鸥
analysable	可以分析
kiloampere	千安培
flatling	直挺挺地
internee	被拘留者
toughly	坚强地
yoicks	唷克斯
zincography	刻锌版
supertonic	音阶第二音
genuflector	曲膝者
ley	牧
enormous	凶暴的
euphuism	夸饰文体
arsenious	含砒素的
hippic	赛马
fete	招待
antiozonant	抗臭氧剂
elapse	过去
embryectomy	胚胎切除术
pop	抛出
crinum	文珠兰属
padua	帕多瓦
semiurban	半城市的
fun	嬉笑
preferable	更优越
residua	残渣
humous	腐殖质
lactam	内酰胺
winded	通风的
minamata	水俣病
threatening	危险的
starchy	拘泥的
ticktack	跳动声
penitential	赎罪规则书
erotism	性的兴奋
stubbornly	倔强地
insufflator	指纹印显示器
run	行驶
manner	风格
cant	隐语
hydrotactic	趋水性的
hidalgo	西班牙的绅士
gentle	温和
skein	群
governessy	家庭女教师似的
ctol	and
glassworks	玻璃工厂
anetic	弛缓
superb	堂堂的
acanthi	acanthus的复数
lapboard	膝板
driver	起子
nutty	产坚果的
muddle	混浊状态
unsteadily	不稳定
snide	骗子
integer	整数
anglophobia	恐英病
fear	为……担心
sarcolysis	肌肉分解
replicative	复制的
raec	Royal
cercopithecoid	猕猴科
continual	连续的
joanne	乔安妮
misinput	输入遗漏
firedamp	甲烷
keratose	角质物质
frittata	菜肉馅煎蛋饼
asynchronism	不同时性
indulgency	赦免
oxpecker	黄嘴牛椋鸟
fete	宴请
cell	蜂房
ric	Royal
evader	逃避者
thiophosphate	硫代磷酸盐
debarment	阻止
pillular	=pilular
vagabondage	流浪生活
underage	未成年的
domesticate	使安于土地
swabian	斯瓦比亚
florid	红润
gruntle	使满意
neuropharmacology	神经药理学
uranic	天的
corrector	修正者
raised	凸起
overroast	把……焙炒过度
canalicular	小管
dragonesque	似龙
cleanout	清除
maltworm	豪饮者
levin	闪电
closing	结束的
frill	装饰
annihilative	有消灭能力的
xxix	29
steeper	险峻的
