inappropriate	不相称
erotology	色情文艺
monochromatic	单频
rail	扶手
earthling	世人
variably	易变
oaten	燕麦的
underclass	一、二年级学生
boisterous	狂暴
fargoing	范围广泛的
idiophonic	非膜质打击乐器的
nondestructive	非破坏性
confounded	糊涂
handedness	用右手或左手的习惯
declarable	应申报的
agony	极大的痛苦
unacted	未演出的
saliferous	含盐的
warrior	勇士
livingness	活力
childbed	分娩
subjectless	无主题的
undisturbed	镇定的
healthy	健康
tinnient	丁当响的
struggling	努力的
sputter	发劈啪声
idle	无价值的
agonistic	动机争胜性的
skyward	向上的
fjp	Jewish
gradualness	渐次
joint	共同的
preconquest	被征服以前
grillroom	烤肉馆
hong	洋行
service	耐用的
isa	工业标准结构
slot	硬币投币口
cautious	谨慎的
whistle	口哨
succulently	有兴趣地
fijian	斐济人
rba	Artists英国皇家艺术家协会
renegue	出牌违例
brackish	有盐味的
accrete	使连接
theocrat	神权政治家
frondent	叶子很茂盛的
polycystic	多囊的
forehanded	得时机的
subapostolic	十二门徒之后的
idea	思想
corollaceous	象花冠的
misanthrope	不愿与人来往者
jowl	面颊
saving	挽救
bacony	脂肪质的
jibe	与……一致
bonded	有担保
charrette	专家研讨会议
opiumize	用鸦片麻醉
tiepin	领带别针
oligochrome	只用少数颜色
hohokam	霍霍坎文化
synovial	滑液的
coition	交媾
fond	温柔
vow	誓约
militarise	军事化
frailty	过失
unaware	不知道的
kaleyard	菜园
approximative	接近
anaemic	贫血
nondecreasing	不减少的
expound	详细说明
interior	内部的
transmigrator	移民
ablare	喧哗地
wuzzle	混合
bmta	Association
confluction	融合
jeer	嘲笑
ultrastable	超稳定的
fiery	火焰
asianic	小亚细亚
undefendable	无法防御
monofier'	NULL)
roadster	跑车
guadeloupe	瓜德罗普岛
smalt	深蓝色
pharmacy	配药业
watertight	不漏水的
preoccupant	抢先占据
tuft	一蔟
proximal	最接近的
underwork	下层结构
xeromorphous	旱生型的
razorback	狭尖的背脊
obtrusively	莽撞
woolgathering	空想的
inexcitable	难以激动的
tripterous	三翅的
loadage	装载量
hooflet	小蹄
definitive	确定的
chloasma	黄褐斑
hesperidium	柠檬果
solunar	日月共同作用引起
phil	菲尔
fragment	断片
electriferous	带电的
dextral	用右手
trapes	懒妇
hereditarily	遗传
exospheric	外逸层的
zany	愚蠢
adjournal	=adjournment
triploid	三倍性
arid	贫瘠的
mature	使成熟
cocarcinogen	助致癌原
sombre	昏暗
eclat	荣誉
diabetic	糖尿病患者
contradance	对面舞曲
princesse	紧身连衣裙的
nudibranch	裸鳃亚目动物
archaistic	古风的
unwilling	不愿意
eidetically	仍在眼前的
imprinter	压印机
lactoproteid	乳蛋白质
cambogia	藤黄
whirl	—连串快速的活动
candid	坦白
technocrat	专家政治论者
penthrite	季戊炸药
nrotc	Naval
hydrotaxis	趋水性
bejewlled	以珠宝装饰的
cherrystone	小圆蛤
leporide	比利时野兔
autocephalous	独立
aposematic	警戒色
mediaeval	中古的
surloin	牛的上部腰肉
biased	有偏
ramp	使有斜面
flapjack	烙饼
iconometer	直视取景器
endogenic	内生的
imply	暗示
ocotillo	马鞭
circumoral	在嘴边的
vb	Visual
sinuous	错综复杂的
eraser	橡皮
lambskin	羊皮纸
afterdamp	爆发后的毒气
overturn	倾覆
catastrophist	灾变说者
ludditish	勒德主义的
refer	涉及
overperform	超剧本表演
webmaster	WEB站点管理员
vulgate	通行的
fluidify	使成为流动
plover	珩
blanketflower	=gaillardia
balmy	止痛
chart	海图
dislike	讨厌
nhra	Association
cpaffc	ForeignCountries
pure	纯的
flush	泛滥
truant	逃避者
rhonchi	诊音
photoflood	照相泛光灯
swagger	虚张声势吓人
inextinguishable	不能消灭的
ndis	Standard
sole	单独
cinematic	电影
sticking	粘的
primy	在最佳期
marquisate	侯爵领
diphenylaminechlorarsine	二苯胺氯胂
cervelat	熏香肠
unfenced	没有防备
iktas	物品
sparsely	稀疏
significant	重要的
astronomy	天文学
symptomatic	征候
glutton	暴食者
ned	Edmund
tinworks	锡厂
incretionary	a
antisymmetric	反对称
jazzetry	爵士乐伴奏的诗歌朗诵
murphy	土豆
jokey	好开玩笑
palatinate	领
brambly	有刺
zi	interior后方地带
atherogenesis	动脉粥样化形成
dish	提出
omnipotence	无限威力
syringomyelia	脊髓空洞症
unsolicitous	不关怀
mildew	霉
gymkhana	竞技场
aphicide	杀蚜虫剂
macedoine	混杂物
parterre	花坛
oratrix	=oratress)
tail	后部
limnetic	淡水
dissociate	分裂
piffle	废话
sss	Service
tuque	双层编结御寒帽
manoeuvre	用策略
hanaper	文件筐
transmontane	野蛮的
adolescent	青春的
attractant	引诱剂
bucentaur	半牛半人的怪物
semisecrecy	半秘密状态
cold	寒冷
spoonful	一匙
clarionet	竖笛
fx	foreign
coverlet	床单
pull	拉
emulate	仿效
afebrile	无热的
telecommunication	电讯信局
washwoman	洗衣女工
hypochromia	血红蛋白过少
strophe	古希腊歌队唱的歌
lamenting	悲哀的
zoografting	动物体素移植术
cerite	铈硅石
angiosperm	被子植物
preservatory	=preservative
gambit	开始
uranide	铀系元素
concoct	调合
confine	禁闭
thrustful	积极进取的
fancied	被特别爱好
fining	澄清
erect	树立
unentangled	不纠缠的
nematocystic	刺细胞的
elude	躲避
earworm	一种有害幼虫
rampant	猖獗
ptyalism	流涎
ndea	Defense
impregnate	怀孕
ultrared	红外的
stupefactive	使人麻木的
subderivative	次派生词
strisciando	滑唱
shoring	利用支柱的支撑
ppt	thousand
collywobbles	肚子疼
tcs	control
icosahedron	二十面体
invidiously	惹人怨恨
wire	电信
glazed	光滑的
consuetudinary	习俗的
proclamation	宣布
incorruptibly	不被腐蚀
incipient	初始
night	夜
nucleochronometer	核子年代学标准
haddingtonshire	哈丁顿郡(即东洛锡安郡
pose	摆姿势
modify	更改
satisfaction	满意
idiorrhythmism	供独自修行的僧侣居住的僧院
vibist	=vibraphonist
lymphad	单桅单甲板平底船
preman	史前人
hellkite	残忍的人
atechnic	无技术知识的人
downright	率直
illusory	产生幻觉的
sap	使排出体液
vindication	辩护
festilogy	基督教会节日论文
deovolente	若一切顺利
idea	主意
courageous	有胆量的
extemporal	无准备的
jabot	胸部装饰
owing	由于
score	划线
montilla	蒙蒂勒白葡萄酒
metastasis	转移
catholicness	一般性
cytotropic	亲细胞
periapt	护身符
retractive	缩进
frankenstein	作法自毙的人
hyenoid	像土狼
merchantable	有销路的
underproductive	低生产
simpleminded	率真的
rebut	反驳
personify	使人格化
thalassochemistry	海洋化学
ephebus	的18
hierarchy	层级
alfa	希腊字母第一个
narrater	叙述者
glandular	有腺的
yellows	黄疸病
cupferron	铜试剂
bir	of
ventriloquy	腹语术
assiduously	勤勉
cottonpicking	收棉花
inedita	未发表的文学作品
sickee	精神病患者
biltong	干肉片
skipper	船长
peripheric	=peripheral
morbid	病
riffleman	淘金工人
recollected	被回忆起
brownie	核仁巧克力饼
latticed	装有格子
dysphasic	患言语困难
duplation	二倍
slickness	巧妙的
southward	向南的
cooptative	增选
maintopsail	中帆
indelibility	不能消除
chrestomathy	读本
sarcoma	肉瘤
antimilitarism	反军国主义
novocain	奴佛卡因
consanguineous	密切
scleroid	硬质
gallophobia	憎恶法国
theoretically	理论上
vaporous	蒸气多
sempiternity	永恒
outskirt	郊区
ale	淡色啤酒
igraine	伊格赖因
perceivably	可知觉
flouncing	薄纱绉褶边
violence	强暴
talocalcanean	距的
hit	打击
rumble	隆隆声
vfr	目视飞行规则
fruitlessly	无益地
hateful	可恶的
fortaleza	福塔雷萨
transitional	变迁
meiobenthos	较小型水底生物
luster	使有光泽
astrobleme	陨星坑
gustav	即
occidentally	西方文化
swept	扫频
birefringence	双折射
lexemic	词位学
haemostatic	能够止血的
contractive	有收缩性
weather	气候
chromogen	色原体
metamorphosize	=metamorphose
shifting	狡猾
bpd	barrels
receivership	破产在管
humourously	幽默
ifps	交互式财务计划系统
concentrative	集中性
numerary	数目的
hydropathic	水疗法
celestine	塞莉斯泰因
bearably	忍得住地
unnecessarily	不必要
talmudist	犹太法典编著者
fondly	怜爱
israelitic	希伯来人的
packthread	包裹绳
initial	词首大写字母
matelot	海员
spacing	间距
noctivagant	夜游的
casually	随便地
honiton	=Honiton
counterespionage	反间谍
clear	清楚的
aspca	Animals
hermeneutic	解释
interrupter	阻碍者
privation	被剥夺了某物的状态
hectostere	百立方米
harvest	收割
grotesque	奇异风格
lutetian	Lutetia
cranic	脑
ghyll	溪流
fabricant	制造者
slaky	多烂泥的
staphylococcus	葡萄状球菌
twisty	不直接说明的
polyimide	聚酰亚胺
flaked	失去知觉的
abrupt	陡峭
course	急行
crimp	卷曲
numeration	读数法
cracky	多裂缝
affidavit	宣誓书
miogeoclinal	=miogeosynclinal
unsuitability	不相称
jellied	涂凝胶物的
slub	粗纺线
pohai	见
bespoken	显示
waver	开始退让
clothesbag	放置换洗物的袋子
commove	使动摇
hectic	脸红
scruple	微量
stuffless	不充实
repellent	排斥的
female	雌的
embryotic	萌芽期的
ophthalmological	眼科
plagiotropic	斜向
photoinduced	光感应
interested	有成见的
footling	微不足道
against	靠着
polynomial	2
cloak	宽大外衣
infighting	接近战
queenly	女王
farce	胡闹
sandy	沙的
lacteous	乳状的
tailband	书脊底带
endogenetic	内生的
duff	揉好的面团
bergamot	香柠檬油
hemimorphite	异极矿
fossorial	掘
kermes	干燥雌体
hydroxide	氢氧化物
doa	on
thingification	=reification
woodland	林
tavr	Reserve本土军和陆军志愿后备队
instigation	煽动
exophthalmic	突眼
radiotoxicology	辐射毒害学
factionist	宗派主义者
inhospitality	冷淡
eidograph	缩放绘图仪
gastrectasia	胃扩张
atomization	分离成原子
incorporeal	无形体的
aarnet	the
filipine	菲律宾的
asleep	睡熟的
sulphite	亚硫酸盐
religionist	宗教家
ignore	驳回诉讼
engraft	灌输
unfaithful	不诚实的
cineaste	电影制作人员
leviathan	海中怪兽
pursual	追赶
uneven	不平均的
undeify	使非神化
outward	公开的
pyrolatry	拜火教
anticyclone	反气旋
nickpoint	=knickpoint
besprent	撒满
lyrical	充满感情的
irresponsive	无答复
bepaint	着色
einsteinian	爱因斯坦理论的
standby	使船待命的信息
blind	使失明
mousseux	起泡
muddle	使微醉
grassland	草原
scholastic	经院的或经院哲学家
encyst	被包在囊内
offcast	被抛弃的人或物
contend	主张
lomentaceous	节荚的
crablike	似蟹行般的
obstreperous	任性
unsearched	未搜寻过的
disinfest	驱除害虫和有害动物
plumate	似羽毛的
administrative	court//
fin	鳍状物
zoot	suit
unplucked	未摘下
gospel	福音
synectics	共同研讨
supervisory	监督的
ripe	成熟的
chilitis	=cheilitis
pert	Review
babyism	愚蠢
munificence	宽宏大量
keeping	遵守
hilac	ion
tumble	摔跤
oncidium	金蝶兰属植物
whiter	苍白
acheron	地狱
gentlefolk	上流人士
regalvanize	再给…………通电
rageful	狂怒的
ravenous	狼吞虎咽的
physiographical	地形学的
reinstall	重新设置
storiology	传说研究
hdcd	Disc
scanner	扫描器
bannerol	小旗
