rail	责骂
isophyllous	等叶的
remembrance	记忆
stealthy	秘密的
balminess	爽快
oenology	酒类研究
mitred	戴着主教冠的
asparagus	芦笋
oddly	奇特地
harry	折磨
unsheltered	无居所
cybernetic	控制论
exarate	足翅不贴着在身体上的
faconne	细花纹饰品
octette	八重奏
breechloading	后膛装弹
halophilous	适盐质环境生长的
folly	放荡
sodalist	慈善团体成员
unleavened	未受激发的
kiln	烧窑
shortcoming	缺点
immunosorbent	免疫吸收剂
crowded	塞满
squire	侍从
widf	国际民主妇女联合会
unitary	归一
tearless	无泪的
stress	重读
subliterate	略具阅读写作能力
patresfamilias	paterfamilias的复数
shoppe	商店
dns	域名服务器
countrymen	同胞
thuringer	图林根香肠
valuableness	昂贵
lithocyst	石囊
otherwise	另外
farfamed	驰名
adenoidal	腺状的
obadiah	俄巴底亚书
specific	细节
nibble	细咬
florid	华丽的
stylebook	时装式样本
quit	停止
aerobe	需氧菌
throwaway	广告传单
topless	无顶的
mystagogue	秘法家
warn	通知
ell	旧时量布的长度
antidotal	解毒的
lurch	挫折
redesign	新设计
yearbook	年鉴
byzantine	东罗马帝国的
bestrew	布满
maxisingle	密纹唱片
cpff	fee
linen	亚麻制品
superior	出众的
matey	友好
msbc	Master
judgment	判断
disputation	争论
misgive	使怀疑
respectant	向后看的
salmanazar	大酒瓶
donnish	装模作样
stoss	迎鼻崖的
current	气流
linguaphone	其商标名
horizontal	水平的
disjunctive	分离性的
administerial	行政上
cool	凉爽
exoteric	公开的
tupelo	紫树木材
alimentative	提供营养的
vapor	自夸者
jugglery	杂耍
cmh	国会荣誉勋章
unrent	未撕裂的
forest	御猎场
deep	难懂的
marriage	婚姻生活
gallinaceous	鹑鸡类
dehydrocanned	脱水装罐头的
gannet	塘鹅
unknit	拆开
electrotype	制电版
print	出版
dialectal	乡音
affidavit	书面陈述
squamaceous	有鳞的
temporary	临时性
subabdominal	腹下
atrocious	残暴的
unfatherly	有失父亲身份
capillary	毛状
vision	视力
betrothal	订婚礼
overeat	使吃过量
telltale	搬弄是非的
cutaneous	影响皮肤的
drooly	非常可爱的
restlessly	不安
stipes	甲壳类及昆虫的第一对足的第二节
wampee	黄皮
irruptive	穿入
fibbery	小谎
outmarch	比……前进更快
greenlandic	格陵兰的
twinned	孪晶生成
legs	木头支架
frostbound	冰冻的
leukocytotic	白血球增多的
shoemaker	皮鞋匠
attendance	出席的人数
hairdresser	理发师
unknowing	没查觉的
lavatory	浴室
synovial	分泌滑液
fluky	不可靠
infatuatedly	迷恋
amatory	情人的
perseverant	能坚持
aristate	有刺
neorealist	新实在论
gst	Greenwich
prolog	=prologue
albata	镍黄铜
presidiary	驻防地的
envious	羡慕
maladaptive	显示不适应的
bmoc	man
uninucleate	单核
ponderability	可秤性
polycrystal	多晶体
pretonic	重读音节前的音节的
rhizanthous	从宿主根上开花的
expeditious	敏捷的
upturned	翻过来
tide	趋势
haematinic	补血药
doorstep	门阶
aif	Australian
caltech	加利福尼亚理工学院
pong	难闻的气味
ultramundane	太阳系之外的
tentative	暂定的
fucker	傻瓜
arabella	阿拉贝拉
winning	成功
parricide	杀近亲
diametric	正相反的
sextillion	百万的六乘方
sickening	令人作呕
contemptibly	卑鄙
bottomless	难解的
corydalis	紫堇属之植物
holytide	祭祀日
resolve	决心
veteran	老兵
sidle	侧走
belong	属于
ossiferous	含骨化石
thiofuran	=thiophene
confection	蜜饯
naupathia	恶心
sisyphus	科林斯王
reflex	反省
fastigiate	锥形
helvetian	赫尔维蒂
infest	大批滋生
autodial	自动拨号
hyperlipidemia	高脂血
escap	an
supinate	旋转
bating	除……之外
chaff	开玩笑
malediction	咒
bravo	亡命徒
locomote	移动
lemma	词条
ominous	预兆的
overweening	夸大了的
unroost	离开栖息处
scud	小阵雨
confucian	儒家的
interneuron	neuron
scion	幼芽
diestock	螺丝攻
mechanistic	机械论学说的
expresser	表示者
premonstratensian	普雷蒙特雷修会的
irrationally	不合理地
roulette	转迹线
swagger	时髦
barefaced	不戴面具的
emphatic	显著
acutilingual	尖嘴
comate	有毛的
biosafety	生物研究安全性
hydromancy	水占术
finback	长须鲸
pastorally	牧歌般地
denticulate	齿状
rachitis	佝偻病
disutility	无用
nonetheless	虽然如此
brs	Road
treasonous	不忠的
gab	饶舌
converge	会聚
windblown	风飘型的
doughy	面团的
immission	允许进入
radically	根本上
clanger	过失
notate	把……
golgotha	受难的场所
temple	鬓角
ponderance	严重性
wateriness	潮湿
twaddle	讲废话
clientage	委托关系
divestiture	剥夺
onager	中亚野驴
seric	中国人
bungaloid	平房式
lunchroom	餐厅
finnip	英国五镑钱币
caponata	碎茄子和什锦蔬菜制成的调味品
yankeeland	新英格兰
untruthful	爱说谎
rack	变形
nondirective	不直接提问
aggravation	加重
accessory	补充
uncate	有钩
furrier	毛皮衣制作工
superhawk	强硬派
donnybrook	闹哄哄的殴斗
scale	等级
antibacterial	抗菌的
reforming	重整
ajutage	喷射管
worked	作装饰用
ridgel	=ridgeling
animal	动物
fishpond	海
ingeniously	贤明地
similitude	相似
hokey	做作的
modernism	现代思想
ptfe	tetra
dogfight	狗咬狗
every	每隔……的
unscrupulously	不客气
airy	空气
candid	率直的
gulch	干谷峡谷
drubbing	殴打
cold	冷淡的
homy	自在的
clot	凝结
offertory	捐款
attend	出席
mere	仅仅的
irenic	和平
reknit	再扣牢
cultivated	有教养的
polyhistor	博学的人
mcm	1900
heredity	遗传
veratric	藜芦酸的
face	面临
australian	澳洲的
unfading	不褪色的
vichyite	维希政府
event	事变
early	早
coquet	卖弄风情
presidial	总统的
forbearing	忍耐的
clef	音部记号
vliw	very
strikeout	失败
indetectable	不易发现的
glochidia	glochidium的复数
indented	犬牙交错
nundine	市集日
ally	支持者
crackajack	杰出的
meteorologic	气象学
insecticidal	杀虫
gasthof	小旅馆
former	以前
put	提出
affrontedness	被侮辱
carpeting	地毡毛毯
asexually	无性生殖
yachter	乘快艇者
reflectoscope	反射灯
flavourful	可口的
armamentarium	物质
acoasm	幻听
shebang	事情
paternal	象父亲的
peperino	白榴拟灰岩
positive	实际
stub	残余
ribband	带板
kennel	宿于狗舍
unbefitting	不相宜
park	停放
petrinism	彼得首位论
inconducive	无益
clonus	阵挛
unclassified	不保密的
poe	载货港
bands	牧师或博士服之领饰
snuffle	用鼻音讲
divot	草皮断片
suspensive	暧昧的
chemoreception	化学感应
troupial	黄鹂
agonizingly	使人烦恼
tandoori	唐杜里烹饪法
organic	建制
slowness	迟钝
razor	剃
phototopography	=photogrammetry
clement	仁慈
restate	重申
lamish	有点跛
come	出现
ratbag	乖僻之人
mistress	女主人
palpable	可触知
wordiness	多嘴
recumbently	靠着
frumpy	心地不良的
distortion	失真
stucco	涂以灰泥
philtre	春药
haemolytic	血球溶解的
mouthful	一口
radiology	放射医学
indic	印度
prodromic	=prodromal
slicker	骗子
triangular	三角形的
agminate	聚集
exchangeable	可交的
neotype	新模式标本
probabilism	盖然论
trematode	吸虫
cenobian	修道士
avirulent	无毒性
asc	consciousness
googol	巨大的数字
frock	僧衣
angry	生气的
saving	救助
indexed	编入索引
antidiphtheritic	抗白喉
merciful	慈悲的
oceanaut	潜航员
anarchic	无法无天
poltroon	胆怯的
pedestrianize	使无车辆行驶
nonbank	不由银行办理
shitticism	污言秽语
ostentatious	卖弄
wise	明智
libidinous	淫荡
shoreless	没有岸
sack	就寝
vindicative	惩罚的
drivership	驾驶
petunia	矮牵牛花
hawaiian	夏威夷的
biangular	双角的
biennial	二年生的
shakily	不坚定地
fidley	锅炉舱顶棚
dumet	杜美丝
repellency	抵抗性
