excusably	可宽恕地
blithely	愉快地
shad	美洲西鲱
narrowcast	小范围播送
tammy	一种便帽
unga	联合国大会
averse	不愿意的
laminae	板
put	投击
onwards	向前
tonality	色调
am	上午
attap	=atap
disbursement	支付
rantipole	喧闹的
cutie	美人儿
depollute	防止污染
reducible	可还原的
trustify	组成托拉斯
annunciatory	预告的
housework	家务事
crmp	皇家宪兵队
intromittent	插入
tousy	凌乱的
overnight	前夜
friend	朋友
bodiless	无形的
minor	二流
dynapolis	大城市
tragedian	悲剧作家
solidungulate	单蹄的
guianese	圭亚那语言
tattered	破烂的
learned	学术上的
gso	General
malformed	难看的
rajasthan	拉贾斯坦邦
bordereau	备忘录
unexploded	装着炸药的
armour	盔甲
katalase	=catalase
cosmonaut	航天员
unharming	不伤害人
nephanalysis	云层分析
rabbiter	捕兔者
ruridecanal	乡村主任牧师
centricity	中心性
lithiasis	结石病
habilimented	衣着整齐
sackless	软弱无能的
endocytose	内吞
fossa	小窝
sib	亲属
scalper	黄牛
branchial	鳃
bitterness	辛酸
sheepish	懦弱
raising	浮雕装饰
impresario	乐队指挥
columbian	美国的
abrupt	突然
paunchy	大肚子的
fornicate	弓形的
reunify	再联合
labouratory	研究室
put	出发
triassic	三叠系的
phycomycete	藻菌类的植物
predatorial	=predatory
calloused	变得无情的
sylvan	森林之神
crackless	无裂痕的
assemble	装配
without	在屋外
affenpinscher	猴绠
rejuvenator	使返老还童的人
fairly	正当的
zimbabwean	津巴布韦人
hemerocallis	lily
democracy	民主主义
unvoiced	未出声的
stygian	狱
dittybop	笨蛋
lentiform	透镜的
tenebrosity	黑暗
talent	天才
fitted	合身
zmodem	一种文件传输协议
questionless	无疑的
triable	可以试验
volcanological	火山学
christendom	基督教徒基督教界
lithophile	亲岩性的
onboard	随车携带的
restrain	制止
foretell	预示
console	控制台
forebode	预感
courtling	小官员
apt	灵巧
phenix	绝代佳人
sickly	有病
hallway	走廊
waywardly	任性
deprecatingly	恳求地
gravitate	移动
etymologic	语源
producing	生产的
calix	圣餐杯
tot	加起来
lot	签
plf	per
mounting	衬托纸
relative	相对的
cornetti	的复数
dexter	幸运
builder	施工人员
jarrah	红柳桉树
fmi	国际货币基金组织
aspectual	体
starched	拘泥刻板的
paleobotany	古植物学
saccharise	使糖化
unsuspecting	无疑虑
lordship	贵族身份
zygote	接合子
unscrew	旋松
asp	应用服务提供商
hornbook	小孩学习用的文字板
gnawing	咬的
nonresidence	不住在任所
filature	缫丝
fisher	食鱼动物
whipworm	鞭虫
odour	名声
pose	姿态
lythe	青鳕
wail	痛快
cation	阳离子
unversed	无经验
marburg	青猴病
accelerograph	自记加速计加速者
phyllotaxic	叶序
rhotic	辅音前的r全部读出
unequable	无规律的
meclozine	美其敏
infrastructure	基础下部组织
multifilament	多纤丝
advertize	做广告
retrenchment	删除
argentine	阿根廷的
octaploid	=octoploid
congenitally	天生地
sjc	Judicial
righthearted	正直的
preeminence	卓越
vespertilian	蝙蝠的
cocoa	可可饮料
roach	蟑螂
zurich	苏黎世
factious	好搞派系
reinvest	再授给
skinpopping	皮下注射麻醉品
evidence	证据
pantheon	万神殿
pessimism	悲观主义
plp	Party
semiology	症状学
ultrasonics	超音波学
voltage	电压
tom	雄动物
eleanora	埃莉诺拉
subsidiary	辅助
rfc	Comments
sadism	病态的残忍
preponderance	优势
ribband	临时装设板
kinaesthetic	运动感觉
duckling	小鸭子
subdividable	可再分的
dendrochronology	树木年代学
piggyback	在肩上
identity	同一性
petrous	岩石般
wile	欺骗
tercet	三行押韵诗句
abstemious	节约的
theolatry	拜神
fescennine	粗俗
analysable	可以分析的
hippogriff	鹰头马身有翅怪兽
irretraceable	不能回头的
ursiform	熊状
kainogenesis	=cenogenesis
unsuitable	不适合
reins	激情
period	句点
rheoscope	检电器
rantipole	顽童
kaiserdom	政权
