stricture	责难
kickshaw	精美菜肴
mangrove	红树林
shoo	嘘
calix	盏
caudiform	尾状
oos	缺货
horrific	可怕的
bowery	象亭子的
quivery	震动
accounts	帐目
kindling	激发
very	十足
optically	视力地
crocean	克罗齐精神哲学的
poleaxe	战斧
euchre	打败
enwind	缠绕
tarpeian	塔尔皮亚岩石
cyclo	三轮车
sartorial	缝纫
germina	种子
canthus	眼睛的两端
fian	hunters]
lealty	信实
befringe	饰以边
kevlar	凯夫拉尔
pamper	纵容
doily	小型装饰桌巾
unissued	未发行的
observer	观察员
ideographic	表意
merciless	无慈悲心
rosarian	玫瑰花栽培者
marshy	沼泽般的
recommendatory	劝告
numerate	读
stag	只有男性的社交晚会
tough	强硬的
fancied	空想
dispositive	决定性
rebarbarize	使回到野蛮时代
carucate	卡勒凯特
fine	杰出的
florid	华丽
mathematization	数学化
unsharp	不锐利的
sudatory	发汗室
silverberry	银果胡颓子
ethnomusicological	人种ist//
hydraulician	水力学家
behring	白令
trochilic	旋转机械运动的
puristic	用语简洁
incorporeal	无实体的
vicenary	20的
upright	正直的
permanently	永存
nefariously	邪恶地
hanuka	献殿节
peregrination	游历
count	计算在内
zygodactylous	前后有双趾
habenula	系带
liber	书籍
labour	支持工党的
unsigned	无符号的
governess	女家庭教师
motley	混杂的
beautifully	美好地
chut	咄!
psia	absolute
otherwise	另外的
nida	尼达
escort	护送
gelding	去势
hydrographic	与水文地理有关
edge	尖锐
excess	额外的
bookrest	阅书架
footrace	赛跑
pupillary	瞳孔
filar	丝
vole	全胜
screwy	螺旋形
inscape	构成要素
petaliferous	长有花瓣
exterminatory	根绝
civil	全民
disembosom	泄露
gelatinize	涂胶
israelitic	希伯来人
nonstandard	不标准
downcast	气馁的
curse	祸因
basket	篮
terotechnology	维修工艺学
reconsolidate	重新巩固
beslave	使为奴
tradable	可买卖
strained	紧张
logbook	飞机航程表
liable	有责任
lumber	隆隆声
hedonistic	快乐主义者
jealous	妒忌的
caroler	欢唱的人
unbelief	疑惑
decelerometer	减速计
metepa	甲基涕巴
confarreation	麦饼联姻礼
sundries	杂物
indeliberate	未经考虑
specific	种
ascosporous	囊孢子的
combust	消耗
smartly	潇洒
pli	inch
constate	证实
concretion	结石
hiver	养蜂人
plateresque	带复杂花叶形装饰的
euxenite	黑稀金矿
tideway	潮路
blacking	黑色鞋油
byzantinesque	拜占庭风格的
umber	棕色
xanthochroism	黄色现象
keckling	防磨卷
perfect	完美的
oo	面向对象
persuadable	容易说服
tenacity	坚韧
face	面对
latinise	译成拉丁语
oblatory	奉献的
unashamed	问心无愧的
lobworm	沙蚕
anthropopathism	神与人同感论
obituary	死亡
seti	search
downsman	草原居民
semirevolution	半旋转
tarsi	睑板
jawline	下颌的轮廓
harshly	严厉地
webbed	有蹼的
winking	目语
haemodynamic	血液动力学
swad	一群
coccus	球菌
laccolith	岩盖
evolutive	进化
lemme	me
serfage	农奴境遇
rpc	Pioneer
baboonery	粗鲁的行为或态度
warrant	辩解
evasion	借口
undrape	揭幕
neoplasia	瘤形成
cohort	步兵大队
boscage	丛林
jiao	角
knapper	碎石槌
fmi	taire
comer	有希望者
coalhole	煤库
hoagie	=hero
jazz	颜色过于艳丽
strange	奇异
savage	野蛮的
methodologist	方法学学者
inferable	能推理
enclisis	连读
giving	礼物
trinitrophenol	=picric
smileless	严肃
hoofer	职业舞蹈家
sclerosant	致组织硬化物质
trivially	很一般
linguaphone	灵格风
affect	感动
conifer	针叶树
mount	安放
prop	倚靠人
practically	实际上
eau	水
remonstrant	抗议的
perfectionist	十全十美主义者
melting	溶解的
rontgen	X光
chancre	下疳
bludger	二流子
snowcat	雪地履带式车辆
inquirer	探究的人
emmarble	刻成大理石像
proclamatory	布告的
tremendously	非常
daffadilly	水仙
cotton	棉花
influential	有影响
aswoon	晕倒的
brushhook	钩镰
sclerosis	硬结
demonstrant	示威者
message	消息
gingery	姜味
kroon	克鲁恩
fixative	定色料
collect	搜集
malice	恶意
cloche	园艺用钟形玻璃盖
assaultive	好动武
frat	兄弟会
rubberlike	如橡胶
back	支持
roue	享乐者
defy	挑衅
acidly	心地不良地
eucaryote	真核细胞
pustulous	有小疙疸的
lame	跛足的
hingeless	无铰链的
cointelpro	反谍计划
interstation	台际
brekkie	早餐
trimness	整理
protrudent	伸出
corncob	玉米的穗轴
belaud	歌功颂德
unrecognized	未被承认
segregative	易分离的
widthwise	横着
skullcap	无边便帽
slide	滑行
wreath	圈状物
soldierlike	雄纠纠
rake	掠过
exit	出口
isotonic	等张
birthstone	诞生石
rude	无礼
dissimilarity	不同
effective	给人深刻印象
affricative	塞擦音的
tuck	塞
dingbat	容易投掷的东西
kvetch	老找碴的人
elegant	端庄的
cristate	有冠毛的
cashoo	=catechu
moonlit	月光照耀的
impertinently	不恰当
subornative	教唆伪证罪
armband	臂章
umbrette	鹭类
diphenyl	联苯
codeine	可待因
erasistratus	埃拉西斯特拉图斯
mechanism	机构
donkeyish	愚蠢的
tonsilar	扁桃腺的
either	也
waygoing	离开
ataraxy	心气和平
bp	Pager
psikhushka	=psychoprison
launder	流水槽
puerperal	产后
thanatophoric	导致死亡的侏儒症的
trainsick	晕火车
marrate	说明
gironde	法国革命时期的稳健共和党
retriever	取回的人
diplomatese	外交语言
aep	Echo
haulm	稻草
manioc	树薯
antilithic	预防结石
hvar	机载高速火箭
redraft	重新起草
misevolution	异常进化
dogshore	支船柱
sinanthropus	中国猿人
quatro	=cuatro
feldspathic	象长石
mure	禁闭
absorptive	吸收性的
overearnest	过于认真的
unreflecting	不反省
unaccountably	不能说明地
moss	藓
uncase	除套
