autarkist	自给自足主义者
potatory	饮酒的
flimflammer	骗子
encyclopedical	广博的
aglare	耀眼
oppositionist	反对党人
tunny	金枪鱼
strikeover	打字未修正而重新打上
elephantiac	象皮病
coranto	=courante
viennese	德语维也纳方言
catheter	导管
ballsy	有胆量的
deceit	谎言
hunt	搜寻
apocalyptic	天启的
platinotype	白金照相版
implacental	无胎盘动物
browningesque	勃朗宁风格的
quotidian	平凡
consonantal	带辅音性质的
anatolian	安那托利亚语
incivilization	野蛮
defecator	精制机
hippus	虹膜痉挛
knee	膝盖
ingerence	干扰
mobile	可移动
farmworker	农业工人
ada	艾达
tobacco	烟草制品
appetite	胃口
remarkable	不平常的
mind	情绪
hydro	水疗院
dizygous	两合子的
clop	马蹄声
numismatics	奖章类的研究
dermatophyte	皮肤真菌
civil	根据民法的
forepaw	前蹄
splendor	壮观
phosphokinase	磷酸激酶
febriferous	造成发烧的
decad	由十个构成的一组
lampad	灯
notum	背板
prey	掠食
napoleonist	坚持拿破仑式行为的人
traipse	长途跋涉
noiseless	无声
vocoder	声音合成机
zoroastrianism	火袄教
fabulosity	非现实性
lustreless	平淡乏味的
gustavus	古斯塔夫斯
convenient	便利的
characterful	有特殊风格的
repute	名声
apolar	非极
reapparition	再出现
mitigatory	缓解的
evince	表示
ccpit	China
inurbanity	无礼粗野
napoleonist	拿破仑式统治方法鼓吹者
outlandish	奇异
shop	买东西
dead	完全地
pneumatolytic	气成
quatre	四点
fiction	虚构
gowster	吸大麻的人
dermatophyte	表皮寄生菌
ephemerality	朝生暮死
wristband	表带
hinder	打扰
consistent	相容的
napalm	凝固汽油
methane	沼气
fasciculi	纤维束
kainite	钾盐镁矾
kicker	抱怨者
ganov	小偷
vivacity	活泼
ref	裁判员
swag	垂下
tangential	切线
customization	定制
ductile	柔软
tripodal	有三脚的
flackery	推销
convulsion	震撼
damnable	可诅咒
coffee	咖啡
festally	愉快地
playroom	娱乐室
zincy	含锌
phlebology	静脉学
hematoxylin	苏木精
institute	协会
dingily	暗黑地
nonofficeholding	在野
couchant	抬头伏卧状
outboard	外侧
erven	erf的复数
facp	Physicians美国内科医师协会会员
bravest	勇敢
craftsperson	工匠
gni	gross
primary	根源
serotonergic	血清素激活的
present	礼物
pickeer	搜索
apteral	无翅
subsequent	并发
savourily	有味道地
overtime	加班
vector	矢量
hearted	呈……心情
valiantly	勇猛地
tailhead	尾基部
barothermogram	自动压力温度表
