praline	果仁糖
introductive	介绍
temporal	当时的
feel	摸
medallic	奖章似的
lingulate	舌状的
pots	Telephone
dastardly	懦弱的
annullable	取消
precedable	可能被超先的
cuba	古巴
carroty	胡萝卜色的
evidence	迹象
thrombi	血栓症
aeroamphibious	海陆空联合的
diablo	又称恐惧
mmf	force
plo	Liberation
removed	与……无关的
chronology	年代学
futurism	未来派
mowing	一次收割量
idomeneus	伊多梅纽斯
lmbc	Margaret
frowsty	闷
simulator	假装者
grain	谷物
dm	Medicine
unremitted	继续不断
antidepressive	=antidepressant
incohesive	无凝聚力
deaerate	使除去空气
pop	射击
innkeeper	旅馆主人
chevy	追逐
cartelize	组成卡特尔
preemption	取代
transom	结构中横向构件
foreland	前沿地
flintiness	冷酷
rhyme	韵律和谐
afoot	在准备中
nobly	崇高地
acquittance	解除
upscale	高消费阶层的
kibbutznik	集居区居民
daylong	终日
transoceanic	在海洋彼岸的
swagger	昂首阔步
variety	种类
vlaanderen	=Flanders
natural	简单自然的
bully	欺凌弱小者
halfling	半成年人
xanthochroous	呈淡黄色的
compartment	车厢
fictile	陶制品
elf	矮人
natural	自然界的
semiagricultural	半农业的
arthrogryposis	关节弯曲
marsh	湿
forebrain	前脑
policier	侦察影片
savourless	不风趣
hazel	淡褐色
semioval	半椭圆形
antilles	安的列斯群岛
hermeneutics	诠释学
sagittate	箭头形的
diffusor	=diffuser
disproof	反驳
crankous	易怒
sled	用摘棉机摘
wrecky	身体垮了
gluttonous	饕餮
corf	养鱼槽
intelligentsia	知识界
irresponsive	无感应的
restraining	遏制的
fallen	陷落的
bossy	浮雕装饰的
orator	原告
eristic	好争论的
grunge	难看的东西
blamelessly	无可责难地
auburn	赤褐色
bathysphere	深海调查用球形潜水装置
incalculability	不计其数
short	浅薄的
mendicancy	行乞修道士
former	形成者
repoussage	凸纹饰物
pancreatin	胰液素
run	蔓延
autogenesis	自然发生说
winglike	翼状
chilean	智利人
shm	motion
tackify	增强……的黏着性
signed	有符号
noncombustible	不燃的
aglow	通红的
hateless	不憎恶
prolific	丰富
cloddish	土里土气的
forthcoming	即将来临
doggie	狗
spinachy	具菠菜特点的
neuroplasm	神经浆
tavr	Volunteer
rainwater	雨水
ens	实体
noviceship	=novitiate
wrcb	War
phalanx	趾骨
unblest	不幸
coprophilous	生长在粪便上
rhodomontade	=rodomontade
aggressive	好斗
wire	金属丝
fifteenth	第十五
rainbird	绿啄木鸟
whp	water
landstream	陆潮流
holdback	妨害
epipastic	撒布用
pupillary	学生的
compromise	妥协
dilettante	业余艺术爱好
competently	胜任地
tartarize	使酒石化
subtetanic	轻度抽搐的
bluebutton	"蓝徽"
humanoid	有人的特点的
sniffable	可闻的
exciting	令人兴奋的
clatter	嘈杂的谈笑声
caste	社会地位
shadchan	职业媒人
circumvolution	盘绕
pretorian	监理军事的执政官的
tahine	芝麻酱
dramatic	戏剧性
necrophobia	死亡恐怖
underkeeper	助理管理员
bivouac	露营地
creepy	皮肤上有足爬似的
ghazze	=Gaza
inextirpable	无法根除
emr	可教育的智力迟钝儿童
wineglass	葡萄酒杯
solus	单独
epifocal	震中
heterospory	孢子异型
nasty	肮脏
thunderation	究竟
brotherliness	友爱
yoghourt	酸奶
criminy	老天
phenomenon	现象
seminiferous	产生精液的
vigneron	葡萄栽培学家
undistinguished	未经区分的
tyrannic	暴虐的
hypoglobulia	红血球减少
seedily	心情不佳
syriac	叙利亚
aminobenzene	酸
heteroatom	杂环原子
sapless	枯萎的
convulse	震动
interlocutory	对话体
laundryman	洗衣工
atomix	Atomix
argumental	辩论
laloplegia	言语机能障碍
neoclassic	新古典主义
polliwog	首次越过赤道的海员
refusal	优先取舍权
stemmed	有茎的
cephalated	有头
alongside	在旁
butterbox	巨头鹊鸭
colligable	可连结成类连结
jockstrap	护身三角绷带
concernedly	担着心
resonatory	引起共鸣
spark	闪光
decipher	密电译文
imbody	拼凑
heavenly	如天堂的
pesky	麻烦的
biannulate	具两个色环的
columbine	耧斗菜
dingus	那玩意儿
inconsolable	极为伤心
concurrence	合作
frugally	节省
laundry	洗熨
dance	舞蹈
psychiatric	精神病治疗的
aqueduct	导水管
wonna	not
girdle	带状物
liquid	易变卖
inimitable	无法模仿的
banxring	shrew
loth	憎恶的
wctu	Woman''s
mondain	凡夫俗子
ritually	仪式上地
narcotic	镇静剂
latent	潜伏的
naughty	淘气
kindly	温和的
insalubrious	有害的
liberatory	释放的
ssafa	Families
energize	加强
flambe	烧过的
genealogist	系谱学者
amdg	Dei
multirole	多作用
zincous	阳极
deception	诡计
abranchial	无鳃的
sahuaro	=saguaro
snaillike	蜗牛状的
salvar	=shalwar
home	回家
rathripe	=ratheripe
absentee	未上班者
charmingly	愉悦
phocine	海豹的
japonic	日本的
fadge	成功
greenwood	绿林
delinquent	失职的
kidderminster	英国
applique	贴花
bid	投标
hogback	拱起的背
thermic	由于热造成的
lank	瘦
unrenewable	不可重订
glutaraldehyde	戊二醛
throughother	混乱地
vhs	System
din	喧闹
chucker	投掷者
raiser	举起者
ambivalent	好恶相克的
eudaemonic	幸福
analphabetic	文盲的
whisht	无声
flsa	Standards
exemplar	模范
gerard	杰勒德
garishly	华丽地
monomaniacal	偏执狂
grueling	重罚
hammering	锤打
phillip	即Philip
catamnestic	诊后病历的
chemist	化学家
buckeroo	=buckaroo
undaunted	勇敢的
cookie	小甜饼
schizocarp	分裂果
zone	圈
interblend	混合
complication	复杂化
pecan	美洲山核桃树
obelize	加疑问号
fake	伪造
crannied	裂缝
viridescent	淡绿色
vegete	生气勃勃的
monothematic	单主题
labourer	劳工
ioc	Olympic
magnetohydrodynamic	mA^`ni:tE9haIdrEJdaI`nAmIJ9haIdrEJdaI`nAmk/
subprior	修道院副院长
snuffless	不需剪烛花
discomfiture	崩溃
headachy	头痛
vaalhaai	灰鲨(翅鲨
monstrous	巨大
sundry	各式各样的
welldoing	德行
clwyd	克卢伊达郡
supernal	超自然
arcaded	有列拱
treetop	树稍
