bottine	半长靴
balky	执拗的
nancified	搞同性恋的
minuteman	独立战争时立即应召的民兵
pharmacy	制药业
albumin	白蛋白
flashlight	手电筒
ethyl	乙烷基
inwrap	围绕……
inextricable	解不开
magistral	威严傲慢
intrigue	激起……的兴趣
lisping	咬舌
fosbury	福斯贝利式跳高
untalented	不聪明
vauntful	自负的
pisciculture	养鱼学
future	前途
enormously	巨大地
trendy	流行
enflurane	安氟醚
irresolution	优柔寡断
afs	Service辅助消防队
scent	嗅猎
setoff	装饰品
greenwing	绿翅鸭
mis	Management
automatism	自动力
shivery	令人悚然
equalization	平等化
outspread	伸开
indent	缩排
riffle	洗牌动作
fructosan	聚果糖
counterplea	抗辩
fissiparous	有分裂能力
moonish	反复无常
invulnerability	刀枪不入
smart	灵巧地
ultrasonic	超声
hoodlum	阿飞
mts	机器翻译系统
shade	图案阴影
cumbrous	讨厌
indusiate	幼虫膜
bathybic	深海底
battlesome	好斗的
antecedence	先行
cinefluoroscopy	荧光屏电影摄影检查术
hidropoietic	流汗的
obeah	非洲黑人间奉行的巫术
verve	神韵
specific	特效的
arouse	鼓励
heterocyclic	杂环的
ochlocrat	主张暴民政治的人
zone	地域
dimethylmethane	二甲基甲烷
wisely	聪明
speciology	物种学
burse	钱包
rhapsodic	狂想的
goon	呆子
oestrus	牛虻
quercine	栎木制
deliration	精神错乱
lordling	大人
nucha	项
franciscan	圣芳济会
vasopressor	血管加压的
delphinium	飞燕草
ingressive	进入
panic	恐慌
polynesian	玻利尼西亚人
nutant	下垂的
tumefacient	使肿胀的
conscienceless	不知廉耻
madrilena	马德里女人
godwinian	戈德温
slenderize	使细长
acotyledonous	无子叶
ethical	民族的
rounceval	大豌豆
manicou	鼠鼹
farthest	最大程度
dog	坏蛋
friended	有朋友陪伴的
pimozide	哌迷清
acephalous	群龙无首
swat	重拍
sterile	毫无结果的
welt	鞭打
rockbound	僵硬
ecp	Port
chalk	白垩
streaky	容易变的
efflorescent	风化的
firebrand	燃烧的木柴
nondefense	与军事防御无关
slopewash	斜坡冲刷物
anemometry	风力测定
nibmar	先组成由非洲人代表占大多数的政府然后准许独立
rotatory	引起旋转的
lingo	行话
kingbird	极乐鸟之一种
homonymous	同音异义的
proprietary	所有
timer	定时器
parenteral	肠胃外
troglodyte	穴居人
lizardite	利蛇纹石
drumbeating	宣传
carcinoid	良性肿瘤的
calender	砑光机
pentatonic	五音
theory	理论
unostentatious	/
hate	讨厌
hypocoristic	表示亲爱
syzygy	朔望
remnant	零料
crepuscle	黎明
disclaimatory	否认
galvanography	电铸版术
animating	启发的
curtle	ax=cutlass
encincture	环绕
crustaceous	外壳
maris	玛丽斯
tongueless	沉默
courageous	有胆量
downcourt	前场篮下
remarkably	非常地
spindle	轴
mamillate	有乳头状突出物
varvel	对……感惊异
extant	未毁
insurgence	叛乱
penstock	压力水管
symmetrize	使相称
unaverage	突出的
homogamous	雌雄同熟
refashion	再做
above	上文
transmission	传输
opern	歌剧
retort	蒸器
homophonous	同音的
maisonnette	小屋
tenderness	棘手
gainable	可得到的
elegant	文雅
tractable	易驾驭
argol	粗酒石
synallagmatic	对双方具有约束力的
pronounced	讲出来的
ancestry	家系
redrew	redraw的过去式
straitness	狭
hardtop	有金属顶盖的
mas	for
daftness	癫狂
subrogation	更替
retroflexion	反曲
productiveness	赢利性
goldie	金奖唱片集
outdoorsy	爱好野外活动的
posseman	民兵
insufferably	不能忍受
personal	私人的
aok	完美的
galla	盖拉族人
midas	大富翁
kinglessness	无君主
touch	联系
recrudescent	复发的
borderland	朦胧之境
solemnify	使庄严
hopelessly	绝望地
coronate	加冕
scum	泡沫
rickets	佝偻病
plutarch	希腊的历史家
univalve	单瓣
tentmaker	制造帐蓬的人
harvesting	收获
biconditional	双态
hereat	是故
upswept	向上弯曲的
sanctimonious	假装神圣
gyroidal	螺旋形
mesothorium	新钍
powerfully	强大地
piquant	顽皮
unyoke	解开
gk97	金山游侠
pricy	=pricey
anytime	无论何时
drive	驱使
indurative	变硬
indisputability	无争辩的余
frieda	弗里达
legitimatize	立为嫡嗣
finery	华丽的服饰
hugely	巨大地
assumingly	无礼
scombriform	=scombroid
undertake	许诺
comtesse	女伯爵
gentleman	阁下
gestate	创案
unswerving	不偏离的
difficult	困难的
isdn	Digital
gossamer	薄弱
home	避难所
bereavement	丧亡
stainless	纯洁
escarpment	陡斜坡
ibew	Brotherhood
array	编队
ennoble	使高贵
livraison	分册
breezy	有微风的
screech	发出尖锐的声音
stand	站
jog	轻推
postmitotic	有丝分裂期后的
yokemate	伙伴
pretext	托辞
protracted	拖延的
relative	有关系
foregone	过去的
heterosexual	异性爱的
hermitship	隐居
death	死亡
pratique	入港许可
pantomime	演哑剧
photoproduction	光致产生
hematozoal	血寄生
portability	可携带
oligosaccharide	寡糖
inconstancy	反复无常
bladdery	膀胱状的
chromiderosis	色汗症
raptured	欢天喜地的
rattly	吵闹的
unwearied	不疲倦
olympic	奥林匹斯山的
athwartship	横过船的
eyeglass	眼镜
stale	不新鲜
relativize	使相对化
anterolateral	在前面偏一边的
rhythmical	合拍的
spectacularity	壮观
saltire	圣安得鲁十字
euhemerize	以神话即历史的观点解释
hostile	敌方
brokenhearted	极度沮丧
volutin	异染质
compliableness	依从
stockroom	仓库
ultrasound	超频率音响
aspersion	中伤
unlucky	不幸的；不吉
aurorean	晨曦
concupiscence	强烈的邪欲
completeness	完全
brawn	腌制好的野猪肉
disoperative	侵害的
wecht	=weight
out	外出
odorously	香气
disinvestment	蚀本
platiniferous	产铂
selfless	无私
client	客户机程序
unpledged	未许诺
squally	可怕的
manor	领
sapient	装聪明样的
intermezzi	幕间剧
ciceroni	导游
conche	巧克力搅拌揉捏机
dead	突然
sociosexual	社会群体内性关系的
expand	使膨胀
unassimilable	不可吸收
stuggy	矮胖的
sidebone	叉骨
espial	侦探
intendance	监督
memorialist	情愿书起草者
reformulate	再用形式表示
washingtonite	钛铁矿
reprovable	该责备的
godlike	似神
run	管理
hoof	蹄
bardian	个性的
slatternly	自甘堕落
unenlivened	不活跃
haemopoiesis	=haematopoiesis
otiose	闲着的
scheme	图解
peristaltic	蠕动的
floriated	具有花卉装饰
lushly	多青草
overcareful	过分谨慎
garlandry	花环装饰品
born	天生就……
neurocirculatory	神经循环系统
lovingness	爱
ectogenic	体外发育
gigametre	十亿米
oligarch	寡头政治执政者
peccary	野猪类
strip	剥去
benzocaine	苯坐卡因
stravage	徘徊
bearish	粗暴的
encapsulate	压缩
uncivil	不文明的
electronical	电子
hemodynamic	血液动力学的
philanthrope	=philanthropist
totally	整全
resettlement	再定居
visitator	巡查员
tache	纽带
edifying	教训性
epicontinental	陆缘
euroclear	欧洲银行票据交换所
xanthippe	悍妇
sympathetically	感应着
detoxicant	麻醉
thar	Desert塔尔沙漠
gadgety	小发明
fortress	要塞
honeyed	甜如蜜
pockmark	痘痕
anodontia	先天性无齿症
atwirl	快速旋转地
fishlike	似鱼
covert	隐蔽
hapless	倒霉
dsp	Processing
pluralistic	兼职
stum	未发酵的葡萄汁
middlebreaker	开沟破土犁
operatic	歌剧的
pteridophyte	羊齿类
loathly	勉强
misguided	被误导的
aga	宗教领袖
albigensianism	阿比尔派的教义
harvesttime	收获季节
grill	铁格子
bole	树干
plateau	高
invisibility	看不见的东西
intercurrent	间发的
carmelite	派的托钵僧的
homoousion	本体同一论
acetaldehydase	乙醛酶
tastefully	风流地
variceal	静脉曲张的
innavigable	不能航行的
razee	删节
jugfet	结栅场效应晶体管
formulable	可用公式表示
overcome	胜过
heavier	巨大
polt	密谋
thickly	厚
neuter	无性的
villainy	罪恶
automobilism	汽车驾驶
placoderm	盾皮鱼
broiling	酷热的
telurate	碲酸盐
kist	箱形石坟
corporeity	身体
poor	可怜
tweedle	琴声
furry	有锅垢
berime	以诗讽刺或祝贺
fetch	取来
accessory	附属的
overmountain	住在山上的
roxburgh	罗克斯巴勒郡
pruning	剪枝
overplay	夸大……的重要性
mitten	拳击手套
tryptophan	色氨酸
bisulfate	硫酸氢盐
wake	警觉
penally	刑事上
sawn	saw的过去分词
obtuse	愚蠢的
milanese	米兰
shuddering	发抖的
uplight	向上照射的灯
electroosmosis	电渗
mechanics	技巧
tropism	取向
subjunctive	虚拟的
hadron	强子
unattained	未达到的
tamber	音色
detrude	扔掉
intimidatory	恐吓的
interneuron	=internuncial
podocarpus	罗汉松
bourree	法国十七世纪活泼的奥弗涅舞蹈
ornamental	装饰性的
potass	钾
subornative	买通
mustardy	芥子粉的
geogenic	地球成因学的
quadraphonic	四声道
entophyte	内生植物
heathy	石南似
controvert	参加辩论
czechish	捷克人
npr	Public
eastabout	向东地
heliotropin	胡椒醛
foxiness	狡猾
neoclassicism	新古典主义
civicism	市民政治
automatic	自动的
skelter	急匆匆地跑
embodiment	化身
iise	伊尔瑟
mechlorethamine	二氯甲基二乙胺
unshrinking	坚定
buckthorn	鼠李科
regret	惋惜
hyperkeratosis	眼角膜细胞增多
coact	共同合作
astringer	驯鹰师
boorish	粗鄙的
vespers	晚课
whopping	非常地
irreconcilable	不能协调的
nightlong	通宵
psychoactivity	影响心理状态
lark	百灵鸟
cold	不热情
flopper	变节者
sanguine	血染
amethystine	紫水晶质的
recessive	隐性
undistinguishable	难辨别
polymeric	聚合
huffish	傲慢
satisfy	满足
rappel	用绳索下口
cartoner	纸板包装机
lassalleanism	拉萨尔主义
edgily	尖利
amort	无生气
felicitous	恰当
smell	散发气味
atactic	不规则的
kymograph	波动曲线记录仪
peremptory	强制
tripodal	三脚架
discomfiture	挫折
surfcasting	从岸上向激浪抛钓线钓鱼
communicant	通知者
vorticular	=vortical
tupian	图皮语的
steeliness	钢制
twerp	蠢人
mammiform	乳头状
chlorid	漂白粉
eglantine	野蔷薇的一种
spinally	沿着脊骨
streamy	多溪流
fumigate	使发香
cladistic	进化枝的
immigratory	迁入的
persorption	吸混
contemplative	祈祷的
lustily	强壮
passivity	被动性
stipes	叶柄
trappean	玄武岩质
galla	盖拉族
clannish	氏族的
hydrosulphuric	/氢硫酸
owly	像鸮
phrenetic	精神错乱
shoshonean	肖肖尼语的
tetrahydrofurfuryl	氢糠基
throughput	生产量
misbound	装订失当
internationalise	使国际化
aproposity	适当
cnd	Campaign
outline	外形
nannyish	过时
spintherism	闪光幻觉
fasces	束棒
declaratory	宣言的
telly	电视
anteflexion	前屈
queendom	女王国
citywide	全市的
miraculous	不可思议的
transfiguration	变容
