hellkite	残忍的人
atechnic	无技术知识的人
downright	率直
illusory	产生幻觉的
sap	使排出体液
vindication	辩护
festilogy	基督教会节日论文
deovolente	若一切顺利
idea	主意
courageous	有胆量的
extemporal	无准备的
jabot	胸部装饰
owing	由于
score	划线
montilla	蒙蒂勒白葡萄酒
metastasis	转移
catholicness	一般性
cytotropic	亲细胞
periapt	护身符
retractive	缩进
frankenstein	作法自毙的人
hyenoid	像土狼
merchantable	有销路的
underproductive	低生产
simpleminded	率真的
rebut	反驳
personify	使人格化
thalassochemistry	海洋化学
ephebus	的18
hierarchy	层级
alfa	希腊字母第一个
narrater	叙述者
glandular	有腺的
yellows	黄疸病
cupferron	铜试剂
bir	of
ventriloquy	腹语术
assiduously	勤勉
cottonpicking	收棉花
inedita	未发表的文学作品
sickee	精神病患者
biltong	干肉片
skipper	船长
peripheric	=peripheral
morbid	病
riffleman	淘金工人
recollected	被回忆起
brownie	核仁巧克力饼
latticed	装有格子
dysphasic	患言语困难
duplation	二倍
slickness	巧妙的
southward	向南的
cooptative	增选
maintopsail	中帆
indelibility	不能消除
chrestomathy	读本
sarcoma	肉瘤
antimilitarism	反军国主义
novocain	奴佛卡因
consanguineous	密切
scleroid	硬质
gallophobia	憎恶法国
theoretically	理论上
vaporous	蒸气多
sempiternity	永恒
outskirt	郊区
ale	淡色啤酒
igraine	伊格赖因
perceivably	可知觉
flouncing	薄纱绉褶边
violence	强暴
talocalcanean	距的
hit	打击
rumble	隆隆声
vfr	目视飞行规则
fruitlessly	无益地
hateful	可恶的
fortaleza	福塔雷萨
transitional	变迁
meiobenthos	较小型水底生物
luster	使有光泽
astrobleme	陨星坑
gustav	即
occidentally	西方文化
swept	扫频
birefringence	双折射
lexemic	词位学
haemostatic	能够止血的
contractive	有收缩性
weather	气候
chromogen	色原体
metamorphosize	=metamorphose
shifting	狡猾
bpd	barrels
receivership	破产在管
humourously	幽默
ifps	交互式财务计划系统
concentrative	集中性
numerary	数目的
hydropathic	水疗法
celestine	塞莉斯泰因
bearably	忍得住地
unnecessarily	不必要
talmudist	犹太法典编著者
fondly	怜爱
