twistification	的事物
jallopy	破旧汽车
parametrical	参量的
electricize	使带电
warty	似疣的
splat	椅背中间纵立的长条木板
upbuilt	upbuild的过去式及过去分词
fluey	有绒毛
velarity	软腭性
bushbeater	寻访人才或探求民情者
myriapodan	=myriapod
parody	拙劣的模仿
unhcr	for
austere	严峻
standstill	停顿
ejaculator	突然叫喊的人
inconformity	不适合
who	那……
gandhiite	甘地的信徒
culturati	文化人
gnathonic	谄媚
contrivance	发明
poignant	剧烈
sob	哭诉
polymnia	=Polyhymnia
masticatory	咀嚼剂
sublime	壮观
culpable	有罪
damnatory	该死的
idiotype	个体基因型
redivious	再现的
mesh	陷阱
owlish	面孔严肃
dart	镖
feces	粪
candid	无偏见
lipoprotein	脂蛋白
quick	生物
snowcreep	积雪徐动
bouquetin	羱羊
kitakyushu	北九州
wink	使眼色
fidelista	支持菲德尔·卡斯特罗者
decorticate	剥皮
deckle	手工制纸的毛边
ely	伊利
kimberlite	角砾云橄岩
forward	促进
threescore	六十岁
synchronous	同时的
totemic	图腾的
unconsolidated	松散
fibrous	含纤维的
rave	咆哮
littery	杂乱
unneighbourly	不睦邻的
grand	极重要
overreliance	过度信赖
precise	准确的
demandable	可请求的
foveolate	有小凹的
radiolarian	放射目
notchboard	梯级搁板
fencing	剑术
wire	铁丝网
mephistophelean	险恶而狡猾
fortalice	小堡垒
minish	缩小
willinghearted	十分情愿的
internuncial	联络的
underabundant	不够丰富
cardinal	红衣主教
euphemistical	婉转的
unenvious	不羡慕的
iba	Authority
prickle	刺痛
undimmed	不模糊
sensed	了解
spectrally	可怕地
uncomplex	易懂的
pulsate	搏动
lenitive	润泽
asymptotic	渐近线
rensselaerite	假晶滑石
microcalorie	百万分之一卡
unwilled	非故意
swami	哲人
sniveler	假哭的人
senorita	小姐
cogwheel	木齿铁轮
nsa	National
octocentenary	持续800年的
tremulously	畏惧地
virilocal	以男方家庭为中心的
cancelation	=cancellation
hardcore	绝对
moonshiny	月照似
voluntarily	自动地
outright	直率地
elaborately	精巧
pilferage	偷盗
glost	铅釉药
chloromycetin	氯胺苯醇
prismy	棱柱的
theirselves	pro
osb	本笃会
attributive	定语
macronutrient	大量养料
girondism	吉伦特党的政见或主张
maternal	似母亲的
hemichordate	半索动物纲的
hadith	穆罕默德言行录
peroxyacetyl	nitrate
austenite	体
gozzan	=gossan
unconsolidated	疏松
corruptive	使腐败
parsonian	帕森斯社会学理论
recense	校订
complicit	有同谋关系的
tonetics	声调学
cake	蛋糕
tackling	抱住
innovatory	革新
dixieland	爵士音乐的一种
masterless	无主人控制的
flexure	弯曲部分
haemophilic	血友病
matsudo	松户
reelect	重选
inconvenient	有困难的
sooty	乌黑
micromere	小裂球
hydrothorax	水胸
tufoli	意大利通心面
configurate	使成形
inexplorable	无法研究
indolently	不痛
diphycercal	圆尾鳍
daemonic	似魔鬼的
styptical	收敛的
