claudicant	跛
thalassic	内海的
to	比
ravenna	拉文纳
bricole	投石器
filamentary	似丝
pony	付清
slade	and
tabourine	=taborine
enthral	迷醉
subhumid	半湿润气候
faultfinding	喜欢挑剔的
effortful	需要努力的
jetboat	喷射艇
ludicrous	愚蠢的
carissima	亲爱
insulation	绝缘
namable	著名
sarsa	由撒尔沙根中提炼的药
chert	燧石
rubstone	砥石
alluvium	淤积层
woodworking	干木工活的
swim	游泳
halfhourly	半小时
neoconservative	新保守派
zone	分成区
alight	点着
audacious	大胆创新
upswing	高涨
duvetyne	混纺毛织品的一种
handle	触摸
wee	微小
derange	扰乱
rigid	刚硬的
thecae	膜
bobtail	截尾的动物
oxycarpous	有尖刺果的
supposable	可想象得到
schoolroom	教室
moonlet	小卫星
neatherd	牧牛人
posb	post
fissive	分裂
reticula	错综复杂的
bop	从容地走
unmalicious	非恶意
typology	类型学
vanishingly	消遁似
francophile	亲法的
affected	受到影响的
dethronement	废位
polyspermous	多种子
cocky	自大的
mixt	mix的过去式及过去分词
mna	Master
co	Colombia
aarnet	Academic
scheme	图谋
devastating	破坏性的
asinine	象驴一样
pretty	可爱的
snaphaunce	早期燧发机
miscounsel	误劝
thylakoid	类囊体
desolate	荒凉
inquiring	咨询
deceivable	可骗
bacteriostasis	阻止细菌繁殖法
ultrashort	超短波
toothsome	好看
mre	of
chromatid	染色单体
lacedaemon	古代斯巴达的别称
cigarette	香烟
joyously	快乐地
lophobranch	Ⅰ
yeomen	自耕农
byob	bring
obconical	倒圆锥形的
epicurean	享乐主义者
minimus	微小的
valetudinarian	有病
mauve	紫红色
dross	渣滓
sjaa	Ambulance
undivested	未被脱去
briny	咸
lippy	爱顶嘴的
cogent	强有力
photoinduced	光感生
ishmaelite	被逐出者
seric	中国的
unilocular	单室
calcium	钙
boldface	粗体铅字
gastrology	烹饪学
carry	被携带
cratered	有坑洞的
daintily	难以取悦
nasty	凶相的
prolegomenon	前言
glassworm	=arrowworm
unfortunate	不幸的
henhearted	怯懦
graphotype	白垩版
sweeping	彻底的
auc	year
assistant	辅助
lilongwe	利隆圭
scirrhous	硬癌的
show	出示
railing	栏杆
dona	太太
hereupon	因此
contrariously	相反地
syph	=syphilis
over	上面
clothesman	旧衣商
gaping	多洞穴的
faciolingual	面部与舌
ekman	dredge埃克曼采泥器
plead	恳求
unlighted	未被点燃的
qei	erat
neoprene	氯丁橡胶
veil	遮蔽物
saxicolous	岩栖
premonstratensian	普雷蒙特雷修会
liquefactive	引起液化的
unrent	不受侵扰
rail	抱怨
enlistee	士兵
thermophil	喜温生物
stratoscope	同温层观测镜
marburg	disease马尔堡病
unremitted	继续不断的
bibliomania	藏书狂
slade	Engravers
escapeproof	防漏泄
empiricism	经验论
standing	常备
leftward	在左方的
icaaaa	Amateur
arrowheaded	镞状
laying	产卵数
primrose	淡黄色的
carmine	洋红色
salutatory	祝词
still	静止画面
oxo	含氧
undimmed	不暗淡的
nonnasally	非鼻地
audiometric	听力测定的
asepsis	灭菌法
phytoflagellate	鞭毛藻
boniface	小旅店的老板
kolo	科洛舞
brinded	有斑纹
tax	使负重担
rightly	正确地
muscoid	苔藓状
presentational	直觉的
derma	烤牛香肠
baalism	太阳神崇拜
hakea	哈克木属植物
fatherland	祖国
poppy	罂粟
chitarrone	基塔隆尼琴
yeastlike	似酵母
detorsion	弯曲器官的变直
impreg	浸渍木
meliorable	可改良的
abscond	潜逃
rapture	全神贯注
nonrecurring	不重现
fuck	与……性交
eventful	多事
taurin	=taurine
brassy	厚脸皮的
appreciatory	欣赏力
mythicize	视为神话
thinnish	较细的
skyward	向天空地
quit	辞职
reinless	无缰绳的
feudist	结下世仇的人
encyclopedic	如百科辞典
arterial	动脉
defaecate	澄清
roughhewn	草率
reviviscence	复活
wisperer	咬耳嚼舌者
imbower	憩于树荫
vlcc	carrier
electrologist	电蚀医师
design	纲要
coastward	向海岸地
silentious	沉默寡言的
vanuatuan	瓦努阿图
penetration	突破
saree	纱丽服
certificate	以证书形式授权给……
reject	否决
tangent	切线的
subfossil	亚化石的
vivify	使生动
uncap	打开
chargehand	工头
lapp	拉普兰人
gangdom	匪徒及其行为
electrosol	电溶胶
nonperiodic	非周期的
haematogenous	生血
complete	完成
uninquiring	不打听的
conventionalise	膎ventionalize
townet	拖网
soviet	代表会议
chromophotograph	彩色照片
cyclonic	飓风
pinnated	羽状的
uintaite	硬沥青
chineselantern	plant酸浆
myself	我本人
ergometer	测功计
rug	垫子
curlypate	有鬈发的人
urea	尿素
accusingly	责难
emotively	动情
innerve	使活跃
festucine	浅黄色的
topically	总论地
purvey	供给
separate	分散
thriftlessly	不节俭地
devoted	深爱的
panhandle	狭长的土地
connatural	先天的
dichroitic	二色性
unswathe	拆开
drogher	与此类似的船
assumptive	假设的
emergent	自然发生的
crooknecked	曲颈的
cinerous	灰色
cusp	尖头
nyse	纽约证券交易所
caplet	囊片
segue	继续
grisly	可怕
elegance	优雅
isocephalic	人像头部等高
slavish	卑屈
imbecilic	低能的
involve	笼罩
monolog	独脚戏
fungin	菌纤维素
themselves	她们自己
mshe	Home
underwood	树林下的草丛
dissector	解剖者
gneissic	像片麻岩的
lymphopoiesis	淋巴细胞增殖
sheriffdom	郡长等的管区
gama	grass鸭茅状摩擦禾
hiking	徒步旅行
broodmare	传种母马
benzene	苯
discrete	离散的
syllogism	演绎
fine	美好的
twopenny	低廉
founder	翻沙工
weatherboard	护墙板
plated	镀金的
perversive	颠倒
already	已经
anoa	小野牛
etr	外部数据传输速率
pale	苍白
orbicular	完整
ballproof	子弹打不穿
locale	场所
accurst	被咒的
orphean	迷人
argent	象银的
reen	沟
equatorial	赤道仪
say	发言权
bystander	看热闹的人
