redoubted	可惧
nanocurie	十亿分之一居里
exceptionable	可反对的
abusive	滥用的
ornithorhynchus	鸭嘴兽
hypaethral	露天的
dissectional	剖析
acmeist	阿克梅派诗人
expatriation	放弃国籍
fixing	设备
subentry	副条目
subcylindrical	近圆柱形
cleome	醉蝶花属
deambulatory	走动
basidium	孢子台
threnody	悲歌
deipnosophist	餐桌上的健谈者
depot	公共汽车站
somatotopical	躯体特定区
cultivable	可耕种的
haily	冰雹状
fledgy	有羽毛的
scutate	圆盾形的
antimicrobial	抗菌的
chitinous	壳质的
pictorially	绘画般地
chapbook	小本的诗歌集或故事书
equilibrator	平衡装置
rauvite	红钒钙铀矿
skinch	吝惜
sdram	Synchronous
hakka	客家语
tuneable	能调出和声的
intertangle	使纠缠
panic	惊慌
clary	鼠尾草属的植物
curassow	大鸟
reexplore	再勘探
late	在晚期
pitch	向前倾跌
depigmentation	褪色
daiquiri	一种鸡尾酒
coordinate	调整
sassenach	撒克逊人的
kilograin	千格令
exumbrella	外伞
gassy	含气的
microstomous	小嘴的
araucaria	南洋杉属树
validate	证实
determinately	有限花序地
cadmean	卡德摩斯式的
jingly	叮玲响
ironic	说反话
nodum	植被抽象单位
ampliation	扩大
reclassification	重新分类
urbane	彬彬有礼
distressing	使痛苦的
federal	联邦的
unveil	除去面纱
polisher	磨亮的人
predestine	预定
printing	印花
compounder	部分还款者
economic	产供销的
imagery	比喻
closestool	马桶
streptococci	的复数形
monovalent	单价
absorbency	吸光率
undynamic	精力不够的
antimonarchic	反君主政体的
urticariogenic	致荨麻疹
discoloration	污点
cylindroma	圆柱瘤
infanta	郡主
lenity	慈悲
ceaselessly	不断
hymeneal	结婚典礼
unweight	减重
fissirostral	有裂喙的
joke	开玩笑
difunctional	双官能
raconteur	善谈者
eozoic	始生代
unseparated	分不开的
liberatory	同意释放
coed	对男女都开放的
valdez	瓦尔迪兹
soddish	糟糕的
acoustic	声学
vop	估价如原保险单所载
needful	必要的
abreact	发泄
quadrisyllable	四音节字
staple	原材料
lighthouse	灯塔
leftism	左派观点
hardcore	无条件的
soot	烟灰
wen	粉瘤
ultramontane	山外之人
fractionary	分数的
sri	Romanum
dnestr	=Dniester
thumbnail	极小
other	从前
treat	谈判
noblesse	贵族阶级
war	打仗
yva	Valley
manorial	庄园
est	东部时区
photojournalism	摄影新闻工作
learned	学术上
simplicity	简单
trampolin	蹦床
lomentaceous	具节荚
gibbose	凸状
love	爱慕
diphyletic	来自二个祖先的
chauvinistic	沙文主义的
tootle	轻吹
microplankton	小型浮游生物
dispatch	派遣
quaker	贵格会会员
pop	Post
cist	用来装圣器的箱子
annihilationism	灵魂涣榛昙琶鹇
invariance	恒定性
porosity	有孔性
contradictious	爱反对
mechanics	结构
traumatropism	向伤性
insurgently	造反地
undemonstrable	难以证明的
congruous	一致的
thunder	打雷
athlete	运动员
clique	阀
butterball	胖子
dichogamous	雌雄异熟
ithun	=Idun
featherlike	轻如羽毛
mufti	便服
coyly	羞怯地
tremendous	巨大
bangzone	音爆影响的区域
partnership	合伙契约
ratissage	"回扒"
blustering	狂暴
crus	后腿
markedness	显著地位
darch	of
corruptly	腐败
visitatorial	有权检查
tea	喝茶
phyllary	叶状苞
grillage	格床
epizoon	体表寄生动物
rightward	向右
ebu	Union
pogo	该游戏的工具
socialistic	社会主义
hack	砍
fond	多情
unstudied	未学过的
suffering	苦楚
insectivorous	食虫动植物
sirian	天狼星
cryptanalyst	密码专家
teleradium	远距镭照射
shirty	心情坏
prow	勇敢的
drudgingly	苦役般
