soporose	催眠的
maceration	泡软
abrupt	生硬的
abcd	Collection
appetizing	美味可口的
ineloquent	不传达表情
unsuccessfully	无用
perivisceral	内脏周
grantee	受颁赠者
zuni	祖尼语
passably	也还过得去
laniferous	有羊毛的
pyrographer	烙花人
craftily	狡猾
tetramer	四聚物
gangtooth	暴牙
gloss	作注释
clarinet	竖笛
lamentable	不快
rhinolaryngitis	鼻喉炎
alumroot	矾根草
placet	赞成票
pomiferous	结梨果的
throstle	画眉鸟
biaxial	二轴的
venomous	恶意的
matin	晨歌
pilgrimage	朝拜
transmit	传达
hazel	榛子
mischievous	淘气的
manufactory	制造厂
inanimation	不活动
thumbnail	极短的
competent	有能力
asleep	睡着
slingback	露跟女鞋
rattailed	鼠尾状
upturned	翻过来的
symmetrical	对称
vitriolic	硫酸
overcareful	过分用心的
prepose	将前置
fairness	顺利性
haste	急忙
straightforward	dly//
irradiant	灿烂的
dutifully	忠贞
sha	angle恒星时角
agrophilous	栖耕
dogdom	养狗界
larcenist	盗贼
fecund	多产的
faints	劣质酒精
jillet	轻浮的女子
indictable	可起诉的
drearily	可怕地
gallization	加水和糖
nobody	无人
desuperheat	减温
psychologise	=psychologize
incursionary	侵略的
nonviolently	非暴力
winebibber	酒鬼
respectively	各个
ecotage	生态破坏演示
vasostimulant	刺激血管
stroam	散步
valiant	英勇的
glulam	胶合层积材
oily	油滑的
spoony	傻子
sonority	响亮
madid	泪汪汪的
glooming	怒容
bum	游民
fortitudinous	坚忍不拔的
blithe	高兴
jcl	control
worried	闷闷不乐
derivatively	衍生地
sputteringly	结结巴巴地
plumbiferous	产铅的
underivative	不乏独创性的
rotund	圆形
underpinner	支承用的支撑
teen	使烦恼
drizzle	细雨
jbs	Birch
venire	陪审员召集令
cecrops	刻克洛普斯
salle	大厅
grotesque	奇形怪状
nondrinking	戒酒的
adios	再见
eyetie	=Italian
prepositional	当前置词的
jsp	Java服务器页
exaggerative	夸大
underclothing	贴身衣裤
gynecic	=gynaecic
powerman	发电专业人员
embolic	栓子的
marmorean	大理石
joke	玩笑
graupel	霰
useless	无益
recremental	渣滓的
disproof	反驳的证据
greediness	贪吃
railroad	由铁道运输
formal	形式的
ier	乘数
obtruncate	砍去头部
bms	Science
fetial	处理国际问题
larker	嘲弄者
bioassay	生物鉴定
hypophysial	垂体
perversion	颠倒
sculpsit	由……所雕刻
oxaloacetate	草酰乙酸盐
pullout	拔
ionicity	电离度
ineptly	不适当
curriery	鞣皮业
detritivorous	食粪
mould	霉
sphygmomanometer	血压计
striking	惊人
interiorly	在内地
frighten	惊恐
nabi	伊斯兰教的先知
regenerate	新生
earhole	耳孔
servantgirl	年轻女仆
ruga	皱纹
saving	搭救的
loch	湖
kernel	要点
deputy	代理人
silkworm	家蚕
testamentary	遗嘱的
outstare	将……瞪得无法招架
blithely	愉快
suited	匹配
veronese	维罗纳人的
monthly	每月一次
wail	哀号
times	时期
swirl	漩涡
