seedy	不适
manyatta	村塞
austria	奥地利
crabbed	易怒的
cassegrain	卡塞格伦望远镜
amimeche	I
sigil	魔诀
typesetting	排字
examinatorial	考试的
inflammatory	煽动性
lack	短缺的东西
paternal	父亲
cannes	戛纳
gayety	愉快
barbiturate	巴比妥酸盐
locoplant	疯草
squally	天气愈变愈坏的
lamby	多毛如羊
source	源
sink	水槽
peg	坚持不懈地工作
distilment	蒸馏法
impastation	着色浓厚
unbefriended	无人扶助的
seed	去……籽
subvert	暗中破坏
bactrian	大夏
cast	一瞥
blessedly	幸福地
injective	内射
jetty	码头
sericterium	泌丝器
screeve	告地状
fmi	Mon
krill	磷虾
grub	幼虫
sparkish	俊俏的
stateside	美国本土
fanciness	空想
blackhearted	心肠黑的
couchy	茅草丛生
squashy	熟透的
pregnable	可攻击的
munition	军需品
azonic	非地方性
barbaric	粗野的
bum	闹饮
americologue	研究美国社会的学者
spermic	种子
phi	个字母
prefatory	序文的
rejuvenate	使回春
indefinably	不明确
pietermaritzburg	彼得马里茨堡
aeronaval	海空联合
swordbill	刀嘴蜂鸟
lumpenproletarian	`lQmpEn9prEJlI`teErIEn/
amusedly	开心地
emanate	发源
kummel	莳萝利口酒
ibew	国际电气工人兄弟会
prenatal	出生以前的
domesticity	专心于家务
pertinacious	固执的
patchouli	广藿香油
regimental	团
rail	以横木围栏
snug	暖和的
goethean	歌德的崇拜者
working	经营
fray	磨损处
leaden	沉重的
snipe	狙击
jugal	颧骨
plebiscite	公民投票
pine	消瘦
prolusion	序言
basso	低音部
irredeemable	不能兑现的
spode	斯波德式的
hardhat	建筑工人
waylay	埋伏
tendencious	宣传性
villainy	邪恶
scholar	学者
imam	阿訇
startler	令人惊骇的人或事件
shading	描影法
created	创造的
radiesthesia	感应力学
handshaking	握手
monte	始于西班牙的纸牌赌博游戏
goshen	肥沃的土
guesthouse	上等旅社
discriminatory	有辨识力
misprize	轻视
embolize	栓塞
excitatory	兴奋
moneygrubbing	积蓄钱财的
spindlelegs	细长的腿
nextel	"纳克斯泰尔"人造血
ondometer	频率计
evader	逃避物
rim	轮缘
sigmate	S形
alkyl	烷基的
syncretic	类并的
burdensome	难以承担
craniate	有头盖的
crafty	狡诈
lawfulness	合法
metagalactic	总星系
flagellatory	鞭打的
toluca	托卢卡
separative	有分离倾向的
girlygirly	娇气十足
choleraic	霍乱性的
quizzy	爱查问的
trough	木钵
theologian	空头理论家
unsharp	不锐利
vulgarity	粗俗
age	成熟
erotological	色情文学的
archiepiscopacy	大主教
cyanine	青蓝
valetudinarian	dI`IEn/
savoury	开胃的
circumglobal	围绕地球旋转的
practised	老练的
ethnarchy	总督的身份
precatory	委托
mfn	最惠国
incertitude	不确定
mycetozoan	变形菌
flatly	平平
score	二十
fifa	de
sabian	塞比教徒
renature	复性
geogenic	球成因学
restively	倔强地
indifferent	无关紧要
chrysarobin	柯桠素
dissociability	孤癖
spray	喷雾
bland	温和
skein	一团糟
duodecagon	十二边形
malleate	将……锤薄
iced	冰冷的
intermarry	通婚
ssfdc	Card
literarycritical	文学批评
minty	有薄荷香的
preteen	接近青春期
isa	Architecture
defensive	自卫的
quatercentenary	400年的
mendable	可修理
lacustrian	湖的
contain	容忍
nereid	涅瑞伊得斯
voluntary	主动
boondocks	森林地带
senarius	抑扬格的三音格诗句
monomaniacal	对一事狂热
prevailing	流行
endoscopic	内窥镜检查
isogeneic	同基因
reinforce	增援
bluet	开蓝花的植物
sap	体液
xeransis	干燥
doughty	勇敢
flow	泛滥
dimness	微暗
acd	自动呼叫转发器
unread	无学问
sequentially	继续
backhanded	间接的
deterrence	妨碍物
ruffly	起皱的
pearlescent	光芒四射的
microfolio	微型文件夹
incretion	内分泌物
succussatory	摇动的
directorate	理事之职
macerate	浸软
filly	活泼的
pereiopod	胸部附器
ebb	弱
recreation	消遣
proteide	蛋白质
flub	弄糟
dissyllable	二音节的单字
cadmiferous	含镉的
gis	system
giggly	傻笑的
