kandy	康提
blazon	纹章
tensor	张量
monostome	具单盘
blinking	闪光
forementioned	上述
trailer	追踪者
fen	沼池
sempiternal	永恒的
valediction	告别词
miscible	易混合的
swannery	天鹅饲养
haply	偶然地
vault	拱顶
hypersexual	性欲过度的
supposititious	想象的
flavourful	美味
infertile	不结果实
alumnus	男校友
gymp	绒丝带
assembled	组合
homespun	朴素
monocarpellary	单心皮的
podsolization	=podzolization
deexcitation	去激
cueist	玩撞球的人
kinsey	Charles
plant	种植
rugged	粗糙
glaum	一瞥
nongovernment	非政治的
overweening	骄傲
travoise	旧式雪橇
deanship	院长职
mgd	per
preatomic	原子能利用以前的
farthing	1/4旧便士
posnet	金属锅
crura	腿
conquerable	可征服的
hypotyposis	生动的叙述
esemplastic	有融合作用的
effractor	窃贼
treasure	财产
encarpus	花果形装饰
embellishment	修饰
wsj	Street
voluminous	大部分的
enzootic	地方性动物病
blurry	不清楚的
cold	不热情的
statement	声明
woodhouse	木柴间
southing	南行航程
insect	虫子一样
multinuclear	=multinucleate
kronshtadt	喀琅施塔
revival	再生效
teletypewriter	电传打字机
wobble	游移不定
applescript	APPLE
phoneticist	=phonetist
stirabout	吵闹
adventist	基督再临派成员
bronchogenic	支气管原
foreworld	史前世界
inheritrix	女继承人
niellist	乌银镶嵌师
scv	Veterans
distractingly	发狂似
armament	武器
occlude	使闭塞
localizer	定位器
hideous	可怕
intervallic	音程
whitehanded	诚实
tide	潮
upborne	被支撑着的
dawdling	懒散
incendive	易燃烧的
postcranial	颅下的
alibi	辩解
undisposed	未分配的
queasily	令人恶心
refractory	难熔
comate	伙伴
traffic	交通量
seclusive	爱孤独的
qarnns	Naval
socialise	=socialize
atempo	还原速度
escalation	扩大
equivocal	可疑的
dionysian	酒神节的
nonpolluting	不会引起污染的
subordinacy	下级地位
erivan	埃里温
attitudinarian	装模作样誌En/
metho	卫理公会教徒
ashen	苍白的
hood	兜帽
snippet	不知天高地厚的年轻人
diamagnetic	反磁性体
retia	膜层
sudaria	擦脸巾
magnetic	磁的
epicondylian	上髁的
innocent	无知的
ecstatically	心醉神迷
toft	宅地
duplicate	复制品
ferric	含铁
literality	精确
irresponsibility	无责任
hanoverian	汉诺威
monastical	僧院
reginal	威严
pulpitry	布道
conversible	=conversable
flimflam	欺诈
slash	猛砍
comparison	比喻
enrollment	入学
gloat	心满意足
derivative	系出
impellent	推动
astrophotometry	天体光度测量
leafiness	有叶的状态
fractionary	断片
shoemaker	鞋店
inexpectant	不期待
quadrivial	之一
gunmetal	炮铜
prevoyance	先见
frigidity	性感缺失
prospekt	大道
viticultural	葡萄栽培
thematic	主题的
depressor	抑压者
celeb	著名人士
squarish	有点方的
jazz	奏爵士乐
inbreed	生产
fixing	稳固
bellboy	侍者
vasostimulant	刺激血管的
meaning	意味深长的
spado	无生育能力的人
bharat	=India
breasthook	尖蹼板
compulsionist	主张采取强迫手段的人
inappetency	食欲不振
tenner	十磅纸币
marvel	奇迹
phalera	金属圆牌
fiduciary	受信托
medical	内科的
submetallic	亚金属的
vellum	犊皮纸的
cyclone	暴风
jackpudding	丑角
cracky	多裂缝的
discountenance	阻止
wearisome	使疲倦的
inobtrusive	不冒失
undercooked	得火候不足的
quick	快的
decree	天命
antennate	具触角
unnecessary	不必要的
monochroic	单色的
falanga	打脚板刑罚
shuttle	梭子
omnific	有无限创造力
crown	花冠
homoeothermic	温血
